participant,repetition,x_mm,y_mm,time,force_N
1,1,23.003,19.169,0,0.12
1,1,23.003,19.169,0.0196,0.24
1,1,23.003,19.169,0.0465,0.44
1,1,23.003,19.169,0.0693,0.67
1,1,23.003,19.169,0.0988,0.9
1,1,23.003,19.169,0.1203,1.14
1,1,23.003,19.169,0.147,1.31
1,1,23.003,19.169,0.1704,1.33
1,1,22.619,18.939,0.2052,1.29
1,1,22.543,18.862,0.2207,1.29
1,1,22.236,18.709,0.2445,1.31
1,1,22.083,18.709,0.2698,1.34
1,1,21.929,18.632,0.2951,1.34
1,1,21.699,18.632,0.3209,1.35
1,1,21.699,18.632,0.3458,1.36
1,1,21.699,18.632,0.3698,1.36
1,1,21.699,18.632,0.3963,1.33
1,1,21.699,18.632,0.4198,1.3
1,1,21.699,18.632,0.4492,1.27
1,1,21.699,18.632,0.4707,1.26
1,1,21.699,18.632,0.4947,1.24
1,1,21.699,18.632,0.5217,1.23
1,1,21.699,18.632,0.5451,1.23
1,1,21.699,18.632,0.5704,1.21
1,1,21.699,18.632,0.5947,1.18
1,1,21.699,18.632,0.6192,1.15
1,1,21.699,18.632,0.6444,1.13
1,1,21.699,18.632,0.6696,1.11
1,1,21.699,18.632,0.6947,1.1
1,1,21.699,18.632,0.7193,1.1
1,1,21.699,18.632,0.7461,1.09
1,1,21.699,18.632,0.7704,1.08
1,1,21.699,18.632,0.7959,1.07
1,1,21.699,18.632,0.82,1.04
1,1,21.699,18.632,0.8447,1.04
1,1,21.699,18.632,0.8699,1.04
1,1,21.699,18.632,0.895,1.02
1,1,21.699,18.632,0.9203,0.97
1,1,21.699,18.632,0.9444,0.92
1,1,21.699,18.632,0.9692,0.88
1,1,21.623,18.632,0.9947,0.78
1,1,21.623,18.632,1.0206,0.78
1,1,21.623,18.632,1.0448,0.93
1,1,21.623,18.632,1.07,1.08
1,1,21.623,18.632,1.0944,1.21
1,1,21.469,18.632,1.1196,1.3
1,1,21.086,18.632,1.1499,1.39
1,1,20.933,18.632,1.1696,1.42
1,1,20.319,18.479,1.1945,1.44
1,1,19.782,18.326,1.2199,1.43
1,1,19.016,17.865,1.2447,1.41
1,1,18.326,17.712,1.2695,1.43
