participant,repetition,x_mm,y_mm,time,force_N
1,1,9.354,8.434,0,0.19
1,1,9.354,8.434,0.0254,0.43
1,1,9.354,8.434,0.0494,0.67
1,1,9.354,8.434,0.0744,0.76
1,1,9.354,8.434,0.0992,0.94
1,1,9.354,8.434,0.1254,1.07
1,1,9.354,8.434,0.1512,1.15
1,1,9.354,8.434,0.1744,1.16
1,1,9.354,8.434,0.2013,1.14
1,1,9.354,8.434,0.225,1.16
1,1,9.354,8.434,0.2497,1.15
1,1,9.354,8.434,0.2773,1.11
1,1,9.354,8.434,0.3026,1.08
1,1,9.354,8.434,0.3242,1.08
1,1,9.354,8.434,0.3542,1.08
1,1,9.354,8.434,0.3748,1.04
1,1,9.354,8.434,0.399,1
1,1,9.354,8.434,0.4244,0.99
1,1,9.354,8.434,0.4493,0.99
1,1,9.354,8.434,0.4752,0.98
1,1,9.354,8.434,0.499,0.97
1,1,9.354,8.434,0.5247,0.95
1,1,9.354,8.434,0.5492,0.95
1,1,9.354,8.434,0.5745,0.96
1,1,9.354,8.434,0.5996,0.97
1,1,9.354,8.434,0.624,0.96
1,1,9.354,8.434,0.6498,0.93
1,1,9.354,8.434,0.6778,0.93
1,1,9.354,8.434,0.7081,0.94
1,1,9.354,8.434,0.7245,0.95
1,1,9.354,8.434,0.7494,0.98
1,1,9.354,8.434,0.7752,0.99
1,1,9.354,8.434,0.7997,1.01
1,1,9.354,8.434,0.8244,1.02
1,1,9.354,8.434,0.8493,1.03
1,1,9.354,8.434,0.8739,1.05
1,1,9.354,8.434,0.9,1.1
1,1,9.354,8.434,0.9265,1.16
1,1,9.354,8.434,0.9496,1.24
1,1,9.354,8.434,0.9745,1.32
1,1,9.354,8.434,1.0004,1.39
1,1,9.354,8.434,1.025,1.51
1,1,9.354,8.434,1.0502,1.62
1,1,9.354,8.434,1.074,1.66
1,1,9.354,8.434,1.1006,1.66
1,1,9.354,8.434,1.1248,1.64
1,1,9.508,9.124,1.1491,1.62
1,1,9.815,10.198,1.175,1.57
1,1,10.198,11.501,1.1998,1.5
1,1,10.811,13.035,1.225,1.47
1,1,11.348,14.875,1.2505,1.48
1,1,12.038,16.102,1.2788,1.48
1,1,12.345,16.792,1.299,1.46
1,1,12.652,17.712,1.3242,1.46
1,1,13.265,19.246,1.3498,1.5
1,1,13.725,20.242,1.375,1.52
1,1,14.032,20.933,1.3991,1.51
1,1,14.645,22.236,1.4268,1.49
1,1,14.952,23.386,1.455,1.5
1,1,15.105,23.846,1.4748,1.5
1,1,15.335,24.383,1.4994,1.51
1,1,15.565,25.303,1.5252,1.51
1,1,15.719,25.993,1.5492,1.53
1,1,16.255,27.067,1.5749,1.53
1,1,16.792,27.91,1.5996,1.53
1,1,17.022,28.293,1.6239,1.51
1,1,17.252,28.677,1.6492,1.51
1,1,17.482,28.984,1.6763,1.52
1,1,17.482,29.29,1.6999,1.52
1,1,17.635,29.674,1.7241,1.51
1,1,17.789,30.44,1.75,1.46
1,1,17.789,30.747,1.7742,1.43
