participant,repetition,x_mm,y_mm,time,force_N
1,1,25.763,20.396,0,0.4
1,1,25.763,20.396,0.0243,0.61
1,1,25.763,20.396,0.0529,0.82
1,1,25.763,20.396,0.0743,0.82
1,1,25.763,20.396,0.099,1.11
1,1,25.763,20.396,0.1293,1.21
1,1,25.763,20.396,0.1499,1.24
1,1,25.686,20.549,0.1752,1.24
1,1,25.61,20.856,0.1992,1.27
1,1,25.38,21.469,0.2274,1.28
1,1,25.226,21.853,0.2495,1.28
1,1,24.843,22.313,0.2749,1.29
1,1,24.383,23.003,0.299,1.31
1,1,24.076,23.54,0.3261,1.31
1,1,23.923,23.77,0.3494,1.33
1,1,23.693,24,0.3745,1.35
1,1,23.463,24.306,0.4027,1.35
1,1,23.309,24.613,0.4247,1.34
1,1,23.079,24.92,0.4492,1.35
1,1,22.926,25.15,0.4743,1.35
1,1,22.696,25.533,0.4993,1.34
1,1,22.466,25.763,0.524,1.34
1,1,22.313,25.916,0.5494,1.36
1,1,22.006,26.146,0.5814,1.35
1,1,21.776,26.223,0.5997,1.32
1,1,21.469,26.3,0.624,1.3
1,1,20.856,26.377,0.6495,1.3
1,1,20.166,26.377,0.6743,1.3
1,1,19.782,26.377,0.7002,1.3
1,1,19.399,26.377,0.7241,1.29
1,1,19.092,26.377,0.7552,1.28
1,1,18.939,26.377,0.7744,1.26
1,1,18.556,26.3,0.8035,1.25
1,1,18.096,26.07,0.8248,1.25
1,1,17.789,25.993,0.8496,1.25
1,1,17.329,25.686,0.8751,1.25
1,1,17.022,25.533,0.8995,1.26
1,1,16.485,25.073,0.9245,1.26
1,1,15.872,24.613,0.9491,1.26
1,1,15.412,24.153,0.9762,1.26
1,1,15.259,24,0.9997,1.25
1,1,15.028,23.77,1.0246,1.25
1,1,14.875,23.616,1.0492,1.24
1,1,14.645,23.386,1.0742,1.24
1,1,14.492,23.233,1.1002,1.24
1,1,14.338,23.079,1.1258,1.24
1,1,14.338,23.079,1.1491,1.24
1,1,14.262,23.003,1.1752,1.24
1,1,14.108,22.849,1.1991,1.25
1,1,14.032,22.773,1.2265,1.26
1,1,13.878,22.619,1.2493,1.26
1,1,13.648,22.313,1.2777,1.26
1,1,13.495,22.083,1.3,1.27
1,1,13.342,21.546,1.3243,1.28
1,1,13.188,21.086,1.3496,1.28
1,1,13.035,20.319,1.3745,1.28
1,1,12.805,19.782,1.3993,1.3
1,1,12.728,19.476,1.4243,1.31
1,1,12.728,18.862,1.4503,1.32
1,1,12.728,18.326,1.4745,1.34
1,1,12.728,17.865,1.4996,1.36
1,1,12.805,17.022,1.5245,1.36
1,1,12.958,16.485,1.5522,1.35
1,1,13.112,16.179,1.5742,1.35
1,1,13.188,15.795,1.5989,1.36
1,1,13.342,15.335,1.6251,1.37
1,1,13.495,15.028,1.6503,1.35
1,1,13.725,14.415,1.6748,1.34
1,1,13.878,13.955,1.6993,1.35
1,1,14.108,13.265,1.7257,1.37
1,1,14.415,12.498,1.7495,1.38
1,1,14.722,12.038,1.7757,1.39
1,1,15.259,11.655,1.7994,1.38
1,1,15.872,11.195,1.824,1.36
1,1,16.639,10.811,1.8581,1.37
1,1,17.022,10.658,1.8761,1.37
1,1,17.559,10.428,1.9042,1.36
1,1,17.942,10.275,1.924,1.35
1,1,18.709,10.045,1.9496,1.34
1,1,19.706,9.891,1.9744,1.33
1,1,20.396,9.891,2.0007,1.33
1,1,21.163,9.891,2.0246,1.34
1,1,21.699,10.045,2.0499,1.31
1,1,22.083,10.275,2.0789,1.29
1,1,22.696,10.505,2.0992,1.33
1,1,23.77,11.118,2.1244,1.34
1,1,24.306,11.655,2.1498,1.31
1,1,24.843,12.115,2.1745,1.3
1,1,25.073,12.498,2.1999,1.34
1,1,25.226,12.805,2.2244,1.36
1,1,25.456,13.112,2.2498,1.38
1,1,25.686,13.342,2.2747,1.41
1,1,25.686,13.495,2.2992,1.46
1,1,25.686,13.572,2.3246,1.52
1,1,25.686,13.572,2.3501,1.56
1,1,25.686,13.572,2.3744,1.61
1,1,25.686,13.572,2.3993,1.63
1,1,25.686,13.572,2.4296,1.67
1,1,25.686,13.572,2.4496,1.68
1,1,25.686,13.572,2.4743,1.68
1,1,25.686,13.572,2.4991,1.57
1,1,25.84,13.495,2.5252,1.17
1,1,25.84,13.495,2.5494,0.49
1,2,24.996,21.853,0,0.31
1,2,24.996,21.853,0.025,0.58
1,2,24.996,21.853,0.0521,0.82
1,2,24.996,21.853,0.0746,0.93
1,2,24.996,21.853,0.0999,1.01
1,2,24.996,21.853,0.1253,1.2
1,2,24.996,21.853,0.15,1.21
1,2,24.996,21.853,0.1748,1.21
1,2,24.996,21.853,0.1998,1.19
1,2,24.996,21.853,0.2253,1.17
1,2,24.996,21.853,0.2502,1.12
1,2,24.996,21.853,0.2748,1.1
1,2,24.996,21.853,0.3001,1.09
1,2,24.996,21.853,0.3254,1.08
1,2,24.996,21.853,0.3523,1.07
1,2,24.996,21.853,0.375,1.09
1,2,24.996,21.853,0.3998,1.08
1,2,24.996,21.853,0.4254,1.08
1,2,24.996,21.853,0.45,1.07
1,2,24.996,21.853,0.4754,1.06
1,2,24.996,21.853,0.4997,1.04
1,2,24.996,21.853,0.5249,1.03
1,2,24.996,21.853,0.5508,1.02
1,2,24.996,21.853,0.5753,1.02
1,2,24.996,21.853,0.5997,1.01
1,2,24.996,21.853,0.6254,1.01
1,2,24.996,21.853,0.6512,1.02
1,2,24.996,21.853,0.675,1.06
1,2,24.996,21.853,0.7,1.11
1,2,24.996,21.853,0.7247,1.2
1,2,24.996,21.853,0.7512,1.38
1,2,24.996,21.853,0.7749,1.39
1,2,24.996,21.929,0.801,1.37
1,2,24.843,22.083,0.825,1.34
1,2,24.613,22.389,0.8502,1.32
1,2,23.923,22.926,0.8768,1.29
1,2,23.386,23.386,0.9002,1.27
1,2,22.696,24.153,0.9252,1.26
1,2,22.006,24.996,0.9502,1.25
1,2,21.546,25.456,0.9754,1.24
1,2,21.009,25.916,1.0003,1.25
1,2,20.396,26.146,1.025,1.26
1,2,19.859,26.3,1.0501,1.25
1,2,19.016,26.453,1.0782,1.22
1,2,18.479,26.453,1.1006,1.22
1,2,18.249,26.453,1.1251,1.23
1,2,17.712,26.3,1.1497,1.22
1,2,17.099,25.993,1.1765,1.2
1,2,16.639,25.686,1.1997,1.2
1,2,16.025,24.996,1.2254,1.21
1,2,15.105,24,1.2497,1.21
1,2,14.645,23.693,1.2749,1.2
1,2,14.185,23.233,1.2998,1.2
1,2,13.802,22.619,1.3284,1.23
1,2,13.495,21.853,1.3501,1.27
1,2,13.035,20.549,1.3754,1.27
1,2,12.805,19.936,1.4008,1.27
1,2,12.652,19.552,1.4249,1.29
1,2,12.422,18.709,1.4501,1.37
1,2,12.345,17.405,1.4748,1.38
1,2,12.345,16.179,1.5052,1.38
1,2,12.422,15.719,1.525,1.39
1,2,12.652,14.952,1.5498,1.41
1,2,12.805,14.338,1.5746,1.41
1,2,13.035,13.495,1.5997,1.4
1,2,13.495,12.498,1.6273,1.41
1,2,14.032,11.885,1.6501,1.4
1,2,14.952,11.271,1.6772,1.39
1,2,15.642,10.965,1.7005,1.37
1,2,16.332,10.735,1.7279,1.31
1,2,17.022,10.505,1.7501,1.31
1,2,17.405,10.505,1.7748,1.32
1,2,18.249,10.428,1.7997,1.34
1,2,19.092,10.428,1.8247,1.35
1,2,19.859,10.428,1.8543,1.35
1,2,20.319,10.505,1.875,1.37
1,2,20.779,10.658,1.8997,1.38
1,2,21.086,10.811,1.9252,1.37
1,2,21.929,11.041,1.9511,1.36
1,2,22.849,11.425,1.976,1.36
1,2,23.309,11.731,2.0001,1.36
1,2,24.076,12.191,2.0311,1.36
1,2,24.23,12.345,2.0502,1.36
1,2,24.46,12.575,2.0799,1.43
1,2,24.613,12.728,2.1001,1.45
1,2,24.69,12.958,2.1247,1.47
1,2,24.69,13.112,2.1502,1.51
1,2,24.69,13.112,2.1756,1.54
1,2,24.69,13.112,2.2002,1.57
1,2,24.69,13.112,2.2247,1.66
1,2,24.69,13.112,2.2524,1.77
1,2,24.69,13.112,2.2756,1.81
1,2,24.69,13.112,2.302,1.77
1,2,24.843,13.035,2.3252,1.53
1,2,24.843,13.035,2.3497,0.82
1,2,24.843,13.035,2.3752,0.22
1,3,25.15,22.849,0,0.16
1,3,25.15,22.849,0.0255,0.23
1,3,25.15,22.849,0.0505,0.35
1,3,25.15,22.849,0.0764,0.59
1,3,25.15,22.849,0.1002,0.82
1,3,25.15,22.849,0.1255,1.07
1,3,25.15,22.849,0.1517,1.37
1,3,25.15,22.849,0.1754,1.48
1,3,25.15,22.849,0.2037,1.56
1,3,25.15,22.849,0.2251,1.59
1,3,25.15,22.849,0.2501,1.6
1,3,25.15,22.849,0.2754,1.61
1,3,25.15,22.849,0.3002,1.61
1,3,25.15,22.849,0.3289,1.59
1,3,25.15,22.849,0.3501,1.53
1,3,25.15,22.849,0.3796,1.5
1,3,25.15,22.849,0.4003,1.49
1,3,25.15,22.849,0.4251,1.49
1,3,25.15,22.849,0.4505,1.49
1,3,25.15,22.849,0.4751,1.46
1,3,25.15,22.849,0.5015,1.45
1,3,25.15,22.849,0.5252,1.44
1,3,25.15,22.849,0.5504,1.45
1,3,25.15,22.849,0.5756,1.47
1,3,25.15,22.849,0.6016,1.53
1,3,25.15,22.849,0.6252,1.55
1,3,25.15,22.849,0.6501,1.56
1,3,25.15,22.849,0.6756,1.58
1,3,25.15,22.849,0.7002,1.66
1,3,25.15,22.849,0.7316,1.69
1,3,25.15,22.849,0.7501,1.69
1,3,25.15,22.849,0.7761,1.69
1,3,25.15,22.849,0.8,1.67
1,3,24.996,22.926,0.8255,1.59
1,3,24.766,23.079,0.8504,1.53
1,3,24.23,23.54,0.8751,1.52
1,3,23.54,24.076,0.9009,1.52
1,3,23.003,24.46,0.9262,1.47
1,3,22.083,24.996,0.9512,1.45
1,3,21.546,25.303,0.975,1.45
1,3,21.316,25.456,1.0001,1.45
1,3,20.856,25.686,1.0253,1.42
1,3,20.166,25.84,1.0514,1.37
1,3,19.322,25.916,1.0792,1.35
