participant,repetition,x_mm,y_mm,time,force_N
1,1,27.987,26.3,0,0.3
1,1,27.987,26.3,0.0239,0.52
1,1,27.987,26.3,0.0522,0.82
1,1,27.987,26.3,0.0742,1
1,1,27.987,26.3,0.1031,1.18
1,1,27.987,26.3,0.1243,1.31
1,1,27.987,26.3,0.1493,1.34
1,1,27.987,26.3,0.175,1.34
1,1,27.987,26.3,0.2005,1.34
1,1,27.987,26.3,0.225,1.33
1,1,27.987,26.3,0.2493,1.32
1,1,27.987,26.3,0.2739,1.29
1,1,27.987,26.3,0.299,1.26
1,1,27.987,26.3,0.3243,1.24
1,1,27.987,26.3,0.3495,1.22
1,1,27.987,26.3,0.3739,1.2
1,1,27.987,26.3,0.3992,1.14
1,1,27.987,26.3,0.4246,1.14
1,1,27.987,26.3,0.4549,1.13
1,1,27.987,26.3,0.4742,1.09
1,1,27.987,26.3,0.4995,1.06
1,1,27.987,26.3,0.5244,1.07
1,1,27.987,26.3,0.549,1.08
1,1,27.987,26.3,0.5747,1.07
1,1,27.987,26.3,0.5989,1.08
1,1,27.987,26.3,0.6309,1.07
1,1,27.987,26.3,0.6491,1.07
1,1,27.987,26.3,0.6754,1.04
1,1,27.987,26.3,0.6989,1.05
1,1,27.987,26.3,0.7239,1.07
1,1,27.987,26.3,0.7529,1.06
1,1,27.987,26.3,0.7743,1.05
1,1,27.987,26.3,0.8012,1.07
1,1,27.987,26.3,0.8245,1.1
1,1,27.987,26.3,0.8499,1.12
1,1,27.987,26.3,0.8741,1.15
1,1,27.987,26.3,0.8991,1.22
1,1,27.987,26.3,0.9239,1.26
1,1,27.987,26.3,0.9493,1.33
1,1,27.987,26.3,0.9748,1.35
1,1,27.987,26.377,0.9992,1.35
1,1,27.757,26.76,1.0252,1.32
1,1,27.297,27.603,1.0489,1.31
1,1,26.837,28.217,1.0741,1.32
1,1,26.607,28.447,1.0998,1.33
1,1,26.3,28.907,1.1239,1.34
1,1,26.07,29.367,1.1498,1.34
1,1,25.84,29.674,1.1744,1.36
1,1,25.38,30.134,1.2017,1.36
1,1,24.843,30.594,1.2243,1.34
1,1,24.46,30.977,1.2489,1.33
1,1,23.923,31.437,1.2741,1.34
1,1,23.386,31.897,1.2995,1.36
1,1,23.079,32.127,1.3246,1.36
1,1,22.619,32.357,1.3489,1.34
1,1,22.006,32.511,1.3781,1.37
1,1,21.623,32.664,1.3993,1.4
1,1,20.779,32.894,1.4243,1.4
1,1,19.936,32.971,1.4491,1.38
1,1,19.169,33.047,1.4744,1.37
1,1,18.479,33.047,1.4991,1.38
1,1,17.865,33.047,1.5246,1.38
1,1,16.945,33.047,1.5525,1.36
1,1,15.949,33.047,1.5739,1.36
1,1,15.489,33.047,1.5991,1.38
1,1,15.105,33.047,1.6242,1.39
1,1,14.645,32.971,1.6492,1.38
1,1,14.262,32.817,1.6746,1.37
1,1,13.648,32.511,1.6999,1.38
1,1,13.112,32.051,1.7249,1.39
1,1,12.575,31.667,1.7495,1.39
1,1,11.578,30.594,1.774,1.38
1,1,11.118,29.904,1.7991,1.39
1,1,10.811,29.52,1.8247,1.39
1,1,10.351,28.447,1.8497,1.38
1,1,9.968,26.99,1.8766,1.37
1,1,9.815,26.377,1.9,1.38
1,1,9.738,25.686,1.924,1.4
1,1,9.661,24.613,1.9534,1.4
1,1,9.584,23.693,1.9741,1.41
1,1,9.584,22.466,1.999,1.41
1,1,9.661,21.623,2.0247,1.41
1,1,9.738,20.779,2.0494,1.41
1,1,9.815,19.399,2.074,1.42
1,1,9.968,18.709,2.0989,1.44
1,1,10.198,17.942,2.1257,1.46
1,1,10.428,17.175,2.1503,1.46
1,1,10.888,16.255,2.1769,1.46
1,1,11.195,15.642,2.1991,1.46
1,1,11.961,14.568,2.2239,1.47
1,1,12.728,13.878,2.2506,1.47
