participant,repetition,x_mm,y_mm,time,force_N
1,1,24.766,20.779,0,0.26
1,1,24.766,20.779,0.0318,0.51
1,1,24.766,20.779,0.0502,0.59
1,1,24.766,20.779,0.0757,0.77
1,1,24.766,20.779,0.1003,0.98
1,1,24.766,20.779,0.125,1.14
1,1,24.766,20.779,0.1497,1.19
1,1,24.766,20.779,0.1744,1.17
1,1,24.766,20.779,0.1999,1.12
1,1,24.766,20.779,0.2307,1.12
1,1,24.766,20.779,0.2499,1.12
1,1,24.766,20.779,0.275,1.12
1,1,24.766,20.779,0.2994,1.12
1,1,24.766,20.779,0.3245,1.12
1,1,24.766,20.779,0.3497,1.12
1,1,24.766,20.779,0.3791,1.1
1,1,24.766,20.779,0.3993,1.09
1,1,24.766,20.779,0.4252,1.09
1,1,24.766,20.779,0.4506,1.1
1,1,24.766,20.779,0.4757,1.11
1,1,24.766,20.779,0.4997,1.12
1,1,24.766,20.779,0.5249,1.14
1,1,24.766,20.779,0.5508,1.17
1,1,24.766,20.779,0.5751,1.19
1,1,24.766,20.779,0.5996,1.19
1,1,24.766,20.779,0.6254,1.19
1,1,24.766,20.779,0.6495,1.2
1,1,24.766,20.779,0.6785,1.2
1,1,24.766,20.779,0.6999,1.19
1,1,24.766,20.779,0.7267,1.16
1,1,24.766,20.779,0.7493,1.15
1,1,24.766,20.779,0.7797,1.17
1,1,24.766,20.779,0.7997,1.18
1,1,24.766,20.779,0.8248,1.2
1,1,24.766,20.779,0.8494,1.24
1,1,24.766,20.779,0.8767,1.24
1,1,24.766,20.779,0.9012,1.23
1,1,24.766,20.779,0.9251,1.25
1,1,24.766,20.779,0.9493,1.26
1,1,24.766,20.779,0.9751,1.27
1,1,24.766,20.779,0.9996,1.28
1,1,24.766,20.779,1.0264,1.31
1,1,24.766,20.779,1.0496,1.38
1,1,24.766,20.779,1.0756,1.46
1,1,24.766,20.779,1.1011,1.5
1,1,24.69,20.779,1.1299,1.47
1,1,24.306,21.086,1.1495,1.46
1,1,24,21.393,1.177,1.45
1,1,23.463,21.853,1.1997,1.47
1,1,23.003,22.006,1.2248,1.48
1,1,22.696,22.236,1.2495,1.48
1,1,22.236,22.543,1.2745,1.49
1,1,21.776,22.926,1.3041,1.5
1,1,21.393,23.233,1.3247,1.51
1,1,20.779,23.54,1.3496,1.51
1,1,20.242,23.846,1.3752,1.5
1,1,19.859,24,1.3995,1.49
1,1,19.476,24.306,1.4248,1.5
1,1,19.092,24.536,1.4511,1.5
1,1,18.939,24.69,1.4746,1.5
1,1,18.556,24.843,1.4999,1.5
1,1,18.019,24.92,1.5293,1.5
1,1,17.635,24.92,1.5498,1.52
1,1,17.099,24.92,1.5745,1.53
1,1,16.792,24.92,1.5994,1.54
1,1,16.179,24.69,1.6245,1.54
1,1,15.489,24.23,1.6502,1.53
1,1,14.952,24,1.6776,1.53
1,1,14.645,23.77,1.6994,1.56
1,1,14.108,23.309,1.725,1.57
1,1,13.648,22.773,1.7512,1.55
1,1,13.112,22.083,1.7754,1.54
1,1,12.575,21.239,1.7995,1.55
1,1,12.038,20.089,1.8277,1.57
1,1,11.885,19.552,1.8497,1.57
1,1,11.808,18.249,1.8772,1.59
1,1,11.808,17.022,1.8996,1.61
1,1,12.038,15.642,1.9244,1.63
1,1,12.575,13.878,1.951,1.65
1,1,12.958,12.805,1.9746,1.64
1,1,13.342,11.808,2.0003,1.63
1,1,13.495,11.425,2.0245,1.62
1,1,13.878,10.965,2.0494,1.62
1,1,14.492,10.351,2.0745,1.63
1,1,15.105,9.891,2.0998,1.63
1,1,15.872,9.584,2.1249,1.62
1,1,16.639,9.354,2.1494,1.61
1,1,17.329,9.354,2.1782,1.58
1,1,17.712,9.584,2.1997,1.53
1,1,18.786,10.121,2.2265,1.5
1,1,19.552,10.735,2.2494,1.49
1,1,20.166,11.271,2.2752,1.48
1,1,20.549,11.655,2.3,1.47
1,1,20.856,11.961,2.3249,1.47
1,1,21.316,12.728,2.35,1.53
1,1,21.699,13.342,2.3747,1.56
1,1,22.006,13.802,2.4095,1.45
1,1,22.159,13.878,2.4253,1.28
1,1,22.159,13.878,2.4496,0.65
1,1,22.159,13.878,2.4744,0.11
1,1,25.456,32.357,2.8749,0.13
1,1,25.456,32.511,2.9022,0.29
1,1,25.456,32.511,2.9249,0.49
1,1,25.456,32.511,2.9496,0.77
1,1,25.456,32.511,2.9749,0.99
1,1,25.456,32.511,2.9995,1.15
1,1,25.456,32.434,3.0249,1.27
1,1,25.456,32.204,3.0505,1.36
1,1,25.456,31.514,3.0746,1.4
1,1,25.303,30.287,3.104,1.44
1,1,25.303,29.29,3.1244,1.45
1,1,25.303,28.063,3.1508,1.45
1,1,25.303,26.913,3.1747,1.45
1,1,25.303,26.07,3.1996,1.44
1,1,25.533,24.766,3.2248,1.44
1,1,25.61,23.923,3.2496,1.44
1,1,25.61,23.309,3.2747,1.44
1,1,25.456,22.083,3.3001,1.44
1,1,25.456,21.086,3.3247,1.44
1,1,25.456,20.472,3.3497,1.45
1,1,25.303,19.859,3.376,1.45
1,1,25.15,19.092,3.4008,1.46
1,1,24.996,18.326,3.4245,1.47
1,1,24.92,17.482,3.4526,1.46
1,1,24.92,16.945,3.475,1.46
1,1,24.92,15.795,3.5057,1.46
1,1,24.92,15.028,3.5246,1.46
1,1,24.92,14.262,3.5494,1.45
1,1,24.996,13.265,3.5751,1.44
