participant,repetition,x_mm,y_mm,time,force_N
1,1,12.038,31.821,0,0.21
1,1,12.038,31.821,0.025,0.4
1,1,11.961,31.821,0.0532,0.65
1,1,11.808,31.821,0.076,0.8
1,1,11.808,31.821,0.1054,1.08
1,1,11.808,31.821,0.1249,1.2
1,1,11.808,31.821,0.1509,1.26
1,1,11.808,31.821,0.1754,1.31
1,1,11.808,31.821,0.2004,1.32
1,1,11.808,31.821,0.2251,1.33
1,1,11.808,31.821,0.2505,1.34
1,1,11.808,31.821,0.2812,1.36
1,1,11.808,31.821,0.3012,1.35
1,1,11.808,31.821,0.325,1.31
1,1,11.808,31.821,0.3498,1.25
1,1,11.808,31.821,0.3752,1.2
1,1,11.808,31.821,0.4013,1.14
1,1,11.808,31.821,0.4251,1.09
1,1,11.808,31.821,0.4502,1.05
1,1,11.808,31.821,0.4749,1.04
1,1,11.808,31.821,0.5018,1.04
1,1,11.808,31.821,0.5252,1.04
1,1,11.808,31.821,0.5499,1
1,1,11.808,31.821,0.5771,0.99
1,1,11.808,31.821,0.6011,0.99
1,1,11.808,31.821,0.6252,1
1,1,11.808,31.821,0.65,0.99
1,1,11.808,31.821,0.6749,0.98
1,1,11.808,31.821,0.6999,0.99
1,1,11.808,31.821,0.725,0.98
1,1,11.808,31.821,0.7514,0.97
1,1,11.808,31.821,0.7748,0.96
1,1,11.808,31.821,0.8004,0.96
1,1,11.808,31.821,0.8253,0.97
1,1,11.808,31.821,0.8522,0.98
1,1,11.808,31.821,0.8748,0.97
1,1,11.808,31.821,0.9038,0.96
1,1,11.808,31.821,0.9254,0.96
1,1,11.808,31.821,0.9509,0.97
1,1,11.808,31.821,0.9758,0.95
1,1,11.808,31.821,1.0001,0.95
1,1,11.808,31.821,1.026,0.96
1,1,11.808,31.821,1.0503,0.97
1,1,11.808,31.821,1.0761,0.98
1,1,11.808,31.821,1.1005,1.02
1,1,11.808,31.821,1.1267,1.08
1,1,11.808,31.821,1.1505,1.18
1,1,11.808,31.821,1.1754,1.31
1,1,11.808,31.821,1.2014,1.42
1,1,11.808,31.821,1.2254,1.48
1,1,11.808,31.821,1.25,1.52
1,1,11.731,31.514,1.2753,1.55
1,1,11.731,30.977,1.301,1.54
1,1,11.731,29.904,1.3261,1.51
1,1,11.731,28.677,1.3504,1.48
1,1,11.885,27.91,1.3814,1.46
1,1,12.038,27.373,1.3999,1.46
1,1,12.191,26.3,1.4248,1.45
1,1,12.345,25.61,1.4511,1.44
1,1,12.575,24.536,1.4749,1.43
1,1,12.575,23.923,1.5002,1.4
1,1,12.575,23.463,1.5249,1.39
1,1,12.575,22.619,1.5544,1.39
1,1,12.498,21.699,1.5768,1.4
1,1,12.498,20.779,1.6006,1.39
1,1,12.498,19.782,1.6251,1.39
1,1,12.498,19.246,1.6503,1.39
1,1,12.498,18.556,1.6754,1.37
1,1,12.498,17.865,1.7005,1.38
1,1,12.575,16.945,1.7293,1.4
1,1,12.652,16.332,1.7498,1.4
1,1,12.652,15.642,1.7755,1.37
1,1,12.652,14.952,1.8013,1.37
1,1,12.652,14.415,1.8252,1.38
1,1,12.728,13.342,1.85,1.4
1,1,12.882,12.575,1.8753,1.39
1,1,12.882,11.731,1.9016,1.38
1,1,12.882,11.348,1.9256,1.37
1,1,12.882,11.041,1.9507,1.38
1,1,12.882,10.735,1.9749,1.41
1,1,12.882,10.505,2.0005,1.41
1,1,12.882,10.428,2.0263,1.37
1,1,12.882,10.351,2.0504,1.37
1,1,12.882,9.968,2.076,1.37
1,1,13.035,9.661,2.1002,1.22
1,1,13.342,9.508,2.1301,0.8
1,1,13.342,9.508,2.1502,0.22
1,1,14.032,20.166,2.5249,0.2
1,1,14.032,20.396,2.5514,0.48
1,1,14.032,20.626,2.5753,0.63
1,1,14.032,21.086,2.5999,0.8
1,1,14.338,21.929,2.6252,0.8
1,1,15.335,23.079,2.6527,0.9
1,1,16.025,24,2.6751,0.93
1,1,17.175,25.38,2.7001,0.98
1,1,17.635,25.993,2.7255,1.02
1,1,18.556,26.683,2.7513,1.05
1,1,19.322,27.067,2.7766,1.07
1,1,19.629,27.22,2.8006,1.12
1,1,20.242,27.45,2.8249,1.18
1,1,20.856,27.45,2.8505,1.25
1,1,21.393,27.45,2.8784,1.29
1,1,21.699,27.45,2.9008,1.3
1,1,22.159,27.297,2.9259,1.32
1,1,22.619,27.143,2.951,1.35
1,1,23.233,26.913,2.9751,1.36
1,1,23.693,26.683,3.0012,1.37
1,1,24.076,26.53,3.0249,1.39
1,1,24.536,26.146,3.0498,1.41
1,1,24.92,25.763,3.0753,1.42
1,1,25.226,25.38,3.1008,1.44
1,1,25.533,24.69,3.1256,1.47
1,1,25.763,24,3.1498,1.47
1,1,25.916,23.616,3.1764,1.46
1,1,26.07,22.926,3.2008,1.45
1,1,26.146,22.006,3.2264,1.45
1,1,26.146,21.316,3.2511,1.45
1,1,26.146,20.242,3.2757,1.46
1,1,26.146,19.552,3.3023,1.46
1,1,26.146,19.016,3.3265,1.45
1,1,26.146,17.942,3.3509,1.44
1,1,26.146,16.792,3.3751,1.45
1,1,26.146,16.255,3.4031,1.46
1,1,26.146,15.642,3.4251,1.45
1,1,26.146,15.182,3.4508,1.45
1,1,26.146,14.875,3.4752,1.46
1,1,26.146,14.262,3.5004,1.48
1,1,26.223,13.802,3.5252,1.5
1,1,26.223,13.035,3.5515,1.52
1,1,26.3,12.191,3.5776,1.52
1,1,26.3,11.885,3.5998,1.55
1,1,26.3,11.501,3.6251,1.58
1,1,26.3,11.195,3.651,1.62
1,1,26.3,10.965,3.6774,1.65
1,1,26.3,10.811,3.7001,1.66
1,1,26.3,10.811,3.7253,1.65
1,1,26.3,10.811,3.7586,1.64
1,1,26.3,10.811,3.7753,1.55
1,1,26.3,10.811,3.8001,1.24
1,1,26.3,10.811,3.8249,0.62
1,1,26.3,10.811,3.8499,0.11
1,2,13.035,31.514,0,0.35
1,2,13.035,31.514,0.0232,0.69
1,2,13.035,31.514,0.0476,0.81
1,2,13.035,31.514,0.0733,0.81
1,2,13.035,31.514,0.0976,0.95
1,2,13.035,31.514,0.1234,1.07
1,2,13.035,31.514,0.1494,1.1
1,2,13.035,31.514,0.1787,1.09
1,2,13.035,31.514,0.1974,1.07
1,2,13.035,31.514,0.2228,1.02
1,2,13.035,31.514,0.2475,0.99
1,2,13.035,31.514,0.2726,0.96
1,2,13.035,31.514,0.2974,0.93
1,2,13.035,31.514,0.3228,0.91
1,2,13.035,31.514,0.3488,0.89
1,2,13.035,31.514,0.3726,0.81
1,2,13.035,31.514,0.3976,0.81
1,2,13.035,31.514,0.4233,0.81
1,2,13.035,31.514,0.4482,0.81
1,2,13.035,31.514,0.473,0.81
1,2,13.035,31.514,0.4976,0.81
1,2,13.035,31.514,0.5225,0.81
1,2,13.035,31.514,0.5482,0.81
1,2,13.035,31.514,0.5739,0.81
1,2,13.035,31.514,0.5977,0.81
1,2,13.035,31.514,0.6225,0.81
1,2,13.035,31.514,0.6481,0.81
1,2,13.035,31.514,0.6728,0.81
1,2,13.035,31.514,0.698,0.81
1,2,13.035,31.514,0.7227,0.95
1,2,13.035,31.514,0.7479,1.05
1,2,13.035,31.514,0.7728,1.17
1,2,13.035,31.437,0.7984,1.28
1,2,13.035,30.517,0.8225,1.39
1,2,13.035,28.83,0.8478,1.47
1,2,13.035,27.987,0.8728,1.49
1,2,13.188,26.146,0.8976,1.49
1,2,13.188,24.536,0.9248,1.49
1,2,13.188,23.923,0.9476,1.49
1,2,13.188,23.079,0.9725,1.48
1,2,13.188,22.159,0.998,1.48
1,2,13.188,21.469,1.023,1.49
1,2,13.188,20.319,1.0473,1.49
1,2,13.188,19.552,1.075,1.49
1,2,13.188,18.939,1.0974,1.51
1,2,13.265,17.329,1.1226,1.53
1,2,13.265,16.332,1.1474,1.53
1,2,13.265,15.182,1.1732,1.51
1,2,13.265,14.032,1.2004,1.46
1,2,13.265,13.342,1.2234,1.45
1,2,13.265,12.882,1.2482,1.47
1,2,13.265,12.268,1.2724,1.48
1,2,13.265,11.961,1.2979,1.49
1,2,13.265,11.578,1.3228,1.51
1,2,13.265,11.195,1.3478,1.53
1,2,13.265,11.041,1.3725,1.53
1,2,13.265,10.811,1.3981,1.51
1,2,13.265,10.658,1.4226,1.46
1,2,13.265,10.581,1.4526,1.29
1,2,13.265,10.581,1.4725,1.13
1,2,13.265,10.581,1.4976,0.59
1,2,13.265,10.581,1.5227,0.12
1,2,13.878,22.543,1.7482,0.1
1,2,13.878,22.543,1.7728,0.3
1,2,13.878,22.543,1.7977,0.48
1,2,13.955,22.773,1.8228,0.59
1,2,14.492,23.846,1.8496,0.72
1,2,15.489,24.92,1.8728,0.81
1,2,16.332,25.84,1.8974,0.81
1,2,16.639,26.07,1.9229,0.81
1,2,17.099,26.377,1.9475,0.81
1,2,17.712,26.837,1.9732,0.93
1,2,18.172,26.99,1.9993,0.99
1,2,18.862,27.22,2.0227,1.07
1,2,19.706,27.297,2.0496,1.15
1,2,20.166,27.297,2.0728,1.2
1,2,20.779,27.297,2.0984,1.21
1,2,21.776,27.067,2.1224,1.22
1,2,22.389,26.913,2.1485,1.24
1,2,23.156,26.607,2.1727,1.27
1,2,23.77,26.223,2.2011,1.31
1,2,24.23,25.84,2.2228,1.33
1,2,24.69,24.996,2.2475,1.35
1,2,24.996,24.153,2.2734,1.37
1,2,25.226,23.693,2.2988,1.38
1,2,25.533,22.619,2.3238,1.38
1,2,25.763,21.316,2.3488,1.37
1,2,25.993,20.166,2.3788,1.37
1,2,26.146,19.782,2.3984,1.39
1,2,26.3,19.246,2.4245,1.4
1,2,26.607,18.249,2.4476,1.4
1,2,26.837,17.329,2.473,1.4
1,2,26.99,16.332,2.4994,1.41
1,2,27.067,15.795,2.5228,1.47
1,2,27.373,15.028,2.549,1.51
1,2,27.603,14.338,2.5781,1.49
1,2,27.757,13.878,2.6007,1.49
1,2,27.987,13.342,2.6226,1.51
1,2,28.063,13.035,2.6493,1.53
1,2,28.063,12.575,2.6734,1.54
1,2,28.063,12.345,2.6981,1.54
1,2,28.217,11.885,2.7254,1.57
1,2,28.217,11.731,2.7476,1.61
1,2,28.217,11.578,2.7727,1.62
1,2,28.217,11.425,2.7975,1.6
1,2,28.217,11.348,2.8226,1.58
1,2,28.217,11.348,2.8481,1.58
1,2,28.217,11.271,2.8728,1.59
1,2,28.217,11.271,2.8982,1.62
1,2,28.217,11.271,2.9239,1.63
1,2,28.217,11.271,2.9497,1.63
1,2,28.217,11.271,2.9746,1.65
1,2,28.217,11.271,2.9975,1.71
1,2,28.217,11.041,3.0258,1.74
1,2,28.217,11.041,3.0476,1.72
1,2,28.217,11.041,3.0742,1.71
1,2,28.217,11.041,3.099,1.73
1,2,28.217,11.041,3.1226,1.74
1,2,28.217,11.041,3.1484,1.71
1,2,28.217,11.041,3.1728,1.63
1,2,28.217,11.041,3.1983,1.38
1,2,28.217,11.041,3.2227,0.81
1,3,12.191,31.437,0,0.39
1,3,12.191,31.437,0.0272,0.67
1,3,12.191,31.437,0.0508,0.8
1,3,12.191,31.437,0.0749,0.89
1,3,12.191,31.437,0.1003,0.92
1,3,12.191,31.437,0.1248,0.95
1,3,12.191,31.437,0.1541,0.97
1,3,12.191,31.437,0.1749,1.02
1,3,12.191,31.437,0.1997,1.02
1,3,12.191,31.437,0.2254,1.02
1,3,12.191,31.437,0.2504,1.04
1,3,12.191,31.437,0.2752,1.04
1,3,12.191,31.437,0.3008,1.03
1,3,12.191,31.437,0.3256,1.02
1,3,12.191,31.437,0.3506,1.02
1,3,12.191,31.437,0.3749,1.02
1,3,12.191,31.437,0.3999,1.04
1,3,12.191,31.437,0.4247,1.05
1,3,12.191,31.437,0.452,1.04
1,3,12.191,31.437,0.475,1.03
1,3,12.191,31.437,0.5013,1.01
1,3,12.191,31.437,0.5246,1.02
1,3,12.191,31.437,0.5496,1.06
1,3,12.191,31.437,0.5759,1.07
1,3,12.191,31.437,0.5999,1.04
1,3,12.191,31.437,0.6248,1.04
1,3,12.191,31.437,0.6504,1.06
1,3,12.191,31.437,0.6825,1.11
1,3,12.191,31.437,0.7001,1.11
1,3,12.191,31.437,0.7249,1.18
1,3,12.191,31.437,0.7496,1.26
1,3,12.191,31.437,0.775,1.35
1,3,12.191,31.437,0.8021,1.43
1,3,12.115,31.284,0.8258,1.49
1,3,11.961,30.517,0.8496,1.52
1,3,11.885,29.52,0.8751,1.55
1,3,11.885,28.063,0.9039,1.56
1,3,11.885,27.603,0.9248,1.55
1,3,11.885,26.913,0.9496,1.53
1,3,11.808,25.456,0.9753,1.55
1,3,11.808,24.306,0.9998,1.6
1,3,11.808,23.616,1.0316,1.62
1,3,11.808,23.079,1.0499,1.61
1,3,11.808,21.929,1.0754,1.61
1,3,11.808,20.626,1.1024,1.63
1,3,11.808,19.936,1.1253,1.62
1,3,11.808,19.092,1.1517,1.61
1,3,11.808,18.019,1.1747,1.6
1,3,11.808,16.102,1.2053,1.6
1,3,11.885,15.565,1.2262,1.6
1,3,11.885,14.952,1.2509,1.6
1,3,12.115,13.802,1.2747,1.61
1,3,12.191,12.652,1.3006,1.61
1,3,12.191,12.191,1.3272,1.62
1,3,12.191,11.731,1.3507,1.65
1,3,12.191,11.271,1.3754,1.71
1,3,12.191,10.965,1.3999,1.73
1,3,12.191,10.505,1.4289,1.74
1,3,12.191,10.275,1.4522,1.68
1,3,12.191,10.198,1.4751,1.48
1,3,12.191,10.198,1.4998,1.12
1,3,12.191,10.198,1.525,0.55
1,3,12.191,10.198,1.5518,0.11
1,3,13.878,21.163,1.9542,0.33
1,3,13.802,21.316,1.9754,0.44
1,3,13.725,21.546,1.9999,0.61
1,3,13.572,21.776,2.0248,0.8
1,3,13.495,22.159,2.0514,0.8
1,3,13.572,22.696,2.0749,0.8
1,3,14.032,23.693,2.101,0.8
1,3,14.492,24.383,2.1268,0.88
1,3,15.182,25.456,2.1495,0.9
1,3,15.489,25.84,2.1754,0.96
1,3,15.949,26.223,2.2003,1.01
1,3,16.255,26.453,2.2248,1.05
1,3,16.409,26.607,2.2504,1.08
1,3,17.022,26.76,2.2748,1.13
1,3,17.635,26.76,2.3002,1.19
1,3,18.172,26.76,2.325,1.25
1,3,18.862,26.76,2.3505,1.28
1,3,19.399,26.607,2.3751,1.3
1,3,19.782,26.453,2.4003,1.33
1,3,20.396,26.223,2.4252,1.35
1,3,20.856,26.07,2.4502,1.37
1,3,21.316,25.763,2.477,1.38
1,3,21.776,25.456,2.5001,1.38
1,3,22.389,25.073,2.5315,1.38
1,3,22.696,24.766,2.55,1.39
1,3,23.079,24.46,2.5747,1.45
1,3,23.386,24.076,2.6006,1.49
1,3,23.54,24,2.625,1.49
1,3,23.693,23.77,2.6502,1.5
1,3,23.846,23.616,2.6747,1.53
1,3,24.076,23.156,2.7001,1.55
1,3,24.306,22.313,2.7252,1.56
1,3,24.46,21.546,2.7506,1.55
1,3,24.536,21.009,2.7748,1.54
1,3,24.613,20.319,2.7998,1.54
1,3,24.766,19.936,2.8258,1.59
1,3,24.843,19.552,2.8503,1.63
1,3,24.92,18.862,2.8793,1.62
1,3,24.92,18.249,2.8996,1.61
1,3,24.996,17.022,2.9247,1.61
1,3,24.996,16.102,2.9543,1.63
1,3,24.996,15.719,2.9751,1.63
1,3,24.996,15.105,3.0002,1.61
1,3,25.073,14.338,3.0249,1.61
1,3,25.073,13.648,3.0516,1.64
1,3,25.15,12.422,3.0749,1.65
1,3,25.15,11.731,3.1014,1.63
1,3,25.15,11.578,3.1257,1.59
1,3,25.15,11.348,3.1503,1.59
1,3,25.15,11.118,3.176,1.62
1,3,25.15,10.965,3.2,1.63
1,3,25.226,10.735,3.2246,1.63
1,3,25.226,10.581,3.251,1.64
1,3,25.226,10.505,3.2816,1.66
1,3,25.226,10.505,3.3001,1.68
1,3,25.226,10.505,3.3254,1.74
1,3,25.226,10.428,3.3518,1.78
1,3,25.226,10.428,3.3751,1.74
1,3,25.226,10.428,3.4014,1.62
1,3,25.226,10.428,3.4252,1.41
1,3,25.226,10.428,3.4496,0.94
1,3,25.226,10.428,3.4747,0.41
2,1,13.725,31.897,0,0.2
2,1,13.648,32.127,0.0206,0.33
2,1,13.648,32.127,0.0467,0.45
2,1,13.648,32.127,0.0746,0.53
2,1,13.648,31.974,0.0959,0.63
2,1,13.648,31.59,0.122,0.69
2,1,13.495,29.904,0.1459,0.73
2,1,13.572,28.063,0.1709,0.82
2,1,13.648,26.07,0.1959,0.94
2,1,13.725,24.383,0.221,0.97
2,1,13.725,23.003,0.2475,0.97
2,1,13.725,21.469,0.2711,1.02
2,1,13.725,19.936,0.2963,1.1
2,1,13.725,18.096,0.3222,1.12
2,1,13.725,16.332,0.3524,1.13
2,1,13.725,15.489,0.3735,1.14
2,1,13.725,14.185,0.3959,1.16
2,1,13.725,13.725,0.4224,1.15
2,1,13.725,13.188,0.4473,1.14
2,1,13.725,12.958,0.4726,1.14
2,1,13.725,12.652,0.496,1.16
2,1,13.725,12.268,0.5231,1.15
2,1,13.725,12.115,0.5467,1.09
2,1,13.725,12.115,0.5726,1.01
2,1,13.725,12.115,0.597,1
2,1,13.725,12.115,0.621,0.98
2,1,13.495,12.345,0.6519,0.93
2,1,13.342,12.958,0.671,0.83
2,1,13.342,13.878,0.7027,0.75
2,1,13.342,15.028,0.7236,0.73
2,1,13.342,17.022,0.7459,0.73
2,1,13.495,17.865,0.7709,0.76
2,1,13.955,19.092,0.7993,0.79
2,1,14.338,20.549,0.8218,0.81
2,1,14.492,21.239,0.8466,0.81
2,1,14.875,22.006,0.8722,0.84
2,1,15.489,22.926,0.8956,0.88
2,1,16.025,23.54,0.9253,0.91
2,1,16.715,24,0.9612,0.95
2,1,17.329,24.23,0.9715,0.95
2,1,17.942,24.536,0.997,0.94
2,1,19.169,24.843,1.0207,0.9
2,1,20.166,24.766,1.0472,0.89
2,1,20.703,24.536,1.0718,0.94
2,1,21.393,24.076,1.1002,0.98
2,1,21.853,23.693,1.1226,1.01
2,1,22.083,23.386,1.1489,1.03
2,1,22.773,21.929,1.1826,1.03
2,1,22.926,20.856,1.197,1.03
2,1,23.156,20.012,1.2219,1.04
2,1,23.54,18.632,1.2457,1.08
2,1,23.846,17.865,1.2708,1.12
2,1,24.23,16.562,1.2957,1.14
2,1,24.69,15.412,1.3212,1.15
2,1,24.92,14.568,1.3459,1.15
2,1,25.15,13.342,1.3708,1.17
2,1,25.38,12.422,1.3962,1.21
2,1,25.533,12.038,1.4213,1.29
2,1,25.533,11.731,1.4494,1.38
2,1,25.533,11.501,1.4708,1.41
2,1,25.763,11.348,1.4959,1.26
2,1,25.763,11.348,1.5218,0.61
2,2,12.805,32.587,0,0.19
2,2,12.805,32.434,0.0255,0.44
2,2,12.805,31.974,0.0506,0.55
2,2,12.805,30.9,0.0752,0.58
2,2,12.805,28.984,0.1006,0.69
