participant,repetition,x_mm,y_mm,time,force_N
1,1,10.121,32.511,0,0.16
1,1,10.121,32.511,0.0254,0.41
1,1,10.121,32.511,0.0485,0.66
1,1,10.121,32.511,0.0738,0.81
1,1,10.121,32.511,0.0993,0.89
1,1,10.121,32.511,0.124,1.08
1,1,10.121,32.511,0.1487,1.28
1,1,10.121,32.511,0.1742,1.32
1,1,10.121,32.511,0.2041,1.31
1,1,10.121,32.511,0.2234,1.31
1,1,10.121,32.511,0.2509,1.34
1,1,10.121,32.511,0.2735,1.34
1,1,10.121,32.511,0.2989,1.33
1,1,10.121,32.511,0.3241,1.33
1,1,10.121,32.511,0.3489,1.32
1,1,10.121,32.511,0.3774,1.25
1,1,10.121,32.511,0.3999,1.24
1,1,10.121,32.511,0.424,1.25
1,1,10.121,32.511,0.4499,1.26
1,1,10.121,32.511,0.4739,1.25
1,1,10.121,32.511,0.4985,1.24
1,1,10.121,32.511,0.524,1.26
1,1,10.121,32.511,0.5495,1.26
1,1,10.121,32.511,0.5737,1.25
1,1,10.121,32.511,0.599,1.22
1,1,10.121,32.511,0.6242,1.21
1,1,10.121,32.511,0.6496,1.2
1,1,10.121,32.511,0.6759,1.17
1,1,10.121,32.511,0.6987,1.14
1,1,10.121,32.511,0.7238,1.14
1,1,10.121,32.511,0.7497,1.16
1,1,10.121,32.511,0.7759,1.16
1,1,10.121,32.511,0.7991,1.16
1,1,10.121,32.511,0.8242,1.17
1,1,10.121,32.511,0.8493,1.2
1,1,10.121,32.511,0.8738,1.21
1,1,10.121,32.511,0.9009,1.23
1,1,10.121,32.511,0.9237,1.31
1,1,10.121,32.511,0.9484,1.42
1,1,10.121,32.511,0.9747,1.59
1,1,10.121,32.511,1.0023,1.7
1,1,10.121,32.511,1.0238,1.8
1,1,10.121,32.511,1.0486,1.87
1,1,10.121,32.511,1.0739,1.9
1,1,10.121,32.511,1.0988,1.9
1,1,10.121,32.511,1.1286,1.91
1,1,10.121,32.357,1.1486,1.89
1,1,10.045,31.667,1.1742,1.85
1,1,10.045,30.67,1.2014,1.81
1,1,10.045,30.21,1.224,1.78
1,1,10.045,29.52,1.2487,1.75
1,1,9.968,28.907,1.2738,1.71
1,1,9.891,27.91,1.2991,1.7
1,1,9.891,26.837,1.324,1.7
1,1,9.891,26.3,1.3487,1.7
1,1,9.891,25.61,1.3735,1.68
1,1,9.891,25.15,1.3988,1.66
1,1,9.891,24.536,1.4251,1.67
1,1,9.891,23.309,1.4487,1.71
1,1,9.891,22.313,1.4758,1.71
1,1,9.891,21.929,1.4988,1.69
1,1,9.891,21.163,1.5272,1.7
1,1,9.891,19.322,1.5501,1.71
1,1,9.891,18.402,1.574,1.7
1,1,9.891,17.712,1.5987,1.69
1,1,9.891,17.252,1.6241,1.68
1,1,9.815,16.102,1.6504,1.7
1,1,9.738,14.798,1.6738,1.7
1,1,9.738,14.262,1.6985,1.69
1,1,9.738,13.802,1.7237,1.64
1,1,9.738,13.495,1.7493,1.63
1,1,9.738,13.188,1.7757,1.64
1,1,9.738,12.958,1.7986,1.65
1,1,9.738,12.575,1.8261,1.64
1,1,9.738,12.422,1.849,1.62
1,1,9.738,12.268,1.8739,1.61
1,1,9.738,12.191,1.8987,1.63
1,1,9.738,12.191,1.9236,1.63
1,1,9.738,12.191,1.9489,1.63
1,1,9.738,12.191,1.9746,1.64
1,1,9.738,12.191,1.9992,1.67
1,1,9.738,12.191,2.0238,1.69
1,1,9.738,12.191,2.0485,1.63
1,1,9.738,12.191,2.0744,1.51
1,1,9.738,12.191,2.0998,1.12
1,1,9.738,12.191,2.1236,0.43
1,1,27.143,32.894,2.8238,0.21
1,1,27.143,32.894,2.8496,0.53
1,1,27.143,32.894,2.8747,0.81
1,1,27.143,32.894,2.8985,1.01
1,1,27.143,32.894,2.924,1.23
1,1,27.143,32.894,2.9495,1.37
1,1,27.143,32.894,2.9783,1.42
1,1,27.143,32.894,2.9987,1.42
1,1,27.143,32.894,3.0244,1.4
1,1,27.143,32.894,3.0521,1.38
1,1,27.143,32.894,3.0745,1.34
1,1,27.143,32.894,3.0992,1.32
1,1,27.143,32.894,3.1236,1.3
1,1,27.143,32.894,3.1537,1.28
1,1,27.143,32.894,3.1744,1.26
1,1,27.143,32.894,3.1987,1.27
1,1,27.143,32.894,3.2254,1.29
1,1,27.143,32.894,3.2487,1.3
1,1,27.143,32.894,3.2742,1.32
1,1,27.143,32.894,3.2993,1.36
1,1,27.143,32.894,3.3263,1.4
1,1,27.143,32.894,3.3497,1.43
1,1,27.143,32.894,3.374,1.47
1,1,27.143,32.894,3.399,1.51
1,1,27.143,32.894,3.4237,1.53
1,1,27.143,32.894,3.4485,1.57
1,1,27.143,32.741,3.4739,1.61
1,1,27.143,32.204,3.4994,1.63
1,1,27.143,31.207,3.5239,1.64
