participant,repetition,x_mm,y_mm,time,force_N
1,1,18.632,33.431,0,0.21
1,1,18.632,33.431,0.0256,0.38
1,1,18.632,33.431,0.0519,0.59
1,1,18.632,33.431,0.0765,0.85
1,1,18.632,33.431,0.0999,0.99
1,1,18.632,33.431,0.1264,1.04
1,1,18.632,33.431,0.1505,1.16
1,1,18.632,33.354,0.176,1.21
1,1,18.632,33.124,0.201,1.22
1,1,18.786,32.511,0.2248,1.24
1,1,18.862,31.59,0.2523,1.26
1,1,18.862,30.977,0.276,1.27
1,1,18.862,30.287,0.3002,1.27
1,1,18.862,29.827,0.3258,1.28
1,1,18.862,29.29,0.351,1.29
1,1,18.939,28.37,0.3752,1.32
1,1,18.862,27.45,0.401,1.35
1,1,18.862,26.453,0.4293,1.37
1,1,18.862,25.84,0.4499,1.37
1,1,18.862,25.303,0.4756,1.39
1,1,18.862,23.616,0.5076,1.4
1,1,18.786,22.773,0.5281,1.39
1,1,18.786,22.236,0.5503,1.38
1,1,18.786,21.546,0.575,1.4
1,1,18.709,20.319,0.6016,1.45
1,1,18.709,19.322,0.6253,1.46
1,1,18.632,18.172,0.6504,1.43
1,1,18.632,17.635,0.6759,1.42
1,1,18.632,17.329,0.7004,1.43
1,1,18.632,16.485,0.7262,1.46
1,1,18.632,15.719,0.7506,1.47
1,1,18.556,14.492,0.7779,1.46
1,1,18.556,13.802,0.8007,1.45
1,1,18.556,13.418,0.8255,1.44
1,1,18.479,12.958,0.8504,1.42
1,1,18.479,12.422,0.8786,1.42
1,1,18.479,12.115,0.9011,1.4
1,1,18.479,11.961,0.9276,1.4
1,1,18.479,11.731,0.9507,1.39
1,1,18.479,11.578,0.9758,1.4
1,1,18.479,11.271,1.0005,1.4
1,1,18.479,10.965,1.0252,1.41
1,1,18.479,10.735,1.0534,1.4
1,1,18.479,10.581,1.0773,1.4
1,1,18.479,10.505,1.1002,1.39
1,1,18.479,10.505,1.1273,1.39
1,1,18.479,10.505,1.1505,1.38
1,1,18.479,10.505,1.1792,1.38
1,1,18.479,10.505,1.2003,1.38
1,1,18.479,10.505,1.225,1.38
1,1,18.479,10.505,1.2501,1.4
1,1,18.479,10.505,1.2756,1.4
1,1,18.479,10.505,1.3009,1.39
1,1,18.479,10.505,1.3275,1.4
1,1,18.479,10.505,1.3501,1.42
1,1,18.479,10.505,1.3755,1.43
1,1,18.479,10.505,1.4005,1.43
1,1,18.479,10.505,1.4258,1.45
1,1,18.479,10.505,1.45,1.46
1,1,18.479,10.505,1.4807,1.45
1,1,18.479,10.505,1.5004,1.45
1,1,18.479,10.505,1.5293,1.47
1,1,18.479,10.428,1.5501,1.47
1,1,18.479,10.428,1.575,1.45
1,1,18.479,10.428,1.601,1.42
1,1,18.479,10.428,1.6251,1.23
1,1,18.479,10.428,1.6509,0.65
1,1,18.479,10.428,1.6754,0.12
1,2,19.092,33.047,0,0.23
1,2,19.092,33.047,0.0219,0.43
1,2,19.092,33.047,0.0464,0.48
1,2,19.092,33.047,0.0724,0.56
1,2,19.092,33.047,0.0967,0.86
1,2,19.092,33.047,0.1222,1.01
1,2,19.092,33.047,0.1467,1.05
1,2,19.092,33.047,0.1714,1.06
1,2,19.092,33.047,0.1967,1.1
1,2,19.092,33.047,0.2216,1.15
1,2,19.092,33.047,0.2466,1.14
1,2,19.092,33.047,0.2713,1.14
1,2,19.092,33.047,0.2971,1.16
1,2,19.092,33.047,0.322,1.21
1,2,19.092,33.047,0.3484,1.24
1,2,19.092,33.047,0.3716,1.27
1,2,19.092,33.047,0.3975,1.29
1,2,19.092,33.047,0.4234,1.3
1,2,19.092,33.047,0.4465,1.3
1,2,19.092,33.047,0.4716,1.29
1,2,19.092,33.047,0.4962,1.27
1,2,19.092,33.047,0.5244,1.24
1,2,19.092,33.047,0.5498,1.24
1,2,19.092,33.047,0.5714,1.24
1,2,19.092,33.047,0.5969,1.22
1,2,19.092,33.047,0.6216,1.22
1,2,19.092,33.047,0.6469,1.24
1,2,19.092,33.047,0.6717,1.25
1,2,19.092,33.047,0.6983,1.26
1,2,19.092,33.047,0.7218,1.31
1,2,19.092,33.047,0.7472,1.39
1,2,19.092,33.047,0.7717,1.47
1,2,19.092,33.047,0.7971,1.5
1,2,19.092,33.047,0.8222,1.52
1,2,19.092,33.047,0.8503,1.63
1,2,19.092,33.047,0.8717,1.68
1,2,19.016,33.047,0.8965,1.69
1,2,18.786,32.664,0.9212,1.69
1,2,18.632,31.744,0.9467,1.68
1,2,18.479,30.824,0.9716,1.65
1,2,18.402,29.904,0.9979,1.62
1,2,18.402,28.984,1.0212,1.6
1,2,18.402,28.217,1.047,1.59
1,2,18.402,26.99,1.0717,1.59
1,2,18.402,26.223,1.1,1.59
1,2,18.402,25.763,1.1214,1.59
1,2,18.479,24.843,1.1472,1.59
1,2,18.556,24,1.1723,1.59
1,2,18.556,23.309,1.1978,1.6
1,2,18.556,22.236,1.2217,1.61
1,2,18.556,21.086,1.2462,1.61
1,2,18.556,19.859,1.2745,1.6
1,2,18.556,19.169,1.2973,1.58
1,2,18.556,18.172,1.3214,1.59
1,2,18.556,17.789,1.3494,1.6
1,2,18.632,17.099,1.3718,1.59
1,2,18.786,16.255,1.3977,1.57
1,2,18.862,15.489,1.427,1.56
1,2,18.862,15.028,1.4477,1.56
1,2,18.862,14.568,1.4713,1.55
1,2,18.862,14.032,1.4998,1.54
1,2,18.862,13.572,1.5248,1.55
1,2,18.862,13.265,1.547,1.56
1,2,18.862,12.958,1.5724,1.56
1,2,18.862,12.652,1.5973,1.54
1,2,18.862,12.498,1.622,1.55
1,2,18.862,12.268,1.647,1.57
1,2,18.862,12.038,1.673,1.6
1,2,18.862,12.038,1.6967,1.61
1,2,18.862,12.038,1.7234,1.62
1,2,18.862,11.885,1.7471,1.64
1,2,18.862,11.655,1.7719,1.66
1,2,18.862,11.501,1.7987,1.66
1,2,18.862,11.501,1.8218,1.67
1,2,18.862,11.501,1.8476,1.72
1,2,18.862,11.501,1.8716,1.79
1,2,18.862,11.501,1.8964,1.8
1,2,18.862,11.501,1.9213,1.79
