participant,repetition,x_mm,y_mm,time,force_N
1,1,18.862,25.993,0,0.14
1,1,18.862,26.07,0.0247,0.19
1,1,18.862,26.07,0.0503,0.36
1,1,18.862,26.07,0.0742,0.45
1,1,18.862,26.07,0.0995,0.77
1,1,18.862,26.07,0.1257,0.99
1,1,18.862,26.07,0.1496,1.16
1,1,18.862,26.07,0.1745,1.23
1,1,18.862,26.07,0.1993,1.26
1,1,18.862,26.07,0.2246,1.29
1,1,18.862,25.84,0.2498,1.31
1,1,18.862,25.226,0.2741,1.29
1,1,18.862,24.383,0.2999,1.26
1,1,18.862,24,0.3251,1.23
1,1,18.862,23.233,0.35,1.2
1,1,18.862,22.159,0.3802,1.16
1,1,18.862,21.469,0.4001,1.16
1,1,18.862,20.472,0.4249,1.17
1,1,18.862,19.706,0.4509,1.18
1,1,18.862,19.169,0.4745,1.19
1,1,18.939,18.096,0.4992,1.2
1,1,18.939,17.175,0.5244,1.21
1,1,18.939,16.562,0.5513,1.24
1,1,18.939,15.872,0.5753,1.27
1,1,18.939,15.335,0.5996,1.28
1,1,18.939,15.028,0.6245,1.28
1,1,19.016,14.338,0.6493,1.29
1,1,19.016,13.802,0.6744,1.31
1,1,19.092,12.958,0.6995,1.31
1,1,19.016,12.115,0.7249,1.3
1,1,19.016,11.731,0.7497,1.28
1,1,19.016,11.425,0.7747,1.27
1,1,19.016,11.041,0.7992,1.27
1,1,19.016,10.811,0.8242,1.26
1,1,19.016,10.505,0.8498,1.23
1,1,19.016,10.045,0.875,1.22
1,1,18.862,9.738,0.8996,1.23
1,1,18.862,9.124,0.9242,1.24
1,1,18.786,8.358,0.9495,1.24
1,1,18.632,7.821,0.9826,1.22
1,1,18.556,7.591,0.9999,1.22
1,1,18.402,7.131,1.0254,1.21
1,1,18.326,6.671,1.0523,1.21
1,1,18.326,6.517,1.0748,1.18
1,1,18.172,6.057,1.1006,1.16
1,1,18.019,5.674,1.1244,1.15
1,1,17.942,5.291,1.1493,1.13
1,1,17.712,4.907,1.1751,1.11
1,1,17.635,4.601,1.1994,1.13
1,1,17.405,4.294,1.225,1.15
1,1,17.022,3.91,1.2494,1.15
1,1,16.715,3.68,1.2743,1.15
1,1,16.485,3.527,1.2995,1.15
1,1,16.179,3.297,1.3254,1.18
1,1,16.025,3.297,1.3509,1.2
1,1,15.719,3.297,1.3742,1.2
1,1,15.489,3.297,1.3995,1.19
1,1,15.335,3.297,1.4243,1.2
1,1,15.105,3.297,1.4498,1.21
1,1,14.952,3.297,1.4745,1.2
1,1,14.875,3.297,1.4997,1.21
1,1,14.875,3.297,1.5243,1.23
1,1,14.798,3.297,1.5521,1.23
1,1,14.798,3.297,1.5744,1.22
1,1,14.798,3.297,1.5994,1.24
1,1,14.798,3.297,1.6252,1.27
1,1,14.798,3.297,1.6493,1.26
1,1,14.798,3.297,1.6748,1.25
1,1,14.798,3.297,1.6998,1.21
1,1,14.875,3.297,1.7243,1
1,1,14.875,3.297,1.7501,0.31
1,1,19.782,31.284,2.5011,0.14
1,1,19.782,31.284,2.5249,0.36
1,1,19.782,31.284,2.5522,0.59
1,1,19.782,31.284,2.5744,0.76
1,1,19.629,31.437,2.5995,0.88
1,1,19.629,31.59,2.6243,1.05
1,1,19.629,31.59,2.6523,1.16
1,1,19.629,31.667,2.675,1.16
1,1,19.629,31.667,2.6992,1.17
1,1,19.629,31.667,2.7263,1.22
1,1,19.629,31.667,2.7499,1.29
1,1,19.629,31.667,2.7755,1.29
1,1,19.629,31.667,2.7993,1.29
1,1,19.629,31.667,2.8245,1.32
1,1,19.629,31.667,2.8495,1.3
1,1,19.629,31.667,2.875,1.26
1,1,19.629,31.667,2.8998,1.23
1,1,19.629,31.667,2.9241,1.2
1,1,19.629,31.667,2.9493,1.18
1,1,19.629,31.667,2.9774,1.17
1,1,19.629,31.667,3.0001,1.15
1,1,19.629,31.667,3.0241,1.14
1,1,19.629,31.667,3.0497,1.14
1,1,19.629,31.667,3.0746,1.17
1,1,19.629,31.667,3.0994,1.19
1,1,19.629,31.667,3.1281,1.21
1,1,19.629,31.667,3.1499,1.25
1,1,19.629,31.667,3.1799,1.3
1,1,19.629,31.667,3.1995,1.36
1,1,19.629,31.667,3.2244,1.42
1,1,19.629,31.667,3.2496,1.5
1,1,19.629,31.667,3.2746,1.58
1,1,19.629,31.667,3.2993,1.61
1,1,19.629,31.667,3.3246,1.64
1,1,19.629,31.667,3.3492,1.67
1,1,19.629,31.667,3.3744,1.67
1,1,19.629,31.667,3.3996,1.67
1,1,19.629,31.667,3.4246,1.62
1,1,19.629,31.667,3.4492,1.59
1,1,19.629,31.667,3.4757,1.58
1,1,19.629,31.667,3.4994,1.56
1,1,19.629,31.667,3.5291,1.45
1,1,19.629,31.667,3.5495,1.17
1,1,19.629,31.667,3.5742,0.6
1,1,19.629,31.667,3.5998,0.13
1,2,19.092,26.913,0,0.22
1,2,19.092,26.913,0.0253,0.39
1,2,19.092,26.913,0.05,0.61
1,2,19.092,26.913,0.08,0.78
1,2,19.092,26.913,0.101,0.87
1,2,19.092,26.913,0.1247,0.95
1,2,19.092,26.913,0.1496,0.99
1,2,19.092,26.913,0.1762,0.99
1,2,19.092,26.913,0.2,0.97
1,2,19.092,26.913,0.2259,0.95
1,2,19.092,26.913,0.2495,0.87
1,2,19.092,26.913,0.2746,0.87
1,2,19.092,26.913,0.3023,0.87
1,2,19.092,26.913,0.3253,0.87
1,2,19.092,26.913,0.3496,0.87
1,2,19.092,26.913,0.375,0.87
1,2,19.092,26.913,0.3999,0.78
1,2,19.092,26.913,0.4261,0.78
1,2,19.092,26.913,0.4524,0.79
1,2,19.092,26.913,0.475,0.87
1,2,19.092,26.913,0.5002,0.87
1,2,19.092,26.913,0.5248,0.87
1,2,19.092,26.913,0.5499,0.87
1,2,19.092,26.913,0.5752,0.87
1,2,19.092,26.913,0.6008,0.87
1,2,19.092,26.913,0.6249,0.87
1,2,19.092,26.913,0.6513,0.87
1,2,19.092,26.913,0.6747,0.87
1,2,19.092,26.913,0.6999,0.87
1,2,19.092,26.913,0.7255,0.87
1,2,19.092,26.913,0.7514,0.87
1,2,19.092,26.913,0.7776,0.87
1,2,19.092,26.913,0.7998,0.96
1,2,19.169,26.76,0.8292,1
1,2,19.322,26.07,0.8498,1.02
1,2,19.706,24.69,0.8747,1.02
1,2,19.936,23.77,0.9026,1
1,2,20.012,23.233,0.9252,0.96
1,2,20.012,22.083,0.9517,0.96
1,2,20.012,21.469,0.9761,0.97
1,2,20.012,20.472,0.9995,0.98
1,2,20.012,19.782,1.0252,1
1,2,20.012,19.322,1.0507,1
1,2,20.012,18.709,1.0753,1
1,2,20.012,18.096,1.0995,1.01
1,2,20.012,17.635,1.1247,1.03
1,2,20.166,16.715,1.1497,1.03
1,2,20.166,16.025,1.1782,1.03
1,2,20.166,15.795,1.1998,1.02
1,2,20.166,15.182,1.2247,1.03
1,2,20.166,14.568,1.2503,1.04
1,2,20.089,13.495,1.275,1.03
