participant,repetition,x_mm,y_mm,time,force_N
1,1,24.076,33.124,0,0.23
1,1,24.076,33.124,0.0212,0.43
1,1,24.076,33.124,0.0464,0.54
1,1,24.076,33.124,0.0712,0.68
1,1,24.076,33.124,0.0963,0.86
1,1,24.076,33.124,0.1219,0.86
1,1,24.076,33.124,0.1486,0.96
1,1,24.076,33.124,0.1744,0.99
1,1,24.076,33.124,0.1971,1.04
1,1,24.076,33.124,0.2228,1.06
1,1,24.076,33.124,0.2477,1.06
1,1,24.076,33.124,0.2718,1.05
1,1,24.076,33.124,0.2962,1.05
1,1,24.076,33.124,0.3216,1.05
1,1,24.076,33.124,0.3474,1.05
1,1,24.076,33.124,0.3728,1.05
1,1,24.076,33.124,0.3964,1.06
1,1,24.076,33.124,0.4221,1.06
1,1,24.076,33.124,0.4486,1.07
1,1,24.076,33.124,0.4754,1.06
1,1,24.076,33.124,0.4998,1.03
1,1,24.076,33.124,0.5251,1.01
1,1,24.076,33.124,0.5488,0.98
1,1,24.076,33.124,0.5791,0.95
1,1,24.076,33.124,0.597,0.94
1,1,24.076,33.124,0.6248,0.94
1,1,24.076,33.124,0.6485,0.94
1,1,24.076,33.124,0.6713,0.94
1,1,24.076,33.124,0.6968,0.86
1,1,24.076,33.124,0.7219,0.86
1,1,24.076,33.124,0.7478,0.86
1,1,24.076,33.124,0.7712,0.86
1,1,24.076,33.124,0.7975,0.86
1,1,24.076,33.124,0.8232,0.86
1,1,24.076,33.124,0.8468,0.86
1,1,24.076,33.124,0.8751,0.86
1,1,24.076,33.124,0.8987,0.96
1,1,24.076,33.124,0.9245,1.01
1,1,24.076,33.124,0.947,1.07
1,1,24.076,33.124,0.9714,1.1
1,1,24.076,33.124,0.9964,1.11
1,1,24.076,33.047,1.0215,1.13
1,1,24.153,32.587,1.0467,1.16
1,1,24.383,31.821,1.0719,1.17
1,1,24.536,30.824,1.097,1.15
1,1,24.536,30.364,1.1216,1.15
1,1,24.613,29.904,1.1491,1.19
1,1,24.766,29.597,1.1721,1.21
1,1,24.92,28.753,1.1966,1.22
1,1,24.996,28.217,1.2214,1.22
1,1,25.15,27.373,1.2465,1.21
1,1,25.303,26.683,1.2725,1.21
1,1,25.38,26.377,1.2993,1.22
1,1,25.38,25.763,1.3213,1.22
1,1,25.38,25.073,1.3484,1.2
1,1,25.38,24.536,1.3719,1.18
1,1,25.38,23.616,1.3985,1.18
1,1,25.303,22.619,1.4218,1.17
1,1,25.15,22.083,1.4477,1.16
1,1,25.073,21.239,1.4716,1.16
1,1,25.073,20.549,1.5,1.16
1,1,24.92,20.012,1.5219,1.16
1,1,24.843,19.169,1.5465,1.17
1,1,24.69,18.479,1.5714,1.17
1,1,24.46,17.789,1.5967,1.18
1,1,24.23,17.329,1.6224,1.17
1,1,24.076,16.945,1.6468,1.16
1,1,23.77,16.102,1.6714,1.16
1,1,23.156,15.028,1.6967,1.14
1,1,22.773,14.262,1.7225,1.13
1,1,22.619,14.032,1.7481,1.16
1,1,22.313,13.572,1.7753,1.19
1,1,21.929,13.112,1.8001,1.17
1,1,21.853,12.958,1.8213,1.15
1,1,21.393,12.728,1.8541,1.16
1,1,21.086,12.575,1.8722,1.16
1,1,20.549,12.268,1.8963,1.14
1,1,20.089,12.038,1.9213,1.13
1,1,19.706,11.961,1.947,1.15
1,1,19.246,11.731,1.9716,1.17
1,1,18.786,11.501,1.9966,1.17
1,1,18.479,11.348,2.0213,1.17
1,1,17.942,11.195,2.0467,1.2
1,1,17.405,11.041,2.0736,1.21
1,1,17.022,10.965,2.097,1.21
1,1,16.409,10.965,2.1218,1.22
1,1,15.565,10.965,2.1462,1.25
1,1,15.259,10.965,2.1743,1.28
1,1,14.798,11.041,2.1968,1.3
1,1,14.262,11.271,2.2243,1.3
