participant,repetition,x_mm,y_mm,time,force_N
1,1,12.345,31.437,0,0.12
1,1,12.345,31.437,0.0265,0.21
1,1,12.345,31.437,0.0503,0.34
1,1,12.345,31.437,0.0765,0.49
1,1,12.345,31.437,0.0999,0.64
1,1,12.345,31.437,0.1254,0.85
1,1,12.345,31.437,0.1509,1.11
1,1,12.345,31.437,0.1751,1.16
1,1,12.345,31.437,0.2011,1.21
1,1,12.345,31.437,0.2256,1.27
1,1,12.345,31.437,0.2558,1.29
1,1,12.345,31.437,0.2771,1.29
1,1,12.345,31.437,0.3005,1.27
1,1,12.345,31.437,0.3253,1.26
1,1,12.345,31.437,0.35,1.24
1,1,12.345,31.437,0.3753,1.2
1,1,12.345,31.437,0.4004,1.18
1,1,12.345,31.437,0.425,1.17
1,1,12.345,31.437,0.4499,1.15
1,1,12.345,31.437,0.4757,1.11
1,1,12.345,31.437,0.5011,1.07
1,1,12.345,31.437,0.5251,1.03
1,1,12.345,31.437,0.5509,1.02
1,1,12.345,31.437,0.5755,1.02
1,1,12.345,31.437,0.6016,1.02
1,1,12.345,31.437,0.6252,1.01
1,1,12.345,31.437,0.6543,1
1,1,12.345,31.437,0.675,0.99
1,1,12.345,31.437,0.7005,0.99
1,1,12.345,31.437,0.7254,0.98
1,1,12.345,31.437,0.7499,0.97
1,1,12.345,31.437,0.7798,0.97
1,1,12.345,31.437,0.8004,0.98
1,1,12.345,31.437,0.8251,0.98
1,1,12.345,31.437,0.8504,0.97
1,1,12.345,31.437,0.8754,0.97
1,1,12.345,31.437,0.9009,0.98
1,1,12.345,31.437,0.9255,1.03
1,1,12.345,31.514,0.9554,1.07
1,1,12.345,31.514,0.9749,1.12
1,1,12.345,31.514,1.0015,1.22
1,1,12.345,31.514,1.0254,1.3
1,1,12.345,31.514,1.0502,1.38
1,1,12.345,31.514,1.0751,1.42
1,1,12.345,31.514,1.1003,1.46
1,1,12.345,31.437,1.1256,1.49
1,1,12.268,31.054,1.1502,1.51
1,1,12.268,30.44,1.1752,1.49
1,1,12.268,29.904,1.2012,1.47
1,1,12.268,29.444,1.2263,1.46
1,1,12.268,28.523,1.2513,1.45
1,1,12.422,27.603,1.2753,1.42
1,1,12.498,26.683,1.3026,1.4
1,1,12.498,26.3,1.3256,1.39
1,1,12.498,25.38,1.3522,1.39
1,1,12.345,24.46,1.3753,1.39
1,1,12.115,23.386,1.4001,1.39
1,1,11.961,22.466,1.4263,1.39
1,1,11.961,21.929,1.4504,1.4
1,1,11.961,20.779,1.476,1.4
1,1,11.885,19.629,1.5005,1.38
1,1,11.885,18.939,1.5251,1.38
1,1,11.885,18.096,1.5503,1.41
1,1,11.808,17.099,1.5755,1.41
1,1,11.808,16.485,1.6008,1.4
1,1,11.655,15.642,1.625,1.36
1,1,11.501,15.028,1.6508,1.36
1,1,11.271,14.032,1.6755,1.39
1,1,11.195,13.188,1.7004,1.39
1,1,11.195,12.805,1.7251,1.35
1,1,11.195,12.498,1.7513,1.35
1,1,11.195,12.345,1.775,1.38
1,1,11.195,12.345,1.8011,1.34
1,1,11.195,12.345,1.8259,1.12
1,1,11.578,12.345,1.85,0.61
1,1,11.578,12.345,1.8754,0.13
1,1,27.68,34.121,2.3519,0.18
1,1,27.68,34.121,2.3752,0.48
1,1,27.68,34.121,2.4019,0.66
1,1,27.45,34.044,2.4257,0.76
1,1,27.22,33.814,2.4571,1.04
1,1,26.913,33.507,2.4751,1.13
1,1,26.377,32.664,2.4999,1.14
1,1,25.456,31.437,2.5258,1.13
1,1,24.69,30.594,2.5501,1.13
1,1,23.54,29.52,2.5756,1.14
1,1,22.773,28.6,2.6006,1.16
1,1,21.546,27.143,2.625,1.16
1,1,20.242,26.07,2.6523,1.15
1,1,19.629,25.533,2.6755,1.14
1,1,18.862,24.766,2.7004,1.13
1,1,18.096,23.77,2.725,1.15
1,1,17.635,23.079,2.7516,1.18
1,1,16.792,22.159,2.7755,1.19
1,1,15.872,21.469,2.804,1.2
1,1,15.489,21.086,2.825,1.26
1,1,15.105,20.396,2.85,1.31
1,1,14.645,19.859,2.8757,1.31
1,1,14.492,19.552,2.9007,1.29
1,1,14.415,19.322,2.9262,1.24
1,1,14.492,19.246,2.9501,0.99
1,1,14.492,19.246,2.9751,0.47
1,1,18.479,22.619,3.2037,0.12
1,1,18.479,22.619,3.2264,0.22
1,1,18.479,22.619,3.2502,0.49
1,1,18.479,22.619,3.2753,0.68
1,1,18.479,22.543,3.3002,0.9
1,1,18.786,22.083,3.3264,1.11
1,1,19.706,21.393,3.3506,1.2
1,1,20.242,20.856,3.3773,1.22
1,1,21.163,19.859,3.4003,1.25
1,1,21.853,18.709,3.4261,1.32
1,1,22.083,18.172,3.452,1.37
1,1,22.619,17.482,3.4751,1.37
1,1,23.386,16.485,3.5017,1.36
1,1,23.846,15.949,3.5251,1.35
1,1,24.69,14.722,3.5592,1.35
1,1,24.92,14.415,3.5753,1.36
1,1,25.456,13.878,3.6004,1.38
1,1,25.84,13.418,3.6251,1.38
1,1,25.993,13.112,3.6501,1.39
1,1,26.223,12.882,3.6754,1.41
1,1,26.607,12.498,3.7003,1.43
1,1,26.76,12.268,3.7254,1.46
1,1,27.143,11.885,3.7517,1.61
1,1,27.527,11.348,3.7754,1.66
1,1,27.68,11.041,3.8003,1.7
1,1,27.91,10.658,3.825,1.71
1,1,28.217,10.198,3.8505,1.72
1,1,28.447,9.968,3.8762,1.69
1,1,29.444,9.738,3.9057,1.47
1,1,29.444,9.738,3.925,0.84
1,1,29.444,9.738,3.9505,0.21
1,2,12.958,32.741,0,0.27
