participant,repetition,x_mm,y_mm,time,force_N
1,1,18.556,31.437,0,0.3
1,1,18.556,31.437,0.0242,0.54
1,1,18.556,31.437,0.0473,0.66
1,1,18.556,31.437,0.0724,0.77
1,1,18.556,31.437,0.0969,0.96
1,1,18.556,31.437,0.1223,1.11
1,1,18.556,31.437,0.1479,1.24
1,1,18.556,31.437,0.1722,1.28
1,1,18.556,31.437,0.197,1.27
1,1,18.556,31.437,0.2224,1.21
1,1,18.556,31.437,0.2478,1.18
1,1,18.556,31.437,0.2722,1.12
1,1,18.556,31.437,0.2972,1.07
1,1,18.556,31.437,0.3223,1.02
1,1,18.556,31.437,0.3517,0.96
1,1,18.556,31.437,0.3729,0.92
1,1,18.556,31.437,0.3972,0.91
1,1,18.556,31.437,0.4225,0.91
1,1,18.556,31.437,0.4478,0.9
1,1,18.556,31.437,0.4745,0.9
1,1,18.556,31.437,0.4972,0.91
1,1,18.556,31.437,0.5242,0.92
1,1,18.556,31.437,0.5474,0.92
1,1,18.556,31.437,0.5722,0.98
1,1,18.556,31.437,0.5984,1.02
1,1,18.556,31.437,0.6235,1.04
1,1,18.556,31.437,0.6506,1.05
1,1,18.556,31.437,0.6724,1.04
1,1,18.556,31.437,0.6979,1.03
1,1,18.556,31.437,0.7222,1.03
1,1,18.556,31.437,0.7469,1.03
1,1,18.556,31.437,0.7728,1.03
1,1,18.556,31.437,0.7973,1.03
1,1,18.556,31.437,0.8224,1.04
1,1,18.556,31.437,0.8474,1.05
1,1,18.556,31.437,0.875,1.07
1,1,18.556,31.437,0.8973,1.09
1,1,18.556,31.437,0.9222,1.12
1,1,18.556,31.437,0.9471,1.15
1,1,18.556,31.437,0.9722,1.19
1,1,18.556,31.437,0.9975,1.25
1,1,18.556,31.437,1.0225,1.31
1,1,18.556,31.437,1.0509,1.35
1,1,18.556,31.437,1.0721,1.4
1,1,18.556,31.437,1.0979,1.44
1,1,18.556,31.437,1.124,1.54
1,1,18.556,31.437,1.1476,1.63
1,1,18.556,31.437,1.1723,1.72
1,1,18.556,31.437,1.1975,1.76
1,1,18.556,31.437,1.2226,1.76
1,1,18.556,31.437,1.2486,1.77
1,1,18.556,31.437,1.2721,1.77
1,1,18.556,31.437,1.2971,1.77
1,1,18.556,31.437,1.3224,1.77
1,1,18.556,31.207,1.3475,1.77
1,1,18.556,30.747,1.3724,1.76
1,1,18.556,30.134,1.3989,1.75
1,1,18.479,29.06,1.4221,1.74
1,1,18.479,28.14,1.4517,1.72
1,1,18.402,27.603,1.4726,1.7
1,1,18.326,26.3,1.4969,1.68
1,1,18.249,24.843,1.5224,1.67
1,1,18.249,24.076,1.5472,1.66
1,1,18.172,23.003,1.5724,1.66
1,1,18.096,21.469,1.5973,1.66
1,1,18.096,20.626,1.6221,1.66
1,1,18.096,19.859,1.6476,1.67
1,1,18.096,18.786,1.6731,1.68
1,1,18.096,17.865,1.6975,1.68
1,1,18.096,16.869,1.7219,1.68
1,1,18.096,16.255,1.7507,1.69
1,1,18.096,15.949,1.772,1.72
1,1,18.096,15.565,1.8009,1.75
1,1,18.096,15.259,1.8225,1.75
1,1,18.096,14.798,1.8471,1.76
1,1,18.096,14.338,1.873,1.76
1,1,18.096,14.032,1.8973,1.78
1,1,18.096,13.495,1.9223,1.81
1,1,18.096,12.805,1.947,1.82
1,1,18.096,12.268,1.9778,1.82
1,1,18.096,11.961,1.9974,1.83
1,1,18.096,11.731,2.0225,1.85
1,1,18.096,11.655,2.047,1.87
1,1,18.096,11.655,2.0722,1.89
1,1,18.096,11.655,2.0978,1.94
1,1,18.096,11.655,2.1222,1.97
1,1,18.096,11.655,2.1493,1.81
1,1,18.172,11.578,2.1724,1.61
1,1,18.172,11.578,2.1984,0.86
1,1,18.172,11.578,2.2223,0.35
1,2,17.175,31.437,0,0.28
1,2,17.175,31.437,0.0248,0.6
1,2,17.175,31.437,0.0502,0.78
1,2,17.175,31.437,0.0754,0.78
1,2,17.175,31.437,0.1024,1.05
1,2,17.175,31.437,0.1251,1.07
1,2,17.175,31.437,0.1521,1.02
1,2,17.175,31.437,0.1754,0.95
1,2,17.175,31.437,0.2,0.96
1,2,17.175,31.437,0.2255,1
1,2,17.175,31.437,0.2509,1.04
1,2,17.175,31.437,0.2827,1.08
1,2,17.175,31.437,0.3008,1.09
1,2,17.175,31.437,0.325,1.1
1,2,17.175,31.437,0.3518,1.1
1,2,17.175,31.437,0.3765,1.13
1,2,17.175,31.437,0.4009,1.2
1,2,17.175,31.437,0.4249,1.23
1,2,17.175,31.437,0.4554,1.24
1,2,17.175,31.437,0.4759,1.26
1,2,17.175,31.437,0.5002,1.27
1,2,17.175,31.437,0.5263,1.28
1,2,17.175,31.437,0.55,1.3
1,2,17.175,31.437,0.5759,1.32
1,2,17.175,31.437,0.6001,1.33
1,2,17.175,31.437,0.6296,1.35
1,2,17.175,31.437,0.6503,1.37
1,2,17.175,31.437,0.6774,1.43
1,2,17.175,31.437,0.7002,1.44
1,2,17.175,31.437,0.7251,1.47
1,2,17.175,31.437,0.7498,1.61
1,2,17.175,31.437,0.7766,1.72
1,2,17.175,31.437,0.8009,1.81
1,2,17.175,31.36,0.8252,1.86
1,2,17.175,31.13,0.8499,1.91
1,2,17.329,30.057,0.8749,1.93
1,2,17.482,28.677,0.9012,1.93
1,2,17.635,27.833,0.9262,1.92
1,2,17.789,27.22,0.9507,1.94
1,2,17.942,25.993,0.9818,1.98
1,2,18.019,25.15,1.0008,1.98
1,2,18.096,24.153,1.0288,1.99
1,2,18.172,23.463,1.0501,2
1,2,18.326,22.696,1.0762,2.01
1,2,18.402,21.469,1.1009,2.03
1,2,18.402,20.319,1.1258,2.04
1,2,18.479,19.859,1.1502,2.04
1,2,18.632,18.939,1.1747,2.04
1,2,18.709,17.635,1.2023,2.03
1,2,18.709,16.792,1.2249,2.01
1,2,18.786,15.949,1.2502,1.99
1,2,18.786,15.489,1.275,1.97
1,2,18.862,15.105,1.3004,1.96
1,2,19.016,14.185,1.3257,1.98
1,2,19.016,13.572,1.3505,1.97
1,2,19.016,13.188,1.378,1.92
1,2,19.016,12.882,1.4002,1.91
1,2,19.016,12.422,1.4249,1.95
1,2,19.016,12.268,1.4515,1.96
1,2,19.016,12.038,1.4751,1.96
1,2,19.016,11.885,1.4998,1.99
1,2,19.016,11.731,1.5249,2.02
1,2,19.016,11.501,1.5509,2.01
1,2,19.016,11.348,1.5754,2.02
1,2,19.016,11.195,1.5999,2.04
1,2,19.016,11.195,1.6253,2.05
1,2,19.016,11.195,1.6521,2.06
1,2,19.016,11.118,1.6754,2.06
1,2,19.016,10.735,1.7,2.08
1,2,19.016,10.505,1.7248,2.08
1,2,19.016,10.275,1.7506,1.99
1,2,19.016,10.198,1.7798,1.89
1,2,19.016,10.198,1.801,1.76
1,2,19.016,10.198,1.8248,1.44
1,2,19.016,10.198,1.8501,0.78
1,2,19.016,10.198,1.8752,0.17
1,3,19.629,31.821,0,0.35
1,3,19.476,31.897,0.0259,0.78
1,3,19.476,31.897,0.051,1.03
1,3,19.476,31.897,0.0754,1.2
1,3,19.476,31.897,0.1,1.33
1,3,19.476,31.897,0.1252,1.41
1,3,19.476,31.897,0.1501,1.43
1,3,19.476,31.897,0.1803,1.42
1,3,19.476,31.897,0.1999,1.41
1,3,19.476,31.897,0.2261,1.41
1,3,19.476,31.897,0.2503,1.41
1,3,19.476,31.897,0.2752,1.4
1,3,19.476,31.897,0.3009,1.39
1,3,19.476,31.897,0.3256,1.39
1,3,19.476,31.897,0.3519,1.38
1,3,19.476,31.897,0.3755,1.35
