participant,repetition,x_mm,y_mm,time,force_N
1,1,13.572,33.277,0,0.19
1,1,13.572,33.277,0.0257,0.36
1,1,13.572,33.277,0.0513,0.6
1,1,13.572,33.277,0.0757,0.86
1,1,13.572,33.277,0.1031,1.05
1,1,13.572,33.277,0.1274,1.23
1,1,13.572,33.277,0.1512,1.4
1,1,13.572,33.277,0.1785,1.48
1,1,13.572,33.277,0.2002,1.49
1,1,13.572,33.277,0.2251,1.5
1,1,13.572,33.277,0.2503,1.57
1,1,13.572,33.277,0.2767,1.64
1,1,13.572,33.277,0.3012,1.67
1,1,13.572,33.277,0.325,1.68
1,1,13.572,33.277,0.3503,1.69
1,1,13.572,33.277,0.3754,1.65
1,1,13.572,33.277,0.4004,1.62
1,1,13.572,33.277,0.4252,1.62
1,1,13.572,33.277,0.4507,1.61
1,1,13.572,33.277,0.4754,1.58
1,1,13.572,33.277,0.5013,1.55
1,1,13.572,33.277,0.5266,1.56
1,1,13.572,33.277,0.55,1.56
1,1,13.572,33.277,0.5755,1.57
1,1,13.572,33.277,0.6001,1.57
1,1,13.572,33.277,0.6252,1.57
1,1,13.572,33.277,0.6538,1.57
1,1,13.572,33.277,0.6761,1.58
1,1,13.572,33.277,0.7038,1.59
1,1,13.572,33.277,0.7254,1.59
1,1,13.572,33.277,0.7502,1.58
1,1,13.572,33.277,0.7751,1.58
1,1,13.572,33.277,0.8004,1.62
1,1,13.572,33.277,0.8256,1.66
1,1,13.572,33.277,0.8503,1.71
1,1,13.572,33.277,0.8752,1.76
1,1,13.572,33.277,0.9004,1.8
1,1,13.572,33.277,0.9268,1.85
1,1,13.572,33.277,0.9508,1.9
1,1,13.572,33.277,0.975,1.94
1,1,13.572,33.201,1.0009,1.96
1,1,13.572,32.664,1.0253,1.97
1,1,13.572,32.281,1.0508,1.97
1,1,13.648,31.437,1.0752,1.99
1,1,13.725,30.9,1.1002,2
1,1,13.725,30.287,1.1267,2
1,1,13.725,29.827,1.1506,2
1,1,13.725,29.52,1.1753,2.01
1,1,13.878,28.677,1.2,2.05
1,1,13.878,27.45,1.2292,2.06
1,1,13.878,26.683,1.2516,2.05
1,1,13.878,26.377,1.2754,2.05
1,1,13.878,25.763,1.3004,2.07
1,1,13.955,25.226,1.3252,2.08
1,1,13.955,24.153,1.3505,2.07
1,1,13.955,23.156,1.3753,2.04
1,1,14.032,22.236,1.4029,2.04
1,1,14.032,21.699,1.4254,2.06
1,1,14.032,20.472,1.4547,2.05
1,1,14.032,19.859,1.4757,2.02
1,1,14.032,18.939,1.5002,2.01
1,1,14.032,18.172,1.5284,2.02
1,1,14.032,17.635,1.5504,2.03
1,1,14.032,16.639,1.5753,2.03
1,1,14.032,15.565,1.6004,2.02
1,1,14.032,14.722,1.625,1.98
1,1,14.032,13.955,1.6508,1.96
1,1,14.032,13.342,1.6796,1.94
1,1,14.032,13.035,1.7013,1.91
1,1,14.032,12.728,1.7252,1.89
1,1,14.032,12.498,1.7561,1.9
1,1,14.032,12.498,1.775,1.92
1,1,14.032,12.115,1.8071,1.93
1,1,14.032,12.038,1.8255,1.91
1,1,14.032,11.961,1.8501,1.91
1,1,14.032,11.961,1.8762,1.94
1,1,14.032,11.961,1.9012,1.99
1,1,14.032,11.961,1.9252,2.03
1,1,14.032,11.961,1.9503,2.05
1,1,14.032,11.961,1.9767,2.08
1,1,14.032,11.961,2.0003,2.1
1,1,14.032,11.961,2.0262,2.08
1,1,14.032,11.961,2.0522,1.98
1,1,14.032,11.961,2.0753,1.67
1,1,14.338,11.961,2.1008,1.12
1,1,14.338,11.961,2.1255,0.47
1,1,14.108,12.345,2.3503,0.15
1,1,14.108,12.345,2.3751,0.27
1,1,14.108,12.345,2.4005,0.36
1,1,14.108,12.345,2.4252,0.62
1,1,14.108,12.345,2.4525,0.94
1,1,14.108,12.345,2.4752,1.41
1,1,14.108,12.345,2.5012,1.76
1,1,15.182,12.345,2.5299,2
1,1,16.255,12.345,2.5539,2.11
1,1,17.559,12.345,2.5753,2.12
1,1,18.786,12.345,2.6008,2.12
1,1,20.319,12.345,2.6267,2.14
1,1,21.239,12.345,2.6502,2.16
1,1,21.699,12.345,2.6756,2.17
1,1,22.313,12.345,2.7011,2.15
1,1,23.003,12.345,2.7255,2.16
1,1,23.463,12.268,2.7506,2.16
1,1,24.076,12.115,2.7752,2.17
1,1,24.46,12.038,2.8008,2.18
1,1,24.766,11.961,2.8252,2.2
1,1,25.226,11.808,2.8535,2.21
1,1,25.61,11.808,2.877,2.19
1,1,25.763,11.808,2.902,2.15
1,1,25.763,11.808,2.9252,2.15
1,1,25.763,11.808,2.9505,2.17
1,1,25.763,11.808,2.976,2.01
1,1,25.84,11.808,3.0008,2.01
1,1,25.916,11.808,3.0264,1.09
1,1,25.916,11.808,3.0501,0.35
1,2,13.342,32.204,0,0.14
1,2,13.342,32.204,0.0251,0.77
1,2,13.342,32.204,0.0508,0.97
1,2,13.342,32.204,0.0749,1.17
1,2,13.342,32.204,0.1004,1.36
1,2,13.342,32.204,0.125,1.52
1,2,13.342,32.204,0.1512,1.56
1,2,13.342,32.204,0.1755,1.55
1,2,13.342,32.204,0.2,1.52
1,2,13.342,32.204,0.2256,1.52
1,2,13.342,32.204,0.2501,1.51
1,2,13.342,32.204,0.2754,1.47
1,2,13.342,32.204,0.3,1.44
1,2,13.342,32.204,0.3266,1.37
1,2,13.342,32.204,0.3498,1.34
1,2,13.342,32.204,0.375,1.34
1,2,13.342,32.204,0.4006,1.35
1,2,13.342,32.204,0.4249,1.35
1,2,13.342,32.204,0.4498,1.35
1,2,13.342,32.204,0.4753,1.36
1,2,13.342,32.204,0.5002,1.35
1,2,13.342,32.204,0.5253,1.34
1,2,13.342,32.204,0.5501,1.36
1,2,13.342,32.204,0.5748,1.39
1,2,13.342,32.204,0.6001,1.39
1,2,13.342,32.204,0.6254,1.38
1,2,13.342,32.204,0.6501,1.39
1,2,13.342,32.204,0.6759,1.43
1,2,13.342,32.204,0.7,1.45
1,2,13.342,32.204,0.7262,1.52
1,2,13.342,32.204,0.7501,1.62
1,2,13.342,32.204,0.7748,1.72
1,2,13.342,32.127,0.8007,1.79
1,2,13.112,30.747,0.8267,1.84
1,2,13.035,29.06,0.8566,1.87
1,2,13.035,27.68,0.8752,1.87
1,2,13.035,26.683,0.9,1.87
1,2,13.035,25.38,0.9254,1.88
1,2,13.035,24,0.95,1.88
1,2,13.035,23.233,0.9755,1.88
