participant,repetition,x_mm,y_mm,time,force_N
1,1,8.204,9.584,0,0.41
1,1,8.204,9.584,0.0254,0.8
1,1,8.204,9.584,0.0508,0.88
1,1,8.204,9.584,0.0803,1.05
1,1,8.204,9.584,0.1006,1.15
1,1,8.204,9.584,0.1252,1.27
1,1,8.204,9.584,0.1497,1.26
1,1,8.204,9.584,0.175,1.24
1,1,8.204,9.584,0.2004,1.26
1,1,8.204,9.584,0.225,1.27
1,1,8.204,9.584,0.2503,1.25
1,1,8.204,9.584,0.2753,1.23
1,1,8.204,9.584,0.3006,1.25
1,1,8.204,9.584,0.3249,1.25
1,1,8.204,9.584,0.3499,1.21
1,1,8.204,9.584,0.3754,1.21
1,1,8.204,9.584,0.4001,1.26
1,1,8.204,9.584,0.4253,1.24
1,1,8.204,9.584,0.4498,1.2
1,1,8.204,9.584,0.476,1.2
1,1,8.204,9.584,0.5006,1.21
1,1,8.204,9.584,0.5254,1.22
1,1,8.204,9.584,0.5499,1.21
1,1,8.204,9.584,0.5747,1.21
1,1,8.204,9.584,0.6025,1.21
1,1,8.204,9.584,0.6251,1.22
1,1,8.204,9.584,0.6521,1.21
1,1,8.204,9.584,0.6748,1.21
1,1,8.204,9.584,0.7004,1.2
1,1,8.204,9.584,0.7254,1.21
1,1,8.204,9.584,0.7498,1.21
1,1,8.204,9.584,0.7792,1.19
1,1,8.204,9.584,0.8001,1.17
1,1,8.204,9.584,0.8282,1.17
1,1,8.204,9.584,0.8504,1.19
1,1,8.204,9.584,0.8751,1.19
1,1,8.204,9.584,0.8998,1.18
1,1,8.204,9.584,0.926,1.19
1,1,8.204,9.584,0.951,1.22
1,1,8.204,9.584,0.9756,1.22
1,1,8.204,9.584,0.9998,1.23
1,1,8.204,9.584,1.0247,1.25
1,1,8.204,9.584,1.0555,1.27
1,1,8.204,9.584,1.0757,1.27
1,1,8.204,9.584,1.0997,1.27
1,1,8.204,9.584,1.1252,1.28
1,1,8.204,9.584,1.1519,1.31
1,1,8.204,9.584,1.1778,1.34
1,1,8.204,9.584,1.1999,1.36
1,1,8.204,9.584,1.2251,1.4
1,1,8.204,9.584,1.2502,1.4
1,1,8.204,9.584,1.2752,1.41
1,1,8.204,9.584,1.2999,1.42
1,1,8.204,9.968,1.3251,1.42
1,1,8.204,10.965,1.3561,1.36
1,1,8.204,11.885,1.3777,1.31
1,1,8.204,12.575,1.4001,1.31
1,1,8.051,13.725,1.4246,1.33
1,1,7.974,14.415,1.4518,1.34
1,1,7.821,15.489,1.4752,1.34
1,1,7.514,16.485,1.5002,1.32
1,1,7.361,17.482,1.5277,1.31
1,1,7.131,18.862,1.5505,1.32
1,1,7.131,20.166,1.5754,1.32
1,1,7.208,21.163,1.6,1.3
1,1,7.284,22.543,1.6251,1.3
1,1,7.361,23.386,1.6498,1.29
1,1,7.514,24.306,1.675,1.3
1,1,7.668,25.38,1.7001,1.29
1,1,7.821,26.223,1.725,1.29
1,1,7.898,27.143,1.7498,1.3
1,1,7.898,27.91,1.7751,1.3
1,1,7.898,28.37,1.8003,1.27
1,1,7.974,29.367,1.8258,1.23
1,1,7.974,30.21,1.8504,1.23
1,1,7.974,30.824,1.8771,1.25
1,1,7.898,31.284,1.9016,1.25
1,1,7.898,31.744,1.9288,1.24
1,1,7.898,31.974,1.9501,1.24
1,1,7.898,32.204,1.9748,1.24
1,1,7.898,32.204,2.0008,1.23
1,1,7.898,32.204,2.0253,1.22
1,1,7.898,32.204,2.0506,1.22
1,1,7.898,32.281,2.0748,1.2
1,1,7.898,32.434,2.1002,1.16
1,1,7.898,32.587,2.1251,1.15
1,1,7.898,32.741,2.1517,1.13
1,1,7.898,32.741,2.1751,1.14
1,1,7.898,32.741,2.2,1.14
1,1,7.898,32.741,2.2251,1.2
1,1,7.898,32.741,2.2501,1.22
1,1,7.898,32.741,2.2786,1.22
1,1,7.898,32.741,2.2997,1.22
1,1,7.898,32.741,2.3247,1.22
1,1,7.898,32.741,2.3501,1.2
1,1,8.204,32.741,2.3758,1.19
1,1,8.588,32.511,2.4,1.19
1,1,9.354,31.514,2.4253,1.18
1,1,10.121,30.287,2.4564,1.17
1,1,10.735,29.444,2.4753,1.15
1,1,11.501,27.833,2.5,1.14
1,1,11.885,26.837,2.5248,1.13
1,1,12.422,25.84,2.5501,1.12
1,1,12.882,24.996,2.5753,1.11
1,1,13.112,24.46,2.6002,1.11
1,1,13.495,23.463,2.6276,1.14
1,1,13.955,22.389,2.6508,1.16
1,1,14.262,21.929,2.6764,1.15
1,1,14.875,21.009,2.7001,1.13
1,1,15.565,20.012,2.7248,1.13
1,1,16.025,19.399,2.7517,1.17
1,1,16.715,18.402,2.7749,1.18
1,1,17.175,17.712,2.8002,1.18
1,1,17.405,17.405,2.8252,1.19
1,1,17.635,16.945,2.8502,1.19
1,1,18.019,16.179,2.8747,1.22
1,1,18.326,15.412,2.9026,1.24
1,1,18.632,14.338,2.9252,1.24
1,1,19.016,13.648,2.9501,1.21
1,1,19.322,13.188,2.9807,1.19
1,1,19.552,12.728,3.0001,1.2
1,1,19.782,12.191,3.028,1.2
1,1,19.859,12.038,3.0503,1.18
1,1,20.089,11.808,3.0748,1.17
1,1,20.089,11.578,3.1005,1.19
1,1,20.089,11.501,3.125,1.18
1,1,20.089,11.501,3.1506,1.16
1,1,20.089,11.501,3.1748,1.14
1,1,20.089,11.501,3.2008,1.14
1,1,20.089,11.501,3.2251,1.12
1,1,20.319,11.808,3.2512,1.08
1,1,20.626,12.115,3.2782,1.04
1,1,21.239,13.495,3.3005,1.02
1,1,21.699,14.722,3.3251,1.01
1,1,22.083,16.102,3.3504,0.99
1,1,22.619,17.559,3.3763,0.99
1,1,23.003,18.402,3.4013,1
1,1,23.54,19.629,3.4267,1.01
1,1,24.306,20.779,3.45,1.02
1,1,24.69,21.776,3.4754,1.02
1,1,25.15,23.003,3.5,1.02
1,1,25.61,23.846,3.5265,1.04
1,1,25.916,24.383,3.5516,1.07
1,1,26.53,26.07,3.5751,1.06
1,1,27.22,27.527,3.5997,1.04
1,1,27.527,28.063,3.6263,1.04
1,1,27.987,28.753,3.65,1.06
1,1,28.6,29.904,3.6754,1.07
1,1,28.907,30.67,3.7002,1.07
1,1,29.367,31.437,3.7247,1.07
1,1,29.597,31.974,3.7504,1.05
1,1,29.75,32.204,3.7765,1.03
1,1,29.904,32.434,3.8001,1.02
1,1,29.904,32.511,3.8252,1.02
1,1,29.904,32.664,3.8504,1.01
1,1,29.904,32.664,3.8755,1
1,1,29.904,32.664,3.9005,0.99
1,1,29.904,32.664,3.9251,0.99
1,1,29.904,32.664,3.9497,0.99
1,1,29.904,32.664,3.9766,1
1,1,29.904,32.664,4,1.02
1,1,29.904,32.664,4.0252,1.02
1,1,29.904,32.664,4.0504,1.02
1,1,29.904,32.664,4.0751,1.03
1,1,29.904,32.664,4.0998,1.04
1,1,29.904,32.664,4.127,1.02
1,1,29.904,32.664,4.1497,1.02
1,1,29.904,32.664,4.175,1.06
1,1,29.904,32.664,4.2022,1.09
1,1,29.904,32.664,4.2263,1.09
1,1,29.904,32.357,4.2503,1.09
1,1,29.904,31.207,4.2747,1.13
1,1,29.904,29.98,4.3013,1.17
1,1,29.904,28.14,4.3253,1.18
1,1,29.904,26.837,4.35,1.19
1,1,29.75,25.303,4.3748,1.22
1,1,29.674,23.463,4.4001,1.21
1,1,29.674,22.619,4.4258,1.21
1,1,29.75,21.776,4.4509,1.23
1,1,29.75,20.933,4.4747,1.25
1,1,29.827,19.399,4.5,1.26
1,1,29.904,18.249,4.5267,1.26
1,1,29.98,17.712,4.5506,1.26
1,1,30.057,16.485,4.5749,1.27
1,1,30.057,15.259,4.5998,1.26
1,1,30.134,14.645,4.6262,1.25
1,1,30.134,14.108,4.6506,1.26
1,1,30.134,13.648,4.675,1.26
1,1,30.134,13.418,4.6997,1.26
1,1,30.134,13.188,4.7249,1.26
1,1,30.134,12.958,4.7499,1.32
1,1,30.134,12.805,4.7756,1.35
1,1,30.134,12.805,4.7999,1.35
1,1,30.134,12.805,4.8296,1.35
1,1,30.134,12.805,4.8498,1.39
1,1,30.134,12.805,4.8753,1.43
1,1,30.134,12.805,4.8999,1.45
1,1,30.134,12.805,4.9247,1.45
1,1,30.134,12.805,4.9507,1.43
1,1,30.134,12.805,4.9757,1.32
1,1,30.134,12.805,5,0.98
1,1,30.134,12.805,5.0248,0.39
1,1,30.134,12.805,5.0501,0.16
1,2,7.974,10.275,0,0.14
1,2,7.974,10.275,0.0247,0.4
1,2,7.974,10.275,0.0499,0.67
1,2,7.974,10.275,0.0763,1.01
1,2,7.974,10.275,0.1004,1.21
1,2,7.974,10.275,0.1249,1.4
1,2,7.974,10.275,0.1498,1.48
1,2,7.974,10.275,0.1746,1.5
1,2,7.974,10.275,0.1995,1.5
1,2,7.974,10.275,0.2249,1.5
1,2,7.974,10.275,0.2567,1.47
1,2,7.974,10.275,0.2751,1.46
1,2,7.974,10.275,0.2995,1.47
1,2,7.974,10.275,0.3243,1.48
1,2,7.974,10.275,0.3499,1.49
1,2,7.974,10.275,0.3754,1.48
1,2,7.974,10.275,0.3997,1.5
1,2,7.974,10.275,0.4269,1.54
1,2,7.974,10.275,0.4496,1.53
