participant,repetition,x_mm,y_mm,time,force_N
1,1,13.572,26.837,0,0.2
1,1,13.572,26.837,0.0234,0.38
1,1,13.572,26.837,0.0506,0.54
1,1,13.572,26.837,0.0744,0.71
1,1,13.572,26.837,0.0987,0.88
1,1,13.572,26.837,0.125,0.98
1,1,13.572,26.837,0.1485,1
1,1,13.572,26.837,0.1762,1.04
1,1,13.572,26.837,0.2011,1.02
1,1,13.572,26.837,0.2236,1.02
1,1,13.572,26.837,0.2489,1.04
1,1,13.572,26.837,0.2739,1.05
1,1,13.572,26.837,0.2988,1.05
1,1,13.572,26.837,0.3238,1.05
1,1,13.572,26.837,0.3486,1.05
1,1,13.572,26.837,0.3742,1.04
1,1,13.572,26.837,0.3986,1.04
1,1,13.572,26.837,0.4235,1.05
1,1,13.572,26.837,0.4485,1.07
1,1,13.572,26.837,0.4744,1.07
1,1,13.572,26.837,0.4987,1.09
1,1,13.572,26.837,0.5237,1.11
1,1,13.572,26.837,0.5487,1.12
1,1,13.572,26.837,0.5742,1.13
1,1,13.572,26.837,0.5995,1.14
1,1,13.572,26.683,0.6241,1.14
1,1,13.572,26.453,0.6502,1.14
1,1,13.572,26.07,0.6735,1.11
1,1,13.572,25.84,0.6998,1.1
1,1,13.572,25.61,0.7303,1.09
1,1,13.572,25.456,0.7486,1.09
1,1,13.572,25.303,0.7741,1.1
1,1,13.572,25.073,0.7989,1.11
1,1,13.572,24.996,0.8238,1.12
1,1,13.572,24.843,0.8496,1.13
1,1,13.572,24.613,0.874,1.13
1,1,13.572,24.383,0.8983,1.13
1,1,13.572,24.23,0.9245,1.13
1,1,13.572,24,0.9502,1.13
1,1,13.572,23.846,0.9734,1.13
1,1,13.572,23.693,0.9985,1.12
1,1,13.572,23.463,1.0238,1.13
1,1,13.572,23.309,1.0488,1.13
1,1,13.572,23.079,1.0794,1.15
1,1,13.572,22.926,1.0988,1.15
1,1,13.572,22.389,1.1238,1.14
1,1,13.572,22.006,1.1489,1.12
1,1,13.572,21.623,1.1738,1.1
1,1,13.572,21.009,1.1996,1.12
1,1,13.572,20.703,1.2234,1.12
1,1,13.572,20.166,1.2493,1.12
1,1,13.572,19.782,1.2747,1.13
1,1,13.572,19.476,1.3002,1.13
1,1,13.572,18.862,1.3234,1.13
1,1,13.572,18.096,1.3491,1.13
1,1,13.572,17.712,1.3744,1.11
1,1,13.572,17.252,1.3987,1.1
1,1,13.572,16.945,1.4238,1.09
1,1,13.572,16.485,1.4492,1.09
1,1,13.572,16.102,1.4756,1.08
1,1,13.572,15.872,1.4989,1.09
1,1,13.572,15.412,1.5235,1.09
1,1,13.342,14.722,1.5495,1.09
1,1,13.265,14.262,1.5735,1.06
1,1,13.188,13.648,1.5989,1.05
1,1,13.188,13.112,1.6237,1.05
1,1,13.188,12.805,1.6489,1.07
1,1,13.188,12.345,1.6735,1.06
1,1,13.188,11.885,1.6991,1.07
1,1,13.188,11.578,1.7257,1.08
1,1,13.188,11.425,1.7484,1.08
1,1,13.188,11.195,1.7739,1.09
1,1,13.188,11.041,1.7988,1.09
1,1,13.188,10.735,1.8327,1.13
1,1,13.188,10.581,1.8487,1.14
1,1,13.188,10.505,1.8734,1.11
1,1,13.188,10.505,1.8998,1.01
1,1,13.188,10.505,1.9242,0.88
1,1,13.188,10.505,1.9493,0.49
1,1,13.188,10.505,1.9735,0.12
1,1,14.032,22.006,2.6735,0.11
1,1,14.032,22.006,2.7002,0.25
1,1,14.032,22.006,2.7235,0.43
1,1,14.032,22.006,2.7488,0.54
1,1,14.032,22.006,2.7751,0.64
1,1,14.032,22.083,2.802,0.79
1,1,14.262,22.466,2.8245,0.88
1,1,14.645,23.003,2.8485,0.79
1,1,15.182,23.846,2.8735,0.77
1,1,15.489,24.306,2.8989,0.79
1,1,16.102,24.996,2.9296,0.88
1,1,16.639,25.533,2.9484,0.88
1,1,17.022,25.84,2.9734,0.88
1,1,17.175,25.993,2.9992,0.88
1,1,17.482,26.146,3.0238,0.88
1,1,17.712,26.3,3.0487,0.88
1,1,17.865,26.3,3.0741,0.88
1,1,18.326,26.3,3.0989,0.96
1,1,18.939,26.377,3.1237,0.98
1,1,19.322,26.377,3.1485,1.03
1,1,19.936,26.377,3.1749,1.05
1,1,20.549,26.377,3.1993,1.09
1,1,21.009,26.377,3.228,1.11
1,1,21.393,26.3,3.2486,1.13
1,1,21.853,26.07,3.2749,1.14
1,1,22.083,25.84,3.2984,1.17
1,1,22.543,25.38,3.3249,1.2
1,1,23.003,24.92,3.3495,1.22
1,1,23.233,24.613,3.3737,1.23
1,1,23.54,24.153,3.4004,1.23
1,1,23.846,23.77,3.4241,1.23
1,1,24,23.463,3.4541,1.26
1,1,24.153,22.849,3.4741,1.27
1,1,24.306,22.313,3.4991,1.27
1,1,24.46,21.393,3.5233,1.27
1,1,24.46,20.319,3.5486,1.29
1,1,24.46,19.706,3.5755,1.3
1,1,24.46,19.246,3.5986,1.29
1,1,24.46,18.479,3.6252,1.3
1,1,24.46,18.019,3.6487,1.32
1,1,24.46,17.175,3.6792,1.33
1,1,24.46,16.562,3.699,1.32
1,1,24.46,16.025,3.7235,1.33
1,1,24.613,15.489,3.7486,1.34
1,1,24.69,15.028,3.7737,1.32
1,1,24.766,14.722,3.8,1.31
1,1,24.766,14.185,3.8234,1.33
1,1,24.92,13.495,3.8483,1.33
1,1,25.073,12.805,3.8774,1.31
1,1,25.226,12.498,3.8987,1.3
1,1,25.38,11.961,3.924,1.3
1,1,25.38,11.731,3.9486,1.31
1,1,25.38,11.501,3.9741,1.31
1,1,25.38,11.271,3.9988,1.31
1,1,25.38,11.041,4.0287,1.31
1,1,25.38,10.965,4.0486,1.32
1,1,25.38,10.888,4.0735,1.34
1,1,25.38,10.888,4.0985,1.35
1,1,25.38,10.888,4.124,1.36
1,1,25.38,10.888,4.1487,1.42
1,1,25.38,10.888,4.1736,1.45
1,1,25.38,10.888,4.2005,1.44
1,1,25.38,10.888,4.2238,1.39
1,1,25.38,10.888,4.2528,1.24
1,1,25.38,10.888,4.2738,0.88
1,1,25.38,10.888,4.2986,0.26
1,2,12.805,27.067,0,0.2
1,2,12.805,27.067,0.0195,0.36
1,2,12.805,27.067,0.0441,0.45
1,2,12.805,27.067,0.0699,0.61
1,2,12.805,27.067,0.0948,0.81
1,2,12.805,27.067,0.1193,0.89
