participant,repetition,x_mm,y_mm,time,force_N
1,1,10.428,9.661,0,0.17
1,1,10.428,9.661,0.0251,0.39
1,1,10.428,9.661,0.0505,0.56
1,1,10.428,9.738,0.076,0.73
1,1,10.428,9.968,0.1005,0.87
1,1,10.351,10.581,0.125,0.95
1,1,10.351,11.041,0.1498,1.03
1,1,10.351,11.808,0.1758,1.04
1,1,10.351,12.498,0.2013,1.03
1,1,10.351,13.418,0.2252,1.04
1,1,10.351,14.952,0.2498,1.08
1,1,10.351,15.872,0.2752,1.09
1,1,10.351,16.409,0.3,1.09
1,1,10.351,17.712,0.3283,1.1
1,1,10.351,19.016,0.3497,1.12
1,1,10.351,19.629,0.3749,1.13
1,1,10.351,20.242,0.4004,1.15
1,1,10.351,21.086,0.4279,1.17
1,1,10.351,21.699,0.4501,1.19
1,1,10.351,22.466,0.4759,1.22
1,1,10.351,23.309,0.5051,1.21
1,1,10.351,23.77,0.5251,1.2
1,1,10.351,24.306,0.55,1.2
1,1,10.351,24.766,0.5748,1.22
1,1,10.351,25.073,0.5999,1.22
1,1,10.351,25.916,0.6254,1.21
1,1,10.351,26.683,0.6505,1.22
1,1,10.351,27.067,0.6747,1.23
1,1,10.351,27.603,0.7003,1.23
1,1,10.351,28.063,0.7321,1.2
1,1,10.351,28.293,0.7504,1.18
1,1,10.351,28.6,0.7748,1.18
1,1,10.351,28.753,0.7999,1.18
1,1,10.351,29.137,0.8251,1.17
1,1,10.351,29.367,0.851,1.18
1,1,10.351,29.52,0.8752,1.18
1,1,10.351,29.75,0.8998,1.18
1,1,10.351,29.98,0.9253,1.16
1,1,10.351,30.134,0.9507,1.17
1,1,10.351,30.364,0.9754,1.18
1,1,10.351,30.44,1.0002,1.15
1,1,10.351,30.517,1.0255,1.12
1,1,10.351,30.747,1.0498,1.11
1,1,10.351,30.977,1.0786,1.1
1,1,10.351,31.13,1.1002,1.07
1,1,10.351,31.36,1.1248,1.04
1,1,10.351,31.59,1.1502,1.04
1,1,10.351,31.667,1.1753,1.06
1,1,10.351,31.667,1.2005,1.06
1,1,10.351,31.744,1.225,1.05
1,1,10.351,31.744,1.2507,1.03
1,1,10.351,31.744,1.2748,1.03
1,1,10.351,31.744,1.3001,1.01
1,1,10.351,31.744,1.3253,0.97
1,1,10.351,31.744,1.3499,0.98
1,1,10.351,31.744,1.3761,1.01
1,1,10.351,31.744,1.4029,1.02
1,1,10.351,31.744,1.4273,1.03
1,1,10.505,31.744,1.4503,1.06
1,1,10.888,31.667,1.4753,1.07
1,1,11.348,31.437,1.5005,1.07
1,1,11.808,31.207,1.525,1.07
1,1,12.498,30.824,1.5508,1.07
1,1,12.958,30.44,1.5748,1.07
1,1,13.265,30.287,1.6039,1.07
1,1,13.342,30.134,1.6255,1.08
1,1,13.648,29.904,1.65,1.11
1,1,13.955,29.597,1.6749,1.14
1,1,14.492,28.984,1.7004,1.15
1,1,15.182,28.293,1.7273,1.14
1,1,15.565,27.833,1.7508,1.14
1,1,16.332,26.913,1.7802,1.14
1,1,17.022,26.223,1.7999,1.15
1,1,17.329,25.763,1.827,1.16
1,1,17.789,25.073,1.8504,1.16
1,1,18.326,24.153,1.8754,1.14
1,1,18.709,23.463,1.9,1.14
1,1,19.169,22.619,1.9248,1.14
1,1,19.552,22.159,1.9512,1.14
1,1,19.782,21.929,1.9759,1.16
1,1,20.166,21.623,2.0009,1.17
1,1,20.626,21.239,2.0248,1.17
1,1,21.009,20.933,2.0502,1.16
1,1,21.699,20.012,2.0753,1.15
1,1,22.313,18.939,2.1005,1.13
1,1,22.773,18.326,2.1251,1.1
1,1,23.463,17.789,2.1506,1.09
1,1,24.076,17.329,2.1785,1.06
1,1,24.46,17.022,2.2002,1.05
1,1,24.92,16.715,2.225,1.03
1,1,25.073,16.485,2.2502,1.01
1,1,25.303,16.255,2.275,1
1,1,25.61,15.795,2.301,1.03
1,1,25.916,15.182,2.3252,1.05
1,1,26.223,14.415,2.3506,1.05
1,1,26.377,14.032,2.3748,1.01
1,1,26.53,13.878,2.4001,1.02
1,1,26.683,13.648,2.4253,1.06
1,1,26.837,13.418,2.4503,1.07
1,1,27.067,13.188,2.4795,1.07
1,1,27.22,13.035,2.5004,1.07
1,1,27.297,12.882,2.5257,1.08
1,1,27.373,12.805,2.5502,1.08
1,1,27.45,12.728,2.5754,1.08
1,1,27.45,12.728,2.6003,1.08
1,1,27.45,12.728,2.6257,1.05
1,1,27.45,12.728,2.6505,1.02
1,1,27.45,12.728,2.6753,1
1,1,27.45,12.728,2.7005,0.97
1,1,27.603,13.188,2.7259,0.95
1,1,27.833,14.262,2.7505,0.87
1,1,27.987,15.335,2.7763,0.87
1,1,27.987,16.562,2.8001,0.87
1,1,27.91,17.942,2.8259,0.87
1,1,27.757,18.862,2.8502,0.87
1,1,27.373,20.856,2.8821,0.87
1,1,27.297,21.546,2.9001,0.87
1,1,27.22,23.156,2.9251,0.95
1,1,27.143,24.153,2.9502,1.03
1,1,27.067,24.843,2.9753,1.04
1,1,26.99,26.53,3.0013,1.04
1,1,26.99,27.68,3.0263,1.07
1,1,26.99,28.14,3.05,1.12
1,1,26.99,28.753,3.0751,1.13
1,1,26.99,29.444,3.1034,1.13
1,1,26.99,29.904,3.1254,1.17
1,1,26.99,30.44,3.1499,1.18
1,1,26.99,31.054,3.1754,1.17
1,1,26.99,31.437,3.201,1.17
1,1,26.99,31.974,3.2254,1.18
1,1,26.99,32.281,3.2502,1.19
1,1,26.99,32.434,3.2748,1.2
1,1,26.99,32.511,3.3005,1.24
1,1,26.99,32.511,3.3249,1.32
1,1,26.99,32.511,3.3506,1.34
1,1,26.99,32.511,3.3757,1.24
1,1,26.99,32.511,3.4067,0.87
1,1,26.99,32.511,3.4254,0.57
1,2,10.428,9.738,0,0.28
1,2,10.428,9.738,0.024,0.51
1,2,10.428,9.738,0.0492,0.66
1,2,10.428,9.738,0.0766,0.94
1,2,10.428,9.738,0.0992,0.94
1,2,10.428,9.815,0.1294,1.13
1,2,10.428,9.968,0.1489,1.14
1,2,10.505,10.351,0.1731,1.15
1,2,10.581,11.118,0.1983,1.15
1,2,10.658,11.501,0.2231,1.14
1,2,10.888,12.115,0.2502,1.11
1,2,11.041,13.265,0.2731,1.07
1,2,11.041,14.338,0.2984,1.06
1,2,11.041,15.105,0.3232,1.06
1,2,11.041,15.872,0.3487,1.08
1,2,11.041,16.869,0.3755,1.1
1,2,11.041,17.635,0.3988,1.11
1,2,11.041,18.786,0.4254,1.12
1,2,11.041,19.782,0.4496,1.13
1,2,11.041,20.242,0.4737,1.14
1,2,11.041,21.393,0.4987,1.14
1,2,11.041,22.083,0.5237,1.13
1,2,10.965,23.156,0.5479,1.15
1,2,10.965,23.923,0.5733,1.18
1,2,10.965,24.306,0.5985,1.17
1,2,10.811,25.15,0.6228,1.14
1,2,10.811,25.84,0.6489,1.14
1,2,10.811,26.3,0.6733,1.17
1,2,10.658,26.913,0.7014,1.17
1,2,10.428,27.68,0.7231,1.13
1,2,10.428,28.14,0.7479,1.11
