participant,repetition,x_mm,y_mm,time,force_N
1,1,21.316,25.38,0,0.27
1,1,21.316,25.38,0.0252,0.56
1,1,21.316,25.38,0.0497,0.74
1,1,21.239,25.38,0.0747,0.83
1,1,21.239,25.38,0.0997,1.11
1,1,21.239,25.38,0.1303,1.26
1,1,21.239,25.38,0.1502,1.33
1,1,21.239,25.38,0.1765,1.35
1,1,21.239,25.38,0.1998,1.34
1,1,21.239,25.38,0.2249,1.33
1,1,21.239,25.38,0.2507,1.33
1,1,21.239,25.38,0.2751,1.32
1,1,21.239,25.38,0.3001,1.29
1,1,21.239,25.38,0.3263,1.26
1,1,21.239,25.38,0.3542,1.26
1,1,21.239,25.38,0.3748,1.27
1,1,21.239,25.38,0.401,1.29
1,1,21.239,25.38,0.4255,1.31
1,1,21.239,25.38,0.4499,1.34
1,1,21.239,25.38,0.475,1.35
1,1,21.239,25.38,0.4996,1.36
1,1,21.239,25.38,0.5281,1.37
1,1,21.239,25.38,0.5501,1.4
1,1,21.239,25.38,0.5749,1.4
1,1,21.239,25.38,0.5997,1.39
1,1,21.239,25.38,0.6256,1.39
1,1,21.239,25.38,0.6511,1.4
1,1,21.239,25.38,0.6748,1.4
1,1,21.239,25.38,0.6998,1.38
1,1,21.239,25.38,0.7248,1.37
1,1,21.239,25.38,0.7505,1.34
1,1,21.239,25.38,0.775,1.31
1,1,21.239,25.38,0.7998,1.3
1,1,21.239,25.38,0.8247,1.28
1,1,21.239,25.38,0.8501,1.26
1,1,21.239,25.38,0.8753,1.25
1,1,21.239,25.38,0.9009,1.22
1,1,21.239,25.38,0.9247,1.21
1,1,21.239,25.38,0.9502,1.21
1,1,21.239,25.38,0.9747,1.25
1,1,21.239,25.38,1.0003,1.26
1,1,21.239,25.38,1.0248,1.27
1,1,21.239,25.38,1.0503,1.3
1,1,21.239,25.38,1.0748,1.32
1,1,21.239,25.38,1.1037,1.37
1,1,21.239,25.38,1.1269,1.42
1,1,21.239,25.38,1.1498,1.43
1,1,21.239,25.38,1.1781,1.44
1,1,21.239,25.38,1.2003,1.47
1,1,21.239,25.38,1.2253,1.49
1,1,21.239,25.38,1.2497,1.48
1,1,21.009,25.533,1.277,1.47
1,1,20.779,25.686,1.3013,1.45
1,1,20.319,25.84,1.3252,1.45
1,1,20.012,25.916,1.35,1.45
1,1,19.629,25.993,1.3752,1.46
1,1,19.246,25.993,1.4012,1.45
1,1,19.016,25.993,1.4257,1.45
1,1,18.786,25.916,1.4548,1.44
1,1,18.326,25.533,1.4758,1.41
1,1,18.019,25.226,1.4997,1.38
1,1,17.635,24.843,1.5255,1.39
1,1,17.252,24.46,1.55,1.41
1,1,16.409,23.693,1.5783,1.41
1,1,15.719,22.926,1.6001,1.39
1,1,15.259,22.236,1.6299,1.39
1,1,14.952,21.623,1.6501,1.4
1,1,14.492,20.396,1.6748,1.42
1,1,14.262,19.782,1.7003,1.45
1,1,14.032,19.092,1.7248,1.45
1,1,13.955,18.326,1.7515,1.45
1,1,13.955,17.712,1.7751,1.5
1,1,13.955,16.485,1.8006,1.51
1,1,14.108,15.642,1.8249,1.5
1,1,14.262,14.952,1.8535,1.5
1,1,14.415,14.492,1.8765,1.52
1,1,14.798,13.495,1.8996,1.54
1,1,15.182,12.728,1.9272,1.55
1,1,15.489,12.191,1.95,1.54
1,1,16.255,11.578,1.9752,1.52
1,1,16.715,11.271,1.9998,1.51
1,1,17.405,10.965,2.0249,1.49
1,1,18.019,10.735,2.0499,1.47
1,1,18.709,10.581,2.0754,1.45
1,1,19.936,10.505,2.1001,1.41
1,1,21.009,10.735,2.1248,1.37
1,1,21.776,11.271,2.1504,1.32
1,1,23.233,12.958,2.1755,1.26
1,1,24.46,14.415,2.2018,1.24
1,1,25.073,15.412,2.2249,1.25
1,1,25.763,16.945,2.2499,1.25
1,1,26.07,17.865,2.2766,1.25
1,1,26.07,18.632,2.2999,1.27
1,1,25.993,19.936,2.3248,1.32
1,1,25.686,20.856,2.3503,1.4
1,1,25.073,21.853,2.3782,1.44
1,1,24.383,22.543,2.4003,1.48
1,1,23.846,23.003,2.4261,1.52
1,1,23.54,23.309,2.4504,1.52
1,1,23.003,23.923,2.475,1.49
1,1,22.543,24.383,2.5015,1.48
1,1,22.236,24.69,2.5249,1.51
1,1,21.929,25.073,2.553,1.52
1,1,21.776,25.226,2.5756,1.53
1,1,21.546,25.38,2.5996,1.54
1,1,21.393,25.38,2.6254,1.56
1,1,21.239,25.38,2.6521,1.57
1,1,21.009,25.38,2.6747,1.57
1,1,20.933,25.38,2.6998,1.57
1,1,20.933,25.38,2.7252,1.48
1,1,20.933,25.38,2.7499,1.01
1,1,20.933,25.38,2.7748,0.12
1,2,19.476,27.143,0,0.18
1,2,19.322,27.143,0.0213,0.43
1,2,19.246,27.143,0.0518,0.61
1,2,19.246,27.143,0.0716,0.75
1,2,19.169,27.143,0.0963,0.96
