participant,repetition,x_mm,y_mm,time,force_N
1,1,19.782,32.894,0,0.26
1,1,19.782,32.894,0.025,0.56
1,1,19.782,32.894,0.0513,0.76
1,1,19.782,32.894,0.0747,0.93
1,1,19.782,32.894,0.099,1.14
1,1,19.782,32.894,0.1247,1.29
1,1,19.782,32.894,0.1498,1.42
1,1,19.782,32.894,0.175,1.46
1,1,19.782,32.894,0.199,1.48
1,1,19.782,32.894,0.2278,1.48
1,1,19.782,32.894,0.2503,1.48
1,1,19.782,32.894,0.2769,1.47
1,1,19.782,32.894,0.3023,1.42
1,1,19.782,32.894,0.3272,1.33
1,1,19.782,32.894,0.3495,1.3
1,1,19.782,32.894,0.3757,1.28
1,1,19.782,32.894,0.4012,1.28
1,1,19.782,32.894,0.4249,1.26
1,1,19.782,32.894,0.4494,1.26
1,1,19.782,32.894,0.4755,1.3
1,1,19.782,32.894,0.5,1.32
1,1,19.782,32.894,0.5247,1.33
1,1,19.782,32.894,0.5492,1.36
1,1,19.782,32.894,0.5749,1.4
1,1,19.782,32.894,0.6017,1.41
1,1,19.782,32.894,0.629,1.38
1,1,19.782,32.894,0.6495,1.38
1,1,19.782,32.894,0.6741,1.41
1,1,19.782,32.894,0.6995,1.45
1,1,19.782,32.894,0.7243,1.47
1,1,19.782,32.894,0.7497,1.49
1,1,19.782,32.894,0.7745,1.53
1,1,19.706,32.894,0.8003,1.56
1,1,19.476,32.894,0.8245,1.57
1,1,19.016,32.894,0.8505,1.58
1,1,18.632,32.817,0.875,1.63
1,1,17.329,32.204,0.899,1.64
1,1,15.795,31.207,0.9247,1.6
1,1,15.182,30.67,0.9492,1.6
1,1,14.415,30.287,0.9778,1.62
1,1,13.725,29.827,0.9994,1.66
1,1,13.342,29.597,1.0247,1.66
1,1,12.575,29.06,1.0499,1.65
1,1,11.731,27.987,1.0752,1.65
1,1,11.195,26.99,1.1,1.66
1,1,10.888,26.07,1.124,1.67
1,1,10.658,25.15,1.1541,1.71
1,1,10.581,24,1.1744,1.76
1,1,10.505,22.466,1.2023,1.78
1,1,10.505,21.853,1.224,1.79
1,1,10.581,20.933,1.2492,1.78
1,1,10.581,19.706,1.2743,1.79
1,1,10.581,18.786,1.2995,1.8
1,1,10.658,17.942,1.3284,1.8
1,1,10.811,17.329,1.3492,1.77
1,1,10.965,16.869,1.3741,1.75
1,1,11.195,15.872,1.3991,1.71
1,1,11.578,14.722,1.4242,1.65
1,1,12.115,14.108,1.4507,1.61
1,1,12.805,13.418,1.4743,1.56
1,1,13.265,12.958,1.4995,1.55
1,1,13.572,12.652,1.5248,1.56
1,1,14.415,12.038,1.5493,1.59
1,1,15.335,11.578,1.5739,1.59
1,1,15.949,11.425,1.599,1.58
1,1,17.022,11.118,1.6251,1.62
1,1,17.865,10.888,1.6499,1.67
1,1,19.169,10.811,1.6781,1.65
1,1,19.859,10.811,1.699,1.62
1,1,20.856,11.041,1.7297,1.63
1,1,21.393,11.271,1.75,1.64
1,1,22.159,11.655,1.7743,1.65
1,1,22.926,12.038,1.7991,1.59
1,1,24.23,12.728,1.824,1.55
1,1,25.38,14.032,1.851,1.53
1,1,26.07,15.105,1.8744,1.51
1,1,26.837,16.639,1.899,1.45
1,1,27.68,18.786,1.9239,1.39
1,1,28.063,20.089,1.951,1.39
1,1,28.14,21.239,1.9746,1.42
1,1,27.987,23.156,1.999,1.43
1,1,27.757,24,2.0248,1.42
1,1,27.297,24.996,2.0509,1.45
1,1,26.53,27.22,2.0826,1.46
1,1,26.377,27.603,2.1004,1.45
1,1,25.84,28.447,2.1241,1.46
1,1,24.69,29.597,2.1496,1.49
1,1,24,30.517,2.1759,1.48
1,1,23.079,31.514,2.1995,1.48
1,1,22.543,32.051,2.2241,1.53
1,1,22.083,32.281,2.2543,1.56
1,1,21.699,32.434,2.2754,1.53
1,1,20.933,32.511,2.2991,1.47
1,1,20.396,32.511,2.3251,1.48
1,1,19.706,32.511,2.3495,1.52
1,1,19.246,32.511,2.3741,1.55
1,1,18.939,32.357,2.3998,1.56
1,1,18.709,32.357,2.4249,1.54
1,1,18.632,32.357,2.4491,1.28
1,1,18.632,32.357,2.4739,0.29
1,2,18.019,32.894,0,0.16
1,2,17.942,32.894,0.0245,0.43
1,2,17.942,32.894,0.0504,0.61
1,2,17.942,32.894,0.0747,0.67
1,2,17.942,32.894,0.0999,0.77
1,2,17.942,32.894,0.126,1.07
1,2,17.942,32.894,0.1498,1.19
1,2,17.942,32.894,0.1803,1.23
