participant,repetition,x_mm,y_mm,time,force_N
1,1,12.191,26.377,0,0.25
1,1,12.191,26.377,0.0247,0.38
1,1,12.191,26.377,0.0505,0.52
1,1,12.191,26.377,0.0746,0.64
1,1,12.191,26.377,0.1002,0.81
1,1,12.191,26.377,0.1258,1
1,1,12.191,26.377,0.1504,1.19
1,1,12.191,26.377,0.1748,1.34
1,1,12.191,26.377,0.1995,1.47
1,1,12.191,26.377,0.2247,1.48
1,1,12.191,26.377,0.2579,1.45
1,1,12.191,26.377,0.2755,1.4
1,1,12.191,26.377,0.2997,1.35
1,1,12.191,26.377,0.3267,1.3
1,1,12.191,26.377,0.35,1.26
1,1,12.191,26.377,0.3751,1.21
1,1,12.191,26.377,0.3999,1.18
1,1,12.191,26.377,0.4249,1.15
1,1,12.191,26.377,0.4502,1.12
1,1,12.191,26.377,0.4757,1.09
1,1,12.191,26.377,0.5013,1.06
1,1,12.191,26.377,0.5246,1.06
1,1,12.191,26.377,0.5502,1.07
1,1,12.191,26.377,0.5756,1.08
1,1,12.191,26.377,0.5997,1.07
1,1,12.191,26.377,0.6248,1.03
1,1,12.191,26.377,0.6511,1.02
1,1,12.191,26.377,0.6753,1.02
1,1,12.191,26.377,0.6998,1
1,1,12.191,26.377,0.7248,0.98
1,1,12.191,26.377,0.7496,0.97
1,1,12.191,26.377,0.7751,0.97
1,1,12.191,26.377,0.8015,0.99
1,1,12.191,26.377,0.8248,1
1,1,12.191,26.377,0.8496,1
1,1,12.191,26.377,0.8751,0.99
1,1,12.191,26.377,0.9009,0.99
1,1,12.191,26.377,0.925,0.99
1,1,12.191,26.377,0.9497,1
1,1,12.191,26.377,0.9757,1
1,1,12.191,26.377,0.9998,1.02
1,1,12.191,26.377,1.0255,1.06
1,1,12.191,26.377,1.0495,1.12
1,1,12.191,26.377,1.0749,1.18
1,1,12.191,26.377,1.0996,1.25
1,1,12.191,26.377,1.1249,1.31
1,1,12.191,26.377,1.1496,1.4
1,1,12.191,26.377,1.1748,1.5
1,1,12.191,26.377,1.1999,1.58
1,1,12.191,26.377,1.2254,1.64
1,1,12.191,26.377,1.2505,1.72
1,1,12.191,26.377,1.2746,1.77
1,1,12.191,26.377,1.3002,1.76
1,1,12.191,26.3,1.3249,1.72
1,1,12.191,25.993,1.351,1.68
1,1,12.268,25.456,1.3771,1.64
1,1,12.422,25.15,1.4,1.62
1,1,12.652,24.613,1.4256,1.6
1,1,12.728,24.306,1.45,1.57
1,1,12.805,23.923,1.475,1.54
1,1,12.805,23.463,1.5012,1.53
1,1,12.882,23.156,1.5249,1.52
1,1,12.882,22.389,1.5501,1.5
1,1,12.958,21.546,1.5746,1.48
1,1,13.035,21.086,1.6,1.47
1,1,13.188,20.396,1.6249,1.47
1,1,13.188,19.936,1.6504,1.46
1,1,13.188,19.629,1.6749,1.46
1,1,13.188,19.169,1.6995,1.47
1,1,13.188,18.479,1.725,1.47
1,1,13.188,17.942,1.7498,1.47
1,1,13.265,16.869,1.7757,1.48
1,1,13.265,15.872,1.7996,1.5
1,1,13.265,15.335,1.8265,1.5
1,1,13.188,14.032,1.8501,1.51
1,1,13.188,12.728,1.875,1.53
1,1,13.188,12.115,1.9,1.53
1,1,13.112,11.501,1.9246,1.52
1,1,13.112,10.735,1.9511,1.52
1,1,13.035,10.198,1.9747,1.51
1,1,13.035,9.508,1.9999,1.5
1,1,13.035,9.124,2.0246,1.49
1,1,13.035,8.664,2.0496,1.49
1,1,13.035,8.051,2.0756,1.51
1,1,13.035,7.744,2.1,1.52
1,1,13.035,7.361,2.1284,1.54
1,1,13.035,6.747,2.1503,1.56
1,1,12.805,5.751,2.1786,1.6
1,1,12.805,4.984,2.1999,1.61
1,1,12.728,3.834,2.2248,1.61
1,1,12.652,3.297,2.2507,1.61
1,1,12.652,2.76,2.2746,1.61
1,1,12.652,2.53,2.3001,1.61
1,1,12.652,2.454,2.325,1.51
1,1,12.652,2.454,2.3495,1.19
1,1,12.652,2.454,2.3756,0.56
1,1,12.652,2.454,2.3999,0.11
1,1,12.652,2.454,2.6001,0.1
1,1,12.652,2.454,2.6247,0.1
1,1,12.652,2.454,2.7746,0.1
1,1,12.652,2.454,2.8001,0.1
1,1,12.652,2.454,2.8249,0.1
1,1,12.652,2.454,2.8498,0.1
1,1,12.652,2.454,2.8746,0.11
1,1,14.108,20.856,2.9,0.13
1,1,14.108,20.856,2.9267,0.18
1,1,14.108,20.856,2.9511,0.28
1,1,14.108,21.086,2.9745,0.41
1,1,14.108,21.239,3.0002,0.55
1,1,14.108,21.546,3.0248,0.71
1,1,14.108,22.006,3.051,0.81
1,1,14.185,22.236,3.0746,0.98
1,1,14.338,22.696,3.0997,1.03
1,1,14.875,23.463,3.1252,1.07
1,1,15.489,24,3.1501,1.11
1,1,16.409,24.92,3.1748,1.14
1,1,17.099,25.533,3.2002,1.16
1,1,17.559,25.84,3.2251,1.18
1,1,17.942,26.07,3.2495,1.21
1,1,18.709,26.377,3.2771,1.24
1,1,19.322,26.53,3.2996,1.27
1,1,20.242,26.76,3.3254,1.29
1,1,21.009,26.76,3.3511,1.31
1,1,21.393,26.76,3.3752,1.33
1,1,21.853,26.76,3.4005,1.37
1,1,22.466,26.607,3.4262,1.39
1,1,23.156,26.223,3.45,1.42
1,1,24.076,25.533,3.4756,1.46
1,1,24.69,24.92,3.5001,1.47
1,1,25.38,24.076,3.5253,1.47
1,1,25.763,23.54,3.5537,1.46
1,1,25.993,23.079,3.5773,1.45
1,1,26.146,22.619,3.6021,1.44
1,1,26.223,21.929,3.6311,1.45
1,1,26.377,21.239,3.6497,1.46
1,1,26.377,20.242,3.6749,1.46
1,1,26.377,19.476,3.7098,1.44
1,1,26.377,19.092,3.7292,1.43
1,1,26.377,18.479,3.7503,1.43
1,1,26.223,17.405,3.7752,1.44
1,1,25.993,16.332,3.8113,1.44
1,1,25.38,15.565,3.8325,1.42
1,1,24.766,15.105,3.8534,1.42
1,1,24,14.338,3.8905,1.44
1,1,23.693,14.032,3.9016,1.45
1,1,23.233,13.648,3.9306,1.44
1,1,22.773,13.188,3.9534,1.41
1,1,22.389,13.035,3.981,1.38
1,1,21.929,12.805,4.0009,1.38
1,1,21.699,12.728,4.0256,1.42
1,1,20.933,12.575,4.0504,1.45
1,1,20.089,12.422,4.0763,1.42
1,1,19.706,12.422,4.1006,1.39
1,1,19.092,12.422,4.1264,1.38
1,1,18.786,12.498,4.1506,1.39
1,1,18.479,12.652,4.1749,1.43
1,1,18.096,12.728,4.2051,1.45
1,1,17.635,12.958,4.2272,1.41
1,1,17.252,13.188,4.2579,1.39
1,1,16.792,13.418,4.28,1.38
1,1,16.332,13.648,4.3001,1.38
1,1,15.719,13.955,4.325,1.39
1,1,15.335,14.185,4.3506,1.4
1,1,15.182,14.338,4.3768,1.41
1,1,14.952,14.492,4.4002,1.43
1,1,14.875,14.492,4.4332,1.42
1,1,14.875,14.492,4.4666,1.41
1,1,14.875,14.492,4.476,1.41
1,1,14.875,14.492,4.501,1.32
1,1,14.875,14.492,4.5248,0.89
1,1,14.875,14.492,4.5502,0.23
1,2,12.575,26.53,0,0.27
1,2,12.575,26.53,0.0259,0.42
1,2,12.575,26.53,0.053,0.47
1,2,12.575,26.53,0.074,0.58
1,2,12.575,26.53,0.1,0.8
1,2,12.575,26.53,0.1253,0.89
1,2,12.575,26.53,0.1511,0.92
1,2,12.575,26.53,0.1734,0.93
1,2,12.575,26.53,0.1989,0.95
1,2,12.575,26.53,0.2243,0.97
1,2,12.575,26.53,0.2538,0.98
1,2,12.575,26.53,0.2752,0.95
1,2,12.575,26.53,0.2985,0.94
1,2,12.575,26.53,0.3234,0.92
1,2,12.575,26.53,0.3497,0.92
1,2,12.575,26.53,0.3738,0.9
1,2,12.575,26.53,0.3986,0.89
1,2,12.575,26.53,0.4255,0.88
1,2,12.575,26.53,0.4564,0.8
1,2,12.575,26.53,0.4761,0.8
1,2,12.575,26.53,0.4991,0.8
1,2,12.575,26.53,0.5256,0.8
1,2,12.575,26.53,0.5487,0.8
1,2,12.575,26.53,0.5744,0.8
1,2,12.575,26.53,0.5988,0.88
1,2,12.575,26.53,0.6241,0.8
1,2,12.575,26.53,0.6494,0.8
1,2,12.575,26.53,0.6782,0.8
1,2,12.575,26.53,0.7005,0.88
1,2,12.575,26.53,0.7237,0.89
1,2,12.575,26.53,0.7485,0.89
1,2,12.575,26.53,0.7735,0.92
1,2,12.575,26.53,0.8063,1.05
1,2,12.575,26.53,0.8239,1.12
1,2,12.575,26.53,0.8493,1.26
1,2,12.575,26.53,0.8741,1.36
1,2,12.575,26.53,0.8988,1.41
1,2,12.575,25.763,0.9249,1.46
1,2,12.652,24.613,0.949,1.5
1,2,12.882,23.003,0.9756,1.45
1,2,12.958,21.623,0.9993,1.39
1,2,12.958,20.242,1.0257,1.33
1,2,12.958,19.399,1.0498,1.33
1,2,12.958,18.096,1.0751,1.38
1,2,12.958,17.099,1.0986,1.4
1,2,12.958,15.872,1.1236,1.42
1,2,12.958,15.259,1.1511,1.42
1,2,13.035,13.572,1.1741,1.43
1,2,13.112,12.115,1.1989,1.43
1,2,13.188,11.578,1.2241,1.43
1,2,13.265,10.658,1.2485,1.44
1,2,13.265,9.584,1.2748,1.46
1,2,13.265,8.894,1.2991,1.48
1,2,13.265,8.051,1.3242,1.5
1,2,13.265,7.438,1.3491,1.5
1,2,13.265,6.978,1.3741,1.51
1,2,13.188,6.134,1.3989,1.5
1,2,13.188,5.597,1.4242,1.48
1,2,13.188,5.291,1.449,1.48
1,2,13.188,4.677,1.4741,1.53
1,2,13.188,3.987,1.4998,1.55
1,2,13.188,3.757,1.5238,1.54
1,2,13.188,3.604,1.5484,1.53
1,2,13.188,3.527,1.5736,1.54
1,2,13.188,3.45,1.6008,1.52
1,2,13.188,3.45,1.624,1.45
1,2,13.188,3.45,1.6485,0.88
1,2,13.188,3.45,1.6756,0.32
1,2,13.955,21.853,2.0496,0.41
1,2,13.955,21.929,2.0812,0.8
1,2,13.955,22.006,2.099,0.8
1,2,14.032,22.159,2.1234,0.88
1,2,14.338,22.466,2.1488,0.97
1,2,15.489,23.309,2.1743,1.03
1,2,16.409,24.306,2.1996,1.05
1,2,16.945,24.92,2.2254,1.06
1,2,17.559,25.533,2.2489,1.08
1,2,18.402,26.146,2.277,1.09
1,2,19.246,26.53,2.3004,1.1
1,2,20.089,26.913,2.3236,1.12
1,2,20.549,27.143,2.3489,1.18
1,2,21.469,27.297,2.3863,1.26
1,2,21.929,27.297,2.4003,1.27
1,2,23.233,27.297,2.4245,1.26
1,2,23.846,27.143,2.4488,1.25
1,2,24.46,26.99,2.4766,1.26
1,2,24.92,26.76,2.4999,1.31
