participant,repetition,x_mm,y_mm,time,force_N
1,1,11.425,9.584,0,0.17
1,1,11.425,9.584,0.0256,0.36
1,1,11.425,9.584,0.0503,0.45
1,1,11.425,9.584,0.076,0.5
1,1,11.425,9.584,0.1004,0.58
1,1,11.425,9.584,0.1249,0.7
1,1,11.425,9.584,0.1529,0.81
1,1,11.425,9.584,0.1755,0.81
1,1,11.425,9.584,0.201,0.81
1,1,11.425,9.584,0.2249,0.81
1,1,11.425,9.584,0.2502,0.81
1,1,11.425,9.584,0.2755,0.81
1,1,11.425,9.584,0.3044,0.81
1,1,11.425,9.584,0.325,0.81
1,1,11.425,9.584,0.35,0.81
1,1,11.425,9.584,0.3757,0.81
1,1,11.425,9.584,0.4003,0.81
1,1,11.425,9.584,0.4254,0.73
1,1,11.425,9.584,0.4499,0.71
1,1,11.425,9.584,0.4794,0.73
1,1,11.425,9.584,0.501,0.81
1,1,11.425,9.584,0.5252,0.81
1,1,11.425,9.584,0.5504,0.81
1,1,11.425,9.584,0.5753,0.81
1,1,11.425,9.584,0.6002,0.81
1,1,11.425,9.584,0.6253,0.81
1,1,11.425,9.584,0.6499,0.81
1,1,11.425,9.584,0.675,0.81
1,1,11.425,9.584,0.7022,0.81
1,1,11.425,9.584,0.7256,0.81
1,1,11.425,9.584,0.7512,0.81
1,1,11.425,9.584,0.777,0.81
1,1,11.425,9.584,0.8012,0.89
1,1,11.425,9.584,0.8264,0.97
1,1,11.425,9.584,0.8502,1.06
1,1,11.425,9.584,0.875,1.15
1,1,11.425,9.584,0.9004,1.22
1,1,11.425,9.584,0.925,1.29
1,1,11.425,9.584,0.951,1.36
1,1,11.425,9.584,0.9752,1.42
1,1,11.425,9.584,1.0039,1.47
1,1,11.425,9.584,1.0272,1.54
1,1,11.425,9.584,1.0543,1.59
1,1,11.425,9.584,1.0752,1.61
1,1,11.425,9.584,1.1002,1.63
1,1,11.425,9.584,1.1258,1.64
1,1,11.425,9.738,1.1504,1.62
1,1,11.348,10.045,1.1752,1.58
1,1,11.195,10.811,1.2001,1.55
1,1,11.041,11.271,1.2252,1.53
1,1,11.041,11.961,1.2502,1.51
1,1,11.118,12.652,1.2757,1.51
1,1,11.195,13.265,1.3003,1.5
1,1,11.425,14.492,1.3251,1.49
1,1,11.578,15.259,1.3507,1.48
1,1,11.578,16.025,1.3755,1.49
1,1,11.655,16.945,1.402,1.53
1,1,11.808,17.865,1.4254,1.55
1,1,11.885,19.169,1.4508,1.54
1,1,11.961,20.012,1.4763,1.55
1,1,12.038,20.472,1.5013,1.57
1,1,12.115,21.469,1.5255,1.59
1,1,12.191,22.696,1.5503,1.59
1,1,12.345,23.693,1.5816,1.58
1,1,12.345,24.153,1.6006,1.58
1,1,12.345,24.536,1.6251,1.56
1,1,12.345,25.073,1.6508,1.54
1,1,12.191,25.993,1.6752,1.52
1,1,12.038,26.913,1.7006,1.52
1,1,11.961,27.603,1.7253,1.52
1,1,11.808,28.293,1.7499,1.52
1,1,11.578,28.907,1.7751,1.52
1,1,11.425,29.29,1.8013,1.54
1,1,11.271,29.75,1.8256,1.55
1,1,11.271,30.21,1.8502,1.56
1,1,11.195,30.44,1.8755,1.57
1,1,11.195,30.824,1.9011,1.59
1,1,11.195,31.054,1.9265,1.65
1,1,11.195,31.207,1.9501,1.67
1,1,11.195,31.207,1.9763,1.65
1,1,11.195,31.207,2.0012,1.59
1,1,11.195,31.207,2.0254,1.4
1,1,11.195,31.207,2.0503,0.81
1,1,11.195,31.207,2.0751,0.19
1,1,13.112,32.587,2.4752,0.14
1,1,13.112,32.587,2.5,0.31
1,1,13.112,32.587,2.525,0.58
1,1,13.265,32.587,2.5501,0.81
1,1,13.495,32.817,2.5776,1.1
1,1,13.878,32.894,2.6001,1.23
1,1,15.028,32.971,2.6254,1.28
1,1,15.872,32.971,2.6507,1.3
1,1,16.945,32.971,2.6761,1.31
1,1,17.559,32.971,2.7002,1.33
1,1,17.865,32.971,2.725,1.34
1,1,18.479,32.971,2.7504,1.36
1,1,19.092,32.971,2.7751,1.39
1,1,19.552,32.971,2.8018,1.42
1,1,20.396,32.741,2.825,1.43
1,1,21.239,32.434,2.8508,1.42
1,1,21.699,32.127,2.8768,1.4
1,1,22.543,31.667,2.9004,1.42
1,1,23.54,31.13,2.9252,1.45
1,1,24.076,30.824,2.9501,1.45
1,1,24.536,30.44,2.9763,1.45
1,1,25.073,30.134,3,1.47
1,1,25.226,29.904,3.0259,1.51
1,1,25.456,29.444,3.05,1.53
1,1,25.533,28.6,3.0758,1.51
1,1,25.533,28.063,3.1011,1.48
1,1,25.456,27.373,3.1252,1.47
1,1,25.15,26.607,3.1518,1.49
1,1,24.843,26.146,3.1751,1.49
1,1,24.23,25.15,3.2086,1.48
1,1,24.076,24.996,3.225,1.48
1,1,23.54,24.383,3.2558,1.49
1,1,23.386,24.23,3.2751,1.52
1,1,23.233,24.076,3.2999,1.55
1,1,23.003,23.77,3.3264,1.55
1,1,22.696,23.309,3.3505,1.53
1,1,22.543,23.079,3.3754,1.53
1,1,22.083,22.619,3.3999,1.53
1,1,21.163,22.006,3.4274,1.52
1,1,19.936,21.546,3.4515,1.5
1,1,19.552,21.393,3.4752,1.53
1,1,18.862,21.163,3.5002,1.56
1,1,18.402,21.009,3.5258,1.55
1,1,17.635,20.856,3.5501,1.5
1,1,16.715,20.856,3.5754,1.5
1,1,16.179,20.856,3.6018,1.51
1,1,15.489,20.856,3.6251,1.5
1,1,15.105,20.856,3.6538,1.48
1,1,14.645,20.856,3.6782,1.48
1,1,14.492,20.856,3.7003,1.56
1,1,14.338,20.856,3.7255,1.62
1,1,14.338,20.856,3.7502,1.61
1,1,14.338,20.856,3.7794,1.53
1,1,14.338,20.856,3.8003,1.5
1,1,14.338,20.856,3.8253,1.25
1,1,14.338,20.856,3.8502,0.6
1,2,12.422,8.894,0,0.46
1,2,12.422,8.894,0.0261,0.62
1,2,12.422,8.894,0.0513,0.8
1,2,12.422,8.894,0.075,0.93
1,2,12.345,8.894,0.0995,1.11
1,2,12.345,8.894,0.1264,1.19
1,2,12.345,8.894,0.1497,1.21
1,2,12.345,8.894,0.1787,1.19
1,2,12.345,8.894,0.1995,1.13
1,2,12.345,8.894,0.2253,1.07
1,2,12.345,8.894,0.2501,1
1,2,12.345,8.894,0.2757,0.94
1,2,12.345,8.894,0.2998,0.92
1,2,12.345,8.894,0.3259,0.89
1,2,12.345,8.894,0.3571,0.8
1,2,12.345,8.894,0.3751,0.8
1,2,12.345,8.894,0.4032,0.89
1,2,12.345,8.894,0.4257,0.89
1,2,12.345,8.894,0.4501,0.8
1,2,12.345,8.894,0.4754,0.8
1,2,12.345,8.894,0.4998,0.8
1,2,12.345,8.894,0.5291,0.93
1,2,12.345,8.894,0.5495,0.93
1,2,12.345,8.894,0.5747,0.92
1,2,12.345,8.894,0.5996,0.9
1,2,12.345,8.894,0.6251,0.9
1,2,12.345,8.894,0.6497,0.91
1,2,12.345,8.894,0.6744,0.92
1,2,12.345,8.894,0.7002,0.92
1,2,12.345,8.894,0.7268,0.94
1,2,12.345,8.894,0.7497,0.98
1,2,12.345,8.894,0.7762,1.04
1,2,12.345,8.894,0.8003,1.13
1,2,12.345,8.894,0.8254,1.27
1,2,12.345,8.894,0.8514,1.43
1,2,12.345,8.894,0.8765,1.55
1,2,12.345,8.894,0.8999,1.6
1,2,12.268,8.971,0.9294,1.61
1,2,12.115,9.354,0.9497,1.61
1,2,11.961,10.351,0.9746,1.6
1,2,11.961,11.195,1,1.59
1,2,11.885,12.038,1.0259,1.59
1,2,11.731,13.265,1.0499,1.59
1,2,11.578,14.108,1.0747,1.61
1,2,11.501,15.335,1.0999,1.64
1,2,11.425,16.179,1.1254,1.66
1,2,11.348,17.022,1.1509,1.68
1,2,11.348,18.326,1.175,1.69
1,2,11.348,19.169,1.1999,1.69
1,2,11.348,20.089,1.2257,1.68
1,2,11.271,21.316,1.2497,1.63
1,2,11.271,22.389,1.2791,1.62
1,2,11.195,23.003,1.2996,1.64
1,2,11.195,23.77,1.325,1.64
1,2,11.195,24.306,1.3503,1.57
1,2,11.271,25.15,1.3747,1.55
1,2,11.271,25.993,1.3998,1.58
1,2,11.271,26.377,1.4246,1.58
1,2,11.271,27.297,1.4534,1.55
1,2,11.271,28.063,1.4748,1.52
1,2,11.271,28.37,1.5014,1.52
1,2,11.271,28.83,1.525,1.53
1,2,11.271,29.597,1.5495,1.52
1,2,11.271,30.057,1.5758,1.52
1,2,11.271,30.44,1.5997,1.53
1,2,11.271,30.67,1.6244,1.56
1,2,11.271,30.747,1.6499,1.56
1,2,11.271,30.747,1.6759,1.53
1,2,11.271,30.747,1.6999,1.47
1,2,11.271,30.747,1.7244,1.38
1,2,11.271,30.747,1.7504,1.21
1,2,11.425,30.9,1.7748,1.05
1,2,11.425,30.9,1.8056,0.46
1,2,11.425,30.9,1.8247,0.1
1,2,11.731,31.821,2.1745,0.25
1,2,11.731,31.897,2.2006,0.47
1,2,11.885,32.051,2.2249,0.56
1,2,12.191,32.281,2.2496,0.8
1,2,12.498,32.434,2.2746,0.95
1,2,13.418,32.587,2.2996,1.1
1,2,14.875,32.817,2.3251,1.18
1,2,15.719,32.817,2.3497,1.22
1,2,16.639,32.817,2.3745,1.25
1,2,17.712,32.817,2.3997,1.29
1,2,18.709,32.817,2.4263,1.33
1,2,19.476,32.817,2.4506,1.38
1,2,20.242,32.741,2.475,1.41
1,2,20.626,32.587,2.501,1.41
1,2,21.316,32.281,2.5266,1.41
1,2,22.236,31.744,2.5576,1.39
1,2,22.696,31.36,2.5758,1.37
1,2,23.54,30.747,2.5995,1.33
1,2,24.153,30.364,2.6259,1.35
1,2,24.46,30.057,2.6499,1.36
1,2,24.843,29.597,2.6753,1.37
1,2,25.073,29.06,2.6994,1.37
1,2,25.226,28.447,2.727,1.38
1,2,25.38,27.527,2.751,1.4
1,2,25.38,26.607,2.7774,1.4
1,2,25.303,26.223,2.7998,1.38
1,2,24.843,25.303,2.8246,1.39
1,2,24.153,24.306,2.8501,1.4
1,2,23.693,23.77,2.8757,1.39
1,2,23.079,23.156,2.9051,1.38
1,2,22.696,22.773,2.9244,1.38
1,2,22.083,22.236,2.9496,1.39
1,2,21.623,22.006,2.9765,1.39
1,2,20.779,21.699,3.0007,1.4
1,2,20.089,21.546,3.025,1.43
1,2,18.862,21.163,3.05,1.45
1,2,18.326,21.009,3.0749,1.45
1,2,17.635,20.779,3.0997,1.45
1,2,16.792,20.549,3.1251,1.45
1,2,16.255,20.396,3.1497,1.46
1,2,15.412,20.319,3.1748,1.48
1,2,14.875,20.319,3.2014,1.52
1,2,14.645,20.319,3.2249,1.55
1,2,14.415,20.319,3.2539,1.49
1,2,14.338,20.319,3.2745,1.37
1,2,14.415,20.242,3.3037,0.54
1,2,14.415,20.242,3.3246,0.27
1,3,12.268,9.124,0,0.31
1,3,12.268,9.124,0.0239,0.69
1,3,12.268,9.124,0.0506,0.78
1,3,12.268,9.124,0.0787,0.96
1,3,12.268,9.124,0.0991,1.14
1,3,12.268,9.124,0.1239,1.26
1,3,12.268,9.124,0.1495,1.28
1,3,12.268,9.124,0.1749,1.27
1,3,12.268,9.124,0.1994,1.28
1,3,12.268,9.124,0.2243,1.3
1,3,12.268,9.124,0.2489,1.29
1,3,12.268,9.124,0.2741,1.25
1,3,12.268,9.124,0.3007,1.2
1,3,12.268,9.124,0.3244,1.19
1,3,12.268,9.124,0.3491,1.19
1,3,12.268,9.124,0.3747,1.18
1,3,12.268,9.124,0.3992,1.17
1,3,12.268,9.124,0.4242,1.15
1,3,12.268,9.124,0.4491,1.14
1,3,12.268,9.124,0.4744,1.12
1,3,12.268,9.124,0.5024,1.11
1,3,12.268,9.124,0.5244,1.11
1,3,12.268,9.124,0.5492,1.11
1,3,12.268,9.124,0.5739,1.11
1,3,12.268,9.124,0.6014,1.07
1,3,12.268,9.124,0.6241,1.08
1,3,12.268,9.124,0.6495,1.14
1,3,12.268,9.124,0.674,1.17
1,3,12.268,9.124,0.6989,1.21
1,3,12.268,9.124,0.7243,1.26
1,3,12.268,9.124,0.7493,1.33
1,3,12.268,9.124,0.7739,1.39
1,3,12.268,9.124,0.7998,1.43
1,3,12.268,9.124,0.8254,1.45
1,3,12.268,9.124,0.8495,1.47
1,3,12.268,9.124,0.8739,1.47
1,3,12.038,9.431,0.9,1.46
1,3,11.731,10.198,0.9241,1.46
1,3,11.501,11.195,0.9547,1.46
1,3,11.195,11.808,0.974,1.46
1,3,10.811,12.652,0.9994,1.46
1,3,10.658,13.418,1.0244,1.47
1,3,10.658,14.415,1.0491,1.48
1,3,10.658,15.489,1.0741,1.48
1,3,10.658,16.179,1.0988,1.44
1,3,10.965,18.172,1.131,1.42
1,3,11.041,19.016,1.1495,1.42
1,3,11.041,19.552,1.174,1.47
1,3,11.041,20.242,1.1988,1.49
1,3,11.041,21.086,1.2249,1.48
1,3,11.041,21.546,1.2515,1.48
1,3,10.888,22.389,1.2741,1.5
1,3,10.888,23.003,1.2993,1.5
1,3,10.735,23.846,1.3242,1.47
