participant,repetition,x_mm,y_mm,time,force_N
1,1,15.719,26.913,0,0.29
1,1,15.719,26.913,0.0213,0.36
1,1,15.719,26.913,0.0506,0.57
1,1,15.719,26.913,0.0711,0.85
1,1,15.719,26.913,0.1027,0.96
1,1,15.719,26.913,0.1229,1.01
1,1,15.719,26.913,0.1463,1.02
1,1,15.719,26.913,0.1714,1
1,1,15.719,26.913,0.1962,0.96
1,1,15.719,26.913,0.2212,0.85
1,1,15.719,26.913,0.2465,0.85
1,1,15.719,26.913,0.2712,0.85
1,1,15.719,26.913,0.2964,0.85
1,1,15.719,26.913,0.3212,0.85
1,1,15.719,26.913,0.347,0.85
1,1,15.719,26.913,0.3713,0.75
1,1,15.719,26.913,0.4022,0.74
1,1,15.719,26.913,0.4233,0.72
1,1,15.719,26.913,0.4499,0.71
1,1,15.719,26.913,0.4717,0.7
1,1,15.719,26.913,0.4963,0.7
1,1,15.719,26.913,0.5219,0.7
1,1,15.719,26.913,0.5466,0.69
1,1,15.719,26.913,0.5715,0.69
1,1,15.719,26.913,0.5962,0.69
1,1,15.719,26.913,0.6225,0.72
1,1,15.719,26.913,0.6466,0.74
1,1,15.719,26.913,0.6716,0.76
1,1,15.719,26.913,0.6963,0.77
1,1,15.719,26.913,0.7216,0.85
1,1,15.719,26.913,0.7477,0.85
1,1,15.719,26.913,0.7716,0.85
1,1,15.719,26.913,0.7992,0.85
1,1,15.719,26.913,0.8211,0.85
1,1,15.719,26.913,0.8464,0.85
1,1,15.719,26.913,0.8744,0.85
1,1,15.719,26.913,0.8967,0.85
1,1,15.719,26.913,0.9247,0.85
1,1,15.719,26.913,0.9464,0.85
1,1,15.719,26.913,0.9717,0.85
1,1,15.719,26.913,0.9977,0.98
1,1,15.719,26.913,1.0211,1.02
1,1,15.719,26.913,1.0476,1.09
1,1,15.719,26.913,1.0718,1.15
1,1,15.719,26.913,1.0967,1.2
1,1,15.719,26.913,1.1213,1.25
1,1,15.719,26.913,1.1468,1.27
1,1,15.719,26.913,1.1736,1.27
1,1,15.719,26.913,1.1974,1.26
1,1,15.795,26.76,1.2213,1.27
1,1,16.102,25.686,1.2462,1.27
1,1,16.255,24.69,1.2714,1.23
1,1,16.485,23.846,1.2963,1.17
1,1,16.485,23.003,1.327,1.14
1,1,16.485,22.313,1.3464,1.14
1,1,16.485,21.086,1.3717,1.13
1,1,16.409,20.166,1.3968,1.13
1,1,16.409,19.782,1.4216,1.13
1,1,16.409,19.016,1.4465,1.15
1,1,16.409,17.712,1.4712,1.17
1,1,16.485,16.792,1.4984,1.18
1,1,16.485,15.872,1.5215,1.18
1,1,16.485,15.028,1.5468,1.19
1,1,16.485,14.415,1.5719,1.18
1,1,16.485,13.648,1.5969,1.18
1,1,16.485,12.958,1.6219,1.17
1,1,16.562,12.498,1.6469,1.16
1,1,16.562,11.961,1.6724,1.15
1,1,16.562,11.731,1.6966,1.14
1,1,16.562,11.578,1.7275,1.16
1,1,16.562,11.425,1.7464,1.14
1,1,16.562,11.348,1.7711,1.14
1,1,16.562,11.348,1.7978,1.14
1,1,16.562,11.348,1.8215,1.15
1,1,16.562,11.271,1.8466,1.13
1,1,16.562,11.271,1.8713,1.05
1,1,16.562,11.271,1.8968,0.99
1,1,16.562,11.271,1.9219,0.72
1,1,16.639,11.271,1.9466,0.43
1,1,16.639,11.271,1.9725,0.17
1,1,17.942,22.313,2.5733,0.17
1,1,17.942,22.313,2.5978,0.38
1,1,17.942,22.313,2.6223,0.56
1,1,17.942,22.313,2.6478,0.73
1,1,17.942,22.466,2.6726,0.85
1,1,17.942,22.696,2.6996,0.99
1,1,18.096,23.079,2.7217,1.01
1,1,18.326,23.616,2.7461,1.04
1,1,18.939,24.46,2.7713,1.02
1,1,19.399,24.843,2.7965,1.02
1,1,19.859,25.303,2.8239,1.05
1,1,20.242,25.61,2.8461,1.09
1,1,20.933,25.993,2.8712,1.12
1,1,21.393,26.146,2.8979,1.15
1,1,21.699,26.146,2.9213,1.22
1,1,22.006,26.146,2.9464,1.27
1,1,22.466,26.146,2.973,1.29
1,1,22.773,26.146,3.0003,1.32
1,1,23.233,26.146,3.0218,1.33
1,1,23.54,26.146,3.0467,1.37
1,1,23.846,26.07,3.0711,1.43
1,1,24.076,26.07,3.0966,1.46
1,1,24.153,26.07,3.1234,1.52
1,1,24.153,26.07,3.1464,1.59
1,1,24.153,26.07,3.1715,1.64
1,1,24.153,26.07,3.1972,1.66
1,1,24.153,26.07,3.2246,1.59
1,1,24.23,26.07,3.2465,1.26
1,1,24.23,26.07,3.2713,0.57
1,2,15.412,26.913,0,0.16
1,2,15.412,26.913,0.0227,0.32
1,2,15.412,26.913,0.0476,0.4
1,2,15.412,26.913,0.0747,0.56
1,2,15.412,26.913,0.098,0.76
1,2,15.412,26.913,0.1234,0.85
1,2,15.412,26.913,0.1481,1.03
1,2,15.412,26.913,0.1729,1.08
1,2,15.412,26.913,0.1979,1.08
1,2,15.412,26.913,0.2283,1.09
1,2,15.412,26.913,0.2478,1.08
1,2,15.412,26.913,0.2728,1.07
1,2,15.412,26.913,0.2978,1.07
1,2,15.412,26.913,0.3227,1.08
1,2,15.412,26.913,0.3485,1.09
1,2,15.412,26.913,0.3769,1.09
