participant,repetition,x_mm,y_mm,time,force_N
3,1,11.195,12.115,0,0.24
3,1,11.118,11.885,0.0237,0.57
3,1,10.888,11.271,0.0492,0.57
3,1,10.735,11.041,0.0744,0.67
3,1,10.658,10.888,0.0997,0.8
3,1,10.658,10.888,0.1243,0.97
3,1,10.658,11.348,0.149,1.17
3,1,11.041,14.108,0.1741,1.27
3,1,11.348,17.559,0.1987,1.26
3,1,12.191,21.929,0.2307,1.16
3,1,12.575,24.076,0.249,1.16
3,1,12.575,26.913,0.2813,1.33
3,1,12.422,27.987,0.2986,1.45
3,1,11.655,30.134,0.3242,1.56
3,1,10.811,32.281,0.358,1.52
3,1,10.581,32.817,0.3741,1.51
3,1,10.505,33.124,0.3986,1.61
3,1,10.505,33.277,0.4242,1.75
3,1,10.505,33.277,0.4502,1.77
3,1,10.505,33.277,0.474,1.71
3,1,10.505,33.277,0.5008,1.62
3,1,10.581,33.277,0.5246,1.45
3,1,11.118,33.201,0.55,1.29
3,1,12.115,32.971,0.576,1.2
3,1,12.882,32.817,0.5987,1.16
3,1,14.262,32.587,0.63,1.17
3,1,15.719,32.434,0.6488,1.2
3,1,17.635,32.204,0.678,1.32
3,1,19.706,31.821,0.6997,1.47
3,1,20.779,31.514,0.7242,1.55
3,1,22.006,30.67,0.7507,1.59
3,1,23.386,29.827,0.7739,1.63
3,1,24.23,29.137,0.8004,1.66
3,1,25.38,27.833,0.8238,1.67
3,1,26.07,26.377,0.8511,1.68
3,1,26.223,26.07,0.8739,1.68
3,1,26.223,25.533,0.8986,1.68
3,1,25.916,24,0.9241,1.72
3,1,25.303,22.773,0.949,1.8
3,1,24,21.776,0.9744,1.76
3,1,22.849,21.239,0.9986,1.71
3,1,21.316,20.779,1.0278,1.74
3,1,20.012,20.472,1.0544,1.83
3,1,18.479,20.319,1.0768,1.82
3,1,17.175,20.319,1.0985,1.71
3,1,15.795,20.319,1.1239,1.65
3,1,15.105,20.319,1.1529,1.67
3,1,14.798,20.319,1.1743,1.74
3,1,14.338,20.319,1.2012,1.73
3,1,13.955,20.319,1.2251,1.65
3,1,13.802,20.319,1.2517,1.56
3,1,13.725,20.319,1.2739,1.55
3,1,13.725,20.319,1.2998,1.59
3,1,13.802,20.319,1.3247,1.54
3,1,15.335,19.859,1.3492,1.5
3,1,17.252,19.092,1.3781,1.44
3,1,18.556,18.632,1.3991,1.46
3,1,20.626,17.942,1.4238,1.52
3,1,21.469,17.482,1.4499,1.62
3,1,22.466,16.639,1.4751,1.7
3,1,23.386,15.642,1.5022,1.73
3,1,23.846,14.645,1.5245,1.74
3,1,24.613,12.498,1.5592,1.85
3,1,24.843,11.731,1.5745,1.89
3,1,24.996,11.118,1.5986,1.9
3,1,25.456,10.351,1.6248,1.82
3,1,25.916,9.738,1.6489,1.38
3,1,25.993,9.661,1.674,0.81
3,1,25.993,9.661,1.7004,0.21
3,2,12.958,8.281,0,0.31
3,2,12.882,8.588,0.0266,0.76
3,2,12.268,10.045,0.0535,0.89
3,2,11.885,11.271,0.0756,0.89
3,2,11.348,13.495,0.0999,0.92
3,2,11.041,15.949,0.1263,1.06
3,2,11.118,18.479,0.1515,1.22
3,2,11.271,20.089,0.1755,1.31
3,2,11.271,23.233,0.2004,1.37
3,2,11.271,25.303,0.2312,1.4
3,2,11.348,26.223,0.2506,1.46
3,2,11.578,27.45,0.2751,1.57
3,2,11.578,28.37,0.3004,1.65
3,2,11.578,29.29,0.3255,1.69
3,2,11.578,29.597,0.3517,1.76
3,2,11.578,29.75,0.375,1.8
3,2,11.578,30.44,0.4018,1.77
3,2,11.578,31.054,0.4253,1.72
3,2,11.578,31.207,0.4509,1.83
3,2,11.578,31.284,0.4751,1.98
3,2,11.655,31.36,0.5013,1.94
3,2,11.961,31.514,0.5252,1.67
3,2,12.728,31.744,0.5525,1.64
3,2,14.185,31.897,0.5753,1.88
3,2,15.105,31.897,0.6006,1.94
3,2,16.255,31.897,0.6269,1.78
3,2,18.096,31.744,0.6508,1.64
3,2,19.399,31.59,0.6749,1.69
3,2,20.703,31.13,0.7014,1.83
3,2,22.159,30.44,0.7261,1.86
3,2,23.079,29.98,0.751,1.85
3,2,24,29.52,0.7752,1.84
3,2,24.383,29.29,0.8016,1.84
3,2,24.92,28.447,0.8266,1.84
3,2,25.456,26.99,0.8511,1.83
3,2,25.61,26.377,0.8749,1.77
3,2,25.61,25.61,0.8999,1.73
3,2,25.303,24.23,0.9291,1.71
3,2,24.996,23.233,0.9504,1.69
3,2,24.23,22.159,0.9749,1.61
3,2,22.849,21.469,1.0017,1.58
3,2,22.159,21.163,1.0251,1.61
3,2,20.319,20.779,1.0506,1.63
3,2,18.479,20.626,1.0749,1.55
3,2,17.635,20.549,1.1001,1.48
3,2,15.872,20.242,1.1259,1.48
3,2,14.568,20.166,1.1525,1.52
3,2,14.032,20.166,1.1752,1.51
3,2,13.112,20.012,1.2001,1.5
3,2,12.191,19.782,1.2261,1.49
3,2,11.885,19.706,1.25,1.37
3,2,11.578,19.706,1.2755,1.32
3,2,11.501,19.706,1.3003,1.38
3,2,11.501,19.706,1.3291,1.44
3,2,11.501,19.706,1.35,1.39
3,2,11.961,19.706,1.3759,1.19
3,2,12.652,19.782,1.4022,1.16
