participant,repetition,x_mm,y_mm,time,force_N
1,1,26.683,29.137,0,0.28
1,1,26.683,29.137,0.025,0.55
1,1,26.683,29.137,0.0499,0.68
1,1,26.683,29.137,0.0772,0.8
1,1,26.683,29.137,0.1017,0.91
1,1,26.683,29.137,0.125,1.06
1,1,26.683,29.137,0.1512,1.17
1,1,26.683,29.137,0.1746,1.21
1,1,26.683,29.137,0.2003,1.23
1,1,26.683,29.137,0.2252,1.22
1,1,26.683,29.137,0.2502,1.21
1,1,26.683,29.137,0.279,1.18
1,1,26.683,29.137,0.2997,1.16
1,1,26.683,29.137,0.3262,1.1
1,1,26.683,29.137,0.3499,1.09
1,1,26.683,29.137,0.3748,1.1
1,1,26.683,29.137,0.4001,1.1
1,1,26.683,29.137,0.4259,1.06
1,1,26.683,29.137,0.451,1.03
1,1,26.683,29.137,0.475,1.03
1,1,26.683,29.137,0.501,1.03
1,1,26.683,29.137,0.5246,1.03
1,1,26.683,29.137,0.55,1.04
1,1,26.683,29.137,0.577,1.04
1,1,26.683,29.137,0.6001,1.04
1,1,26.683,29.137,0.6269,1.03
1,1,26.683,29.137,0.6514,1.03
1,1,26.683,29.137,0.6798,1.04
1,1,26.683,29.137,0.7004,1.06
1,1,26.683,29.137,0.7249,1.08
1,1,26.683,29.137,0.7502,1.1
1,1,26.683,29.137,0.7746,1.13
1,1,26.683,29.137,0.8005,1.16
1,1,26.683,29.137,0.825,1.2
1,1,26.683,29.137,0.8497,1.22
1,1,26.607,29.214,0.8745,1.23
1,1,26.377,29.52,0.8998,1.22
1,1,25.993,30.134,0.925,1.23
1,1,25.533,30.594,0.9497,1.27
1,1,24.92,31.284,0.9753,1.29
1,1,24.306,31.821,1.0014,1.28
1,1,23.77,32.281,1.0286,1.29
1,1,23.463,32.434,1.0502,1.3
1,1,23.233,32.511,1.0745,1.33
1,1,22.773,32.741,1.0997,1.33
1,1,22.466,32.971,1.1251,1.33
1,1,22.083,33.124,1.1503,1.35
1,1,21.239,33.354,1.1746,1.39
1,1,20.089,33.354,1.1997,1.41
1,1,19.552,33.354,1.2258,1.43
1,1,19.246,33.354,1.2531,1.45
1,1,18.939,33.354,1.2746,1.45
1,1,18.786,33.354,1.3,1.41
1,1,18.556,33.354,1.3252,1.35
1,1,18.326,33.277,1.3515,1.35
1,1,18.096,33.201,1.3761,1.34
1,1,17.635,32.971,1.4003,1.32
1,1,17.022,32.817,1.4247,1.31
1,1,16.639,32.664,1.4498,1.32
1,1,16.179,32.511,1.4748,1.32
1,1,15.642,32.204,1.5002,1.31
1,1,15.412,31.897,1.5245,1.31
1,1,15.028,31.514,1.5496,1.31
1,1,14.798,31.284,1.575,1.32
1,1,14.645,31.054,1.6014,1.3
1,1,14.415,30.67,1.6245,1.28
1,1,14.262,30.44,1.6496,1.28
1,1,14.185,30.287,1.6751,1.3
1,1,14.108,29.827,1.6998,1.31
1,1,13.955,29.367,1.7284,1.32
1,1,13.878,28.907,1.7505,1.33
1,1,13.878,28.37,1.7802,1.34
1,1,13.878,27.91,1.8001,1.34
1,1,13.878,27.067,1.8249,1.33
1,1,13.878,26.53,1.8496,1.31
1,1,13.878,26.3,1.8745,1.3
1,1,13.955,25.916,1.9008,1.32
1,1,14.185,25.61,1.9251,1.32
1,1,14.338,25.38,1.95,1.31
1,1,14.645,24.996,1.9745,1.32
1,1,15.335,24.536,2.0006,1.32
1,1,15.719,24.306,2.0253,1.32
1,1,16.562,24,2.0496,1.32
1,1,17.329,23.693,2.0754,1.31
1,1,17.712,23.463,2.0997,1.31
1,1,18.556,23.079,2.1296,1.3
1,1,19.706,22.619,2.1501,1.3
1,1,20.319,22.313,2.1746,1.31
1,1,21.086,21.929,2.2002,1.32
1,1,21.623,21.699,2.2249,1.32
1,1,21.929,21.546,2.2501,1.32
1,1,22.389,21.163,2.2746,1.34
1,1,23.079,20.703,2.2998,1.36
1,1,23.616,20.319,2.3247,1.38
1,1,24.23,19.859,2.3503,1.38
1,1,24.92,19.246,2.3748,1.36
1,1,25.226,18.862,2.3996,1.36
1,1,25.686,18.249,2.4253,1.35
1,1,25.916,17.865,2.4504,1.35
1,1,26.07,17.712,2.4749,1.36
1,1,26.223,17.405,2.4995,1.37
1,1,26.377,17.252,2.5251,1.34
1,1,26.453,16.869,2.5504,1.3
1,1,26.453,16.409,2.5749,1.3
1,1,26.453,15.872,2.6007,1.33
1,1,26.453,15.412,2.6252,1.33
1,1,26.453,14.722,2.6617,1.31
1,1,26.377,14.492,2.6753,1.32
1,1,26.223,13.955,2.7007,1.35
1,1,25.916,13.265,2.7246,1.34
1,1,25.533,12.728,2.7502,1.33
1,1,24.69,12.038,2.7757,1.33
1,1,23.923,11.195,2.7997,1.34
1,1,23.233,10.351,2.8272,1.34
1,1,22.926,10.045,2.8497,1.32
1,1,22.466,9.738,2.8793,1.32
1,1,22.159,9.584,2.9003,1.32
1,1,21.469,9.354,2.9245,1.33
1,1,20.242,9.354,2.9503,1.32
1,1,19.706,9.354,2.9747,1.32
1,1,19.016,9.354,3.0001,1.35
1,1,18.249,9.584,3.0248,1.38
1,1,17.635,9.738,3.0497,1.38
1,1,16.792,10.121,3.0748,1.35
1,1,15.949,10.581,3.1022,1.35
1,1,15.489,10.888,3.125,1.36
1,1,15.028,11.348,3.1496,1.38
1,1,14.568,11.731,3.1754,1.38
1,1,14.262,11.885,3.1999,1.38
1,1,13.878,12.115,3.2286,1.4
1,1,13.572,12.345,3.2499,1.4
1,1,13.112,12.805,3.2746,1.4
1,1,12.498,13.265,3.3,1.38
1,1,12.268,13.495,3.3252,1.41
1,1,12.038,13.725,3.3513,1.42
1,1,11.808,13.955,3.3745,1.4
1,1,11.578,14.262,3.4061,1.39
1,1,11.425,14.645,3.4247,1.41
1,1,11.195,15.028,3.4502,1.43
1,1,11.195,15.182,3.4748,1.46
1,1,11.195,15.412,3.4999,1.49
1,1,11.195,15.412,3.5257,1.51
1,1,11.195,15.412,3.5506,1.5
1,1,11.271,15.565,3.5802,1.18
1,1,11.271,15.565,3.5996,0.89
1,2,26.07,28.293,0,0.44
1,2,26.07,28.293,0.025,0.8
1,2,26.07,28.293,0.0526,0.88
1,2,26.07,28.293,0.0745,0.99
1,2,26.07,28.293,0.0997,1.09
1,2,26.07,28.293,0.125,1.09
1,2,26.07,28.293,0.1498,1.06
1,2,26.07,28.293,0.1751,1.04
1,2,26.07,28.293,0.2001,1.04
1,2,26.07,28.293,0.2259,1.02
1,2,26.07,28.293,0.2499,0.97
1,2,26.07,28.293,0.2747,0.95
1,2,26.07,28.293,0.3002,0.94
1,2,26.07,28.293,0.3247,0.92
1,2,26.07,28.293,0.3514,0.9
1,2,26.07,28.293,0.3751,0.93
1,2,26.07,28.293,0.4001,0.93
1,2,26.07,28.293,0.4251,0.92
1,2,26.07,28.293,0.4523,0.93
1,2,26.07,28.293,0.4762,0.96
1,2,26.07,28.293,0.4996,0.97
1,2,26.07,28.293,0.5252,0.98
1,2,26.07,28.293,0.5501,0.99
1,2,26.07,28.293,0.5751,1.02
1,2,26.07,28.293,0.5998,1.05
1,2,26.07,28.293,0.6254,1.05
1,2,26.07,28.293,0.6498,1.06
1,2,26.07,28.293,0.6752,1.06
1,2,26.07,28.293,0.7003,1.13
1,2,26.07,28.293,0.7251,1.18
1,2,26.07,28.293,0.7521,1.21
1,2,26.07,28.293,0.7755,1.22
1,2,26.07,28.293,0.8006,1.26
1,2,26.07,28.293,0.8246,1.3
1,2,26.07,28.293,0.8508,1.3
1,2,26.07,28.293,0.8747,1.28
1,2,26.07,28.293,0.9,1.29
1,2,25.916,28.37,0.9287,1.3
1,2,25.686,28.6,0.9496,1.3
1,2,25.456,28.907,0.9756,1.3
1,2,24.843,29.444,1.0003,1.31
1,2,24.076,30.134,1.0248,1.34
1,2,23.463,30.517,1.0504,1.34
1,2,22.696,31.13,1.0752,1.34
1,2,22.083,31.667,1.1006,1.35
1,2,21.776,31.974,1.125,1.36
1,2,21.163,32.281,1.1496,1.37
1,2,20.549,32.511,1.1761,1.38
1,2,19.936,32.664,1.1998,1.41
1,2,19.016,32.741,1.225,1.42
1,2,18.556,32.741,1.2497,1.44
1,2,18.172,32.741,1.2767,1.45
1,2,17.635,32.664,1.2997,1.45
1,2,17.175,32.511,1.3252,1.46
1,2,16.485,32.281,1.3499,1.46
1,2,15.949,31.821,1.376,1.47
1,2,15.335,31.36,1.4017,1.47
1,2,15.028,31.054,1.4252,1.48
1,2,14.492,30.517,1.4506,1.49
1,2,14.185,30.287,1.4747,1.5
1,2,13.878,29.827,1.5001,1.49
1,2,13.648,29.367,1.5255,1.47
1,2,13.495,29.137,1.5502,1.47
1,2,13.265,28.523,1.5751,1.47
1,2,13.112,28.063,1.6003,1.48
1,2,13.035,27.527,1.6267,1.5
1,2,13.035,26.683,1.6504,1.52
1,2,13.035,26.3,1.6756,1.53
1,2,13.035,25.993,1.6997,1.54
1,2,13.112,25.533,1.7283,1.55
1,2,13.342,25.073,1.7499,1.56
1,2,13.572,24.69,1.7754,1.55
1,2,14.108,24.153,1.8001,1.53
1,2,14.798,23.616,1.8254,1.51
1,2,15.412,23.309,1.8521,1.49
1,2,16.179,23.003,1.8764,1.46
1,2,16.639,22.773,1.9029,1.45
1,2,16.945,22.619,1.9251,1.45
1,2,17.482,22.389,1.9499,1.45
1,2,18.249,22.236,1.9759,1.45
1,2,18.939,21.929,2.0004,1.45
1,2,19.936,21.623,2.0249,1.47
1,2,20.472,21.316,2.0498,1.47
1,2,21.776,20.703,2.0807,1.45
1,2,22.696,20.242,2.1021,1.44
1,2,23.923,19.629,2.1267,1.42
1,2,24.383,19.322,2.151,1.42
1,2,24.843,18.862,2.175,1.44
1,2,24.92,18.709,2.2006,1.47
1,2,25.226,18.326,2.2252,1.48
1,2,25.456,18.172,2.2538,1.51
1,2,25.61,18.019,2.2748,1.52
1,2,25.84,17.789,2.3007,1.54
1,2,26.07,17.482,2.3261,1.55
1,2,26.223,17.252,2.3504,1.54
1,2,26.453,16.869,2.3779,1.52
1,2,26.683,16.409,2.4,1.52
1,2,26.683,16.102,2.4265,1.53
1,2,26.837,15.795,2.4502,1.54
1,2,26.837,15.105,2.475,1.54
1,2,26.837,14.645,2.5005,1.54
1,2,26.607,14.108,2.5263,1.52
1,2,26.377,13.572,2.5515,1.52
