participant,repetition,x_mm,y_mm,time,force_N
1,1,11.731,26.146,0,0.19
1,1,11.731,26.146,0.0249,0.5
1,1,11.731,26.146,0.0493,0.68
1,1,11.731,26.146,0.0742,0.84
1,1,11.731,26.146,0.0991,1.05
1,1,11.731,26.146,0.1255,1.21
1,1,11.731,26.146,0.1497,1.3
1,1,11.731,26.146,0.1741,1.32
1,1,11.731,26.146,0.2001,1.32
1,1,11.731,26.146,0.2253,1.3
1,1,11.731,26.146,0.2503,1.26
1,1,11.731,26.146,0.2743,1.22
1,1,11.731,26.146,0.3012,1.18
1,1,11.731,26.146,0.3244,1.14
1,1,11.731,26.146,0.3501,1.1
1,1,11.731,26.146,0.3746,1.08
1,1,11.731,26.146,0.3991,1.04
1,1,11.731,26.146,0.4257,1
1,1,11.731,26.146,0.4492,0.99
1,1,11.731,26.146,0.4765,0.98
1,1,11.731,26.146,0.5,0.98
1,1,11.731,26.146,0.5241,0.95
1,1,11.731,26.146,0.5512,0.84
1,1,11.731,26.146,0.5746,0.84
1,1,11.731,26.146,0.5998,0.84
1,1,11.731,26.146,0.6241,0.84
1,1,11.731,26.146,0.6501,0.84
1,1,11.731,26.146,0.6743,0.84
1,1,11.731,26.146,0.6994,0.84
1,1,11.731,26.146,0.7243,0.84
1,1,11.731,26.146,0.7496,0.84
1,1,11.731,26.146,0.7749,0.84
1,1,11.731,26.146,0.7995,0.84
1,1,11.731,26.146,0.8277,0.84
1,1,11.731,26.146,0.8492,0.84
1,1,11.731,26.146,0.8743,0.84
1,1,11.731,26.146,0.9,0.84
1,1,11.731,26.146,0.9248,0.84
1,1,11.731,26.146,0.949,0.84
1,1,11.731,26.146,0.9747,0.84
1,1,11.731,26.146,0.9994,0.84
1,1,11.731,26.146,1.0243,0.84
1,1,11.731,26.146,1.0491,0.94
1,1,11.731,26.146,1.0749,1
1,1,11.731,26.146,1.0999,1.03
1,1,11.731,26.146,1.1258,1.1
1,1,11.731,26.146,1.1494,1.15
1,1,11.731,26.146,1.174,1.2
1,1,11.731,26.146,1.1992,1.25
1,1,11.731,26.146,1.2258,1.31
1,1,11.731,26.146,1.2507,1.35
1,1,11.731,26.146,1.2746,1.37
1,1,11.731,26.146,1.2995,1.38
1,1,11.808,26.146,1.3245,1.41
1,1,12.038,26.07,1.3496,1.42
1,1,12.422,25.916,1.3744,1.41
1,1,13.112,24.996,1.3991,1.39
1,1,13.572,24.076,1.4241,1.32
1,1,14.108,23.463,1.451,1.28
1,1,14.492,23.003,1.4746,1.25
1,1,14.952,22.313,1.4991,1.2
1,1,15.335,21.776,1.5305,1.19
1,1,15.489,21.086,1.5495,1.19
1,1,15.872,20.166,1.5781,1.19
1,1,16.102,19.782,1.5995,1.19
1,1,16.409,19.092,1.6244,1.18
1,1,16.792,18.172,1.6517,1.18
1,1,17.099,17.405,1.6748,1.2
1,1,17.405,16.485,1.6994,1.22
1,1,17.635,15.949,1.724,1.22
1,1,17.712,15.719,1.7498,1.23
1,1,17.942,15.105,1.7743,1.24
1,1,18.096,14.415,1.7997,1.23
1,1,18.172,14.032,1.8241,1.22
1,1,18.249,13.648,1.849,1.22
1,1,18.402,12.958,1.8782,1.25
1,1,18.479,12.498,1.8993,1.26
1,1,18.556,11.961,1.924,1.24
1,1,18.556,11.731,1.9493,1.22
1,1,18.556,11.578,1.9747,1.22
1,1,18.556,11.501,2.0003,1.25
1,1,18.556,11.501,2.0243,1.26
1,1,18.556,11.501,2.0523,1.25
1,1,18.556,11.501,2.075,1.24
1,1,18.556,11.501,2.1001,1.21
1,1,18.556,11.501,2.1249,1.19
1,1,18.556,11.501,2.1495,1.19
1,1,18.556,11.501,2.1745,1.23
1,1,18.556,11.501,2.1995,1.24
1,1,18.556,11.501,2.2246,1.23
1,1,18.556,11.501,2.2511,1.23
1,1,18.556,11.501,2.274,1.25
1,1,18.556,11.501,2.2992,1.25
1,1,18.556,11.501,2.3288,1.2
1,1,18.556,11.501,2.3492,1.2
1,1,18.862,11.578,2.374,1.19
1,1,19.322,11.885,2.4011,1.17
1,1,19.936,12.805,2.4245,1.15
1,1,20.472,13.648,2.4498,1.15
1,1,20.856,14.032,2.4743,1.14
1,1,21.163,14.645,2.4991,1.12
1,1,21.469,15.719,2.5243,1.09
1,1,21.699,16.945,2.5524,1.1
1,1,21.853,17.405,2.5752,1.1
1,1,21.929,17.865,2.599,1.15
1,1,22.159,18.479,2.6246,1.16
1,1,22.389,19.476,2.6493,1.15
1,1,22.696,20.472,2.6768,1.17
1,1,22.849,21.009,2.6993,1.19
1,1,23.079,21.699,2.7243,1.22
1,1,23.233,22.006,2.7497,1.23
1,1,23.463,22.466,2.7761,1.24
1,1,23.693,22.926,2.7998,1.26
1,1,23.923,23.386,2.824,1.25
1,1,24.076,24,2.8491,1.25
1,1,24.306,24.69,2.8749,1.26
1,1,24.46,24.996,2.8994,1.27
1,1,24.536,25.226,2.9254,1.3
1,1,24.536,25.38,2.95,1.36
1,1,24.536,25.38,2.9769,1.39
1,1,24.536,25.38,2.9994,1.43
1,1,24.536,25.38,3.0267,1.47
1,1,24.536,25.38,3.0494,1.48
1,1,24.536,25.38,3.0744,1.49
1,1,24.536,25.38,3.1,1.52
1,1,24.536,25.38,3.1243,1.53
1,1,24.536,25.38,3.152,1.54
1,1,24.536,25.38,3.174,1.57
1,1,24.536,25.38,3.1997,1.6
1,1,24.536,25.38,3.2243,1.59
1,1,24.536,25.38,3.2491,1.56
1,1,24.536,25.38,3.2749,1.52
1,1,24.536,25.456,3.2992,1.37
1,1,24.536,25.456,3.3249,0.84
1,1,24.536,25.456,3.3492,0.29
1,2,11.195,26.146,0,0.13
1,2,11.195,26.146,0.0253,0.28
1,2,11.195,26.146,0.0497,0.58
1,2,11.195,26.146,0.0749,0.84
1,2,11.195,26.146,0.1,0.96
1,2,11.195,26.146,0.1249,1.03
1,2,11.195,26.146,0.1498,1.1
1,2,11.195,26.146,0.1748,1.13
1,2,11.195,26.146,0.202,1.13
1,2,11.195,26.146,0.228,1.11
1,2,11.195,26.146,0.2532,1.09
1,2,11.195,26.146,0.2746,1.07
1,2,11.195,26.146,0.2997,1.04
1,2,11.195,26.146,0.325,1.01
1,2,11.195,26.146,0.3501,0.98
1,2,11.195,26.146,0.3747,1
1,2,11.195,26.146,0.3999,1.04
1,2,11.195,26.146,0.4251,1.04
1,2,11.195,26.146,0.45,1.04
1,2,11.195,26.146,0.4747,1.05
1,2,11.195,26.146,0.5002,1.06
1,2,11.195,26.146,0.5254,1.06
1,2,11.195,26.146,0.5506,1.02
1,2,11.195,26.146,0.5749,1.01
1,2,11.195,26.146,0.6004,1.03
1,2,11.195,26.146,0.6258,1.06
1,2,11.195,26.146,0.6505,1.06
