participant,repetition,x_mm,y_mm,time,force_N
1,1,10.428,33.047,0,0.17
1,1,10.428,33.047,0.025,0.29
1,1,10.428,33.047,0.0497,0.53
1,1,10.428,33.047,0.0753,0.84
1,1,10.428,33.047,0.0998,1.01
1,1,10.428,33.047,0.1255,1.23
1,1,10.428,33.047,0.15,1.39
1,1,10.428,33.047,0.1751,1.5
1,1,10.428,33.047,0.1997,1.55
1,1,10.428,33.047,0.2246,1.57
1,1,10.428,33.047,0.2502,1.55
1,1,10.428,33.047,0.2745,1.46
1,1,10.428,33.047,0.3001,1.39
1,1,10.428,33.047,0.3266,1.35
1,1,10.428,33.047,0.3538,1.33
1,1,10.428,33.047,0.3744,1.29
1,1,10.428,33.047,0.4014,1.26
1,1,10.428,33.047,0.4246,1.25
1,1,10.428,33.047,0.4499,1.22
1,1,10.428,33.047,0.4753,1.22
1,1,10.428,33.047,0.5001,1.22
1,1,10.428,33.047,0.5246,1.28
1,1,10.428,33.047,0.55,1.3
1,1,10.428,33.047,0.5745,1.31
1,1,10.428,33.047,0.5994,1.36
1,1,10.428,33.047,0.6245,1.38
1,1,10.428,33.047,0.6508,1.36
1,1,10.428,33.047,0.6748,1.31
1,1,10.428,33.047,0.7018,1.29
1,1,10.428,33.047,0.7247,1.26
1,1,10.428,33.047,0.7573,1.21
1,1,10.428,33.047,0.7757,1.21
1,1,10.428,33.047,0.7994,1.23
1,1,10.428,33.047,0.8253,1.23
1,1,10.428,33.047,0.8509,1.24
1,1,10.428,33.047,0.8769,1.27
1,1,10.428,33.047,0.9004,1.3
1,1,10.428,33.047,0.9244,1.33
1,1,10.428,33.047,0.9498,1.36
1,1,10.428,33.047,0.9749,1.39
1,1,10.428,33.047,1.0007,1.39
1,1,10.428,33.047,1.0244,1.39
1,1,10.428,33.047,1.0503,1.4
1,1,10.428,33.047,1.0748,1.45
1,1,10.428,33.047,1.1047,1.51
1,1,10.428,33.047,1.1266,1.57
1,1,10.428,33.047,1.1495,1.6
1,1,10.428,33.047,1.1747,1.61
1,1,10.428,33.047,1.1999,1.61
1,1,10.505,32.817,1.2251,1.62
1,1,10.965,31.897,1.2495,1.62
1,1,11.348,31.054,1.2767,1.57
1,1,11.885,30.21,1.2995,1.53
1,1,12.498,29.367,1.3263,1.54
1,1,12.882,28.677,1.3497,1.54
1,1,13.342,27.757,1.3744,1.53
1,1,13.572,26.837,1.4,1.53
1,1,13.725,26.377,1.4248,1.56
1,1,13.955,25.763,1.4502,1.57
1,1,14.338,25.15,1.4745,1.56
1,1,15.105,23.693,1.4996,1.54
1,1,15.642,22.389,1.5261,1.52
1,1,15.949,21.853,1.5499,1.48
1,1,16.332,21.086,1.576,1.46
1,1,16.639,20.242,1.5999,1.46
1,1,17.099,19.092,1.6267,1.51
1,1,17.252,18.402,1.6498,1.52
