participant,repetition,x_mm,y_mm,time,force_N
1,1,27.067,32.971,0,0.12
1,1,27.067,32.971,0.0253,0.38
1,1,27.067,32.971,0.0498,0.59
1,1,27.067,32.971,0.0806,0.78
1,1,27.067,32.971,0.1007,0.87
1,1,27.067,32.971,0.125,1.1
1,1,27.067,32.971,0.1502,1.19
1,1,27.067,32.971,0.1755,1.2
1,1,27.067,32.971,0.2016,1.18
1,1,27.067,32.971,0.2254,1.16
1,1,27.067,32.971,0.2512,1.16
1,1,27.067,32.971,0.2757,1.16
1,1,27.067,32.971,0.3023,1.17
1,1,27.067,32.971,0.3251,1.16
1,1,27.067,32.971,0.3499,1.15
1,1,27.067,32.971,0.3749,1.16
1,1,27.067,32.971,0.4004,1.18
1,1,27.067,32.971,0.4253,1.2
1,1,27.067,32.971,0.4503,1.24
1,1,27.067,32.971,0.4748,1.27
1,1,27.067,32.971,0.5007,1.32
1,1,27.067,32.971,0.5316,1.35
1,1,27.067,32.971,0.5503,1.38
1,1,27.067,32.971,0.5749,1.4
1,1,27.067,32.971,0.6004,1.43
1,1,27.067,32.971,0.6255,1.45
1,1,27.067,32.971,0.6534,1.44
1,1,27.067,32.971,0.6751,1.42
1,1,27.067,32.971,0.6999,1.4
1,1,27.067,32.971,0.7255,1.36
1,1,27.067,32.971,0.7502,1.34
1,1,27.067,32.971,0.7751,1.35
1,1,27.067,32.971,0.7997,1.39
1,1,27.067,32.971,0.8285,1.39
1,1,27.067,32.971,0.8501,1.41
1,1,27.067,32.971,0.877,1.43
1,1,26.99,32.971,0.9,1.43
1,1,26.76,32.664,0.9254,1.41
1,1,26.453,32.204,0.9527,1.4
1,1,26.146,31.514,0.9758,1.39
1,1,25.303,30.44,1.0019,1.38
1,1,24.306,29.597,1.0273,1.36
1,1,23.77,29.06,1.0505,1.37
1,1,22.926,27.987,1.0754,1.38
1,1,22.389,26.99,1.1004,1.38
1,1,22.159,26.53,1.1248,1.38
1,1,21.776,25.916,1.1502,1.39
1,1,21.316,24.92,1.1752,1.4
1,1,20.933,24.23,1.2012,1.38
1,1,20.242,23.003,1.2248,1.38
1,1,19.629,22.006,1.2507,1.39
1,1,19.322,21.546,1.2752,1.42
1,1,18.862,20.703,1.3019,1.42
1,1,18.402,19.629,1.3256,1.42
1,1,18.096,19.016,1.3501,1.42
1,1,17.712,18.326,1.3752,1.43
1,1,17.175,17.789,1.4035,1.44
1,1,16.639,17.405,1.4251,1.44
1,1,16.025,16.945,1.4499,1.46
1,1,15.719,16.715,1.4754,1.47
1,1,15.335,16.102,1.501,1.46
1,1,14.875,15.259,1.5258,1.45
1,1,14.415,14.492,1.5519,1.47
1,1,14.108,14.108,1.5748,1.49
1,1,13.725,13.418,1.6016,1.48
1,1,13.418,13.035,1.6259,1.46
1,1,13.035,12.345,1.6502,1.46
1,1,12.575,11.808,1.6749,1.49
1,1,12.345,11.501,1.7004,1.51
1,1,12.115,11.271,1.7248,1.54
1,1,12.115,11.271,1.7512,1.55
1,1,12.038,11.195,1.775,1.55
1,1,12.038,11.195,1.8004,1.57
1,1,12.038,11.195,1.8253,1.6
1,1,12.038,11.195,1.8522,1.59
1,1,12.038,11.195,1.877,1.51
1,1,12.038,11.195,1.8999,1.19
1,1,12.038,11.195,1.9304,0.54
1,1,11.195,32.741,2.375,0.17
1,1,11.195,32.741,2.4002,0.27
1,1,11.195,32.741,2.4248,0.38
1,1,11.195,32.741,2.4498,0.57
1,1,11.195,32.741,2.4752,0.91
1,1,11.195,32.741,2.5024,1.07
1,1,11.195,32.741,2.5258,1.21
1,1,11.195,32.741,2.5497,1.32
1,1,11.195,32.741,2.5763,1.37
1,1,11.195,32.741,2.6,1.41
1,1,11.195,32.741,2.6253,1.43
1,1,11.195,32.741,2.6534,1.42
1,1,11.195,32.741,2.6747,1.39
1,1,11.195,32.741,2.701,1.38
1,1,11.195,32.741,2.7252,1.38
1,1,11.195,32.741,2.7505,1.38
1,1,11.195,32.741,2.775,1.38
1,1,11.195,32.741,2.8014,1.38
1,1,11.195,32.741,2.825,1.37
1,1,11.195,32.741,2.8501,1.38
1,1,11.195,32.741,2.8749,1.41
1,1,11.195,32.741,2.9007,1.43
1,1,11.195,32.741,2.9265,1.44
1,1,11.195,32.741,2.95,1.46
1,1,11.195,32.741,2.9797,1.51
1,1,11.195,32.741,3.001,1.52
1,1,11.195,32.741,3.0296,1.57
1,1,11.195,32.741,3.05,1.59
1,1,11.425,32.511,3.0748,1.6
1,1,12.191,31.897,3.1005,1.59
1,1,13.035,30.824,3.1254,1.58
1,1,13.342,30.287,3.151,1.61
1,1,13.955,29.444,3.1748,1.62
1,1,14.952,28.14,3.2049,1.61
1,1,15.565,27.143,3.2255,1.59
1,1,16.485,26.07,3.2523,1.57
1,1,16.945,25.533,3.2753,1.58
1,1,17.559,24.46,3.2998,1.58
1,1,18.019,23.386,3.3259,1.58
1,1,18.556,22.313,3.3512,1.59
1,1,19.169,21.469,3.3794,1.62
1,1,19.706,20.856,3.4,1.63
1,1,20.242,20.242,3.4252,1.64
1,1,21.009,19.246,3.4501,1.63
1,1,21.469,18.402,3.4751,1.63
1,1,21.699,18.096,3.501,1.63
1,1,21.929,17.635,3.5254,1.64
1,1,22.159,17.175,3.5506,1.65
1,1,22.543,16.792,3.5757,1.68
1,1,23.233,15.949,3.6006,1.7
1,1,24.076,14.875,3.6248,1.7
1,1,24.536,14.262,3.6498,1.69
1,1,25.073,13.725,3.6752,1.68
1,1,25.303,13.342,3.6999,1.69
1,1,25.456,13.112,3.7266,1.74
1,1,25.686,12.805,3.7499,1.74
1,1,25.916,12.575,3.7776,1.71
1,1,25.993,12.422,3.8001,1.7
1,1,25.993,12.345,3.8248,1.73
