participant,repetition,x_mm,y_mm,time,force_N
1,1,12.575,25.38,0,0.17
1,1,12.575,25.38,0.0255,0.31
1,1,12.575,25.533,0.0503,0.39
1,1,12.575,25.686,0.0755,0.49
1,1,12.575,25.686,0.1008,0.58
1,1,12.575,25.686,0.1262,0.63
1,1,12.575,25.686,0.1502,0.72
1,1,12.575,25.686,0.175,0.85
1,1,12.575,25.686,0.2022,0.85
1,1,12.575,25.686,0.2267,0.85
1,1,12.575,25.686,0.2529,0.96
1,1,12.575,25.686,0.2747,0.98
1,1,12.575,25.686,0.2999,1.04
1,1,12.575,25.763,0.326,1.1
1,1,12.575,25.916,0.35,1.14
1,1,12.575,25.916,0.375,1.2
1,1,12.575,26.07,0.3998,1.24
1,1,12.575,26.07,0.4301,1.26
1,1,12.575,26.07,0.4501,1.25
1,1,12.575,26.07,0.4765,1.23
1,1,12.575,26.07,0.4997,1.2
1,1,12.575,26.07,0.5248,1.19
1,1,12.575,26.07,0.5514,1.16
1,1,12.575,26.07,0.575,1.13
1,1,12.575,26.07,0.6013,1.12
1,1,12.575,26.07,0.625,1.11
1,1,12.575,26.07,0.6507,1.11
1,1,12.575,26.07,0.6752,1.11
1,1,12.575,26.07,0.6997,1.09
1,1,12.575,26.07,0.7256,1.07
1,1,12.575,26.07,0.7512,1.05
1,1,12.575,26.07,0.7751,1.04
1,1,12.575,26.07,0.8007,1.03
1,1,12.575,26.07,0.8248,1.02
1,1,12.575,26.07,0.8502,0.99
1,1,12.575,26.07,0.8751,0.98
1,1,12.575,26.07,0.9007,0.97
1,1,12.575,26.07,0.9248,0.95
1,1,12.575,26.07,0.9527,0.94
1,1,12.575,26.07,0.9757,0.93
1,1,12.575,26.07,1.0024,0.93
1,1,12.575,26.07,1.0252,0.93
1,1,12.575,26.07,1.0497,0.94
1,1,12.575,26.07,1.0751,0.94
1,1,12.575,26.07,1.0999,0.94
1,1,12.575,26.07,1.1253,0.97
1,1,12.575,26.07,1.1497,1.03
1,1,12.575,26.07,1.1753,1.08
1,1,12.575,26.07,1.2013,1.11
1,1,12.575,26.07,1.2251,1.14
1,1,12.575,26.07,1.2503,1.17
1,1,12.575,26.07,1.2747,1.17
1,1,12.575,26.07,1.3001,1.16
1,1,12.575,26.07,1.3251,1.16
1,1,12.575,26.07,1.3516,1.15
1,1,12.575,26.07,1.3746,1.15
1,1,12.728,25.993,1.4012,1.14
1,1,12.882,25.84,1.4253,1.13
1,1,13.112,25.61,1.45,1.1
1,1,13.342,25.226,1.4749,1.09
1,1,13.342,24.92,1.5008,1.08
1,1,13.572,24.306,1.531,1.07
1,1,13.572,24,1.5501,1.07
1,1,13.648,23.77,1.5769,1.06
