participant,repetition,x_mm,y_mm,time,force_N
1,1,10.275,32.664,0,0.14
1,1,10.275,32.664,0.0241,0.27
1,1,10.275,32.664,0.0493,0.36
1,1,10.275,32.664,0.0777,0.51
1,1,10.275,32.664,0.0994,0.57
1,1,10.275,32.664,0.126,0.64
1,1,10.275,32.664,0.1494,0.67
1,1,10.275,32.664,0.1769,0.69
1,1,10.275,32.664,0.1993,0.69
1,1,10.275,32.664,0.2243,0.68
1,1,10.275,32.664,0.2505,0.69
1,1,10.275,32.664,0.2745,0.71
1,1,10.275,32.664,0.3001,0.73
1,1,10.275,32.664,0.3244,0.74
1,1,10.275,32.664,0.3491,0.75
1,1,10.275,32.664,0.3742,0.78
1,1,10.275,32.664,0.4,0.82
1,1,10.275,32.664,0.4253,0.87
1,1,10.275,32.664,0.4493,0.99
1,1,10.275,32.664,0.4756,0.99
1,1,10.275,32.664,0.4995,0.99
1,1,10.275,32.664,0.5289,0.99
1,1,10.428,32.587,0.5495,1.08
1,1,10.811,32.281,0.5743,1.1
1,1,11.195,31.821,0.6028,1.1
1,1,11.501,31.514,0.6244,1.11
1,1,11.961,31.054,0.6492,1.12
1,1,12.191,30.747,0.6744,1.12
1,1,12.575,30.364,0.7016,1.14
1,1,12.805,30.134,0.7245,1.15
1,1,12.958,29.98,0.7503,1.16
1,1,13.188,29.75,0.7746,1.17
1,1,13.342,29.52,0.7998,1.18
1,1,13.572,29.29,0.8271,1.18
1,1,13.725,29.06,0.8495,1.18
1,1,13.955,28.523,0.8768,1.18
1,1,14.108,28.217,0.8992,1.18
1,1,14.338,27.757,0.9241,1.17
1,1,14.568,27.297,0.9497,1.18
1,1,14.722,26.99,0.9746,1.19
1,1,15.028,26.53,1.0011,1.19
1,1,15.182,26.377,1.0242,1.17
1,1,15.412,26.07,1.05,1.16
1,1,15.565,25.763,1.0745,1.16
1,1,15.719,25.61,1.0995,1.16
1,1,15.949,25.38,1.1241,1.16
1,1,16.255,24.996,1.1494,1.16
1,1,16.485,24.536,1.1758,1.17
1,1,16.639,24.306,1.2008,1.17
1,1,17.022,23.693,1.2244,1.17
1,1,17.252,23.233,1.2494,1.16
1,1,17.482,22.773,1.2769,1.16
1,1,17.635,22.313,1.2994,1.16
1,1,17.635,22.236,1.3245,1.18
1,1,17.635,22.006,1.3501,1.18
1,1,17.789,21.776,1.3761,1.2
1,1,17.865,21.546,1.4012,1.22
1,1,17.942,21.316,1.4246,1.23
1,1,17.942,21.086,1.449,1.23
1,1,17.942,21.086,1.4748,1.26
1,1,17.942,20.856,1.5002,1.27
1,1,17.942,20.856,1.5245,1.25
1,1,17.942,20.856,1.5491,1.12
1,1,18.019,20.856,1.5746,0.91
1,1,18.019,20.856,1.5993,0.5
1,1,18.019,20.856,1.6257,0.12
1,1,27.68,32.971,2.2498,0.2
1,1,27.68,32.971,2.2744,0.3
1,1,27.68,32.971,2.2991,0.4
1,1,27.68,32.971,2.329,0.58
1,1,27.68,32.971,2.3495,0.65
1,1,27.68,32.971,2.3742,0.74
1,1,27.68,32.971,2.3991,0.79
1,1,27.68,32.971,2.4243,0.85
1,1,27.68,32.971,2.4496,0.99
1,1,27.603,32.971,2.476,0.99
1,1,27.527,32.971,2.5027,0.99
1,1,27.527,32.971,2.5256,0.99
1,1,27.527,32.971,2.5495,0.99
1,1,27.527,32.971,2.5745,0.99
1,1,27.45,32.971,2.5994,0.99
1,1,27.45,32.971,2.6242,0.99
