Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
A_Lowercase,22.5056,19.3597,0.7515,0.000,Yes
A_Lowercase,22.2660,19.2866,0.7725,0.010,Yes
A_Lowercase,22.0336,19.2171,0.7948,0.020,Yes
A_Lowercase,21.8081,19.1513,0.8183,0.030,Yes
A_Lowercase,21.5890,19.0891,0.8428,0.040,Yes
A_Lowercase,21.3766,19.0306,0.8682,0.050,Yes
A_Lowercase,21.1703,18.9758,0.8941,0.060,Yes
A_Lowercase,20.9700,18.9246,0.9206,0.070,Yes
A_Lowercase,20.7752,18.8771,0.9474,0.080,Yes
A_Lowercase,20.5853,18.8329,0.9742,0.090,Yes
A_Lowercase,20.3995,18.7918,1.0009,0.100,Yes
A_Lowercase,20.2165,18.7532,1.0270,0.110,Yes
A_Lowercase,20.0344,18.7164,1.0523,0.120,Yes
A_Lowercase,19.8511,18.6801,1.0762,0.130,Yes
A_Lowercase,19.6638,18.6431,1.0984,0.140,Yes
A_Lowercase,19.4694,18.6035,1.1184,0.150,Yes
A_Lowercase,19.2644,18.5594,1.1357,0.160,Yes
A_Lowercase,19.0461,18.5092,1.1502,0.170,Yes
A_Lowercase,18.8125,18.4516,1.1620,0.180,Yes
A_Lowercase,18.5630,18.3857,1.1711,0.190,Yes
A_Lowercase,18.2981,18.3116,1.1781,0.200,Yes
A_Lowercase,18.0189,18.2298,1.1834,0.210,Yes
A_Lowercase,17.7266,18.1404,1.1874,0.220,Yes
A_Lowercase,17.4213,18.0434,1.1904,0.230,Yes
A_Lowercase,17.1026,17.9378,1.1926,0.240,Yes
A_Lowercase,16.7694,17.8218,1.1942,0.250,Yes
A_Lowercase,16.4210,17.6931,1.1955,0.260,Yes
A_Lowercase,16.0592,17.5486,1.1969,0.270,Yes
A_Lowercase,15.6917,17.3870,1.1991,0.280,Yes
A_Lowercase,15.3352,17.2111,1.2031,0.290,Yes
A_Lowercase,15.0097,17.0290,1.2094,0.300,Yes
A_Lowercase,14.7276,16.8496,1.2178,0.310,Yes
A_Lowercase,14.4885,16.6783,1.2276,0.320,Yes
A_Lowercase,14.2859,16.5165,1.2382,0.330,Yes
A_Lowercase,14.1112,16.3633,1.2491,0.340,Yes
A_Lowercase,13.9577,16.2171,1.2600,0.350,Yes
A_Lowercase,13.8202,16.0764,1.2706,0.360,Yes
A_Lowercase,13.6945,15.9396,1.2809,0.370,Yes
A_Lowercase,13.5776,15.8053,1.2908,0.380,Yes
A_Lowercase,13.4677,15.6724,1.3003,0.390,Yes
A_Lowercase,13.3630,15.5399,1.3094,0.400,Yes
A_Lowercase,13.2626,15.4070,1.3180,0.410,Yes
A_Lowercase,13.1658,15.2729,1.3261,0.420,Yes
A_Lowercase,13.0721,15.1369,1.3338,0.430,Yes
A_Lowercase,12.9816,14.9984,1.3410,0.440,Yes
A_Lowercase,12.8943,14.8569,1.3479,0.450,Yes
A_Lowercase,12.8106,14.7119,1.3543,0.460,Yes
A_Lowercase,12.7312,14.5632,1.3603,0.470,Yes
A_Lowercase,12.6566,14.4106,1.3660,0.480,Yes
A_Lowercase,12.5878,14.2538,1.3713,0.490,Yes
A_Lowercase,12.5258,14.0930,1.3763,0.500,Yes
A_Lowercase,12.4715,13.9284,1.3811,0.510,Yes
A_Lowercase,12.4258,13.7603,1.3855,0.520,Yes
A_Lowercase,12.3895,13.5893,1.3898,0.530,Yes
