Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
A_Uppercase,9.6562,9.4965,0.6592,0.000,Yes
A_Uppercase,9.7921,9.7894,0.6818,0.010,Yes
A_Uppercase,9.9223,10.0718,0.7062,0.020,Yes
A_Uppercase,10.0478,10.3468,0.7319,0.030,Yes
A_Uppercase,10.1693,10.6168,0.7585,0.040,Yes
A_Uppercase,10.2872,10.8835,0.7860,0.050,Yes
A_Uppercase,10.4020,11.1486,0.8140,0.060,Yes
A_Uppercase,10.5137,11.4132,0.8427,0.070,Yes
A_Uppercase,10.6224,11.6787,0.8718,0.080,Yes
A_Uppercase,10.7283,11.9468,0.9013,0.090,Yes
A_Uppercase,10.8313,12.2193,0.9311,0.100,Yes
A_Uppercase,10.9317,12.4986,0.9610,0.110,Yes
A_Uppercase,11.0298,12.7878,0.9907,0.120,Yes
A_Uppercase,11.1266,13.0911,1.0198,0.130,Yes
A_Uppercase,11.2236,13.4142,1.0475,0.140,Yes
A_Uppercase,11.3237,13.7627,1.0729,0.150,Yes
A_Uppercase,11.4312,14.1419,1.0946,0.160,Yes
A_Uppercase,11.5506,14.5524,1.1116,0.170,Yes
A_Uppercase,11.6849,14.9885,1.1240,0.180,Yes
A_Uppercase,11.8337,15.4405,1.1327,0.190,Yes
A_Uppercase,11.9944,15.9008,1.1393,0.200,Yes
A_Uppercase,12.1641,16.3651,1.1446,0.210,Yes
A_Uppercase,12.3405,16.8322,1.1493,0.220,Yes
A_Uppercase,12.5221,17.3016,1.1535,0.230,Yes
A_Uppercase,12.7078,17.7733,1.1573,0.240,Yes
A_Uppercase,12.8969,18.2473,1.1608,0.250,Yes
A_Uppercase,13.0889,18.7241,1.1638,0.260,Yes
A_Uppercase,13.2834,19.2042,1.1663,0.270,Yes
A_Uppercase,13.4803,19.6885,1.1685,0.280,Yes
A_Uppercase,13.6795,20.1783,1.1705,0.290,Yes
A_Uppercase,13.8810,20.6751,1.1722,0.300,Yes
A_Uppercase,14.0850,21.1809,1.1739,0.310,Yes
A_Uppercase,14.2916,21.6980,1.1758,0.320,Yes
A_Uppercase,14.5015,22.2297,1.1781,0.330,Yes
A_Uppercase,14.7155,22.7797,1.1812,0.340,Yes
A_Uppercase,14.9345,23.3523,1.1856,0.350,Yes
A_Uppercase,15.1582,23.9489,1.1919,0.360,Yes
A_Uppercase,15.3823,24.5609,1.2006,0.370,Yes
A_Uppercase,15.5971,25.1644,1.2113,0.380,Yes
A_Uppercase,15.7916,25.7297,1.2229,0.390,Yes
A_Uppercase,15.9614,26.2398,1.2339,0.400,Yes
A_Uppercase,16.1083,26.6946,1.2438,0.410,Yes
A_Uppercase,16.2367,27.1012,1.2524,0.420,Yes
A_Uppercase,16.3509,27.4677,1.2598,0.430,Yes
A_Uppercase,16.4543,27.8019,1.2660,0.440,Yes
A_Uppercase,16.5494,28.1090,1.2713,0.450,Yes
A_Uppercase,16.6382,28.3938,1.2757,0.460,Yes
A_Uppercase,16.7221,28.6602,1.2793,0.470,Yes
