Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
C_Lowercase,25.5902,22.7325,0.4323,0.000,Yes
C_Lowercase,25.6785,22.7798,0.4532,0.010,Yes
C_Lowercase,25.7224,22.8201,0.4831,0.020,Yes
C_Lowercase,25.7632,22.8599,0.5136,0.030,Yes
C_Lowercase,25.7729,22.8984,0.5487,0.040,Yes
C_Lowercase,25.7768,22.9367,0.5847,0.050,Yes
C_Lowercase,25.7808,22.9751,0.6207,0.060,Yes
C_Lowercase,25.7509,23.0148,0.6605,0.070,Yes
C_Lowercase,25.7150,23.0547,0.7010,0.080,Yes
C_Lowercase,25.6791,23.0947,0.7414,0.090,Yes
C_Lowercase,25.6141,23.1399,0.7835,0.100,Yes
C_Lowercase,25.5309,23.1884,0.8266,0.110,Yes
C_Lowercase,25.3948,23.2624,0.8661,0.120,Yes
C_Lowercase,25.1819,23.4094,0.8869,0.130,Yes
C_Lowercase,24.9756,23.5622,0.9059,0.140,Yes
C_Lowercase,24.7745,23.7152,0.9249,0.150,Yes
C_Lowercase,24.5772,23.8677,0.9438,0.160,Yes
C_Lowercase,24.3829,24.0195,0.9626,0.170,Yes
C_Lowercase,24.1912,24.1705,0.9814,0.180,Yes
C_Lowercase,24.0016,24.3205,1.0001,0.190,Yes
C_Lowercase,23.8141,24.4694,1.0185,0.200,Yes
C_Lowercase,23.6284,24.6170,1.0366,0.210,Yes
C_Lowercase,23.4445,24.7631,1.0543,0.220,Yes
C_Lowercase,23.2624,24.9072,1.0714,0.230,Yes
C_Lowercase,23.0820,25.0490,1.0875,0.240,Yes
C_Lowercase,22.9035,25.1874,1.1025,0.250,Yes
C_Lowercase,22.7269,25.3214,1.1159,0.260,Yes
C_Lowercase,22.5524,25.4496,1.1273,0.270,Yes
C_Lowercase,22.3801,25.5701,1.1365,0.280,Yes
C_Lowercase,22.2101,25.6813,1.1430,0.290,Yes
C_Lowercase,22.0427,25.7813,1.1469,0.300,Yes
C_Lowercase,21.8776,25.8694,1.1482,0.310,Yes
C_Lowercase,21.7149,25.9441,1.1471,0.320,Yes
C_Lowercase,21.5539,26.0063,1.1443,0.330,Yes
C_Lowercase,21.3940,26.0567,1.1404,0.340,Yes
C_Lowercase,21.2344,26.0962,1.1362,0.350,Yes
C_Lowercase,21.0738,26.1273,1.1325,0.360,Yes
C_Lowercase,20.9108,26.1519,1.1299,0.370,Yes
C_Lowercase,20.7436,26.1719,1.1293,0.380,Yes
C_Lowercase,20.5704,26.1889,1.1309,0.390,Yes
C_Lowercase,20.3890,26.2040,1.1351,0.400,Yes
C_Lowercase,20.1971,26.2175,1.1422,0.410,Yes
C_Lowercase,19.9925,26.2287,1.1520,0.420,Yes
C_Lowercase,19.7734,26.2359,1.1641,0.430,Yes
C_Lowercase,19.5389,26.2363,1.1782,0.440,Yes
C_Lowercase,19.2899,26.2264,1.1931,0.450,Yes
C_Lowercase,19.0301,26.2028,1.2079,0.460,Yes
C_Lowercase,18.7659,26.1630,1.2212,0.470,Yes
C_Lowercase,18.5049,26.1068,1.2320,0.480,Yes
C_Lowercase,18.2539,26.0357,1.2398,0.490,Yes
C_Lowercase,18.0172,25.9524,1.2445,0.500,Yes
C_Lowercase,17.7973,25.8595,1.2462,0.510,Yes
C_Lowercase,17.5931,25.7597,1.2457,0.520,Yes
C_Lowercase,17.4039,25.6548,1.2432,0.530,Yes
C_Lowercase,17.2273,25.5460,1.2393,0.540,Yes
C_Lowercase,17.0618,25.4342,1.2345,0.550,Yes
C_Lowercase,16.9046,25.3202,1.2290,0.560,Yes
C_Lowercase,16.7539,25.2041,1.2234,0.570,Yes
C_Lowercase,16.6078,25.0863,1.2179,0.580,Yes
C_Lowercase,16.4641,24.9670,1.2128,0.590,Yes
C_Lowercase,16.3210,24.8461,1.2085,0.600,Yes
C_Lowercase,16.1767,24.7235,1.2051,0.610,Yes
C_Lowercase,16.0297,24.5992,1.2028,0.620,Yes
C_Lowercase,15.8787,24.4726,1.2019,0.630,Yes
C_Lowercase,15.7228,24.3432,1.2022,0.640,Yes
C_Lowercase,15.5618,24.2103,1.2037,0.650,Yes
C_Lowercase,15.3955,24.0729,1.2064,0.660,Yes
C_Lowercase,15.2242,23.9298,1.2101,0.670,Yes
C_Lowercase,15.0486,23.7798,1.2146,0.680,Yes
C_Lowercase,14.8693,23.6215,1.2198,0.690,Yes
C_Lowercase,14.6870,23.4537,1.2254,0.700,Yes
C_Lowercase,14.5026,23.2750,1.2316,0.710,Yes
C_Lowercase,14.3171,23.0846,1.2380,0.720,Yes
C_Lowercase,14.1316,22.8819,1.2448,0.730,Yes
C_Lowercase,13.9475,22.6667,1.2517,0.740,Yes
C_Lowercase,13.7663,22.4396,1.2586,0.750,Yes
C_Lowercase,13.5897,22.2022,1.2656,0.760,Yes
C_Lowercase,13.4190,21.9560,1.2724,0.770,Yes
C_Lowercase,13.2556,21.7033,1.2790,0.780,Yes
C_Lowercase,13.1004,21.4461,1.2853,0.790,Yes
C_Lowercase,12.9542,21.1863,1.2912,0.800,Yes
C_Lowercase,12.8179,20.9253,1.2968,0.810,Yes
C_Lowercase,12.6921,20.6640,1.3021,0.820,Yes
C_Lowercase,12.5776,20.4030,1.3070,0.830,Yes
C_Lowercase,12.4753,20.1428,1.3117,0.840,Yes
C_Lowercase,12.3855,19.8835,1.3162,0.850,Yes
C_Lowercase,12.3086,19.6253,1.3206,0.860,Yes
C_Lowercase,12.2448,19.3683,1.3249,0.870,Yes
C_Lowercase,12.1936,19.1125,1.3291,0.880,Yes
C_Lowercase,12.1546,18.8578,1.3333,0.890,Yes
C_Lowercase,12.1270,18.6042,1.3375,0.900,Yes
C_Lowercase,12.1097,18.3517,1.3417,0.910,Yes
C_Lowercase,12.1019,18.1001,1.3459,0.920,Yes
C_Lowercase,12.1023,17.8494,1.3501,0.930,Yes
C_Lowercase,12.1101,17.5993,1.3542,0.940,Yes
C_Lowercase,12.1242,17.3498,1.3584,0.950,Yes
C_Lowercase,12.1437,17.1008,1.3624,0.960,Yes
C_Lowercase,12.1679,16.8521,1.3664,0.970,Yes
C_Lowercase,12.1960,16.6037,1.3704,0.980,Yes
C_Lowercase,12.2274,16.3554,1.3742,0.990,Yes
C_Lowercase,12.2616,16.1072,1.3778,1.000,Yes
C_Lowercase,12.2980,15.8590,1.3812,1.010,Yes
