Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
C_Uppercase,28.5806,26.9577,0.5422,0.000,Yes
C_Uppercase,28.4165,27.1318,0.5721,0.010,Yes
C_Uppercase,28.2549,27.3045,0.6019,0.020,Yes
C_Uppercase,28.0956,27.4754,0.6315,0.030,Yes
C_Uppercase,27.9388,27.6443,0.6609,0.040,Yes
C_Uppercase,27.7846,27.8107,0.6900,0.050,Yes
C_Uppercase,27.6331,27.9744,0.7186,0.060,Yes
C_Uppercase,27.4843,28.1351,0.7468,0.070,Yes
C_Uppercase,27.3382,28.2924,0.7743,0.080,Yes
C_Uppercase,27.1950,28.4460,0.8012,0.090,Yes
C_Uppercase,27.0547,28.5955,0.8272,0.100,Yes
C_Uppercase,26.9170,28.7411,0.8523,0.110,Yes
C_Uppercase,26.7818,28.8826,0.8764,0.120,Yes
C_Uppercase,26.6488,29.0196,0.8993,0.130,Yes
C_Uppercase,26.5174,29.1528,0.9210,0.140,Yes
C_Uppercase,26.3873,29.2818,0.9412,0.150,Yes
C_Uppercase,26.2576,29.4075,0.9601,0.160,Yes
C_Uppercase,26.1272,29.5296,0.9771,0.170,Yes
C_Uppercase,25.9951,29.6495,0.9925,0.180,Yes
C_Uppercase,25.8592,29.7676,1.0058,0.190,Yes
C_Uppercase,25.7175,29.8855,1.0171,0.200,Yes
C_Uppercase,25.5666,30.0048,1.0259,0.210,Yes
C_Uppercase,25.3999,30.1289,1.0319,0.220,Yes
C_Uppercase,25.2071,30.2635,1.0348,0.230,Yes
C_Uppercase,24.9697,30.4184,1.0344,0.240,Yes
C_Uppercase,24.6521,30.6104,1.0318,0.250,Yes
C_Uppercase,24.2454,30.8319,1.0332,0.260,Yes
C_Uppercase,23.8373,31.0211,1.0422,0.270,Yes
C_Uppercase,23.4762,31.1579,1.0545,0.280,Yes
C_Uppercase,23.1533,31.2566,1.0673,0.290,Yes
C_Uppercase,22.8547,31.3311,1.0796,0.300,Yes
C_Uppercase,22.5723,31.3884,1.0913,0.310,Yes
C_Uppercase,22.2999,31.4342,1.1022,0.320,Yes
C_Uppercase,22.0344,31.4705,1.1125,0.330,Yes
C_Uppercase,21.7728,31.5000,1.1221,0.340,Yes
C_Uppercase,21.5133,31.5240,1.1312,0.350,Yes
C_Uppercase,21.2545,31.5433,1.1398,0.360,Yes
C_Uppercase,20.9950,31.5587,1.1480,0.370,Yes
C_Uppercase,20.7340,31.5708,1.1558,0.380,Yes
C_Uppercase,20.4707,31.5802,1.1634,0.390,Yes
C_Uppercase,20.2042,31.5870,1.1707,0.400,Yes
C_Uppercase,19.9338,31.5917,1.1778,0.410,Yes
C_Uppercase,19.6592,31.5946,1.1848,0.420,Yes
C_Uppercase,19.3800,31.5961,1.1918,0.430,Yes
C_Uppercase,19.0958,31.5963,1.1988,0.440,Yes
C_Uppercase,18.8067,31.5957,1.2058,0.450,Yes
C_Uppercase,18.5130,31.5945,1.2129,0.460,Yes
C_Uppercase,18.2159,31.5926,1.2201,0.470,Yes
C_Uppercase,17.9168,31.5900,1.2273,0.480,Yes
C_Uppercase,17.6182,31.5860,1.2344,0.490,Yes
C_Uppercase,17.3234,31.5793,1.2412,0.500,Yes
C_Uppercase,17.0357,31.5685,1.2477,0.510,Yes
C_Uppercase,16.7582,31.5514,1.2536,0.520,Yes
C_Uppercase,16.4926,31.5263,1.2588,0.530,Yes
C_Uppercase,16.2409,31.4912,1.2632,0.540,Yes
C_Uppercase,16.0022,31.4452,1.2669,0.550,Yes
C_Uppercase,15.7753,31.3877,1.2697,0.560,Yes
C_Uppercase,15.5589,31.3184,1.2720,0.570,Yes
C_Uppercase,15.3511,31.2374,1.2736,0.580,Yes
C_Uppercase,15.1499,31.1450,1.2748,0.590,Yes
C_Uppercase,14.9535,31.0416,1.2757,0.600,Yes
C_Uppercase,14.7600,30.9279,1.2764,0.610,Yes
C_Uppercase,14.5679,30.8046,1.2769,0.620,Yes
C_Uppercase,14.3759,30.6724,1.2774,0.630,Yes
C_Uppercase,14.1827,30.5322,1.2780,0.640,Yes
C_Uppercase,13.9875,30.3847,1.2787,0.650,Yes
C_Uppercase,13.7894,30.2303,1.2796,0.660,Yes
C_Uppercase,13.5881,30.0702,1.2808,0.670,Yes
C_Uppercase,13.3833,29.9049,1.2822,0.680,Yes
C_Uppercase,13.1744,29.7349,1.2839,0.690,Yes
C_Uppercase,12.9617,29.5610,1.2860,0.700,Yes
C_Uppercase,12.7450,29.3833,1.2885,0.710,Yes
C_Uppercase,12.5243,29.2023,1.2913,0.720,Yes
C_Uppercase,12.2996,29.0179,1.2946,0.730,Yes
C_Uppercase,12.0713,28.8299,1.2984,0.740,Yes
C_Uppercase,11.8396,28.6377,1.3027,0.750,Yes
C_Uppercase,11.6054,28.4401,1.3077,0.760,Yes
C_Uppercase,11.3700,28.2355,1.3135,0.770,Yes
C_Uppercase,11.1359,28.0214,1.3201,0.780,Yes
C_Uppercase,10.9072,27.7939,1.3278,0.790,Yes
C_Uppercase,10.6899,27.5494,1.3365,0.800,Yes
C_Uppercase,10.4919,27.2840,1.3462,0.810,Yes
C_Uppercase,10.3217,26.9953,1.3566,0.820,Yes
C_Uppercase,10.1858,26.6842,1.3673,0.830,Yes
C_Uppercase,10.0865,26.3554,1.3776,0.840,Yes
C_Uppercase,10.0205,26.0160,1.3872,0.850,Yes
C_Uppercase,9.9811,25.6734,1.3955,0.860,Yes
C_Uppercase,9.9596,25.3337,1.4026,0.870,Yes
C_Uppercase,9.9485,25.0002,1.4086,0.880,Yes
C_Uppercase,9.9425,24.6749,1.4135,0.890,Yes
C_Uppercase,9.9378,24.3579,1.4177,0.900,Yes
C_Uppercase,9.9323,24.0484,1.4213,0.910,Yes
C_Uppercase,9.9249,23.7458,1.4245,0.920,Yes
C_Uppercase,9.9155,23.4485,1.4275,0.930,Yes
C_Uppercase,9.9040,23.1559,1.4303,0.940,Yes
C_Uppercase,9.8909,22.8665,1.4330,0.950,Yes
C_Uppercase,9.8767,22.5797,1.4358,0.960,Yes
C_Uppercase,9.8620,22.2945,1.4386,0.970,Yes
C_Uppercase,9.8471,22.0104,1.4416,0.980,Yes
C_Uppercase,9.8325,21.7265,1.4447,0.990,Yes
C_Uppercase,9.8187,21.4423,1.4479,1.000,Yes
C_Uppercase,9.8058,21.1567,1.4513,1.010,Yes
C_Uppercase,9.7941,20.8689,1.4547,1.020,Yes
C_Uppercase,9.7839,20.5775,1.4581,1.030,Yes
C_Uppercase,9.7757,20.2809,1.4614,1.040,Yes
C_Uppercase,9.7700,19.9772,1.4645,1.050,Yes
C_Uppercase,9.7682,19.6641,1.4672,1.060,Yes
C_Uppercase,9.7718,19.3399,1.4694,1.070,Yes
C_Uppercase,9.7834,19.0030,1.4707,1.080,Yes
C_Uppercase,9.8061,18.6546,1.4713,1.090,Yes
C_Uppercase,9.8425,18.2996,1.4713,1.100,Yes
