Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
E_Lowercase,12.6927,17.8779,0.4097,0.000,Yes
E_Lowercase,12.6997,17.8347,0.4262,0.010,Yes
E_Lowercase,12.6947,17.7972,0.4569,0.020,Yes
E_Lowercase,12.6845,17.7620,0.4937,0.030,Yes
E_Lowercase,12.6744,17.7268,0.5304,0.040,Yes
E_Lowercase,12.6643,17.6917,0.5671,0.050,Yes
E_Lowercase,12.6541,17.6565,0.6039,0.060,Yes
E_Lowercase,12.6440,17.6213,0.6406,0.070,Yes
E_Lowercase,12.6405,17.5907,0.6775,0.080,Yes
E_Lowercase,12.6628,17.5780,0.7148,0.090,Yes
E_Lowercase,12.6851,17.5653,0.7522,0.100,Yes
E_Lowercase,12.7074,17.5527,0.7896,0.110,Yes
E_Lowercase,12.8289,17.5863,0.8135,0.120,Yes
E_Lowercase,12.9613,17.6128,0.8388,0.130,Yes
E_Lowercase,13.1003,17.6254,0.8662,0.140,Yes
E_Lowercase,13.2554,17.6243,0.8934,0.150,Yes
E_Lowercase,13.4501,17.6165,0.9143,0.160,Yes
E_Lowercase,13.6793,17.6188,0.9262,0.170,Yes
E_Lowercase,13.9195,17.6289,0.9344,0.180,Yes
E_Lowercase,14.1614,17.6405,0.9422,0.190,Yes
E_Lowercase,14.4046,17.6521,0.9500,0.200,Yes
E_Lowercase,14.6488,17.6638,0.9578,0.210,Yes
E_Lowercase,14.8941,17.6756,0.9656,0.220,Yes
E_Lowercase,15.1404,17.6874,0.9734,0.230,Yes
E_Lowercase,15.3877,17.6993,0.9811,0.240,Yes
E_Lowercase,15.6359,17.7113,0.9889,0.250,Yes
E_Lowercase,15.8848,17.7232,0.9966,0.260,Yes
E_Lowercase,16.1346,17.7353,1.0043,0.270,Yes
E_Lowercase,16.3850,17.7474,1.0119,0.280,Yes
E_Lowercase,16.6360,17.7595,1.0195,0.290,Yes
E_Lowercase,16.8875,17.7717,1.0270,0.300,Yes
E_Lowercase,17.1394,17.7839,1.0344,0.310,Yes
E_Lowercase,17.3916,17.7961,1.0417,0.320,Yes
E_Lowercase,17.6441,17.8084,1.0490,0.330,Yes
E_Lowercase,17.8966,17.8208,1.0561,0.340,Yes
E_Lowercase,18.1491,17.8331,1.0631,0.350,Yes
E_Lowercase,18.4015,17.8454,1.0700,0.360,Yes
E_Lowercase,18.6536,17.8578,1.0767,0.370,Yes
E_Lowercase,18.9054,17.8701,1.0833,0.380,Yes
E_Lowercase,19.1567,17.8822,1.0897,0.390,Yes
E_Lowercase,19.4075,17.8943,1.0960,0.400,Yes
E_Lowercase,19.6576,17.9062,1.1020,0.410,Yes
E_Lowercase,19.9069,17.9177,1.1079,0.420,Yes
E_Lowercase,20.1553,17.9290,1.1135,0.430,Yes
E_Lowercase,20.4026,17.9398,1.1189,0.440,Yes
E_Lowercase,20.6487,17.9500,1.1241,0.450,Yes
E_Lowercase,20.8934,17.9596,1.1290,0.460,Yes
E_Lowercase,21.1364,17.9684,1.1336,0.470,Yes
E_Lowercase,21.3773,17.9764,1.1378,0.480,Yes
E_Lowercase,21.6159,17.9836,1.1418,0.490,Yes
E_Lowercase,21.8514,17.9899,1.1454,0.500,Yes
E_Lowercase,22.0836,17.9954,1.1487,0.510,Yes
E_Lowercase,22.3118,18.0003,1.1516,0.520,Yes
E_Lowercase,22.5351,18.0047,1.1542,0.530,Yes
E_Lowercase,22.7530,18.0088,1.1564,0.540,Yes
E_Lowercase,22.9654,18.0129,1.1583,0.550,Yes
E_Lowercase,23.1708,18.0174,1.1599,0.560,Yes
E_Lowercase,23.3697,18.0225,1.1612,0.570,Yes
E_Lowercase,23.5611,18.0285,1.1622,0.580,Yes
E_Lowercase,23.7448,18.0358,1.1630,0.590,Yes
E_Lowercase,23.9212,18.0446,1.1636,0.600,Yes
E_Lowercase,24.0899,18.0550,1.1640,0.610,Yes
E_Lowercase,24.2507,18.0675,1.1642,0.620,Yes
E_Lowercase,24.4032,18.0821,1.1643,0.630,Yes
E_Lowercase,24.5481,18.0991,1.1643,0.640,Yes
E_Lowercase,24.6853,18.1184,1.1642,0.650,Yes
E_Lowercase,24.8151,18.1403,1.1640,0.660,Yes
E_Lowercase,24.9374,18.1648,1.1638,0.670,Yes
E_Lowercase,25.0525,18.1920,1.1635,0.680,Yes
E_Lowercase,25.1603,18.2220,1.1632,0.690,Yes
E_Lowercase,25.2605,18.2551,1.1629,0.700,Yes
E_Lowercase,25.3536,18.2912,1.1625,0.710,Yes
E_Lowercase,25.4399,18.3302,1.1622,0.720,Yes
E_Lowercase,25.5196,18.3722,1.1619,0.730,Yes
E_Lowercase,25.5927,18.4173,1.1616,0.740,Yes
E_Lowercase,25.6594,18.4655,1.1614,0.750,Yes
E_Lowercase,25.7197,18.5167,1.1612,0.760,Yes
E_Lowercase,25.7730,18.5715,1.1611,0.770,Yes
E_Lowercase,25.8195,18.6298,1.1610,0.780,Yes
E_Lowercase,25.8598,18.6914,1.1610,0.790,Yes
E_Lowercase,25.8941,18.7564,1.1611,0.800,Yes
E_Lowercase,25.9223,18.8247,1.1612,0.810,Yes
E_Lowercase,25.9445,18.8965,1.1615,0.820,Yes
E_Lowercase,25.9606,18.9718,1.1618,0.830,Yes
E_Lowercase,25.9707,19.0508,1.1623,0.840,Yes
E_Lowercase,25.9743,19.1336,1.1628,0.850,Yes
E_Lowercase,25.9721,19.2202,1.1635,0.860,Yes
E_Lowercase,25.9643,19.3105,1.1644,0.870,Yes
E_Lowercase,25.9508,19.4044,1.1653,0.880,Yes
E_Lowercase,25.9319,19.5021,1.1664,0.890,Yes
E_Lowercase,25.9077,19.6034,1.1676,0.900,Yes
E_Lowercase,25.8784,19.7085,1.1689,0.910,Yes
E_Lowercase,25.8441,19.8171,1.1704,0.920,Yes
E_Lowercase,25.8050,19.9293,1.1721,0.930,Yes
E_Lowercase,25.7612,20.0452,1.1739,0.940,Yes
E_Lowercase,25.7133,20.1644,1.1758,0.950,Yes
E_Lowercase,25.6616,20.2867,1.1779,0.960,Yes
E_Lowercase,25.6064,20.4120,1.1802,0.970,Yes
E_Lowercase,25.5481,20.5401,1.1825,0.980,Yes
