Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
E_Uppercase,13.0310,9.4619,0.6884,0.000,Yes
E_Uppercase,13.0197,9.8866,0.7254,0.010,Yes
E_Uppercase,13.0080,10.2434,0.7613,0.020,Yes
E_Uppercase,12.9961,10.5571,0.7950,0.030,Yes
E_Uppercase,12.9841,10.8398,0.8264,0.040,Yes
E_Uppercase,12.9721,11.0986,0.8555,0.050,Yes
E_Uppercase,12.9600,11.3386,0.8822,0.060,Yes
E_Uppercase,12.9479,11.5644,0.9067,0.070,Yes
E_Uppercase,12.9358,11.7799,0.9292,0.080,Yes
E_Uppercase,12.9238,11.9888,0.9500,0.090,Yes
E_Uppercase,12.9120,12.1948,0.9691,0.100,Yes
E_Uppercase,12.9003,12.4019,0.9868,0.110,Yes
E_Uppercase,12.8891,12.6150,1.0033,0.120,Yes
E_Uppercase,12.8785,12.8408,1.0190,0.130,Yes
E_Uppercase,12.8690,13.0893,1.0341,0.140,Yes
E_Uppercase,12.8612,13.3764,1.0494,0.150,Yes
E_Uppercase,12.8567,13.7331,1.0659,0.160,Yes
E_Uppercase,12.8586,14.2198,1.0857,0.170,Yes
E_Uppercase,12.8703,14.8907,1.1096,0.180,Yes
E_Uppercase,12.8833,15.5938,1.1301,0.190,Yes
E_Uppercase,12.8886,16.1788,1.1427,0.200,Yes
E_Uppercase,12.8872,16.6634,1.1500,0.210,Yes
E_Uppercase,12.8819,17.0838,1.1544,0.220,Yes
E_Uppercase,12.8745,17.4628,1.1572,0.230,Yes
E_Uppercase,12.8664,17.8156,1.1593,0.240,Yes
E_Uppercase,12.8586,18.1523,1.1610,0.250,Yes
E_Uppercase,12.8519,18.4809,1.1630,0.260,Yes
E_Uppercase,12.8469,18.8077,1.1653,0.270,Yes
E_Uppercase,12.8441,19.1384,1.1683,0.280,Yes
E_Uppercase,12.8438,19.4779,1.1719,0.290,Yes
E_Uppercase,12.8457,19.8303,1.1762,0.300,Yes
E_Uppercase,12.8496,20.1989,1.1811,0.310,Yes
E_Uppercase,12.8543,20.5850,1.1862,0.320,Yes
E_Uppercase,12.8588,20.9885,1.1911,0.330,Yes
E_Uppercase,12.8612,21.4075,1.1956,0.340,Yes
E_Uppercase,12.8602,21.8398,1.1992,0.350,Yes
E_Uppercase,12.8545,22.2841,1.2017,0.360,Yes
E_Uppercase,12.8428,22.7426,1.2033,0.370,Yes
E_Uppercase,12.8239,23.2225,1.2041,0.380,Yes
E_Uppercase,12.7964,23.7412,1.2051,0.390,Yes
E_Uppercase,12.7587,24.3300,1.2077,0.400,Yes
E_Uppercase,12.7140,25.0069,1.2143,0.410,Yes
E_Uppercase,12.6765,25.6457,1.2233,0.420,Yes
E_Uppercase,12.6506,26.1133,1.2299,0.430,Yes
E_Uppercase,12.6297,26.4515,1.2339,0.440,Yes
E_Uppercase,12.6107,26.7158,1.2364,0.450,Yes
E_Uppercase,12.5925,26.9358,1.2380,0.460,Yes
E_Uppercase,12.5747,27.1278,1.2392,0.470,Yes
E_Uppercase,12.5573,27.3029,1.2402,0.480,Yes
E_Uppercase,12.5402,27.4680,1.2409,0.490,Yes
E_Uppercase,12.5233,27.6325,1.2412,0.500,Yes
E_Uppercase,12.5066,27.8100,1.2404,0.510,Yes
E_Uppercase,12.4909,28.0296,1.2375,0.520,Yes
E_Uppercase,12.4789,28.2982,1.2340,0.530,Yes
E_Uppercase,12.4703,28.5118,1.2352,0.540,Yes
E_Uppercase,12.4618,28.6626,1.2394,0.550,Yes
E_Uppercase,12.4529,28.7846,1.2446,0.560,Yes
E_Uppercase,12.4441,28.8964,1.2499,0.570,Yes
E_Uppercase,12.4358,29.0072,1.2552,0.580,Yes
E_Uppercase,12.4288,29.1257,1.2602,0.590,Yes
E_Uppercase,12.4239,29.2589,1.2648,0.600,Yes
E_Uppercase,12.4221,29.4127,1.2690,0.610,Yes
E_Uppercase,12.4237,29.5839,1.2729,0.620,Yes
E_Uppercase,12.4280,29.7620,1.2765,0.630,Yes
E_Uppercase,12.4337,29.9374,1.2799,0.640,Yes
E_Uppercase,12.4401,30.1061,1.2830,0.650,Yes
E_Uppercase,12.4464,30.2668,1.2860,0.660,Yes
E_Uppercase,12.4526,30.4197,1.2888,0.670,Yes
E_Uppercase,12.4584,30.5654,1.2916,0.680,Yes
E_Uppercase,12.4640,30.7047,1.2943,0.690,Yes
E_Uppercase,12.4697,30.8374,1.2968,0.700,Yes
E_Uppercase,12.4761,30.9629,1.2987,0.710,Yes
E_Uppercase,12.4837,31.0801,1.2999,0.720,Yes
E_Uppercase,12.4928,31.1879,1.2998,0.730,Yes
E_Uppercase,12.5038,31.2850,1.2983,0.740,Yes
E_Uppercase,12.5165,31.3727,1.2956,0.750,Yes
E_Uppercase,12.5307,31.4520,1.2918,0.760,Yes
E_Uppercase,12.5462,31.5238,1.2871,0.770,Yes
E_Uppercase,12.5627,31.5892,1.2819,0.780,Yes
E_Uppercase,12.5801,31.6493,1.2762,0.790,Yes
E_Uppercase,12.5983,31.7050,1.2704,0.800,Yes
E_Uppercase,12.6171,31.7571,1.2646,0.810,Yes
E_Uppercase,12.6366,31.8062,1.2590,0.820,Yes
E_Uppercase,12.6567,31.8526,1.2537,0.830,Yes
E_Uppercase,12.6774,31.8968,1.2488,0.840,Yes
E_Uppercase,12.6988,31.9389,1.2445,0.850,Yes
E_Uppercase,12.7212,31.9788,1.2411,0.860,Yes
E_Uppercase,12.7446,32.0170,1.2386,0.870,Yes
E_Uppercase,12.7692,32.0536,1.2371,0.880,Yes
E_Uppercase,12.7953,32.0886,1.2369,0.890,Yes
E_Uppercase,12.8232,32.1218,1.2380,0.900,Yes
E_Uppercase,12.8535,32.1531,1.2409,0.910,Yes
E_Uppercase,12.8871,32.1820,1.2457,0.920,Yes
E_Uppercase,12.9245,32.2084,1.2525,0.930,Yes
E_Uppercase,12.9668,32.2318,1.2614,0.940,Yes
E_Uppercase,13.0152,32.2515,1.2723,0.950,Yes
E_Uppercase,13.0703,32.2672,1.2847,0.960,Yes
E_Uppercase,13.1325,32.2786,1.2980,0.970,Yes
E_Uppercase,13.2017,32.2860,1.3113,0.980,Yes
E_Uppercase,13.2773,32.2897,1.3240,0.990,Yes
E_Uppercase,13.3589,32.2903,1.3354,1.000,Yes
E_Uppercase,13.4457,32.2884,1.3452,1.010,Yes
E_Uppercase,13.5367,32.2850,1.3534,1.020,Yes
E_Uppercase,13.6317,32.2805,1.3601,1.030,Yes
E_Uppercase,13.7310,32.2752,1.3654,1.040,Yes
E_Uppercase,13.8348,32.2694,1.3696,1.050,Yes
E_Uppercase,13.9430,32.2634,1.3730,1.060,Yes
E_Uppercase,14.0570,32.2574,1.3756,1.070,Yes
