Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
G_Lowercase,23.8781,23.0719,0.7167,0.000,Yes
G_Lowercase,23.7663,23.1340,0.7367,0.010,Yes
G_Lowercase,23.6523,23.1970,0.7564,0.020,Yes
G_Lowercase,23.5360,23.2607,0.7758,0.030,Yes
G_Lowercase,23.4174,23.3253,0.7949,0.040,Yes
G_Lowercase,23.2965,23.3907,0.8138,0.050,Yes
G_Lowercase,23.1731,23.4571,0.8323,0.060,Yes
G_Lowercase,23.0472,23.5243,0.8505,0.070,Yes
G_Lowercase,22.9187,23.5925,0.8684,0.080,Yes
G_Lowercase,22.7877,23.6615,0.8861,0.090,Yes
G_Lowercase,22.6541,23.7315,0.9034,0.100,Yes
G_Lowercase,22.5180,23.8024,0.9204,0.110,Yes
G_Lowercase,22.3793,23.8742,0.9371,0.120,Yes
G_Lowercase,22.2379,23.9468,0.9536,0.130,Yes
G_Lowercase,22.0941,24.0204,0.9698,0.140,Yes
G_Lowercase,21.9476,24.0949,0.9857,0.150,Yes
G_Lowercase,21.7986,24.1702,1.0013,0.160,Yes
G_Lowercase,21.6470,24.2464,1.0167,0.170,Yes
G_Lowercase,21.4929,24.3234,1.0319,0.180,Yes
G_Lowercase,21.3362,24.4013,1.0468,0.190,Yes
G_Lowercase,21.1770,24.4799,1.0615,0.200,Yes
G_Lowercase,21.0151,24.5594,1.0759,0.210,Yes
G_Lowercase,20.8502,24.6397,1.0902,0.220,Yes
G_Lowercase,20.6826,24.7207,1.1042,0.230,Yes
G_Lowercase,20.5122,24.8023,1.1181,0.240,Yes
G_Lowercase,20.3389,24.8844,1.1317,0.250,Yes
G_Lowercase,20.1625,24.9670,1.1452,0.260,Yes
G_Lowercase,19.9826,25.0497,1.1585,0.270,Yes
G_Lowercase,19.7995,25.1323,1.1717,0.280,Yes
G_Lowercase,19.6130,25.2144,1.1847,0.290,Yes
G_Lowercase,19.4229,25.2954,1.1975,0.300,Yes
G_Lowercase,19.2288,25.3743,1.2102,0.310,Yes
G_Lowercase,19.0310,25.4504,1.2227,0.320,Yes
G_Lowercase,18.8297,25.5226,1.2349,0.330,Yes
G_Lowercase,18.6248,25.5892,1.2470,0.340,Yes
G_Lowercase,18.4163,25.6482,1.2587,0.350,Yes
G_Lowercase,18.2052,25.6983,1.2701,0.360,Yes
G_Lowercase,17.9918,25.7380,1.2811,0.370,Yes
G_Lowercase,17.7768,25.7645,1.2917,0.380,Yes
G_Lowercase,17.5610,25.7754,1.3016,0.390,Yes
G_Lowercase,17.3455,25.7704,1.3109,0.400,Yes
G_Lowercase,17.1311,25.7483,1.3195,0.410,Yes
G_Lowercase,16.9188,25.7078,1.3274,0.420,Yes
G_Lowercase,16.7102,25.6460,1.3343,0.430,Yes
G_Lowercase,16.5059,25.5656,1.3405,0.440,Yes
G_Lowercase,16.3065,25.4671,1.3459,0.450,Yes
G_Lowercase,16.1137,25.3498,1.3504,0.460,Yes
G_Lowercase,15.9278,25.2160,1.3543,0.470,Yes
