Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
G_Uppercase,28.0318,27.5224,0.6568,0.000,Yes
G_Uppercase,27.8676,27.6463,0.6760,0.010,Yes
G_Uppercase,27.7040,27.7694,0.6951,0.020,Yes
G_Uppercase,27.5412,27.8919,0.7141,0.030,Yes
G_Uppercase,27.3791,28.0135,0.7329,0.040,Yes
G_Uppercase,27.2178,28.1344,0.7517,0.050,Yes
G_Uppercase,27.0572,28.2542,0.7702,0.060,Yes
G_Uppercase,26.8973,28.3733,0.7885,0.070,Yes
G_Uppercase,26.7382,28.4912,0.8066,0.080,Yes
G_Uppercase,26.5798,28.6081,0.8245,0.090,Yes
G_Uppercase,26.4221,28.7239,0.8422,0.100,Yes
G_Uppercase,26.2651,28.8386,0.8596,0.110,Yes
G_Uppercase,26.1088,28.9520,0.8767,0.120,Yes
G_Uppercase,25.9532,29.0642,0.8936,0.130,Yes
G_Uppercase,25.7981,29.1749,0.9101,0.140,Yes
G_Uppercase,25.6436,29.2844,0.9263,0.150,Yes
G_Uppercase,25.4897,29.3923,0.9421,0.160,Yes
G_Uppercase,25.3361,29.4988,0.9576,0.170,Yes
G_Uppercase,25.1830,29.6037,0.9726,0.180,Yes
G_Uppercase,25.0302,29.7071,0.9873,0.190,Yes
G_Uppercase,24.8775,29.8087,1.0015,0.200,Yes
G_Uppercase,24.7249,29.9087,1.0154,0.210,Yes
G_Uppercase,24.5723,30.0069,1.0288,0.220,Yes
G_Uppercase,24.4195,30.1035,1.0417,0.230,Yes
G_Uppercase,24.2663,30.1982,1.0542,0.240,Yes
G_Uppercase,24.1125,30.2910,1.0662,0.250,Yes
G_Uppercase,23.9580,30.3821,1.0777,0.260,Yes
G_Uppercase,23.8024,30.4712,1.0888,0.270,Yes
G_Uppercase,23.6456,30.5585,1.0994,0.280,Yes
G_Uppercase,23.4872,30.6437,1.1095,0.290,Yes
G_Uppercase,23.3269,30.7272,1.1192,0.300,Yes
G_Uppercase,23.1642,30.8085,1.1284,0.310,Yes
G_Uppercase,22.9989,30.8880,1.1373,0.320,Yes
G_Uppercase,22.8301,30.9654,1.1457,0.330,Yes
G_Uppercase,22.6578,31.0409,1.1538,0.340,Yes
G_Uppercase,22.4809,31.1142,1.1617,0.350,Yes
G_Uppercase,22.2991,31.1855,1.1692,0.360,Yes
G_Uppercase,22.1114,31.2545,1.1766,0.370,Yes
G_Uppercase,21.9168,31.3214,1.1839,0.380,Yes
G_Uppercase,21.7150,31.3859,1.1912,0.390,Yes
G_Uppercase,21.5040,31.4479,1.1986,0.400,Yes
G_Uppercase,21.2831,31.5070,1.2063,0.410,Yes
G_Uppercase,21.0514,31.5632,1.2142,0.420,Yes
G_Uppercase,20.8075,31.6159,1.2227,0.430,Yes
G_Uppercase,20.5506,31.6646,1.2317,0.440,Yes
G_Uppercase,20.2802,31.7085,1.2415,0.450,Yes
G_Uppercase,19.9969,31.7467,1.2521,0.460,Yes
G_Uppercase,19.7026,31.7783,1.2633,0.470,Yes
G_Uppercase,19.4004,31.8021,1.2750,0.480,Yes
G_Uppercase,19.0951,31.8174,1.2869,0.490,Yes
G_Uppercase,18.7920,31.8241,1.2986,0.500,Yes
G_Uppercase,18.4959,31.8221,1.3096,0.510,Yes
G_Uppercase,18.2104,31.8116,1.3196,0.520,Yes
G_Uppercase,17.9372,31.7938,1.3285,0.530,Yes
G_Uppercase,17.6768,31.7691,1.3361,0.540,Yes
G_Uppercase,17.4290,31.7383,1.3426,0.550,Yes
G_Uppercase,17.1929,31.7019,1.3479,0.560,Yes
G_Uppercase,16.9674,31.6604,1.3522,0.570,Yes
G_Uppercase,16.7521,31.6137,1.3554,0.580,Yes
G_Uppercase,16.5451,31.5623,1.3577,0.590,Yes
G_Uppercase,16.3455,31.5065,1.3593,0.600,Yes
G_Uppercase,16.1529,31.4458,1.3600,0.610,Yes
G_Uppercase,15.9660,31.3807,1.3602,0.620,Yes
G_Uppercase,15.7843,31.3109,1.3597,0.630,Yes
G_Uppercase,15.6071,31.2362,1.3586,0.640,Yes
G_Uppercase,15.4336,31.1568,1.3571,0.650,Yes
G_Uppercase,15.2635,31.0721,1.3551,0.660,Yes
G_Uppercase,15.0961,30.9823,1.3528,0.670,Yes
G_Uppercase,14.9311,30.8867,1.3501,0.680,Yes
G_Uppercase,14.7678,30.7855,1.3472,0.690,Yes
G_Uppercase,14.6059,30.6779,1.3441,0.700,Yes
G_Uppercase,14.4450,30.5644,1.3409,0.710,Yes
G_Uppercase,14.2848,30.4437,1.3376,0.720,Yes
G_Uppercase,14.1249,30.3166,1.3344,0.730,Yes
G_Uppercase,13.9652,30.1822,1.3314,0.740,Yes
G_Uppercase,13.8055,30.0408,1.3287,0.750,Yes
G_Uppercase,13.6459,29.8925,1.3263,0.760,Yes
G_Uppercase,13.4865,29.7373,1.3245,0.770,Yes
G_Uppercase,13.3275,29.5758,1.3234,0.780,Yes
G_Uppercase,13.1696,29.4089,1.3229,0.790,Yes
G_Uppercase,13.0132,29.2375,1.3233,0.800,Yes
G_Uppercase,12.8593,29.0624,1.3246,0.810,Yes
G_Uppercase,12.7084,28.8851,1.3268,0.820,Yes
G_Uppercase,12.5612,28.7066,1.3298,0.830,Yes
G_Uppercase,12.4183,28.5279,1.3335,0.840,Yes
G_Uppercase,12.2802,28.3500,1.3379,0.850,Yes
G_Uppercase,12.1471,28.1733,1.3429,0.860,Yes
G_Uppercase,12.0188,27.9982,1.3483,0.870,Yes
G_Uppercase,11.8953,27.8249,1.3540,0.880,Yes
G_Uppercase,11.7767,27.6536,1.3600,0.890,Yes
G_Uppercase,11.6622,27.4838,1.3661,0.900,Yes
G_Uppercase,11.5518,27.3156,1.3724,0.910,Yes
G_Uppercase,11.4451,27.1485,1.3786,0.920,Yes
G_Uppercase,11.3414,26.9822,1.3848,0.930,Yes
