Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
H_Lowercase,12.8759,32.3549,0.3402,0.000,Yes
H_Lowercase,12.8697,32.3484,0.3880,0.010,Yes
H_Lowercase,12.8636,32.3415,0.4357,0.020,Yes
H_Lowercase,12.8581,32.3329,0.4831,0.030,Yes
H_Lowercase,12.8526,32.3244,0.5306,0.040,Yes
H_Lowercase,12.8471,32.3158,0.5780,0.050,Yes
H_Lowercase,12.8416,32.3073,0.6254,0.060,Yes
H_Lowercase,12.8361,32.2987,0.6728,0.070,Yes
H_Lowercase,12.8305,32.2902,0.7203,0.080,Yes
H_Lowercase,12.8250,32.2816,0.7677,0.090,Yes
H_Lowercase,12.8195,32.2731,0.8151,0.100,Yes
H_Lowercase,12.8140,32.2645,0.8625,0.110,Yes
H_Lowercase,12.8138,32.2405,0.9070,0.120,Yes
H_Lowercase,12.8709,32.0442,0.9173,0.130,Yes
H_Lowercase,12.8948,31.8752,0.9361,0.140,Yes
H_Lowercase,12.8894,31.6901,0.9591,0.150,Yes
H_Lowercase,12.8516,31.4491,0.9845,0.160,Yes
H_Lowercase,12.7686,31.0879,1.0124,0.170,Yes
H_Lowercase,12.6471,30.5069,1.0456,0.180,Yes
H_Lowercase,12.6000,29.9042,1.0852,0.190,Yes
H_Lowercase,12.6039,29.3723,1.1265,0.200,Yes
H_Lowercase,12.6217,28.8698,1.1640,0.210,Yes
H_Lowercase,12.6455,28.4267,1.1928,0.220,Yes
H_Lowercase,12.6702,28.0364,1.2139,0.230,Yes
H_Lowercase,12.6934,27.6732,1.2300,0.240,Yes
H_Lowercase,12.7141,27.3164,1.2429,0.250,Yes
H_Lowercase,12.7320,26.9517,1.2534,0.260,Yes
H_Lowercase,12.7464,26.5704,1.2623,0.270,Yes
H_Lowercase,12.7572,26.1689,1.2700,0.280,Yes
H_Lowercase,12.7642,25.7473,1.2771,0.290,Yes
H_Lowercase,12.7672,25.3075,1.2839,0.300,Yes
H_Lowercase,12.7661,24.8499,1.2911,0.310,Yes
H_Lowercase,12.7607,24.3698,1.2988,0.320,Yes
H_Lowercase,12.7504,23.8559,1.3072,0.330,Yes
H_Lowercase,12.7344,23.2878,1.3158,0.340,Yes
H_Lowercase,12.7120,22.6362,1.3232,0.350,Yes
H_Lowercase,12.6846,21.8798,1.3268,0.360,Yes
H_Lowercase,12.6574,21.0666,1.3239,0.370,Yes
H_Lowercase,12.6380,20.3240,1.3165,0.380,Yes
H_Lowercase,12.6291,19.7191,1.3093,0.390,Yes
H_Lowercase,12.6294,19.2330,1.3051,0.400,Yes
H_Lowercase,12.6362,18.8279,1.3042,0.410,Yes
H_Lowercase,12.6472,18.4744,1.3061,0.420,Yes
H_Lowercase,12.6603,18.1527,1.3104,0.430,Yes
H_Lowercase,12.6743,17.8504,1.3165,0.440,Yes
H_Lowercase,12.6880,17.5592,1.3240,0.450,Yes
H_Lowercase,12.7006,17.2743,1.3324,0.460,Yes
H_Lowercase,12.7114,16.9927,1.3415,0.470,Yes
H_Lowercase,12.7200,16.7130,1.3509,0.480,Yes
H_Lowercase,12.7260,16.4353,1.3604,0.490,Yes
H_Lowercase,12.7293,16.1603,1.3698,0.500,Yes
H_Lowercase,12.7298,15.8891,1.3788,0.510,Yes
H_Lowercase,12.7274,15.6231,1.3874,0.520,Yes
H_Lowercase,12.7222,15.3633,1.3954,0.530,Yes
H_Lowercase,12.7142,15.1103,1.4027,0.540,Yes
H_Lowercase,12.7035,14.8642,1.4093,0.550,Yes
H_Lowercase,12.6901,14.6244,1.4150,0.560,Yes
H_Lowercase,12.6742,14.3901,1.4200,0.570,Yes
H_Lowercase,12.6559,14.1599,1.4242,0.580,Yes
H_Lowercase,12.6356,13.9322,1.4277,0.590,Yes
H_Lowercase,12.6137,13.7045,1.4305,0.600,Yes
H_Lowercase,12.5908,13.4738,1.4328,0.610,Yes
H_Lowercase,12.5677,13.2361,1.4347,0.620,Yes
H_Lowercase,12.5458,12.9853,1.4364,0.630,Yes
H_Lowercase,12.5265,12.7119,1.4381,0.640,Yes
H_Lowercase,12.5123,12.4013,1.4396,0.650,Yes
H_Lowercase,12.5046,12.0295,1.4402,0.660,Yes
H_Lowercase,12.4947,11.5478,1.4357,0.670,Yes
H_Lowercase,12.4193,10.9556,1.4076,0.680,Yes
H_Lowercase,12.3278,10.6420,1.3723,0.690,Yes
H_Lowercase,12.2686,10.4666,1.3456,0.700,Yes
H_Lowercase,12.2275,10.3381,1.3237,0.710,Yes
H_Lowercase,12.1976,10.2312,1.3048,0.720,Yes
H_Lowercase,12.1757,10.1372,1.2882,0.730,Yes
H_Lowercase,12.1599,10.0513,1.2732,0.740,Yes
H_Lowercase,12.1490,9.9705,1.2596,0.750,Yes
H_Lowercase,12.1418,9.8932,1.2471,0.760,Yes
H_Lowercase,12.1381,9.8183,1.2355,0.770,Yes
H_Lowercase,12.1373,9.7450,1.2249,0.780,Yes
H_Lowercase,12.1390,9.6726,1.2150,0.790,Yes
H_Lowercase,12.1431,9.6006,1.2059,0.800,Yes
H_Lowercase,12.1492,9.5286,1.1974,0.810,Yes
H_Lowercase,12.1575,9.4561,1.1897,0.820,Yes
H_Lowercase,12.1675,9.3827,1.1827,0.830,Yes
H_Lowercase,12.1796,9.3078,1.1765,0.840,Yes
H_Lowercase,12.1934,9.2310,1.1710,0.850,Yes
H_Lowercase,12.2093,9.1513,1.1665,0.860,Yes
H_Lowercase,12.2274,9.0678,1.1631,0.870,Yes
H_Lowercase,12.2479,8.9790,1.1610,0.880,Yes
H_Lowercase,12.2717,8.8822,1.1608,0.890,Yes
H_Lowercase,12.2892,9.0289,0.0000,0.903,No
H_Lowercase,12.2987,9.2075,0.0000,0.913,No
H_Lowercase,12.3081,9.3860,0.0000,0.923,No
H_Lowercase,12.3176,9.5645,0.0000,0.933,No
H_Lowercase,12.3270,9.7431,0.0000,0.943,No
H_Lowercase,12.3365,9.9216,0.0000,0.953,No
H_Lowercase,12.3459,10.1002,0.0000,0.963,No
H_Lowercase,12.3554,10.2787,0.0000,0.973,No
H_Lowercase,12.3649,10.4572,0.0000,0.983,No
H_Lowercase,12.3743,10.6358,0.0000,0.993,No
H_Lowercase,12.3838,10.8143,0.0000,1.003,No
H_Lowercase,12.3932,10.9928,0.0000,1.013,No
H_Lowercase,12.4027,11.1714,0.0000,1.023,No
H_Lowercase,12.4122,11.3499,0.0000,1.033,No
H_Lowercase,12.4216,11.5285,0.0000,1.043,No
H_Lowercase,12.4311,11.7070,0.0000,1.053,No
H_Lowercase,12.4405,11.8855,0.0000,1.063,No
H_Lowercase,12.4500,12.0641,0.0000,1.073,No
H_Lowercase,12.4594,12.2426,0.0000,1.083,No
H_Lowercase,12.4689,12.4211,0.0000,1.093,No
H_Lowercase,12.4784,12.5997,0.0000,1.103,No
H_Lowercase,12.4878,12.7782,0.0000,1.113,No
H_Lowercase,12.4973,12.9568,0.0000,1.123,No
H_Lowercase,12.5067,13.1353,0.0000,1.133,No
H_Lowercase,12.5162,13.3138,0.0000,1.143,No
H_Lowercase,12.5257,13.4924,0.0000,1.153,No
H_Lowercase,12.5351,13.6709,0.0000,1.163,No
H_Lowercase,12.5446,13.8495,0.0000,1.173,No
H_Lowercase,12.5540,14.0280,0.0000,1.183,No
H_Lowercase,12.5635,14.2065,0.0000,1.193,No
H_Lowercase,12.5729,14.3851,0.0000,1.203,No
H_Lowercase,12.5824,14.5636,0.0000,1.213,No
H_Lowercase,12.5919,14.7421,0.0000,1.223,No
H_Lowercase,12.6013,14.9207,0.0000,1.233,No
H_Lowercase,12.6108,15.0992,0.0000,1.243,No
H_Lowercase,12.6202,15.2778,0.0000,1.253,No
H_Lowercase,12.6297,15.4563,0.0000,1.263,No
H_Lowercase,12.6392,15.6348,0.0000,1.273,No
H_Lowercase,12.6486,15.8134,0.0000,1.283,No
H_Lowercase,12.6581,15.9919,0.0000,1.293,No
H_Lowercase,12.6675,16.1704,0.0000,1.303,No
H_Lowercase,12.6770,16.3490,0.0000,1.313,No
H_Lowercase,12.6864,16.5275,0.0000,1.323,No
H_Lowercase,12.6959,16.7061,0.0000,1.333,No
H_Lowercase,12.7054,16.8846,0.0000,1.343,No
H_Lowercase,12.7148,17.0631,0.0000,1.353,No
H_Lowercase,12.7243,17.2417,0.0000,1.363,No
H_Lowercase,12.7337,17.4202,0.0000,1.373,No
H_Lowercase,12.7432,17.5987,0.0000,1.383,No
H_Lowercase,12.7527,17.7773,0.0000,1.393,No
H_Lowercase,12.7621,17.9558,0.0000,1.403,No
H_Lowercase,12.7716,18.1344,0.0000,1.413,No
H_Lowercase,12.7810,18.3129,0.0000,1.423,No
H_Lowercase,12.7905,18.4914,0.0000,1.433,No
H_Lowercase,12.7999,18.6700,0.0000,1.443,No
H_Lowercase,12.8094,18.8485,0.0000,1.453,No
H_Lowercase,12.8189,19.0271,0.0000,1.463,No
H_Lowercase,12.8283,19.2056,0.0000,1.473,No
H_Lowercase,12.8378,19.3841,0.0000,1.483,No
H_Lowercase,12.8472,19.5627,0.0000,1.493,No
H_Lowercase,12.8567,19.7412,0.0000,1.503,No
H_Lowercase,12.8662,19.9197,0.0000,1.513,No
H_Lowercase,12.8756,20.0983,0.0000,1.523,No
H_Lowercase,12.8851,20.2768,0.0000,1.533,No
H_Lowercase,12.8945,20.4554,0.0000,1.543,No
H_Lowercase,12.9040,20.6339,0.0000,1.553,No
H_Lowercase,12.9134,20.8124,0.0000,1.563,No
H_Lowercase,12.9958,20.9510,0.4635,1.570,Yes
H_Lowercase,13.0961,21.1332,0.5020,1.580,Yes
H_Lowercase,13.1758,21.2996,0.5431,1.590,Yes
H_Lowercase,13.2424,21.4538,0.5856,1.600,Yes
H_Lowercase,13.2994,21.5964,0.6285,1.610,Yes
H_Lowercase,13.3493,21.7273,0.6708,1.620,Yes
H_Lowercase,13.3956,21.8467,0.7111,1.630,Yes
H_Lowercase,13.4462,21.9584,0.7470,1.640,Yes
H_Lowercase,13.5186,22.0764,0.7747,1.650,Yes
H_Lowercase,13.6372,22.2298,0.7916,1.660,Yes
H_Lowercase,13.8040,22.4354,0.8023,1.670,Yes
H_Lowercase,13.9920,22.6709,0.8133,1.680,Yes
H_Lowercase,14.1888,22.9172,0.8257,1.690,Yes
H_Lowercase,14.3957,23.1697,0.8387,1.700,Yes
H_Lowercase,14.6178,23.4293,0.8524,1.710,Yes
H_Lowercase,14.8619,23.6988,0.8667,1.720,Yes
H_Lowercase,15.1376,23.9817,0.8821,1.730,Yes
H_Lowercase,15.4579,24.2826,0.8996,1.740,Yes
H_Lowercase,15.8356,24.6037,0.9203,1.750,Yes
H_Lowercase,16.2606,24.9323,0.9451,1.760,Yes
H_Lowercase,16.6666,25.2281,0.9708,1.770,Yes
H_Lowercase,16.9944,25.4598,0.9920,1.780,Yes
H_Lowercase,17.2531,25.6349,1.0077,1.790,Yes
H_Lowercase,17.4693,25.7704,1.0189,1.800,Yes
H_Lowercase,17.6618,25.8794,1.0274,1.810,Yes
H_Lowercase,17.8407,25.9692,1.0338,1.820,Yes
H_Lowercase,18.0122,26.0447,1.0389,1.830,Yes
H_Lowercase,18.1799,26.1089,1.0431,1.840,Yes
H_Lowercase,18.3462,26.1639,1.0467,1.850,Yes
H_Lowercase,18.5128,26.2112,1.0499,1.860,Yes
H_Lowercase,18.6813,26.2515,1.0527,1.870,Yes
H_Lowercase,18.8525,26.2860,1.0554,1.880,Yes
H_Lowercase,19.0274,26.3150,1.0580,1.890,Yes
H_Lowercase,19.2069,26.3389,1.0606,1.900,Yes
H_Lowercase,19.3917,26.3580,1.0631,1.910,Yes
H_Lowercase,19.5827,26.3723,1.0658,1.920,Yes
H_Lowercase,19.7806,26.3818,1.0684,1.930,Yes
H_Lowercase,19.9860,26.3861,1.0712,1.940,Yes
H_Lowercase,20.1995,26.3847,1.0740,1.950,Yes
H_Lowercase,20.4216,26.3765,1.0769,1.960,Yes
H_Lowercase,20.6520,26.3599,1.0801,1.970,Yes
H_Lowercase,20.8895,26.3331,1.0836,1.980,Yes
H_Lowercase,21.1315,26.2934,1.0879,1.990,Yes
H_Lowercase,21.3735,26.2385,1.0931,2.000,Yes
H_Lowercase,21.6102,26.1670,1.0996,2.010,Yes
H_Lowercase,21.8367,26.0794,1.1074,2.020,Yes
H_Lowercase,22.0504,25.9777,1.1164,2.030,Yes
H_Lowercase,22.2503,25.8644,1.1264,2.040,Yes
H_Lowercase,22.4374,25.7422,1.1369,2.050,Yes
H_Lowercase,22.6131,25.6133,1.1477,2.060,Yes
H_Lowercase,22.7793,25.4796,1.1585,2.070,Yes
H_Lowercase,22.9372,25.3421,1.1692,2.080,Yes
H_Lowercase,23.0885,25.2019,1.1795,2.090,Yes
H_Lowercase,23.2343,25.0594,1.1896,2.100,Yes
H_Lowercase,23.3754,24.9150,1.1992,2.110,Yes
H_Lowercase,23.5124,24.7684,1.2083,2.120,Yes
H_Lowercase,23.6456,24.6195,1.2171,2.130,Yes
H_Lowercase,23.7752,24.4674,1.2254,2.140,Yes
H_Lowercase,23.9010,24.3111,1.2334,2.150,Yes
H_Lowercase,24.0225,24.1492,1.2411,2.160,Yes
H_Lowercase,24.1393,23.9793,1.2485,2.170,Yes
