Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
I_Uppercase,18.6224,32.7752,0.4674,0.000,Yes
I_Uppercase,18.5514,32.7699,0.5163,0.010,Yes
I_Uppercase,18.4977,32.7680,0.5649,0.020,Yes
I_Uppercase,18.4559,32.7639,0.6129,0.030,Yes
I_Uppercase,18.4257,32.7541,0.6601,0.040,Yes
I_Uppercase,18.4099,32.7335,0.7059,0.050,Yes
I_Uppercase,18.4131,32.6950,0.7495,0.060,Yes
I_Uppercase,18.4448,32.6242,0.7896,0.070,Yes
I_Uppercase,18.5282,32.4808,0.8221,0.080,Yes
I_Uppercase,18.6805,32.0369,0.8300,0.090,Yes
I_Uppercase,18.6548,31.7196,0.8536,0.100,Yes
I_Uppercase,18.6292,31.4443,0.8770,0.110,Yes
I_Uppercase,18.6082,31.1922,0.8980,0.120,Yes
I_Uppercase,18.5911,30.9566,0.9170,0.130,Yes
I_Uppercase,18.5771,30.7301,0.9345,0.140,Yes
I_Uppercase,18.5644,30.5048,0.9517,0.150,Yes
I_Uppercase,18.5513,30.2719,0.9695,0.160,Yes
I_Uppercase,18.5360,30.0225,0.9887,0.170,Yes
I_Uppercase,18.5163,29.7472,1.0100,0.180,Yes
I_Uppercase,18.4909,29.4354,1.0333,0.190,Yes
I_Uppercase,18.4588,29.0720,1.0583,0.200,Yes
I_Uppercase,18.4220,28.6406,1.0842,0.210,Yes
I_Uppercase,18.3904,28.1524,1.1089,0.220,Yes
I_Uppercase,18.3776,27.6759,1.1302,0.230,Yes
I_Uppercase,18.3846,27.2586,1.1476,0.240,Yes
I_Uppercase,18.4042,26.8956,1.1622,0.250,Yes
I_Uppercase,18.4305,26.5685,1.1749,0.260,Yes
I_Uppercase,18.4592,26.2621,1.1863,0.270,Yes
I_Uppercase,18.4877,25.9647,1.1967,0.280,Yes
I_Uppercase,18.5139,25.6675,1.2064,0.290,Yes
I_Uppercase,18.5365,25.3631,1.2156,0.300,Yes
I_Uppercase,18.5546,25.0454,1.2245,0.310,Yes
I_Uppercase,18.5681,24.7091,1.2334,0.320,Yes
I_Uppercase,18.5769,24.3498,1.2423,0.330,Yes
I_Uppercase,18.5812,23.9634,1.2514,0.340,Yes
I_Uppercase,18.5806,23.5465,1.2606,0.350,Yes
I_Uppercase,18.5741,23.0978,1.2696,0.360,Yes
I_Uppercase,18.5593,22.6235,1.2776,0.370,Yes
I_Uppercase,18.5350,22.1434,1.2837,0.380,Yes
I_Uppercase,18.5027,21.6855,1.2877,0.390,Yes
I_Uppercase,18.4669,21.2676,1.2901,0.400,Yes
I_Uppercase,18.4316,20.8906,1.2917,0.410,Yes
I_Uppercase,18.3988,20.5470,1.2932,0.420,Yes
I_Uppercase,18.3695,20.2283,1.2947,0.430,Yes
I_Uppercase,18.3435,19.9277,1.2965,0.440,Yes
I_Uppercase,18.3207,19.6401,1.2987,0.450,Yes
I_Uppercase,18.3007,19.3621,1.3011,0.460,Yes
I_Uppercase,18.2832,19.0910,1.3038,0.470,Yes
I_Uppercase,18.2677,18.8252,1.3067,0.480,Yes
I_Uppercase,18.2541,18.5632,1.3098,0.490,Yes
I_Uppercase,18.2422,18.3043,1.3130,0.500,Yes
I_Uppercase,18.2318,18.0477,1.3163,0.510,Yes
I_Uppercase,18.2229,17.7928,1.3197,0.520,Yes
I_Uppercase,18.2155,17.5392,1.3232,0.530,Yes
I_Uppercase,18.2098,17.2862,1.3268,0.540,Yes
I_Uppercase,18.2062,17.0331,1.3306,0.550,Yes
I_Uppercase,18.2049,16.7786,1.3346,0.560,Yes
I_Uppercase,18.2065,16.5212,1.3390,0.570,Yes
I_Uppercase,18.2118,16.2586,1.3438,0.580,Yes
I_Uppercase,18.2213,15.9880,1.3492,0.590,Yes
I_Uppercase,18.2355,15.7064,1.3552,0.600,Yes
I_Uppercase,18.2540,15.4126,1.3618,0.610,Yes
I_Uppercase,18.2752,15.1087,1.3688,0.620,Yes
I_Uppercase,18.2963,14.8017,1.3754,0.630,Yes
I_Uppercase,18.3143,14.5014,1.3813,0.640,Yes
I_Uppercase,18.3275,14.2160,1.3860,0.650,Yes
I_Uppercase,18.3356,13.9492,1.3894,0.660,Yes
I_Uppercase,18.3393,13.7011,1.3918,0.670,Yes
I_Uppercase,18.3396,13.4696,1.3933,0.680,Yes
I_Uppercase,18.3373,13.2525,1.3942,0.690,Yes
I_Uppercase,18.3334,13.0473,1.3945,0.700,Yes
I_Uppercase,18.3284,12.8521,1.3945,0.710,Yes
I_Uppercase,18.3227,12.6652,1.3942,0.720,Yes
I_Uppercase,18.3167,12.4853,1.3937,0.730,Yes
I_Uppercase,18.3106,12.3111,1.3930,0.740,Yes
I_Uppercase,18.3046,12.1417,1.3923,0.750,Yes
I_Uppercase,18.2989,11.9763,1.3916,0.760,Yes
I_Uppercase,18.2935,11.8143,1.3909,0.770,Yes
I_Uppercase,18.2887,11.6548,1.3902,0.780,Yes
I_Uppercase,18.2843,11.4974,1.3895,0.790,Yes
I_Uppercase,18.2806,11.3415,1.3889,0.800,Yes
I_Uppercase,18.2776,11.1866,1.3884,0.810,Yes
I_Uppercase,18.2754,11.0321,1.3879,0.820,Yes
I_Uppercase,18.2739,10.8774,1.3876,0.830,Yes
I_Uppercase,18.2731,10.7215,1.3876,0.840,Yes
I_Uppercase,18.2729,10.5618,1.3882,0.850,Yes
