Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
J_Lowercase,18.2691,26.0153,0.8953,0.000,Yes
J_Lowercase,18.3438,25.6434,0.9031,0.010,Yes
J_Lowercase,18.3983,25.3197,0.9178,0.020,Yes
J_Lowercase,18.4353,25.0316,0.9360,0.030,Yes
J_Lowercase,18.4591,24.7691,0.9555,0.040,Yes
J_Lowercase,18.4731,24.5261,0.9751,0.050,Yes
J_Lowercase,18.4800,24.2980,0.9942,0.060,Yes
J_Lowercase,18.4819,24.0815,1.0124,0.070,Yes
J_Lowercase,18.4805,23.8738,1.0294,0.080,Yes
J_Lowercase,18.4773,23.6725,1.0453,0.090,Yes
J_Lowercase,18.4735,23.4755,1.0600,0.100,Yes
J_Lowercase,18.4703,23.2807,1.0735,0.110,Yes
J_Lowercase,18.4686,23.0863,1.0860,0.120,Yes
J_Lowercase,18.4692,22.8903,1.0974,0.130,Yes
J_Lowercase,18.4730,22.6906,1.1080,0.140,Yes
J_Lowercase,18.4805,22.4854,1.1178,0.150,Yes
J_Lowercase,18.4920,22.2726,1.1270,0.160,Yes
J_Lowercase,18.5077,22.0506,1.1356,0.170,Yes
J_Lowercase,18.5273,21.8178,1.1436,0.180,Yes
J_Lowercase,18.5506,21.5728,1.1513,0.190,Yes
J_Lowercase,18.5769,21.3146,1.1585,0.200,Yes
J_Lowercase,18.6057,21.0422,1.1653,0.210,Yes
J_Lowercase,18.6366,20.7546,1.1718,0.220,Yes
J_Lowercase,18.6693,20.4506,1.1779,0.230,Yes
J_Lowercase,18.7036,20.1294,1.1839,0.240,Yes
J_Lowercase,18.7394,19.7907,1.1899,0.250,Yes
J_Lowercase,18.7764,19.4346,1.1960,0.260,Yes
J_Lowercase,18.8144,19.0620,1.2023,0.270,Yes
J_Lowercase,18.8531,18.6745,1.2091,0.280,Yes
J_Lowercase,18.8920,18.2745,1.2163,0.290,Yes
J_Lowercase,18.9306,17.8647,1.2238,0.300,Yes
J_Lowercase,18.9683,17.4484,1.2317,0.310,Yes
J_Lowercase,19.0045,17.0293,1.2397,0.320,Yes
J_Lowercase,19.0385,16.6115,1.2477,0.330,Yes
J_Lowercase,19.0696,16.1992,1.2554,0.340,Yes
J_Lowercase,19.0973,15.7962,1.2627,0.350,Yes
J_Lowercase,19.1212,15.4060,1.2693,0.360,Yes
J_Lowercase,19.1409,15.0307,1.2753,0.370,Yes
J_Lowercase,19.1566,14.6718,1.2804,0.380,Yes
J_Lowercase,19.1682,14.3295,1.2847,0.390,Yes
J_Lowercase,19.1760,14.0034,1.2883,0.400,Yes
J_Lowercase,19.1803,13.6925,1.2911,0.410,Yes
J_Lowercase,19.1814,13.3957,1.2932,0.420,Yes
J_Lowercase,19.1795,13.1114,1.2948,0.430,Yes
J_Lowercase,19.1750,12.8380,1.2959,0.440,Yes
J_Lowercase,19.1682,12.5741,1.2965,0.450,Yes
J_Lowercase,19.1595,12.3183,1.2969,0.460,Yes
J_Lowercase,19.1490,12.0691,1.2970,0.470,Yes
J_Lowercase,19.1370,11.8254,1.2969,0.480,Yes
J_Lowercase,19.1239,11.5858,1.2967,0.490,Yes
J_Lowercase,19.1099,11.3492,1.2964,0.500,Yes
J_Lowercase,19.0952,11.1143,1.2962,0.510,Yes
