Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
K_Lowercase,13.3601,32.4133,0.3929,0.000,Yes
K_Lowercase,13.3225,32.4231,0.4372,0.010,Yes
K_Lowercase,13.2975,32.4280,0.4822,0.020,Yes
K_Lowercase,13.2856,32.4258,0.5276,0.030,Yes
K_Lowercase,13.2753,32.4228,0.5730,0.040,Yes
K_Lowercase,13.2732,32.4140,0.6182,0.050,Yes
K_Lowercase,13.2745,32.4027,0.6634,0.060,Yes
K_Lowercase,13.2758,32.3914,0.7086,0.070,Yes
K_Lowercase,13.2850,32.3720,0.7532,0.080,Yes
K_Lowercase,13.2958,32.3511,0.7975,0.090,Yes
K_Lowercase,13.3068,32.3297,0.8419,0.100,Yes
K_Lowercase,13.3264,32.2941,0.8842,0.110,Yes
K_Lowercase,13.3482,32.2520,0.9254,0.120,Yes
K_Lowercase,13.3837,32.1561,0.9568,0.130,Yes
K_Lowercase,13.4302,31.8943,0.9586,0.140,Yes
K_Lowercase,13.4496,31.6260,0.9658,0.150,Yes
K_Lowercase,13.4437,31.3554,0.9791,0.160,Yes
K_Lowercase,13.4186,31.0785,0.9974,0.170,Yes
K_Lowercase,13.3815,30.7918,1.0196,0.180,Yes
K_Lowercase,13.3400,30.4919,1.0447,0.190,Yes
K_Lowercase,13.3012,30.1748,1.0720,0.200,Yes
K_Lowercase,13.2724,29.8346,1.1007,0.210,Yes
K_Lowercase,13.2614,29.4629,1.1296,0.220,Yes
K_Lowercase,13.2751,29.0482,1.1567,0.230,Yes
K_Lowercase,13.3154,28.5786,1.1791,0.240,Yes
K_Lowercase,13.3715,28.0558,1.1943,0.250,Yes
K_Lowercase,13.4253,27.5041,1.2036,0.260,Yes
K_Lowercase,13.4680,26.9462,1.2106,0.270,Yes
K_Lowercase,13.4989,26.3911,1.2182,0.280,Yes
K_Lowercase,13.5206,25.8425,1.2273,0.290,Yes
K_Lowercase,13.5361,25.3040,1.2381,0.300,Yes
K_Lowercase,13.5479,24.7805,1.2500,0.310,Yes
K_Lowercase,13.5575,24.2763,1.2623,0.320,Yes
K_Lowercase,13.5654,23.7942,1.2741,0.330,Yes
K_Lowercase,13.5719,23.3343,1.2847,0.340,Yes
K_Lowercase,13.5770,22.8942,1.2936,0.350,Yes
K_Lowercase,13.5810,22.4696,1.3008,0.360,Yes
K_Lowercase,13.5840,22.0551,1.3065,0.370,Yes
K_Lowercase,13.5863,21.6459,1.3112,0.380,Yes
K_Lowercase,13.5881,21.2384,1.3152,0.390,Yes
K_Lowercase,13.5899,20.8304,1.3191,0.400,Yes
K_Lowercase,13.5921,20.4213,1.3230,0.410,Yes
K_Lowercase,13.5951,20.0117,1.3273,0.420,Yes
K_Lowercase,13.5991,19.6030,1.3318,0.430,Yes
K_Lowercase,13.6043,19.1966,1.3365,0.440,Yes
K_Lowercase,13.6104,18.7937,1.3413,0.450,Yes
K_Lowercase,13.6167,18.3950,1.3461,0.460,Yes
K_Lowercase,13.6225,18.0006,1.3507,0.470,Yes
K_Lowercase,13.6267,17.6104,1.3551,0.480,Yes
K_Lowercase,13.6284,17.2243,1.3594,0.490,Yes
K_Lowercase,13.6266,16.8429,1.3638,0.500,Yes
K_Lowercase,13.6212,16.4672,1.3685,0.510,Yes
K_Lowercase,13.6123,16.0991,1.3737,0.520,Yes
K_Lowercase,13.6007,15.7404,1.3796,0.530,Yes
K_Lowercase,13.5871,15.3928,1.3862,0.540,Yes
K_Lowercase,13.5725,15.0576,1.3936,0.550,Yes
K_Lowercase,13.5578,14.7348,1.4015,0.560,Yes
K_Lowercase,13.5434,14.4239,1.4099,0.570,Yes
K_Lowercase,13.5298,14.1234,1.4186,0.580,Yes
K_Lowercase,13.5174,13.8303,1.4275,0.590,Yes
K_Lowercase,13.5065,13.5400,1.4364,0.600,Yes
K_Lowercase,13.4976,13.2451,1.4450,0.610,Yes
K_Lowercase,13.4907,12.9338,1.4531,0.620,Yes
K_Lowercase,13.4851,12.5887,1.4600,0.630,Yes
K_Lowercase,13.4776,12.1912,1.4652,0.640,Yes
K_Lowercase,13.4619,11.7666,1.4692,0.650,Yes
K_Lowercase,13.4389,11.4074,1.4733,0.660,Yes
K_Lowercase,13.4165,11.1417,1.4773,0.670,Yes
K_Lowercase,13.3979,10.9389,1.4803,0.680,Yes
K_Lowercase,13.3830,10.7736,1.4820,0.690,Yes
K_Lowercase,13.3709,10.6311,1.4823,0.700,Yes
K_Lowercase,13.3612,10.5033,1.4812,0.710,Yes
K_Lowercase,13.3532,10.3851,1.4789,0.720,Yes
K_Lowercase,13.3465,10.2730,1.4753,0.730,Yes
K_Lowercase,13.3409,10.1647,1.4706,0.740,Yes
K_Lowercase,13.3361,10.0583,1.4647,0.750,Yes
K_Lowercase,13.3317,9.9522,1.4577,0.760,Yes
K_Lowercase,13.3275,9.8450,1.4497,0.770,Yes
K_Lowercase,13.3234,9.7353,1.4406,0.780,Yes
K_Lowercase,13.3190,9.6211,1.4306,0.790,Yes
K_Lowercase,13.3141,9.4983,1.4197,0.800,Yes
K_Lowercase,13.3090,9.3294,1.4075,0.810,Yes
K_Lowercase,13.4424,9.4927,0.0000,0.821,No
K_Lowercase,13.5759,9.6892,0.0000,0.831,No
K_Lowercase,13.7094,9.8857,0.0000,0.841,No
K_Lowercase,13.8430,10.0821,0.0000,0.851,No
K_Lowercase,13.9765,10.2786,0.0000,0.861,No
K_Lowercase,14.1100,10.4751,0.0000,0.871,No
K_Lowercase,14.2435,10.6715,0.0000,0.881,No
K_Lowercase,14.3771,10.8680,0.0000,0.891,No
K_Lowercase,14.5106,11.0645,0.0000,0.901,No
K_Lowercase,14.6441,11.2609,0.0000,0.911,No
K_Lowercase,14.7776,11.4574,0.0000,0.921,No
K_Lowercase,14.9112,11.6539,0.0000,0.931,No
K_Lowercase,15.0447,11.8503,0.0000,0.941,No
K_Lowercase,15.1782,12.0468,0.0000,0.951,No
K_Lowercase,15.3117,12.2433,0.0000,0.961,No
K_Lowercase,15.4453,12.4398,0.0000,0.971,No
K_Lowercase,15.5788,12.6362,0.0000,0.981,No
K_Lowercase,15.7123,12.8327,0.0000,0.991,No
K_Lowercase,15.8459,13.0292,0.0000,1.001,No
K_Lowercase,15.9794,13.2256,0.0000,1.011,No
K_Lowercase,16.1129,13.4221,0.0000,1.021,No
K_Lowercase,16.2464,13.6186,0.0000,1.031,No
K_Lowercase,16.3800,13.8150,0.0000,1.041,No
K_Lowercase,16.5135,14.0115,0.0000,1.051,No
K_Lowercase,16.6470,14.2080,0.0000,1.061,No
K_Lowercase,16.7805,14.4044,0.0000,1.071,No
K_Lowercase,16.9141,14.6009,0.0000,1.081,No
K_Lowercase,17.0476,14.7974,0.0000,1.091,No
K_Lowercase,17.1811,14.9938,0.0000,1.101,No
K_Lowercase,17.3146,15.1903,0.0000,1.111,No
K_Lowercase,17.4482,15.3868,0.0000,1.121,No
K_Lowercase,17.5817,15.5832,0.0000,1.131,No
K_Lowercase,17.7152,15.7797,0.0000,1.141,No
K_Lowercase,17.8487,15.9762,0.0000,1.151,No
K_Lowercase,17.9823,16.1726,0.0000,1.161,No
K_Lowercase,18.1158,16.3691,0.0000,1.171,No
K_Lowercase,18.2493,16.5656,0.0000,1.181,No
K_Lowercase,18.3828,16.7620,0.0000,1.191,No
K_Lowercase,18.5164,16.9585,0.0000,1.201,No
K_Lowercase,18.6499,17.1550,0.0000,1.211,No
K_Lowercase,18.7834,17.3514,0.0000,1.221,No
K_Lowercase,18.9170,17.5479,0.0000,1.231,No
K_Lowercase,19.0505,17.7444,0.0000,1.241,No
K_Lowercase,19.1840,17.9409,0.0000,1.251,No
K_Lowercase,19.3175,18.1373,0.0000,1.261,No
K_Lowercase,19.4511,18.3338,0.0000,1.271,No
K_Lowercase,19.5846,18.5303,0.0000,1.281,No
