Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
K_Uppercase,12.1471,32.5650,0.3522,0.000,Yes
K_Uppercase,12.2212,32.5904,0.3730,0.010,Yes
K_Uppercase,12.2594,32.6035,0.4033,0.020,Yes
K_Uppercase,12.2767,32.6039,0.4389,0.030,Yes
K_Uppercase,12.2764,32.5906,0.4790,0.040,Yes
K_Uppercase,12.2609,32.5630,0.5228,0.050,Yes
K_Uppercase,12.2316,32.5195,0.5699,0.060,Yes
K_Uppercase,12.1887,32.4563,0.6201,0.070,Yes
K_Uppercase,12.1318,32.3649,0.6730,0.080,Yes
K_Uppercase,12.0619,32.2263,0.7274,0.090,Yes
K_Uppercase,11.9988,31.9616,0.7724,0.100,Yes
K_Uppercase,11.9774,31.6421,0.7969,0.110,Yes
K_Uppercase,11.9646,31.3651,0.8161,0.120,Yes
K_Uppercase,11.9569,31.1186,0.8316,0.130,Yes
K_Uppercase,11.9540,30.8934,0.8443,0.140,Yes
K_Uppercase,11.9553,30.6806,0.8550,0.150,Yes
K_Uppercase,11.9597,30.4707,0.8648,0.160,Yes
K_Uppercase,11.9660,30.2528,0.8751,0.170,Yes
K_Uppercase,11.9729,30.0158,0.8873,0.180,Yes
K_Uppercase,11.9794,29.7500,0.9022,0.190,Yes
K_Uppercase,11.9863,29.4491,0.9199,0.200,Yes
K_Uppercase,11.9948,29.1106,0.9401,0.210,Yes
K_Uppercase,12.0056,28.7369,0.9621,0.220,Yes
K_Uppercase,12.0151,28.3424,0.9846,0.230,Yes
K_Uppercase,12.0170,27.9497,1.0057,0.240,Yes
K_Uppercase,12.0090,27.5697,1.0249,0.250,Yes
K_Uppercase,11.9931,27.1993,1.0425,0.260,Yes
K_Uppercase,11.9724,26.8324,1.0590,0.270,Yes
K_Uppercase,11.9492,26.4644,1.0748,0.280,Yes
K_Uppercase,11.9251,26.0929,1.0901,0.290,Yes
K_Uppercase,11.9012,25.7167,1.1049,0.300,Yes
K_Uppercase,11.8784,25.3352,1.1192,0.310,Yes
K_Uppercase,11.8575,24.9478,1.1330,0.320,Yes
K_Uppercase,11.8394,24.5538,1.1462,0.330,Yes
K_Uppercase,11.8249,24.1525,1.1588,0.340,Yes
K_Uppercase,11.8149,23.7434,1.1707,0.350,Yes
