Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
L_Uppercase,13.6462,32.6999,0.7742,0.000,Yes
L_Uppercase,13.6050,32.4717,0.8028,0.010,Yes
L_Uppercase,13.5656,32.2606,0.8324,0.020,Yes
L_Uppercase,13.5288,32.0596,0.8621,0.030,Yes
L_Uppercase,13.4955,31.8640,0.8915,0.040,Yes
L_Uppercase,13.4660,31.6707,0.9201,0.050,Yes
L_Uppercase,13.4410,31.4768,0.9477,0.060,Yes
L_Uppercase,13.4207,31.2799,0.9740,0.070,Yes
L_Uppercase,13.4054,31.0775,0.9987,0.080,Yes
L_Uppercase,13.3954,30.8670,1.0217,0.090,Yes
L_Uppercase,13.3906,30.6454,1.0427,0.100,Yes
L_Uppercase,13.3911,30.4091,1.0616,0.110,Yes
L_Uppercase,13.3968,30.1534,1.0781,0.120,Yes
L_Uppercase,13.4070,29.8723,1.0921,0.130,Yes
L_Uppercase,13.4208,29.5568,1.1033,0.140,Yes
L_Uppercase,13.4358,29.1933,1.1117,0.150,Yes
L_Uppercase,13.4475,28.7654,1.1177,0.160,Yes
L_Uppercase,13.4483,28.2657,1.1231,0.170,Yes
L_Uppercase,13.4353,27.7274,1.1306,0.180,Yes
L_Uppercase,13.4160,27.2076,1.1414,0.190,Yes
L_Uppercase,13.3981,26.7323,1.1542,0.200,Yes
L_Uppercase,13.3834,26.3020,1.1681,0.210,Yes
L_Uppercase,13.3715,25.9093,1.1826,0.220,Yes
L_Uppercase,13.3611,25.5459,1.1970,0.230,Yes
L_Uppercase,13.3515,25.2041,1.2112,0.240,Yes
L_Uppercase,13.3417,24.8771,1.2248,0.250,Yes
L_Uppercase,13.3316,24.5587,1.2377,0.260,Yes
L_Uppercase,13.3209,24.2439,1.2498,0.270,Yes
L_Uppercase,13.3097,23.9284,1.2610,0.280,Yes
L_Uppercase,13.2984,23.6091,1.2715,0.290,Yes
L_Uppercase,13.2873,23.2838,1.2812,0.300,Yes
L_Uppercase,13.2768,22.9511,1.2903,0.310,Yes
L_Uppercase,13.2674,22.6102,1.2988,0.320,Yes
L_Uppercase,13.2592,22.2607,1.3069,0.330,Yes
L_Uppercase,13.2526,21.9021,1.3145,0.340,Yes
L_Uppercase,13.2478,21.5343,1.3218,0.350,Yes
