Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
M_Lowercase,7.2791,25.9821,0.2740,0.000,Yes
M_Lowercase,7.2405,25.8812,0.3238,0.010,Yes
M_Lowercase,7.2019,25.7804,0.3736,0.020,Yes
M_Lowercase,7.1634,25.6796,0.4234,0.030,Yes
M_Lowercase,7.1248,25.5788,0.4732,0.040,Yes
M_Lowercase,7.0862,25.4780,0.5230,0.050,Yes
M_Lowercase,7.0476,25.3772,0.5728,0.060,Yes
M_Lowercase,7.0090,25.2764,0.6226,0.070,Yes
M_Lowercase,6.9705,25.1755,0.6724,0.080,Yes
M_Lowercase,6.9319,25.0747,0.7222,0.090,Yes
M_Lowercase,6.8933,24.9739,0.7720,0.100,Yes
M_Lowercase,6.9294,24.7973,0.7951,0.110,Yes
M_Lowercase,6.9872,24.5552,0.8085,0.120,Yes
M_Lowercase,7.0330,24.2761,0.8239,0.130,Yes
M_Lowercase,7.0679,23.9652,0.8411,0.140,Yes
M_Lowercase,7.0925,23.6265,0.8599,0.150,Yes
M_Lowercase,7.1083,23.2662,0.8799,0.160,Yes
M_Lowercase,7.1162,22.8888,0.9010,0.170,Yes
M_Lowercase,7.1168,22.4979,0.9229,0.180,Yes
M_Lowercase,7.1113,22.0976,0.9453,0.190,Yes
M_Lowercase,7.1000,21.6907,0.9680,0.200,Yes
M_Lowercase,7.0836,21.2799,0.9907,0.210,Yes
M_Lowercase,7.0629,20.8673,1.0134,0.220,Yes
M_Lowercase,7.0383,20.4548,1.0356,0.230,Yes
M_Lowercase,7.0108,20.0437,1.0572,0.240,Yes
M_Lowercase,6.9812,19.6351,1.0780,0.250,Yes
M_Lowercase,6.9506,19.2302,1.0977,0.260,Yes
M_Lowercase,6.9198,18.8294,1.1162,0.270,Yes
M_Lowercase,6.8901,18.4334,1.1334,0.280,Yes
M_Lowercase,6.8624,18.0423,1.1491,0.290,Yes
M_Lowercase,6.8376,17.6564,1.1632,0.300,Yes
M_Lowercase,6.8165,17.2761,1.1758,0.310,Yes
M_Lowercase,6.7995,16.9017,1.1868,0.320,Yes
M_Lowercase,6.7871,16.5334,1.1964,0.330,Yes
M_Lowercase,6.7791,16.1719,1.2046,0.340,Yes
M_Lowercase,6.7754,15.8177,1.2115,0.350,Yes
M_Lowercase,6.7754,15.4717,1.2172,0.360,Yes
M_Lowercase,6.7787,15.1348,1.2218,0.370,Yes
M_Lowercase,6.7844,14.8079,1.2255,0.380,Yes
M_Lowercase,6.7921,14.4927,1.2282,0.390,Yes
M_Lowercase,6.8008,14.1900,1.2302,0.400,Yes
M_Lowercase,6.8099,13.9000,1.2314,0.410,Yes
M_Lowercase,6.8191,13.6249,1.2320,0.420,Yes
M_Lowercase,6.8280,13.3642,1.2318,0.430,Yes
M_Lowercase,6.8361,13.1193,1.2310,0.440,Yes
M_Lowercase,6.8436,12.8888,1.2297,0.450,Yes
M_Lowercase,6.8500,12.6755,1.2277,0.460,Yes
M_Lowercase,6.8556,12.4771,1.2253,0.470,Yes
M_Lowercase,6.8604,12.2934,1.2223,0.480,Yes
M_Lowercase,6.8645,12.1243,1.2189,0.490,Yes
M_Lowercase,6.8678,11.9695,1.2151,0.500,Yes
M_Lowercase,6.8706,11.8286,1.2108,0.510,Yes
M_Lowercase,6.8729,11.7012,1.2062,0.520,Yes
M_Lowercase,6.8748,11.5868,1.2012,0.530,Yes
M_Lowercase,6.8764,11.4848,1.1958,0.540,Yes
M_Lowercase,6.8779,11.3947,1.1902,0.550,Yes
M_Lowercase,6.8792,11.3159,1.1844,0.560,Yes
M_Lowercase,6.8806,11.2478,1.1782,0.570,Yes
M_Lowercase,6.8820,11.1907,1.1719,0.580,Yes
M_Lowercase,6.8837,11.1465,1.1653,0.590,Yes
M_Lowercase,6.8855,11.1123,1.1585,0.600,Yes
M_Lowercase,6.8877,11.0878,1.1515,0.610,Yes
M_Lowercase,6.8902,11.0728,1.1443,0.620,Yes
M_Lowercase,6.8933,11.0695,1.1370,0.630,Yes
M_Lowercase,6.8969,11.0774,1.1295,0.640,Yes
M_Lowercase,6.9012,11.0950,1.1219,0.650,Yes
M_Lowercase,6.9061,11.1223,1.1142,0.660,Yes
M_Lowercase,6.9118,11.1596,1.1065,0.670,Yes
M_Lowercase,6.9186,11.2105,1.0985,0.680,Yes
M_Lowercase,6.9264,11.2721,1.0906,0.690,Yes
M_Lowercase,6.9352,11.3449,1.0826,0.700,Yes
M_Lowercase,6.9454,11.4293,1.0745,0.710,Yes
M_Lowercase,6.9569,11.5262,1.0664,0.720,Yes
M_Lowercase,6.9700,11.6363,1.0584,0.730,Yes
M_Lowercase,6.9849,11.7601,1.0503,0.740,Yes
M_Lowercase,7.0018,11.8986,1.0424,0.750,Yes
M_Lowercase,7.0208,12.0522,1.0345,0.760,Yes
M_Lowercase,7.0422,12.2216,1.0268,0.770,Yes
M_Lowercase,7.0660,12.4070,1.0193,0.780,Yes
M_Lowercase,7.0928,12.6106,1.0120,0.790,Yes
M_Lowercase,7.1227,12.8322,1.0050,0.800,Yes
M_Lowercase,7.1555,13.0711,0.9984,0.810,Yes
M_Lowercase,7.1917,13.3282,0.9922,0.820,Yes
M_Lowercase,7.2311,13.6027,0.9864,0.830,Yes
M_Lowercase,7.2735,13.8928,0.9811,0.840,Yes
