Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
N_Lowercase,12.4648,26.3535,0.2675,0.000,Yes
N_Lowercase,12.4633,26.3551,0.3117,0.010,Yes
N_Lowercase,12.4618,26.3564,0.3559,0.020,Yes
N_Lowercase,12.4603,26.3565,0.4001,0.030,Yes
N_Lowercase,12.4588,26.3565,0.4442,0.040,Yes
N_Lowercase,12.4573,26.3565,0.4883,0.050,Yes
N_Lowercase,12.4558,26.3566,0.5325,0.060,Yes
N_Lowercase,12.4543,26.3566,0.5766,0.070,Yes
N_Lowercase,12.4528,26.3567,0.6208,0.080,Yes
N_Lowercase,12.4512,26.3567,0.6649,0.090,Yes
N_Lowercase,12.4497,26.3568,0.7090,0.100,Yes
N_Lowercase,12.4482,26.3568,0.7532,0.110,Yes
N_Lowercase,12.4467,26.3569,0.7973,0.120,Yes
N_Lowercase,12.4452,26.3569,0.8415,0.130,Yes
N_Lowercase,12.4437,26.3570,0.8856,0.140,Yes
N_Lowercase,12.4421,26.3570,0.9297,0.150,Yes
N_Lowercase,12.4406,26.3569,0.9739,0.160,Yes
N_Lowercase,12.4386,26.3408,1.0174,0.170,Yes
N_Lowercase,12.4365,26.3248,1.0610,0.180,Yes
N_Lowercase,12.4305,26.0676,1.0937,0.190,Yes
N_Lowercase,12.4443,25.5762,1.1048,0.200,Yes
N_Lowercase,12.4767,25.1511,1.1093,0.210,Yes
N_Lowercase,12.5119,24.7553,1.1105,0.220,Yes
N_Lowercase,12.5363,24.3798,1.1120,0.230,Yes
N_Lowercase,12.5442,24.0281,1.1167,0.240,Yes
N_Lowercase,12.5409,23.7012,1.1246,0.250,Yes
N_Lowercase,12.5336,23.3944,1.1343,0.260,Yes
N_Lowercase,12.5263,23.1019,1.1443,0.270,Yes
N_Lowercase,12.5202,22.8194,1.1540,0.280,Yes
N_Lowercase,12.5157,22.5442,1.1632,0.290,Yes
N_Lowercase,12.5126,22.2747,1.1716,0.300,Yes
N_Lowercase,12.5111,22.0102,1.1795,0.310,Yes
N_Lowercase,12.5110,21.7502,1.1867,0.320,Yes
N_Lowercase,12.5123,21.4943,1.1935,0.330,Yes
N_Lowercase,12.5149,21.2417,1.1998,0.340,Yes
N_Lowercase,12.5184,20.9902,1.2057,0.350,Yes
N_Lowercase,12.5222,20.7356,1.2114,0.360,Yes
N_Lowercase,12.5252,20.4700,1.2170,0.370,Yes
N_Lowercase,12.5253,20.1779,1.2229,0.380,Yes
N_Lowercase,12.5181,19.8259,1.2301,0.390,Yes
N_Lowercase,12.4932,19.3332,1.2403,0.400,Yes
N_Lowercase,12.4529,18.6789,1.2503,0.410,Yes
N_Lowercase,12.4433,18.1687,1.2492,0.420,Yes
N_Lowercase,12.4583,17.7906,1.2410,0.430,Yes
N_Lowercase,12.4836,17.4581,1.2299,0.440,Yes
N_Lowercase,12.5110,17.1216,1.2182,0.450,Yes
N_Lowercase,12.5317,16.7378,1.2091,0.460,Yes
N_Lowercase,12.5331,16.2625,1.2075,0.470,Yes
N_Lowercase,12.5046,15.7036,1.2184,0.480,Yes
N_Lowercase,12.4569,15.1600,1.2383,0.490,Yes
N_Lowercase,12.4078,14.6925,1.2596,0.500,Yes
N_Lowercase,12.3646,14.2983,1.2785,0.510,Yes
N_Lowercase,12.3292,13.9615,1.2941,0.520,Yes
N_Lowercase,12.3013,13.6675,1.3060,0.530,Yes
N_Lowercase,12.2802,13.4051,1.3143,0.540,Yes
N_Lowercase,12.2653,13.1651,1.3191,0.550,Yes
N_Lowercase,12.2562,12.9402,1.3203,0.560,Yes
N_Lowercase,12.2526,12.7245,1.3182,0.570,Yes
N_Lowercase,12.2546,12.5140,1.3130,0.580,Yes
N_Lowercase,12.2616,12.3071,1.3057,0.590,Yes
N_Lowercase,12.2732,12.1047,1.2975,0.600,Yes
N_Lowercase,12.2882,11.9090,1.2894,0.610,Yes
N_Lowercase,12.3055,11.7218,1.2823,0.620,Yes
N_Lowercase,12.3243,11.5439,1.2764,0.630,Yes
N_Lowercase,12.3438,11.3750,1.2719,0.640,Yes
N_Lowercase,12.3636,11.2144,1.2684,0.650,Yes
N_Lowercase,12.3833,11.0611,1.2659,0.660,Yes
N_Lowercase,12.4029,10.9140,1.2641,0.670,Yes
N_Lowercase,12.4222,10.7722,1.2628,0.680,Yes
N_Lowercase,12.4410,10.6346,1.2619,0.690,Yes
N_Lowercase,12.4594,10.5004,1.2613,0.700,Yes
N_Lowercase,12.4773,10.3688,1.2607,0.710,Yes
N_Lowercase,12.4946,10.2392,1.2601,0.720,Yes
N_Lowercase,12.5112,10.1109,1.2594,0.730,Yes
N_Lowercase,12.5270,9.9833,1.2586,0.740,Yes
N_Lowercase,12.5421,9.8559,1.2575,0.750,Yes
N_Lowercase,12.5561,9.7281,1.2561,0.760,Yes
N_Lowercase,12.5690,9.5994,1.2543,0.770,Yes
N_Lowercase,12.5806,9.4694,1.2522,0.780,Yes
N_Lowercase,12.5904,9.3374,1.2495,0.790,Yes
N_Lowercase,12.5980,9.2026,1.2464,0.800,Yes
N_Lowercase,12.5923,9.0528,1.2446,0.810,Yes
N_Lowercase,12.4259,8.7683,1.2640,0.820,Yes
N_Lowercase,12.2704,8.5499,1.2712,0.830,Yes
N_Lowercase,12.1903,8.4084,1.2653,0.840,Yes
N_Lowercase,12.1511,8.3054,1.2529,0.850,Yes
N_Lowercase,12.1396,8.2270,1.2363,0.860,Yes
N_Lowercase,12.1480,8.1657,1.2168,0.870,Yes
N_Lowercase,12.1723,8.1176,1.1951,0.880,Yes
N_Lowercase,12.2107,8.0805,1.1714,0.890,Yes
N_Lowercase,12.2632,8.0539,1.1458,0.900,Yes
N_Lowercase,12.3348,8.0402,1.1179,0.910,Yes
N_Lowercase,12.4436,8.0492,1.0856,0.920,Yes
N_Lowercase,12.4629,8.2666,0.0000,0.930,No
N_Lowercase,12.4795,8.4835,0.0000,0.940,No
N_Lowercase,12.4961,8.7004,0.0000,0.950,No
N_Lowercase,12.5128,8.9173,0.0000,0.960,No
N_Lowercase,12.5294,9.1343,0.0000,0.970,No
N_Lowercase,12.5460,9.3512,0.0000,0.980,No
N_Lowercase,12.5627,9.5681,0.0000,0.990,No
N_Lowercase,12.5793,9.7850,0.0000,1.000,No
N_Lowercase,12.5959,10.0019,0.0000,1.010,No
N_Lowercase,12.6126,10.2188,0.0000,1.020,No
N_Lowercase,12.6292,10.4358,0.0000,1.030,No
N_Lowercase,12.6458,10.6527,0.0000,1.040,No
N_Lowercase,12.6625,10.8696,0.0000,1.050,No
N_Lowercase,12.6791,11.0865,0.0000,1.060,No
N_Lowercase,12.6957,11.3034,0.0000,1.070,No
N_Lowercase,12.7124,11.5204,0.0000,1.080,No
N_Lowercase,12.7290,11.7373,0.0000,1.090,No
N_Lowercase,12.7456,11.9542,0.0000,1.100,No
N_Lowercase,12.7622,12.1711,0.0000,1.110,No
N_Lowercase,12.7789,12.3880,0.0000,1.120,No
N_Lowercase,12.7955,12.6049,0.0000,1.130,No
N_Lowercase,12.8121,12.8219,0.0000,1.140,No
N_Lowercase,12.8288,13.0388,0.0000,1.150,No
N_Lowercase,12.8454,13.2557,0.0000,1.160,No
N_Lowercase,12.8620,13.4726,0.0000,1.170,No
N_Lowercase,12.8787,13.6895,0.0000,1.180,No
N_Lowercase,12.8953,13.9065,0.0000,1.190,No
N_Lowercase,12.9119,14.1234,0.0000,1.200,No
N_Lowercase,12.9286,14.3403,0.0000,1.210,No
N_Lowercase,12.9452,14.5572,0.0000,1.220,No
N_Lowercase,12.9618,14.7741,0.0000,1.230,No
N_Lowercase,12.9785,14.9910,0.0000,1.240,No
N_Lowercase,12.9951,15.2080,0.0000,1.250,No
N_Lowercase,13.0117,15.4249,0.0000,1.260,No
N_Lowercase,13.0284,15.6418,0.0000,1.270,No
N_Lowercase,13.0450,15.8587,0.0000,1.280,No
N_Lowercase,13.0616,16.0756,0.0000,1.290,No
N_Lowercase,13.0783,16.2926,0.0000,1.300,No
N_Lowercase,13.0949,16.5095,0.0000,1.310,No
N_Lowercase,13.1115,16.7264,0.0000,1.320,No
N_Lowercase,13.1282,16.9433,0.0000,1.330,No
N_Lowercase,13.1448,17.1602,0.0000,1.340,No
N_Lowercase,13.1614,17.3772,0.0000,1.350,No
N_Lowercase,13.1781,17.5941,0.0000,1.360,No
N_Lowercase,13.1947,17.8110,0.0000,1.370,No
N_Lowercase,13.2113,18.0279,0.0000,1.380,No
N_Lowercase,13.2280,18.2448,0.0000,1.390,No
N_Lowercase,13.2446,18.4617,0.0000,1.400,No
N_Lowercase,13.2612,18.6787,0.0000,1.410,No
N_Lowercase,13.2779,18.8956,0.0000,1.420,No
N_Lowercase,13.2945,19.1125,0.0000,1.430,No
N_Lowercase,13.3111,19.3294,0.0000,1.440,No
N_Lowercase,13.3278,19.5463,0.0000,1.450,No
N_Lowercase,13.3444,19.7633,0.0000,1.460,No
N_Lowercase,13.3610,19.9802,0.0000,1.470,No
N_Lowercase,13.3776,20.1971,0.0000,1.480,No
N_Lowercase,13.3943,20.4140,0.0000,1.490,No
N_Lowercase,13.4109,20.6309,0.0000,1.500,No
N_Lowercase,13.4275,20.8478,0.0000,1.510,No
N_Lowercase,13.4442,21.0648,0.0000,1.520,No
N_Lowercase,13.4608,21.2817,0.0000,1.530,No
N_Lowercase,13.4774,21.4986,0.0000,1.540,No
N_Lowercase,13.5538,21.5037,0.3239,1.550,Yes
N_Lowercase,13.6213,21.5101,0.3470,1.560,Yes
N_Lowercase,13.6768,21.5229,0.3750,1.570,Yes
N_Lowercase,13.7082,21.5517,0.4145,1.580,Yes
N_Lowercase,13.6972,21.6141,0.4765,1.590,Yes
N_Lowercase,13.6672,22.3078,0.7760,1.600,Yes
N_Lowercase,13.8010,22.4965,0.7993,1.610,Yes
N_Lowercase,13.9257,22.6584,0.8053,1.620,Yes
N_Lowercase,14.0503,22.8105,0.8034,1.630,Yes
N_Lowercase,14.1787,22.9601,0.7975,1.640,Yes
N_Lowercase,14.3159,23.1133,0.7904,1.650,Yes
N_Lowercase,14.4676,23.2770,0.7852,1.660,Yes
N_Lowercase,14.6447,23.4631,0.7869,1.670,Yes
N_Lowercase,14.8553,23.6801,0.8008,1.680,Yes
N_Lowercase,15.0888,23.9162,0.8239,1.690,Yes
N_Lowercase,15.3325,24.1579,0.8508,1.700,Yes
N_Lowercase,15.5856,24.4049,0.8801,1.710,Yes
N_Lowercase,15.8506,24.6618,0.9114,1.720,Yes
N_Lowercase,16.1309,24.9337,0.9443,1.730,Yes
N_Lowercase,16.4272,25.2211,0.9763,1.740,Yes
N_Lowercase,16.7306,25.5092,1.0036,1.750,Yes
N_Lowercase,17.0229,25.7684,1.0227,1.760,Yes
N_Lowercase,17.2909,25.9790,1.0341,1.770,Yes
N_Lowercase,17.5342,26.1422,1.0407,1.780,Yes
N_Lowercase,17.7576,26.2683,1.0451,1.790,Yes
N_Lowercase,17.9669,26.3673,1.0489,1.800,Yes
N_Lowercase,18.1659,26.4464,1.0529,1.810,Yes
N_Lowercase,18.3577,26.5106,1.0576,1.820,Yes
N_Lowercase,18.5445,26.5637,1.0632,1.830,Yes
N_Lowercase,18.7278,26.6080,1.0696,1.840,Yes
N_Lowercase,18.9088,26.6453,1.0770,1.850,Yes
N_Lowercase,19.0882,26.6765,1.0852,1.860,Yes
N_Lowercase,19.2667,26.7021,1.0941,1.870,Yes
N_Lowercase,19.4446,26.7222,1.1034,1.880,Yes
N_Lowercase,19.6220,26.7365,1.1130,1.890,Yes
N_Lowercase,19.7991,26.7445,1.1226,1.900,Yes
N_Lowercase,19.9756,26.7456,1.1318,1.910,Yes
N_Lowercase,20.1515,26.7390,1.1405,1.920,Yes
N_Lowercase,20.3265,26.7237,1.1482,1.930,Yes
N_Lowercase,20.5004,26.6993,1.1548,1.940,Yes
N_Lowercase,20.6729,26.6652,1.1602,1.950,Yes
N_Lowercase,20.8439,26.6214,1.1642,1.960,Yes
N_Lowercase,21.0133,26.5677,1.1668,1.970,Yes
N_Lowercase,21.1813,26.5044,1.1682,1.980,Yes
N_Lowercase,21.3480,26.4319,1.1685,1.990,Yes
N_Lowercase,21.5136,26.3503,1.1679,2.000,Yes
N_Lowercase,21.6785,26.2598,1.1668,2.010,Yes
N_Lowercase,21.8428,26.1605,1.1653,2.020,Yes
N_Lowercase,22.0069,26.0518,1.1639,2.030,Yes
N_Lowercase,22.1708,25.9330,1.1628,2.040,Yes
N_Lowercase,22.3345,25.8028,1.1621,2.050,Yes
N_Lowercase,22.4978,25.6599,1.1621,2.060,Yes
N_Lowercase,22.6599,25.5026,1.1628,2.070,Yes
N_Lowercase,22.8200,25.3298,1.1642,2.080,Yes
N_Lowercase,22.9769,25.1406,1.1663,2.090,Yes
N_Lowercase,23.1294,24.9357,1.1690,2.100,Yes
N_Lowercase,23.2762,24.7166,1.1721,2.110,Yes
N_Lowercase,23.4158,24.4861,1.1757,2.120,Yes
