Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
N_Uppercase,9.5458,9.9249,0.6439,0.000,Yes
N_Uppercase,9.5010,10.3821,0.6575,0.010,Yes
N_Uppercase,9.4596,10.8034,0.6736,0.020,Yes
N_Uppercase,9.4218,11.1980,0.6913,0.030,Yes
N_Uppercase,9.3877,11.5717,0.7103,0.040,Yes
N_Uppercase,9.3578,11.9283,0.7300,0.050,Yes
N_Uppercase,9.3321,12.2712,0.7504,0.060,Yes
N_Uppercase,9.3108,12.6025,0.7712,0.070,Yes
N_Uppercase,9.2941,12.9241,0.7921,0.080,Yes
N_Uppercase,9.2820,13.2381,0.8131,0.090,Yes
N_Uppercase,9.2746,13.5463,0.8339,0.100,Yes
N_Uppercase,9.2718,13.8506,0.8543,0.110,Yes
N_Uppercase,9.2736,14.1532,0.8741,0.120,Yes
N_Uppercase,9.2795,14.4566,0.8932,0.130,Yes
N_Uppercase,9.2892,14.7636,0.9111,0.140,Yes
N_Uppercase,9.3021,15.0777,0.9278,0.150,Yes
N_Uppercase,9.3175,15.4028,0.9427,0.160,Yes
N_Uppercase,9.3345,15.7435,0.9556,0.170,Yes
N_Uppercase,9.3516,16.1065,0.9660,0.180,Yes
N_Uppercase,9.3674,16.4975,0.9735,0.190,Yes
N_Uppercase,9.3797,16.9251,0.9776,0.200,Yes
N_Uppercase,9.3864,17.3940,0.9783,0.210,Yes
N_Uppercase,9.3861,17.9064,0.9759,0.220,Yes
N_Uppercase,9.3792,18.4540,0.9717,0.230,Yes
N_Uppercase,9.3676,19.0232,0.9671,0.240,Yes
N_Uppercase,9.3543,19.5973,0.9634,0.250,Yes
N_Uppercase,9.3413,20.1645,0.9614,0.260,Yes
N_Uppercase,9.3299,20.7181,0.9612,0.270,Yes
N_Uppercase,9.3201,21.2553,0.9628,0.280,Yes
N_Uppercase,9.3122,21.7753,0.9658,0.290,Yes
N_Uppercase,9.3057,22.2785,0.9700,0.300,Yes
N_Uppercase,9.3006,22.7654,0.9752,0.310,Yes
N_Uppercase,9.2966,23.2371,0.9810,0.320,Yes
N_Uppercase,9.2936,23.6942,0.9874,0.330,Yes
N_Uppercase,9.2915,24.1375,0.9942,0.340,Yes
N_Uppercase,9.2901,24.5677,1.0011,0.350,Yes
N_Uppercase,9.2892,24.9855,1.0082,0.360,Yes
N_Uppercase,9.2888,25.3916,1.0154,0.370,Yes
N_Uppercase,9.2885,25.7862,1.0225,0.380,Yes
N_Uppercase,9.2884,26.1703,1.0295,0.390,Yes
N_Uppercase,9.2883,26.5435,1.0364,0.400,Yes
N_Uppercase,9.2880,26.9064,1.0431,0.410,Yes
N_Uppercase,9.2875,27.2589,1.0497,0.420,Yes
N_Uppercase,9.2868,27.6006,1.0561,0.430,Yes
N_Uppercase,9.2861,27.9313,1.0623,0.440,Yes
N_Uppercase,9.2856,28.2505,1.0683,0.450,Yes
N_Uppercase,9.2854,28.5577,1.0742,0.460,Yes
N_Uppercase,9.2858,28.8526,1.0799,0.470,Yes
