Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
O_Uppercase,19.3054,32.7389,0.5748,0.000,Yes
O_Uppercase,19.2060,32.6619,0.5984,0.010,Yes
O_Uppercase,19.1099,32.6052,0.6251,0.020,Yes
O_Uppercase,19.0130,32.5623,0.6539,0.030,Yes
O_Uppercase,18.9129,32.5274,0.6836,0.040,Yes
O_Uppercase,18.8074,32.4985,0.7140,0.050,Yes
O_Uppercase,18.6939,32.4738,0.7446,0.060,Yes
O_Uppercase,18.5715,32.4512,0.7751,0.070,Yes
O_Uppercase,18.4386,32.4293,0.8052,0.080,Yes
O_Uppercase,18.2934,32.4069,0.8347,0.090,Yes
O_Uppercase,18.1345,32.3824,0.8634,0.100,Yes
O_Uppercase,17.9599,32.3541,0.8910,0.110,Yes
O_Uppercase,17.7680,32.3201,0.9171,0.120,Yes
O_Uppercase,17.5564,32.2774,0.9414,0.130,Yes
O_Uppercase,17.3224,32.2220,0.9633,0.140,Yes
O_Uppercase,17.0674,32.1513,0.9826,0.150,Yes
O_Uppercase,16.7917,32.0599,0.9989,0.160,Yes
O_Uppercase,16.4988,31.9420,1.0118,0.170,Yes
O_Uppercase,16.1998,31.7958,1.0218,0.180,Yes
O_Uppercase,15.9088,31.6270,1.0304,0.190,Yes
O_Uppercase,15.6358,31.4454,1.0390,0.200,Yes
O_Uppercase,15.3797,31.2609,1.0486,0.210,Yes
O_Uppercase,15.1358,31.0776,1.0592,0.220,Yes
O_Uppercase,14.9003,30.8967,1.0706,0.230,Yes
O_Uppercase,14.6704,30.7183,1.0827,0.240,Yes
O_Uppercase,14.4448,30.5423,1.0954,0.250,Yes
O_Uppercase,14.2229,30.3685,1.1084,0.260,Yes
O_Uppercase,14.0045,30.1965,1.1220,0.270,Yes
O_Uppercase,13.7894,30.0259,1.1359,0.280,Yes
O_Uppercase,13.5775,29.8559,1.1503,0.290,Yes
O_Uppercase,13.3688,29.6856,1.1652,0.300,Yes
O_Uppercase,13.1636,29.5136,1.1806,0.310,Yes
O_Uppercase,12.9622,29.3381,1.1965,0.320,Yes
O_Uppercase,12.7651,29.1569,1.2128,0.330,Yes
O_Uppercase,12.5729,28.9669,1.2296,0.340,Yes
O_Uppercase,12.3862,28.7653,1.2466,0.350,Yes
O_Uppercase,12.2054,28.5488,1.2637,0.360,Yes
O_Uppercase,12.0311,28.3143,1.2804,0.370,Yes
O_Uppercase,11.8633,28.0597,1.2963,0.380,Yes
O_Uppercase,11.7019,27.7835,1.3111,0.390,Yes
O_Uppercase,11.5461,27.4867,1.3243,0.400,Yes
O_Uppercase,11.3951,27.1723,1.3358,0.410,Yes
O_Uppercase,11.2481,26.8435,1.3455,0.420,Yes
O_Uppercase,11.1047,26.5038,1.3536,0.430,Yes
O_Uppercase,10.9648,26.1573,1.3604,0.440,Yes
O_Uppercase,10.8289,25.8065,1.3664,0.450,Yes
O_Uppercase,10.6983,25.4535,1.3718,0.460,Yes
O_Uppercase,10.5740,25.0996,1.3772,0.470,Yes
O_Uppercase,10.4583,24.7455,1.3827,0.480,Yes
O_Uppercase,10.3523,24.3916,1.3887,0.490,Yes
O_Uppercase,10.2588,24.0381,1.3954,0.500,Yes
O_Uppercase,10.1784,23.6849,1.4028,0.510,Yes
O_Uppercase,10.1127,23.3318,1.4111,0.520,Yes
O_Uppercase,10.0618,22.9783,1.4202,0.530,Yes
O_Uppercase,10.0244,22.6237,1.4299,0.540,Yes
O_Uppercase,9.9987,22.2671,1.4403,0.550,Yes
O_Uppercase,9.9813,21.9075,1.4510,0.560,Yes
O_Uppercase,9.9679,21.5438,1.4620,0.570,Yes
O_Uppercase,9.9542,21.1754,1.4729,0.580,Yes
O_Uppercase,9.9364,20.8021,1.4836,0.590,Yes
O_Uppercase,9.9119,20.4243,1.4939,0.600,Yes
O_Uppercase,9.8793,20.0432,1.5037,0.610,Yes
O_Uppercase,9.8400,19.6613,1.5127,0.620,Yes
O_Uppercase,9.7963,19.2815,1.5208,0.630,Yes
O_Uppercase,9.7526,18.9076,1.5277,0.640,Yes
O_Uppercase,9.7138,18.5431,1.5334,0.650,Yes
O_Uppercase,9.6847,18.1911,1.5377,0.660,Yes
O_Uppercase,9.6696,17.8543,1.5408,0.670,Yes
O_Uppercase,9.6722,17.5346,1.5425,0.680,Yes
O_Uppercase,9.6945,17.2326,1.5432,0.690,Yes
O_Uppercase,9.7377,16.9483,1.5429,0.700,Yes
O_Uppercase,9.8018,16.6811,1.5419,0.710,Yes
O_Uppercase,9.8860,16.4296,1.5403,0.720,Yes
O_Uppercase,9.9892,16.1926,1.5383,0.730,Yes
O_Uppercase,10.1106,15.9689,1.5361,0.740,Yes
O_Uppercase,10.2482,15.7568,1.5339,0.750,Yes
O_Uppercase,10.3995,15.5541,1.5317,0.760,Yes
O_Uppercase,10.5626,15.3591,1.5298,0.770,Yes
O_Uppercase,10.7356,15.1702,1.5282,0.780,Yes
O_Uppercase,10.9166,14.9859,1.5270,0.790,Yes
O_Uppercase,11.1035,14.8047,1.5263,0.800,Yes
O_Uppercase,11.2947,14.6251,1.5260,0.810,Yes
O_Uppercase,11.4888,14.4464,1.5262,0.820,Yes
O_Uppercase,11.6847,14.2675,1.5268,0.830,Yes
O_Uppercase,11.8817,14.0881,1.5278,0.840,Yes
O_Uppercase,12.0792,13.9075,1.5292,0.850,Yes
O_Uppercase,12.2769,13.7257,1.5309,0.860,Yes
O_Uppercase,12.4746,13.5425,1.5328,0.870,Yes
O_Uppercase,12.6724,13.3577,1.5349,0.880,Yes
O_Uppercase,12.8703,13.1715,1.5371,0.890,Yes
O_Uppercase,13.0686,12.9839,1.5393,0.900,Yes
O_Uppercase,13.2676,12.7950,1.5416,0.910,Yes
O_Uppercase,13.4674,12.6048,1.5437,0.920,Yes
O_Uppercase,13.6686,12.4136,1.5458,0.930,Yes
O_Uppercase,13.8714,12.2215,1.5477,0.940,Yes
O_Uppercase,14.0765,12.0285,1.5493,0.950,Yes
O_Uppercase,14.2843,11.8351,1.5506,0.960,Yes
O_Uppercase,14.4954,11.6415,1.5514,0.970,Yes
O_Uppercase,14.7104,11.4481,1.5518,0.980,Yes
O_Uppercase,14.9300,11.2554,1.5516,0.990,Yes
O_Uppercase,15.1552,11.0644,1.5507,1.000,Yes
O_Uppercase,15.3864,10.8761,1.5491,1.010,Yes
O_Uppercase,15.6243,10.6917,1.5466,1.020,Yes
O_Uppercase,15.8697,10.5129,1.5431,1.030,Yes
O_Uppercase,16.1231,10.3423,1.5387,1.040,Yes
O_Uppercase,16.3845,10.1822,1.5333,1.050,Yes
O_Uppercase,16.6537,10.0352,1.5270,1.060,Yes
O_Uppercase,16.9298,9.9042,1.5199,1.070,Yes
O_Uppercase,17.2119,9.7917,1.5122,1.080,Yes
O_Uppercase,17.4984,9.7000,1.5042,1.090,Yes
O_Uppercase,17.7875,9.6308,1.4960,1.100,Yes
O_Uppercase,18.0775,9.5841,1.4880,1.110,Yes
O_Uppercase,18.3665,9.5596,1.4803,1.120,Yes
O_Uppercase,18.6531,9.5561,1.4732,1.130,Yes
O_Uppercase,18.9364,9.5720,1.4668,1.140,Yes
O_Uppercase,19.2155,9.6053,1.4612,1.150,Yes
O_Uppercase,19.4900,9.6539,1.4564,1.160,Yes
O_Uppercase,19.7599,9.7156,1.4524,1.170,Yes
O_Uppercase,20.0252,9.7885,1.4491,1.180,Yes
O_Uppercase,20.2862,9.8707,1.4464,1.190,Yes
O_Uppercase,20.5434,9.9604,1.4444,1.200,Yes
O_Uppercase,20.7972,10.0563,1.4428,1.210,Yes
O_Uppercase,21.0480,10.1573,1.4416,1.220,Yes
O_Uppercase,21.2964,10.2624,1.4408,1.230,Yes
O_Uppercase,21.5426,10.3708,1.4403,1.240,Yes
O_Uppercase,21.7872,10.4820,1.4399,1.250,Yes
O_Uppercase,22.0304,10.5955,1.4397,1.260,Yes
O_Uppercase,22.2725,10.7111,1.4397,1.270,Yes
O_Uppercase,22.5138,10.8285,1.4397,1.280,Yes
O_Uppercase,22.7544,10.9476,1.4397,1.290,Yes
O_Uppercase,22.9945,11.0684,1.4398,1.300,Yes
O_Uppercase,23.2344,11.1910,1.4399,1.310,Yes
O_Uppercase,23.4740,11.3155,1.4400,1.320,Yes
O_Uppercase,23.7135,11.4420,1.4401,1.330,Yes
O_Uppercase,23.9531,11.5709,1.4402,1.340,Yes
O_Uppercase,24.1927,11.7026,1.4403,1.350,Yes
O_Uppercase,24.4324,11.8376,1.4403,1.360,Yes
O_Uppercase,24.6722,11.9766,1.4402,1.370,Yes
O_Uppercase,24.9119,12.1203,1.4400,1.380,Yes
O_Uppercase,25.1514,12.2697,1.4397,1.390,Yes
O_Uppercase,25.3904,12.4259,1.4393,1.400,Yes
O_Uppercase,25.6285,12.5903,1.4387,1.410,Yes
O_Uppercase,25.8649,12.7643,1.4379,1.420,Yes
O_Uppercase,26.0988,12.9497,1.4368,1.430,Yes
O_Uppercase,26.3290,13.1482,1.4354,1.440,Yes
O_Uppercase,26.5540,13.3616,1.4336,1.450,Yes
O_Uppercase,26.7721,13.5918,1.4316,1.460,Yes
O_Uppercase,26.9809,13.8406,1.4292,1.470,Yes
O_Uppercase,27.1780,14.1092,1.4265,1.480,Yes
O_Uppercase,27.3614,14.3973,1.4235,1.490,Yes
O_Uppercase,27.5288,14.7045,1.4203,1.500,Yes
O_Uppercase,27.6782,15.0292,1.4171,1.510,Yes
O_Uppercase,27.8096,15.3676,1.4139,1.520,Yes
O_Uppercase,27.9227,15.7162,1.4109,1.530,Yes
O_Uppercase,28.0193,16.0703,1.4082,1.540,Yes
O_Uppercase,28.1010,16.4261,1.4060,1.550,Yes
O_Uppercase,28.1696,16.7802,1.4042,1.560,Yes
O_Uppercase,28.2275,17.1304,1.4029,1.570,Yes
O_Uppercase,28.2758,17.4747,1.4021,1.580,Yes
O_Uppercase,28.3162,17.8125,1.4019,1.590,Yes
O_Uppercase,28.3491,18.1430,1.4022,1.600,Yes
O_Uppercase,28.3753,18.4665,1.4030,1.610,Yes
O_Uppercase,28.3949,18.7825,1.4044,1.620,Yes
O_Uppercase,28.4085,19.0915,1.4063,1.630,Yes
O_Uppercase,28.4159,19.3937,1.4087,1.640,Yes
O_Uppercase,28.4173,19.6891,1.4117,1.650,Yes
O_Uppercase,28.4128,19.9784,1.4152,1.660,Yes
O_Uppercase,28.4027,20.2619,1.4192,1.670,Yes
O_Uppercase,28.3868,20.5401,1.4237,1.680,Yes
O_Uppercase,28.3655,20.8135,1.4286,1.690,Yes
O_Uppercase,28.3387,21.0828,1.4337,1.700,Yes
O_Uppercase,28.3065,21.3487,1.4392,1.710,Yes
O_Uppercase,28.2692,21.6119,1.4449,1.720,Yes
O_Uppercase,28.2266,21.8733,1.4507,1.730,Yes
O_Uppercase,28.1791,22.1336,1.4566,1.740,Yes
O_Uppercase,28.1265,22.3939,1.4625,1.750,Yes
O_Uppercase,28.0690,22.6551,1.4683,1.760,Yes
O_Uppercase,28.0067,22.9181,1.4740,1.770,Yes
O_Uppercase,27.9395,23.1841,1.4796,1.780,Yes
O_Uppercase,27.8675,23.4544,1.4850,1.790,Yes
O_Uppercase,27.7909,23.7305,1.4902,1.800,Yes
O_Uppercase,27.7097,24.0139,1.4952,1.810,Yes
O_Uppercase,27.6240,24.3068,1.4999,1.820,Yes
O_Uppercase,27.5339,24.6113,1.5043,1.830,Yes
O_Uppercase,27.4392,24.9303,1.5084,1.840,Yes
O_Uppercase,27.3394,25.2676,1.5121,1.850,Yes
O_Uppercase,27.2339,25.6256,1.5153,1.860,Yes
O_Uppercase,27.1207,26.0067,1.5179,1.870,Yes
O_Uppercase,26.9969,26.4095,1.5197,1.880,Yes
O_Uppercase,26.8584,26.8248,1.5208,1.890,Yes
O_Uppercase,26.7024,27.2359,1.5211,1.900,Yes
O_Uppercase,26.5290,27.6243,1.5212,1.910,Yes
O_Uppercase,26.3410,27.9774,1.5213,1.920,Yes
O_Uppercase,26.1430,28.2936,1.5217,1.930,Yes
O_Uppercase,25.9387,28.5748,1.5228,1.940,Yes
O_Uppercase,25.7309,28.8269,1.5245,1.950,Yes
O_Uppercase,25.5213,29.0545,1.5268,1.960,Yes
O_Uppercase,25.3113,29.2617,1.5297,1.970,Yes
O_Uppercase,25.1014,29.4522,1.5332,1.980,Yes
O_Uppercase,24.8922,29.6287,1.5371,1.990,Yes
O_Uppercase,24.6838,29.7935,1.5416,2.000,Yes
O_Uppercase,24.4764,29.9482,1.5464,2.010,Yes
O_Uppercase,24.2698,30.0940,1.5515,2.020,Yes
O_Uppercase,24.0639,30.2320,1.5568,2.030,Yes
O_Uppercase,23.8586,30.3626,1.5622,2.040,Yes
O_Uppercase,23.6537,30.4865,1.5678,2.050,Yes
O_Uppercase,23.4488,30.6037,1.5732,2.060,Yes
O_Uppercase,23.2437,30.7146,1.5786,2.070,Yes
O_Uppercase,23.0381,30.8195,1.5836,2.080,Yes
O_Uppercase,22.8315,30.9184,1.5884,2.090,Yes
O_Uppercase,22.6238,31.0113,1.5926,2.100,Yes
O_Uppercase,22.4145,31.0984,1.5963,2.110,Yes
O_Uppercase,22.2033,31.1797,1.5993,2.120,Yes
O_Uppercase,21.9900,31.2553,1.6015,2.130,Yes
O_Uppercase,21.7744,31.3255,1.6030,2.140,Yes
O_Uppercase,21.5564,31.3906,1.6035,2.150,Yes
O_Uppercase,21.3358,31.4512,1.6031,2.160,Yes
O_Uppercase,21.1127,31.5076,1.6019,2.170,Yes
O_Uppercase,20.8873,31.5603,1.5997,2.180,Yes
O_Uppercase,20.6596,31.6100,1.5967,2.190,Yes
O_Uppercase,20.4298,31.6572,1.5930,2.200,Yes
O_Uppercase,20.1982,31.7025,1.5885,2.210,Yes
O_Uppercase,19.9651,31.7466,1.5835,2.220,Yes
O_Uppercase,19.7308,31.7899,1.5779,2.230,Yes
O_Uppercase,19.4956,31.8330,1.5719,2.240,Yes
O_Uppercase,19.2597,31.8764,1.5657,2.250,Yes
O_Uppercase,19.0235,31.9203,1.5592,2.260,Yes
O_Uppercase,18.7871,31.9651,1.5526,2.270,Yes
O_Uppercase,18.5507,32.0110,1.5459,2.280,Yes
O_Uppercase,18.3146,32.0584,1.5392,2.290,Yes
O_Uppercase,18.0790,32.1073,1.5327,2.300,Yes
O_Uppercase,17.8438,32.1578,1.5262,2.310,Yes
O_Uppercase,17.6093,32.2100,1.5199,2.320,Yes
O_Uppercase,17.3755,32.2641,1.5139,2.330,Yes
O_Uppercase,17.1424,32.3199,1.5081,2.340,Yes
O_Uppercase,16.9101,32.3775,1.5026,2.350,Yes
O_Uppercase,16.6787,32.4370,1.4973,2.360,Yes
O_Uppercase,16.4481,32.4982,1.4924,2.370,Yes
O_Uppercase,16.2183,32.5612,1.4878,2.380,Yes
O_Uppercase,15.9893,32.6260,1.4835,2.390,Yes
O_Uppercase,15.7611,32.6925,1.4797,2.400,Yes
