Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
P_Lowercase,12.3015,26.3567,0.5888,0.000,Yes
P_Lowercase,12.2870,26.2263,0.6210,0.010,Yes
P_Lowercase,12.2752,26.1238,0.6551,0.020,Yes
P_Lowercase,12.2658,26.0350,0.6903,0.030,Yes
P_Lowercase,12.2590,25.9546,0.7261,0.040,Yes
P_Lowercase,12.2547,25.8793,0.7623,0.050,Yes
P_Lowercase,12.2529,25.8069,0.7988,0.060,Yes
P_Lowercase,12.2537,25.7350,0.8354,0.070,Yes
P_Lowercase,12.2570,25.6618,0.8720,0.080,Yes
P_Lowercase,12.2630,25.5844,0.9084,0.090,Yes
P_Lowercase,12.2719,25.4992,0.9444,0.100,Yes
P_Lowercase,12.2837,25.4004,0.9795,0.110,Yes
P_Lowercase,12.2987,25.2769,1.0129,0.120,Yes
P_Lowercase,12.3163,25.1049,1.0430,0.130,Yes
P_Lowercase,12.3335,24.8426,1.0663,0.140,Yes
P_Lowercase,12.3438,24.4866,1.0817,0.150,Yes
P_Lowercase,12.3483,24.0975,1.0928,0.160,Yes
P_Lowercase,12.3497,23.6964,1.1013,0.170,Yes
P_Lowercase,12.3486,23.2865,1.1078,0.180,Yes
P_Lowercase,12.3448,22.8726,1.1130,0.190,Yes
P_Lowercase,12.3372,22.4619,1.1180,0.200,Yes
P_Lowercase,12.3248,22.0607,1.1239,0.210,Yes
P_Lowercase,12.3073,21.6719,1.1310,0.220,Yes
P_Lowercase,12.2853,21.2937,1.1394,0.230,Yes
P_Lowercase,12.2607,20.9212,1.1487,0.240,Yes
P_Lowercase,12.2366,20.5487,1.1587,0.250,Yes
P_Lowercase,12.2178,20.1722,1.1694,0.260,Yes
P_Lowercase,12.2101,19.7901,1.1810,0.270,Yes
P_Lowercase,12.2171,19.4015,1.1935,0.280,Yes
P_Lowercase,12.2384,18.9998,1.2067,0.290,Yes
P_Lowercase,12.2711,18.5696,1.2198,0.300,Yes
P_Lowercase,12.3144,18.0921,1.2324,0.310,Yes
P_Lowercase,12.3689,17.5690,1.2451,0.320,Yes
P_Lowercase,12.4260,17.0470,1.2585,0.330,Yes
P_Lowercase,12.4703,16.5681,1.2712,0.340,Yes
P_Lowercase,12.4965,16.1273,1.2822,0.350,Yes
P_Lowercase,12.5064,15.7058,1.2909,0.360,Yes
P_Lowercase,12.5034,15.2910,1.2972,0.370,Yes
P_Lowercase,12.4902,14.8776,1.3014,0.380,Yes
P_Lowercase,12.4692,14.4652,1.3038,0.390,Yes
P_Lowercase,12.4432,14.0552,1.3051,0.400,Yes
P_Lowercase,12.4149,13.6495,1.3057,0.410,Yes
P_Lowercase,12.3869,13.2484,1.3065,0.420,Yes
P_Lowercase,12.3613,12.8510,1.3077,0.430,Yes
P_Lowercase,12.3401,12.4547,1.3098,0.440,Yes
P_Lowercase,12.3245,12.0560,1.3130,0.450,Yes
P_Lowercase,12.3157,11.6505,1.3174,0.460,Yes
P_Lowercase,12.3146,11.2342,1.3229,0.470,Yes
P_Lowercase,12.3218,10.8036,1.3295,0.480,Yes
P_Lowercase,12.3369,10.3589,1.3371,0.490,Yes
P_Lowercase,12.3581,9.9075,1.3454,0.500,Yes
P_Lowercase,12.3820,9.4658,1.3543,0.510,Yes
P_Lowercase,12.4047,9.0537,1.3635,0.520,Yes
P_Lowercase,12.4238,8.6836,1.3731,0.530,Yes
P_Lowercase,12.4388,8.3567,1.3828,0.540,Yes
P_Lowercase,12.4505,8.0671,1.3926,0.550,Yes
P_Lowercase,12.4595,7.8075,1.4023,0.560,Yes
P_Lowercase,12.4664,7.5718,1.4118,0.570,Yes
P_Lowercase,12.4717,7.3546,1.4210,0.580,Yes
P_Lowercase,12.4757,7.1518,1.4297,0.590,Yes
P_Lowercase,12.4786,6.9604,1.4379,0.600,Yes
P_Lowercase,12.4805,6.7780,1.4455,0.610,Yes
P_Lowercase,12.4816,6.6026,1.4523,0.620,Yes
P_Lowercase,12.4818,6.4327,1.4582,0.630,Yes
P_Lowercase,12.4813,6.2669,1.4631,0.640,Yes
P_Lowercase,12.4799,6.1040,1.4669,0.650,Yes
P_Lowercase,12.4778,5.9428,1.4692,0.660,Yes
P_Lowercase,12.4749,5.7824,1.4699,0.670,Yes
P_Lowercase,12.4713,5.6215,1.4686,0.680,Yes
P_Lowercase,12.4671,5.4591,1.4652,0.690,Yes
P_Lowercase,12.4625,5.2940,1.4593,0.700,Yes
P_Lowercase,12.4578,5.1251,1.4508,0.710,Yes
P_Lowercase,12.4532,4.9519,1.4398,0.720,Yes
P_Lowercase,12.4492,4.7743,1.4267,0.730,Yes
P_Lowercase,12.4462,4.5927,1.4123,0.740,Yes
P_Lowercase,12.4444,4.4082,1.3974,0.750,Yes
P_Lowercase,12.4437,4.2218,1.3830,0.760,Yes
P_Lowercase,12.4440,4.0342,1.3695,0.770,Yes
P_Lowercase,12.4451,3.8453,1.3573,0.780,Yes
P_Lowercase,12.4467,3.6548,1.3466,0.790,Yes
P_Lowercase,12.4487,3.4617,1.3373,0.800,Yes
P_Lowercase,12.4509,3.2647,1.3293,0.810,Yes
P_Lowercase,12.4532,3.0618,1.3227,0.820,Yes
P_Lowercase,12.4556,2.8504,1.3173,0.830,Yes
P_Lowercase,12.4582,2.6267,1.3132,0.840,Yes
P_Lowercase,12.4636,2.6512,0.0000,0.859,No
P_Lowercase,12.4665,2.8859,0.0000,0.869,No
P_Lowercase,12.4695,3.1205,0.0000,0.879,No
P_Lowercase,12.4725,3.3552,0.0000,0.889,No
P_Lowercase,12.4755,3.5899,0.0000,0.899,No
P_Lowercase,12.4785,3.8246,0.0000,0.909,No
P_Lowercase,12.4815,4.0593,0.0000,0.919,No
P_Lowercase,12.4845,4.2939,0.0000,0.929,No
P_Lowercase,12.4874,4.5286,0.0000,0.939,No
P_Lowercase,12.4904,4.7633,0.0000,0.949,No
P_Lowercase,12.4934,4.9980,0.0000,0.959,No
P_Lowercase,12.4964,5.2327,0.0000,0.969,No
P_Lowercase,12.4994,5.4673,0.0000,0.979,No
P_Lowercase,12.5024,5.7020,0.0000,0.989,No
P_Lowercase,12.5054,5.9367,0.0000,0.999,No
P_Lowercase,12.5083,6.1714,0.0000,1.009,No
P_Lowercase,12.5113,6.4060,0.0000,1.019,No
P_Lowercase,12.5143,6.6407,0.0000,1.029,No
P_Lowercase,12.5173,6.8754,0.0000,1.039,No
P_Lowercase,12.5203,7.1101,0.0000,1.049,No
P_Lowercase,12.5233,7.3448,0.0000,1.059,No
P_Lowercase,12.5263,7.5794,0.0000,1.069,No
P_Lowercase,12.5292,7.8141,0.0000,1.079,No
P_Lowercase,12.5322,8.0488,0.0000,1.089,No
P_Lowercase,12.5352,8.2835,0.0000,1.099,No
P_Lowercase,12.5382,8.5182,0.0000,1.109,No
P_Lowercase,12.5412,8.7528,0.0000,1.119,No
P_Lowercase,12.5442,8.9875,0.0000,1.129,No
P_Lowercase,12.5472,9.2222,0.0000,1.139,No
P_Lowercase,12.5502,9.4569,0.0000,1.149,No
P_Lowercase,12.5531,9.6916,0.0000,1.159,No
P_Lowercase,12.5561,9.9262,0.0000,1.169,No
P_Lowercase,12.5591,10.1609,0.0000,1.179,No
P_Lowercase,12.5621,10.3956,0.0000,1.189,No
P_Lowercase,12.5651,10.6303,0.0000,1.199,No
P_Lowercase,12.5681,10.8649,0.0000,1.209,No
P_Lowercase,12.5711,11.0996,0.0000,1.219,No
P_Lowercase,12.5740,11.3343,0.0000,1.229,No
P_Lowercase,12.5770,11.5690,0.0000,1.239,No
P_Lowercase,12.5800,11.8037,0.0000,1.249,No
P_Lowercase,12.5830,12.0383,0.0000,1.259,No
P_Lowercase,12.5860,12.2730,0.0000,1.269,No
P_Lowercase,12.5890,12.5077,0.0000,1.279,No
P_Lowercase,12.5920,12.7424,0.0000,1.289,No
P_Lowercase,12.5949,12.9771,0.0000,1.299,No
P_Lowercase,12.5979,13.2117,0.0000,1.309,No
P_Lowercase,12.6009,13.4464,0.0000,1.319,No
P_Lowercase,12.6039,13.6811,0.0000,1.329,No
P_Lowercase,12.6069,13.9158,0.0000,1.339,No
P_Lowercase,12.6099,14.1505,0.0000,1.349,No
P_Lowercase,12.6129,14.3851,0.0000,1.359,No
P_Lowercase,12.6158,14.6198,0.0000,1.369,No
P_Lowercase,12.6188,14.8545,0.0000,1.379,No
P_Lowercase,12.6218,15.0892,0.0000,1.389,No
P_Lowercase,12.6248,15.3239,0.0000,1.399,No
P_Lowercase,12.6278,15.5585,0.0000,1.409,No
P_Lowercase,12.6308,15.7932,0.0000,1.419,No
P_Lowercase,12.6338,16.0279,0.0000,1.429,No
P_Lowercase,12.6367,16.2626,0.0000,1.439,No
P_Lowercase,12.6397,16.4972,0.0000,1.449,No
P_Lowercase,12.6427,16.7319,0.0000,1.459,No
P_Lowercase,12.6457,16.9666,0.0000,1.469,No
P_Lowercase,12.6487,17.2013,0.0000,1.479,No
P_Lowercase,12.6517,17.4360,0.0000,1.489,No
P_Lowercase,12.6547,17.6706,0.0000,1.499,No
P_Lowercase,12.6577,17.9053,0.0000,1.509,No
P_Lowercase,12.6606,18.1400,0.0000,1.519,No
P_Lowercase,12.6636,18.3747,0.0000,1.529,No
P_Lowercase,12.6666,18.6094,0.0000,1.539,No
P_Lowercase,12.6696,18.8440,0.0000,1.549,No
P_Lowercase,12.6726,19.0787,0.0000,1.559,No
P_Lowercase,12.6756,19.3134,0.0000,1.569,No
P_Lowercase,12.6786,19.5481,0.0000,1.579,No
P_Lowercase,12.6815,19.7828,0.0000,1.589,No
P_Lowercase,12.6845,20.0174,0.0000,1.599,No
P_Lowercase,12.6875,20.2521,0.0000,1.609,No
P_Lowercase,12.6905,20.4868,0.0000,1.619,No
P_Lowercase,12.6935,20.7215,0.0000,1.629,No
P_Lowercase,12.6965,20.9561,0.0000,1.639,No
P_Lowercase,12.6995,21.1908,0.0000,1.649,No
P_Lowercase,12.7024,21.4255,0.0000,1.659,No
P_Lowercase,12.7054,21.6602,0.0000,1.669,No
P_Lowercase,12.7765,21.9335,0.4821,1.680,Yes
P_Lowercase,13.2078,22.2569,0.5773,1.690,Yes
P_Lowercase,13.5409,22.5667,0.6555,1.700,Yes
P_Lowercase,13.7908,22.8347,0.7136,1.710,Yes
P_Lowercase,13.9806,23.0628,0.7551,1.720,Yes
P_Lowercase,14.1305,23.2597,0.7846,1.730,Yes
P_Lowercase,14.2543,23.4335,0.8056,1.740,Yes
P_Lowercase,14.3607,23.5893,0.8202,1.750,Yes
P_Lowercase,14.4562,23.7317,0.8302,1.760,Yes
P_Lowercase,14.5447,23.8630,0.8367,1.770,Yes
P_Lowercase,14.6296,23.9853,0.8405,1.780,Yes
P_Lowercase,14.7135,24.1008,0.8424,1.790,Yes
P_Lowercase,14.7987,24.2096,0.8427,1.800,Yes
P_Lowercase,14.8873,24.3135,0.8420,1.810,Yes
P_Lowercase,14.9820,24.4129,0.8407,1.820,Yes
P_Lowercase,15.0859,24.5088,0.8392,1.830,Yes
P_Lowercase,15.2026,24.6020,0.8382,1.840,Yes
P_Lowercase,15.3378,24.6937,0.8384,1.850,Yes
P_Lowercase,15.4987,24.7854,0.8407,1.860,Yes
P_Lowercase,15.6954,24.8792,0.8468,1.870,Yes
P_Lowercase,15.9374,24.9777,0.8579,1.880,Yes
P_Lowercase,16.2291,25.0824,0.8750,1.890,Yes
P_Lowercase,16.5598,25.1917,0.8969,1.900,Yes
P_Lowercase,16.9103,25.3016,0.9212,1.910,Yes
