Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
Q_Lowercase,24.0975,22.9817,0.5847,0.000,Yes
Q_Lowercase,23.9953,23.0214,0.6007,0.010,Yes
Q_Lowercase,23.8906,23.0674,0.6171,0.020,Yes
Q_Lowercase,23.7834,23.1189,0.6339,0.030,Yes
Q_Lowercase,23.6738,23.1752,0.6510,0.040,Yes
Q_Lowercase,23.5616,23.2361,0.6685,0.050,Yes
Q_Lowercase,23.4468,23.3012,0.6862,0.060,Yes
Q_Lowercase,23.3288,23.3707,0.7043,0.070,Yes
Q_Lowercase,23.2080,23.4439,0.7227,0.080,Yes
Q_Lowercase,23.0841,23.5206,0.7413,0.090,Yes
Q_Lowercase,22.9570,23.6007,0.7601,0.100,Yes
Q_Lowercase,22.8263,23.6841,0.7791,0.110,Yes
Q_Lowercase,22.6918,23.7707,0.7981,0.120,Yes
Q_Lowercase,22.5537,23.8601,0.8172,0.130,Yes
Q_Lowercase,22.4118,23.9522,0.8363,0.140,Yes
Q_Lowercase,22.2660,24.0469,0.8552,0.150,Yes
Q_Lowercase,22.1156,24.1443,0.8739,0.160,Yes
Q_Lowercase,21.9612,24.2438,0.8922,0.170,Yes
Q_Lowercase,21.8026,24.3451,0.9101,0.180,Yes
Q_Lowercase,21.6399,24.4481,0.9275,0.190,Yes
Q_Lowercase,21.4727,24.5524,0.9440,0.200,Yes
Q_Lowercase,21.3013,24.6575,0.9596,0.210,Yes
Q_Lowercase,21.1262,24.7628,0.9743,0.220,Yes
Q_Lowercase,20.9475,24.8677,0.9878,0.230,Yes
Q_Lowercase,20.7650,24.9714,0.9999,0.240,Yes
Q_Lowercase,20.5793,25.0730,1.0105,0.250,Yes
Q_Lowercase,20.3908,25.1715,1.0197,0.260,Yes
Q_Lowercase,20.1997,25.2658,1.0274,0.270,Yes
Q_Lowercase,20.0061,25.3539,1.0335,0.280,Yes
Q_Lowercase,19.8104,25.4353,1.0382,0.290,Yes
Q_Lowercase,19.6126,25.5083,1.0418,0.300,Yes
Q_Lowercase,19.4125,25.5699,1.0442,0.310,Yes
Q_Lowercase,19.2102,25.6203,1.0459,0.320,Yes
Q_Lowercase,19.0050,25.6563,1.0474,0.330,Yes
Q_Lowercase,18.7965,25.6775,1.0490,0.340,Yes
Q_Lowercase,18.5839,25.6818,1.0513,0.350,Yes
Q_Lowercase,18.3668,25.6696,1.0544,0.360,Yes
Q_Lowercase,18.1440,25.6387,1.0590,0.370,Yes
Q_Lowercase,17.9155,25.5915,1.0651,0.380,Yes
Q_Lowercase,17.6814,25.5290,1.0725,0.390,Yes
