Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
S_Lowercase,25.1189,23.7474,0.6882,0.000,Yes
S_Lowercase,24.9416,23.8498,0.7105,0.010,Yes
S_Lowercase,24.7652,23.9523,0.7328,0.020,Yes
S_Lowercase,24.5898,24.0549,0.7553,0.030,Yes
S_Lowercase,24.4157,24.1573,0.7778,0.040,Yes
S_Lowercase,24.2429,24.2595,0.8003,0.050,Yes
S_Lowercase,24.0719,24.3612,0.8228,0.060,Yes
S_Lowercase,23.9027,24.4624,0.8452,0.070,Yes
S_Lowercase,23.7355,24.5628,0.8676,0.080,Yes
S_Lowercase,23.5708,24.6623,0.8897,0.090,Yes
S_Lowercase,23.4088,24.7608,0.9117,0.100,Yes
S_Lowercase,23.2497,24.8581,0.9335,0.110,Yes
S_Lowercase,23.0937,24.9540,0.9549,0.120,Yes
S_Lowercase,22.9411,25.0483,0.9758,0.130,Yes
S_Lowercase,22.7919,25.1409,0.9963,0.140,Yes
S_Lowercase,22.6461,25.2317,1.0161,0.150,Yes
S_Lowercase,22.5032,25.3205,1.0353,0.160,Yes
S_Lowercase,22.3630,25.4073,1.0536,0.170,Yes
S_Lowercase,22.2249,25.4919,1.0709,0.180,Yes
S_Lowercase,22.0880,25.5743,1.0873,0.190,Yes
S_Lowercase,21.9512,25.6544,1.1025,0.200,Yes
S_Lowercase,21.8135,25.7320,1.1166,0.210,Yes
S_Lowercase,21.6734,25.8071,1.1294,0.220,Yes
S_Lowercase,21.5295,25.8795,1.1409,0.230,Yes
S_Lowercase,21.3801,25.9487,1.1512,0.240,Yes
S_Lowercase,21.2234,26.0143,1.1600,0.250,Yes
S_Lowercase,21.0572,26.0755,1.1675,0.260,Yes
S_Lowercase,20.8796,26.1316,1.1737,0.270,Yes
S_Lowercase,20.6890,26.1813,1.1787,0.280,Yes
S_Lowercase,20.4845,26.2231,1.1827,0.290,Yes
S_Lowercase,20.2661,26.2556,1.1860,0.300,Yes
S_Lowercase,20.0342,26.2768,1.1888,0.310,Yes
S_Lowercase,19.7912,26.2856,1.1913,0.320,Yes
S_Lowercase,19.5397,26.2810,1.1938,0.330,Yes
S_Lowercase,19.2821,26.2630,1.1963,0.340,Yes
S_Lowercase,19.0204,26.2315,1.1991,0.350,Yes
S_Lowercase,18.7565,26.1879,1.2022,0.360,Yes
S_Lowercase,18.4917,26.1336,1.2057,0.370,Yes
S_Lowercase,18.2272,26.0700,1.2096,0.380,Yes
S_Lowercase,17.9639,25.9989,1.2140,0.390,Yes
S_Lowercase,17.7029,25.9217,1.2189,0.400,Yes
S_Lowercase,17.4453,25.8399,1.2243,0.410,Yes
S_Lowercase,17.1927,25.7546,1.2300,0.420,Yes
S_Lowercase,16.9466,25.6665,1.2357,0.430,Yes
S_Lowercase,16.7090,25.5760,1.2414,0.440,Yes
S_Lowercase,16.4820,25.4834,1.2466,0.450,Yes
S_Lowercase,16.2672,25.3889,1.2512,0.460,Yes
S_Lowercase,16.0661,25.2927,1.2549,0.470,Yes
S_Lowercase,15.8787,25.1947,1.2578,0.480,Yes
S_Lowercase,15.7042,25.0952,1.2598,0.490,Yes
S_Lowercase,15.5415,24.9941,1.2611,0.500,Yes
S_Lowercase,15.3886,24.8912,1.2619,0.510,Yes
S_Lowercase,15.2436,24.7866,1.2624,0.520,Yes
S_Lowercase,15.1051,24.6800,1.2626,0.530,Yes
S_Lowercase,14.9712,24.5712,1.2629,0.540,Yes
S_Lowercase,14.8409,24.4601,1.2632,0.550,Yes
S_Lowercase,14.7134,24.3466,1.2638,0.560,Yes
S_Lowercase,14.5883,24.2306,1.2646,0.570,Yes
S_Lowercase,14.4657,24.1122,1.2657,0.580,Yes
S_Lowercase,14.3458,23.9913,1.2672,0.590,Yes
S_Lowercase,14.2293,23.8683,1.2690,0.600,Yes
S_Lowercase,14.1168,23.7433,1.2712,0.610,Yes
S_Lowercase,14.0094,23.6165,1.2736,0.620,Yes
S_Lowercase,13.9076,23.4884,1.2763,0.630,Yes
S_Lowercase,13.8123,23.3592,1.2791,0.640,Yes
S_Lowercase,13.7247,23.2290,1.2822,0.650,Yes
S_Lowercase,13.6446,23.0983,1.2854,0.660,Yes
S_Lowercase,13.5722,22.9671,1.2887,0.670,Yes
S_Lowercase,13.5089,22.8356,1.2920,0.680,Yes
S_Lowercase,13.4536,22.7040,1.2953,0.690,Yes
S_Lowercase,13.4070,22.5721,1.2986,0.700,Yes
S_Lowercase,13.3692,22.4402,1.3019,0.710,Yes
S_Lowercase,13.3396,22.3080,1.3051,0.720,Yes
S_Lowercase,13.3193,22.1756,1.3082,0.730,Yes
S_Lowercase,13.3072,22.0427,1.3112,0.740,Yes
S_Lowercase,13.3042,21.9092,1.3140,0.750,Yes
S_Lowercase,13.3102,21.7749,1.3167,0.760,Yes
S_Lowercase,13.3254,21.6396,1.3191,0.770,Yes
S_Lowercase,13.3503,21.5028,1.3214,0.780,Yes
S_Lowercase,13.3861,21.3643,1.3234,0.790,Yes
S_Lowercase,13.4330,21.2237,1.3253,0.800,Yes
S_Lowercase,13.4924,21.0809,1.3269,0.810,Yes
S_Lowercase,13.5654,20.9355,1.3284,0.820,Yes
S_Lowercase,13.6533,20.7879,1.3298,0.830,Yes
S_Lowercase,13.7576,20.6385,1.3312,0.840,Yes
S_Lowercase,13.8780,20.4885,1.3329,0.850,Yes
S_Lowercase,14.0132,20.3395,1.3349,0.860,Yes
S_Lowercase,14.1615,20.1932,1.3375,0.870,Yes
S_Lowercase,14.3191,20.0514,1.3407,0.880,Yes
S_Lowercase,14.4826,19.9149,1.3445,0.890,Yes
S_Lowercase,14.6491,19.7845,1.3490,0.900,Yes
S_Lowercase,14.8163,19.6599,1.3539,0.910,Yes
S_Lowercase,14.9830,19.5406,1.3591,0.920,Yes
S_Lowercase,15.1487,19.4261,1.3646,0.930,Yes
S_Lowercase,15.3132,19.3159,1.3703,0.940,Yes
S_Lowercase,15.4771,19.2092,1.3759,0.950,Yes
S_Lowercase,15.6407,19.1056,1.3815,0.960,Yes
S_Lowercase,15.8046,19.0046,1.3869,0.970,Yes
S_Lowercase,15.9694,18.9061,1.3920,0.980,Yes
S_Lowercase,16.1356,18.8100,1.3968,0.990,Yes
S_Lowercase,16.3034,18.7163,1.4011,1.000,Yes
S_Lowercase,16.4729,18.6255,1.4048,1.010,Yes
S_Lowercase,16.6438,18.5376,1.4079,1.020,Yes
S_Lowercase,16.8159,18.4534,1.4101,1.030,Yes
S_Lowercase,16.9882,18.3731,1.4114,1.040,Yes
S_Lowercase,17.1602,18.2969,1.4117,1.050,Yes
S_Lowercase,17.3312,18.2248,1.4110,1.060,Yes
S_Lowercase,17.5010,18.1561,1.4095,1.070,Yes
S_Lowercase,17.6699,18.0896,1.4072,1.080,Yes
S_Lowercase,17.8386,18.0238,1.4045,1.090,Yes
S_Lowercase,18.0083,17.9570,1.4016,1.100,Yes
S_Lowercase,18.1801,17.8878,1.3989,1.110,Yes
S_Lowercase,18.3554,17.8145,1.3968,1.120,Yes
S_Lowercase,18.5349,17.7365,1.3953,1.130,Yes
