Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
Z_Lowercase,13.0830,25.9444,0.6153,0.000,Yes
Z_Lowercase,13.1129,25.9272,0.6366,0.010,Yes
Z_Lowercase,13.1381,25.9123,0.6596,0.020,Yes
Z_Lowercase,13.1596,25.9001,0.6845,0.030,Yes
Z_Lowercase,13.1807,25.8890,0.7102,0.040,Yes
Z_Lowercase,13.2012,25.8790,0.7369,0.050,Yes
Z_Lowercase,13.2228,25.8706,0.7649,0.060,Yes
Z_Lowercase,13.2448,25.8628,0.7934,0.070,Yes
Z_Lowercase,13.2710,25.8573,0.8240,0.080,Yes
Z_Lowercase,13.2995,25.8527,0.8554,0.090,Yes
Z_Lowercase,13.3341,25.8504,0.8890,0.100,Yes
Z_Lowercase,13.3786,25.8508,0.9253,0.110,Yes
Z_Lowercase,13.4352,25.8543,0.9645,0.120,Yes
Z_Lowercase,13.5213,25.8641,1.0099,0.130,Yes
Z_Lowercase,13.7191,25.8923,1.0735,0.140,Yes
Z_Lowercase,14.4385,25.9332,1.1361,0.150,Yes
Z_Lowercase,14.7417,25.9356,1.1516,0.160,Yes
Z_Lowercase,15.0108,25.9452,1.1647,0.170,Yes
Z_Lowercase,15.2621,25.9618,1.1750,0.180,Yes
Z_Lowercase,15.5001,25.9846,1.1822,0.190,Yes
Z_Lowercase,15.7288,26.0123,1.1862,0.200,Yes
Z_Lowercase,15.9525,26.0433,1.1872,0.210,Yes
Z_Lowercase,16.1769,26.0745,1.1858,0.220,Yes
Z_Lowercase,16.4082,26.1027,1.1832,0.230,Yes
Z_Lowercase,16.6526,26.1239,1.1809,0.240,Yes
Z_Lowercase,16.9136,26.1351,1.1806,0.250,Yes
Z_Lowercase,17.1901,26.1356,1.1834,0.260,Yes
Z_Lowercase,17.4770,26.1274,1.1893,0.270,Yes
Z_Lowercase,17.7677,26.1136,1.1977,0.280,Yes
Z_Lowercase,18.0576,26.0972,1.2075,0.290,Yes
Z_Lowercase,18.3441,26.0800,1.2180,0.300,Yes
Z_Lowercase,18.6267,26.0632,1.2287,0.310,Yes
Z_Lowercase,18.9058,26.0474,1.2392,0.320,Yes
Z_Lowercase,19.1829,26.0331,1.2493,0.330,Yes
Z_Lowercase,19.4600,26.0211,1.2587,0.340,Yes
