participant,repetition,x_mm,y_mm,time,force_N
1,1,13.802,31.821,0,0.42
1,1,13.802,31.821,0.0249,0.69
1,1,13.802,31.821,0.0496,0.82
1,1,13.802,31.821,0.0741,0.82
1,1,13.802,31.821,0.0995,1.02
1,1,13.802,31.821,0.1256,1.21
1,1,13.802,31.821,0.1494,1.35
1,1,13.802,31.821,0.1741,1.43
1,1,13.802,31.821,0.1992,1.51
1,1,13.802,31.821,0.2243,1.6
1,1,13.802,31.821,0.2496,1.6
1,1,13.802,31.821,0.2742,1.55
1,1,13.802,31.821,0.2996,1.5
1,1,13.802,31.821,0.3253,1.49
1,1,13.802,31.821,0.3506,1.48
1,1,13.802,31.821,0.3784,1.43
1,1,13.802,31.821,0.3998,1.4
1,1,13.802,31.821,0.4247,1.38
1,1,13.802,31.821,0.4498,1.38
1,1,13.802,31.821,0.4742,1.36
1,1,13.802,31.821,0.4991,1.34
1,1,13.802,31.821,0.5244,1.33
1,1,13.802,31.821,0.556,1.33
1,1,13.802,31.821,0.5742,1.33
1,1,13.802,31.821,0.6025,1.3
1,1,13.802,31.821,0.6241,1.3
1,1,13.802,31.821,0.6497,1.3
1,1,13.802,31.821,0.6745,1.3
1,1,13.802,31.821,0.6992,1.29
1,1,13.802,31.821,0.725,1.27
1,1,13.802,31.821,0.7495,1.25
1,1,13.802,31.821,0.7749,1.21
1,1,13.802,31.821,0.7999,1.2
1,1,13.802,31.821,0.8242,1.2
1,1,13.802,31.821,0.8495,1.22
1,1,13.802,31.821,0.8754,1.22
1,1,13.802,31.821,0.8998,1.21
1,1,13.802,31.821,0.9244,1.18
1,1,13.802,31.821,0.9497,1.18
1,1,13.802,31.821,0.9743,1.22
1,1,13.802,31.821,1.0046,1.24
1,1,13.802,31.821,1.0242,1.26
1,1,13.802,31.821,1.0497,1.31
1,1,13.802,31.821,1.0752,1.39
1,1,13.802,31.821,1.0999,1.47
1,1,13.802,31.821,1.1249,1.55
1,1,13.802,31.821,1.1491,1.61
1,1,13.802,31.821,1.1811,1.64
1,1,13.802,31.821,1.1991,1.65
1,1,13.495,31.59,1.2244,1.67
1,1,13.265,31.207,1.2492,1.66
1,1,12.805,30.134,1.2742,1.62
