participant,repetition,x_mm,y_mm,time,force_N
1,1,12.652,9.738,0,0.29
1,1,12.652,9.738,0.0283,0.53
1,1,12.652,9.738,0.0498,0.7
1,1,12.652,9.738,0.0755,0.83
1,1,12.652,9.738,0.1,1.04
1,1,12.652,9.738,0.1252,1.21
1,1,12.652,9.738,0.1503,1.27
1,1,12.652,9.738,0.1753,1.27
1,1,12.652,9.738,0.2009,1.24
1,1,12.652,9.738,0.2248,1.21
1,1,12.652,9.738,0.2523,1.13
1,1,12.652,9.738,0.2753,1.08
1,1,12.652,9.738,0.3002,1.05
1,1,12.652,9.738,0.3248,1.02
1,1,12.652,9.738,0.35,0.98
1,1,12.652,9.738,0.3774,0.98
1,1,12.652,9.738,0.3999,1.02
1,1,12.652,9.738,0.4248,1.03
1,1,12.652,9.738,0.4512,1.03
1,1,12.652,9.738,0.4754,1.02
1,1,12.652,9.738,0.5007,1.05
1,1,12.652,9.738,0.5249,1.08
1,1,12.652,9.738,0.5531,1.11
1,1,12.652,9.738,0.5761,1.12
1,1,12.652,9.738,0.6044,1.11
1,1,12.652,9.738,0.6251,1.1
1,1,12.652,9.738,0.6498,1.1
1,1,12.652,9.738,0.6756,1.08
1,1,12.652,9.738,0.6998,1.07
1,1,12.652,9.738,0.7257,1.03
1,1,12.652,9.738,0.7498,1.03
1,1,12.652,9.738,0.7751,1.03
1,1,12.652,9.738,0.8006,1.04
1,1,12.652,9.738,0.8257,1.05
1,1,12.652,9.738,0.8503,1.07
1,1,12.652,9.738,0.8749,1.16
1,1,12.652,9.738,0.902,1.21
1,1,12.652,9.738,0.9248,1.25
1,1,12.652,9.738,0.951,1.28
1,1,12.652,9.738,0.975,1.32
1,1,12.652,9.738,1.0006,1.35
1,1,12.652,9.738,1.0267,1.36
1,1,12.575,9.815,1.05,1.37
1,1,12.422,10.198,1.0753,1.37
1,1,12.268,10.811,1.1005,1.38
1,1,12.115,11.425,1.1286,1.41
1,1,12.038,12.038,1.15,1.42
1,1,11.885,12.652,1.1763,1.38
1,1,11.885,13.648,1.2016,1.34
1,1,11.885,14.568,1.2267,1.33
1,1,11.961,15.259,1.2502,1.32
1,1,11.961,16.025,1.2751,1.31
1,1,12.038,16.715,1.3031,1.32
1,1,12.038,17.252,1.3249,1.34
1,1,12.038,18.249,1.351,1.34
1,1,12.038,19.552,1.3782,1.32
1,1,12.038,20.089,1.4007,1.32
1,1,11.808,20.856,1.4248,1.36
1,1,11.731,21.469,1.4503,1.38
1,1,11.731,22.543,1.4768,1.38
1,1,11.731,23.54,1.5003,1.37
1,1,11.731,24,1.5252,1.4
1,1,11.731,24.536,1.5501,1.41
1,1,11.731,25.533,1.5747,1.38
1,1,11.731,26.146,1.6001,1.37
1,1,11.808,27.067,1.6261,1.38
1,1,11.808,27.757,1.6508,1.41
1,1,11.808,28.063,1.6751,1.43
1,1,11.808,28.37,1.7034,1.43
1,1,11.808,28.753,1.7281,1.41
1,1,11.808,28.984,1.7499,1.42
1,1,11.731,29.214,1.775,1.45
1,1,11.655,29.674,1.801,1.46
1,1,11.655,29.98,1.8254,1.43
1,1,11.655,30.364,1.8502,1.43
1,1,11.655,30.517,1.8749,1.5
1,1,11.655,30.67,1.8998,1.51
1,1,11.655,30.9,1.9254,1.51
1,1,11.655,31.13,1.9509,1.5
1,1,11.655,31.437,1.9748,1.45
1,1,11.885,32.051,2.0006,1.31
1,1,12.191,32.357,2.0252,0.93
1,1,12.191,32.357,2.0543,0.15
1,1,13.418,32.587,2.5761,0.19
1,1,13.418,32.587,2.6002,0.57
1,1,13.418,32.587,2.6249,0.83
1,1,13.418,32.587,2.6499,0.99
1,1,13.572,32.587,2.6773,1.12
1,1,14.108,32.587,2.7018,1.2
1,1,14.952,32.664,2.725,1.24
1,1,16.332,32.817,2.7497,1.25
1,1,16.945,32.894,2.7752,1.29
1,1,17.789,32.894,2.8049,1.34
1,1,18.402,32.894,2.8251,1.34
1,1,19.016,32.894,2.8501,1.36
1,1,19.706,32.894,2.8754,1.41
1,1,20.319,32.817,2.9002,1.42
1,1,20.703,32.741,2.9267,1.43
1,1,21.163,32.511,2.95,1.45
1,1,21.623,32.357,2.9748,1.48
1,1,21.929,32.127,2.9997,1.49
1,1,22.389,31.667,3.0252,1.51
1,1,22.926,31.284,3.0516,1.52
1,1,23.309,30.977,3.075,1.54
1,1,23.693,30.67,3.1014,1.54
1,1,24,30.44,3.1253,1.57
1,1,24.306,30.057,3.1534,1.61
1,1,24.613,29.75,3.1749,1.61
1,1,24.996,29.367,3.1997,1.55
1,1,25.15,29.06,3.2257,1.52
1,1,25.303,28.6,3.2503,1.53
1,1,25.456,28.14,3.2758,1.54
1,1,25.456,27.603,3.3,1.53
1,1,25.226,26.683,3.3253,1.51
1,1,24.766,25.993,3.35,1.51
1,1,24.153,25.38,3.3758,1.51
1,1,23.309,24.306,3.4003,1.52
1,1,22.926,23.846,3.4248,1.54
1,1,22.313,23.156,3.4511,1.54
1,1,21.239,22.696,3.4757,1.5
1,1,19.936,22.313,3.506,1.5
1,1,19.552,22.236,3.525,1.55
1,1,18.786,22.159,3.5498,1.55
1,1,18.019,22.159,3.577,1.5
1,1,17.635,22.159,3.5999,1.48
1,1,16.485,22.159,3.6254,1.47
1,1,15.795,22.159,3.6501,1.47
1,1,15.105,22.159,3.6795,1.49
1,1,14.798,22.159,3.6999,1.53
1,1,14.568,22.159,3.7264,1.58
1,1,14.492,22.159,3.7499,1.58
1,1,14.492,22.159,3.7758,1.5
1,1,14.492,22.159,3.8014,1.43
1,1,14.492,22.159,3.8252,1.41
1,1,14.492,22.159,3.8501,1.41
1,1,14.492,22.159,3.8749,1.37
1,1,14.492,22.159,3.8999,1.31
1,1,14.568,22.159,3.925,1.25
1,1,14.952,22.236,3.9501,1.23
1,1,15.719,22.389,3.975,1.2
1,1,16.639,22.389,4.0004,1.18
1,1,17.022,22.389,4.0266,1.19
1,1,17.482,22.389,4.0504,1.23
1,1,17.865,22.313,4.0756,1.27
1,1,18.402,22.236,4.0997,1.28
1,1,19.476,21.776,4.1252,1.27
1,1,20.472,21.469,4.1513,1.23
1,1,20.933,21.316,4.1751,1.2
1,1,21.469,21.086,4.1999,1.22
1,1,22.006,20.856,4.2253,1.27
1,1,22.466,20.626,4.2533,1.27
1,1,23.386,20.242,4.2753,1.24
1,1,23.846,19.859,4.3,1.23
1,1,24.46,19.246,4.3248,1.27
1,1,25.15,18.556,4.3505,1.29
1,1,25.456,18.249,4.3751,1.3
1,1,25.763,17.942,4.4,1.3
1,1,25.993,17.712,4.425,1.33
1,1,26.223,17.329,4.4537,1.38
1,1,26.3,17.175,4.4749,1.4
1,1,26.53,16.869,4.5002,1.43
1,1,26.607,16.562,4.5249,1.49
1,1,26.683,16.179,4.5507,1.54
1,1,26.683,15.642,4.575,1.57
1,1,26.683,14.875,4.6069,1.59
1,1,26.607,14.415,4.6258,1.6
1,1,26.377,14.032,4.6498,1.6
1,1,26.223,13.725,4.6767,1.59
1,1,25.686,13.112,4.6999,1.58
1,1,24.766,12.498,4.7254,1.57
1,1,24.076,12.191,4.7498,1.56
1,1,23.309,12.038,4.7779,1.56
1,1,22.466,11.808,4.8012,1.57
1,1,21.316,11.578,4.8285,1.57
1,1,20.396,11.578,4.8502,1.56
1,1,19.782,11.501,4.8748,1.56
1,1,19.016,11.501,4.9005,1.59
1,1,18.172,11.501,4.9253,1.58
1,1,17.635,11.501,4.9503,1.58
1,1,16.869,11.501,4.9748,1.59
1,1,16.409,11.501,5.0012,1.6
1,1,16.102,11.501,5.0253,1.59
1,1,15.642,11.501,5.0522,1.59
1,1,15.412,11.578,5.075,1.63
1,1,15.259,11.731,5.0999,1.66
1,1,14.952,11.731,5.1254,1.67
1,1,14.722,11.731,5.1501,1.7
1,1,14.722,11.731,5.1768,1.74
1,1,14.645,11.731,5.1997,1.69
1,1,14.645,11.731,5.2253,1.55
1,1,14.645,11.731,5.2502,1.14
1,1,14.645,11.731,5.2753,0.43
1,2,13.112,10.121,0,0.13
1,2,13.112,10.121,0.0249,0.18
1,2,13.112,10.121,0.0502,0.19
1,2,12.958,10.121,0.0746,0.27
1,2,12.958,10.121,0.0995,0.46
1,2,12.958,10.121,0.1257,0.7
1,2,12.958,10.121,0.1499,0.9
1,2,12.958,10.121,0.1793,1.13
1,2,12.958,10.121,0.2008,1.13
1,2,12.958,10.121,0.2244,1.29
1,2,12.958,10.121,0.25,1.35
1,2,12.958,10.121,0.2769,1.34
1,2,12.958,10.121,0.3004,1.33
1,2,12.958,10.121,0.3246,1.2
1,2,12.958,10.121,0.3501,1.13
1,2,12.958,10.121,0.375,1.1
1,2,12.958,10.121,0.4008,1.08
1,2,12.958,10.121,0.4248,1.01
1,2,12.958,10.121,0.4496,0.93
1,2,12.958,10.121,0.476,0.92
1,2,12.958,10.121,0.5014,0.95
1,2,12.958,10.121,0.5251,0.96
1,2,12.958,10.121,0.5495,0.92
1,2,12.958,10.121,0.5772,0.82
1,2,12.958,10.121,0.5997,0.9
1,2,12.958,10.121,0.6254,0.94
1,2,12.958,10.121,0.6496,0.95
1,2,12.958,10.121,0.6751,1
1,2,12.958,10.121,0.7019,1.12
1,2,12.958,10.121,0.7248,1.22
1,2,12.958,10.121,0.7512,1.25
1,2,12.958,10.121,0.7754,1.32
1,2,12.958,10.121,0.8007,1.36
1,2,12.652,10.505,0.8254,1.39
1,2,12.498,10.965,0.85,1.41
1,2,12.191,11.655,0.8746,1.41
1,2,11.885,12.268,0.9007,1.42
1,2,11.731,12.882,0.9257,1.43
1,2,11.501,13.802,0.9498,1.42
1,2,11.271,14.875,0.9746,1.42
1,2,11.271,15.565,0.9995,1.42
1,2,11.271,16.562,1.025,1.42
1,2,11.118,17.789,1.0508,1.43
1,2,11.118,18.786,1.0746,1.43
1,2,11.118,19.936,1.1004,1.43
1,2,11.041,20.933,1.1272,1.43
1,2,11.041,21.623,1.1502,1.45
1,2,11.041,22.619,1.1748,1.45
1,2,11.041,23.386,1.2001,1.43
1,2,11.041,24.153,1.2247,1.42
1,2,11.041,24.766,1.2497,1.42
1,2,11.041,25.38,1.275,1.42
1,2,10.888,26.377,1.2996,1.4
1,2,10.658,27.45,1.3247,1.39
1,2,10.658,27.91,1.3498,1.42
1,2,10.658,28.37,1.3756,1.42
1,2,10.658,28.677,1.4003,1.41
1,2,10.658,28.984,1.4246,1.39
1,2,10.735,29.674,1.4504,1.36
1,2,10.811,30.364,1.4748,1.34
1,2,10.811,30.517,1.5017,1.36
1,2,10.811,30.747,1.5246,1.4
1,2,10.811,30.824,1.5498,1.4
1,2,10.811,30.824,1.5753,1.39
1,2,10.811,30.824,1.6002,1.39
1,2,10.811,30.824,1.6249,1.37
