participant,repetition,x_mm,y_mm,time,force_N
1,1,11.118,11.041,0,0.27
1,1,11.118,11.041,0.0306,0.63
1,1,11.041,11.041,0.0514,0.66
1,1,11.041,11.041,0.0752,0.76
1,1,11.041,11.041,0.0999,0.98
1,1,11.041,11.041,0.1252,1.07
1,1,11.041,11.041,0.151,1.1
1,1,11.041,11.041,0.1753,1.09
1,1,11.041,11.041,0.2004,1.09
1,1,11.041,11.041,0.2265,1.09
1,1,11.041,11.041,0.2528,1.06
1,1,11.041,11.041,0.2753,1.02
1,1,11.041,11.041,0.3002,1
1,1,11.041,11.041,0.325,0.97
1,1,11.041,11.041,0.3501,0.95
1,1,11.041,11.041,0.3766,0.96
1,1,11.041,11.041,0.4003,0.96
1,1,11.041,11.041,0.4249,0.96
1,1,11.041,11.041,0.4501,0.97
1,1,11.041,11.041,0.4756,0.96
1,1,11.041,11.041,0.5011,0.97
1,1,11.041,11.041,0.5251,1.03
1,1,11.041,11.041,0.5556,1.1
1,1,11.041,11.041,0.5761,1.15
1,1,11.041,11.041,0.6006,1.19
1,1,11.041,11.041,0.6258,1.24
1,1,11.041,11.041,0.6503,1.31
1,1,11.041,11.041,0.6751,1.38
1,1,11.041,11.041,0.7029,1.46
1,1,11.041,11.041,0.7257,1.5
1,1,11.041,11.041,0.7499,1.58
1,1,11.041,11.041,0.7775,1.6
1,1,11.041,11.041,0.8007,1.6
1,1,11.041,11.041,0.8253,1.62
1,1,11.041,11.041,0.8504,1.62
1,1,11.041,11.041,0.8754,1.58
1,1,11.041,11.041,0.9008,1.54
1,1,11.041,11.041,0.9255,1.51
1,1,11.041,11.041,0.9536,1.47
1,1,11.041,11.041,0.9752,1.44
1,1,10.888,11.425,1,1.42
1,1,10.811,12.422,1.0253,1.38
1,1,11.041,14.185,1.0512,1.36
1,1,11.118,15.259,1.075,1.36
1,1,11.118,16.332,1.1004,1.36
1,1,11.118,17.175,1.1263,1.37
1,1,11.041,18.632,1.1502,1.37
1,1,10.888,19.629,1.1754,1.39
1,1,10.735,20.242,1.2001,1.41
1,1,10.735,21.086,1.2257,1.44
1,1,10.581,22.696,1.2505,1.45
1,1,10.581,23.463,1.2753,1.45
1,1,10.581,24.153,1.3011,1.48
1,1,10.581,24.613,1.325,1.5
1,1,10.581,25.226,1.3521,1.5
1,1,10.581,26.683,1.3761,1.49
1,1,10.581,27.603,1.4001,1.51
1,1,10.581,28.063,1.4264,1.54
1,1,10.658,28.753,1.4513,1.5
1,1,10.735,29.674,1.4766,1.48
1,1,10.735,30.057,1.5002,1.51
1,1,10.735,30.364,1.5268,1.54
1,1,10.735,30.517,1.5501,1.53
1,1,10.735,30.594,1.5754,1.51
1,1,10.735,30.594,1.6012,1.5
1,1,10.735,30.67,1.6253,1.38
1,1,10.888,30.747,1.6505,1.28
1,1,11.195,30.747,1.6755,0.93
