participant,repetition,x_mm,y_mm,time,force_N
1,1,13.342,17.789,0,0.3
1,1,13.342,17.789,0.0259,0.52
1,1,13.342,17.789,0.0494,0.76
1,1,13.342,17.789,0.0751,1.04
1,1,13.342,17.789,0.0997,1.33
1,1,13.342,17.789,0.1264,1.57
1,1,13.342,17.789,0.1503,1.7
1,1,13.342,17.789,0.1758,1.75
1,1,13.342,17.789,0.1999,1.8
1,1,13.342,17.789,0.225,1.84
1,1,13.342,17.789,0.2522,1.94
1,1,13.572,17.865,0.2748,1.97
1,1,13.955,17.865,0.2995,2
1,1,14.415,17.942,0.3243,1.99
1,1,15.412,18.096,0.3502,2
1,1,16.409,18.172,0.3745,2.02
1,1,16.869,18.172,0.3995,2.03
1,1,17.482,18.172,0.4247,2.03
1,1,17.712,18.172,0.4496,2.03
1,1,18.172,18.172,0.475,2.04
1,1,18.709,18.249,0.4996,2.1
1,1,19.169,18.249,0.5252,2.16
1,1,19.936,18.249,0.5497,2.18
1,1,20.703,18.326,0.5796,2.18
1,1,21.009,18.326,0.5999,2.18
1,1,21.546,18.326,0.6249,2.18
1,1,22.006,18.326,0.6518,2.14
1,1,22.466,18.326,0.6765,2.1
1,1,22.773,18.326,0.7002,2.09
1,1,23.003,18.326,0.7245,2.09
1,1,23.156,18.326,0.7495,2.1
1,1,23.233,18.326,0.7754,2.1
1,1,23.233,18.326,0.8003,2.1
1,1,23.233,18.326,0.8257,2.1
1,1,23.233,18.326,0.8493,2.09
1,1,23.233,18.326,0.875,2.09
1,1,23.233,18.326,0.8998,2.09
1,1,23.233,18.326,0.9301,2.06
1,1,23.233,18.326,0.9496,2.05
1,1,23.233,18.326,0.9743,2.04
1,1,23.233,18.326,1,2.03
1,1,23.233,18.326,1.0248,2.01
1,1,23.386,18.326,1.0498,1.98
1,1,24,18.326,1.0743,1.97
1,1,24.69,18.326,1.1047,1.93
1,1,24.92,18.326,1.125,1.87
1,1,25.15,18.326,1.1501,1.86
1,1,25.303,18.326,1.1743,1.89
1,1,25.303,18.326,1.1994,1.91
1,1,25.303,18.326,1.2256,1.89
1,1,25.303,18.326,1.2498,1.89
1,1,25.303,18.326,1.2767,1.93
1,1,25.303,18.326,1.2993,1.92
1,1,25.303,18.326,1.3256,1.88
1,1,25.303,18.326,1.3505,1.85
1,1,25.303,18.326,1.3747,1.81
1,1,25.303,18.326,1.3998,1.74
1,1,25.303,18.326,1.4248,1.7
1,1,25.303,18.326,1.4529,1.67
1,1,25.303,18.326,1.4759,1.61
1,1,25.303,18.326,1.4994,1.48
1,1,25.303,18.402,1.5247,1.36
1,1,25.303,18.632,1.55,1.27
1,1,25.15,19.322,1.5761,1.21
1,1,24.843,20.012,1.5994,1.2
1,1,24.69,20.319,1.6267,1.27
1,1,24.46,20.549,1.6496,1.33
1,1,24.23,20.779,1.6761,1.38
1,1,24.153,20.933,1.7019,1.45
1,1,24.153,21.163,1.7244,1.5
1,1,24.153,21.239,1.7516,1.52
1,1,24.153,21.393,1.7751,1.53
1,1,24.076,21.623,1.8007,1.53
1,1,23.923,21.853,1.8244,1.54
1,1,23.693,22.006,1.8495,1.57
1,1,23.463,22.236,1.8751,1.59
1,1,23.233,22.466,1.9001,1.58
1,1,23.079,22.619,1.9248,1.53
1,1,22.849,23.079,1.9495,1.45
1,1,22.696,23.386,1.9751,1.43
1,1,22.466,23.846,1.9997,1.43
1,1,22.236,24.23,2.0247,1.43
1,1,22.083,24.383,2.0495,1.48
1,1,21.929,24.69,2.0745,1.54
1,1,21.699,24.996,2.0994,1.54
1,1,21.546,25.15,2.1247,1.53
1,1,21.316,25.456,2.1495,1.54
1,1,21.086,25.686,2.1748,1.57
1,1,20.856,25.916,2.2055,1.6
1,1,20.626,26.07,2.2246,1.61
1,1,20.089,26.223,2.2496,1.62
1,1,19.782,26.377,2.275,1.65
1,1,19.399,26.53,2.2999,1.66
1,1,19.169,26.53,2.3253,1.64
1,1,19.016,26.53,2.3517,1.61
1,1,18.556,26.53,2.3787,1.6
1,1,17.865,26.53,2.4001,1.61
1,1,17.175,26.53,2.427,1.64
1,1,16.179,26.3,2.4501,1.68
1,1,15.412,25.993,2.4762,1.69
1,1,14.952,25.686,2.4994,1.7
1,1,14.415,25.303,2.5249,1.72
1,1,14.185,25.073,2.5504,1.74
1,1,14.032,24.843,2.5745,1.74
1,1,13.802,24.153,2.5993,1.7
1,1,13.572,23.77,2.625,1.68
1,1,13.418,23.616,2.6497,1.7
1,1,13.265,23.233,2.6756,1.73
1,1,12.958,22.466,2.7008,1.75
1,1,12.652,21.776,2.7272,1.75
1,1,12.191,20.779,2.7498,1.7
1,1,12.038,20.396,2.7751,1.67
1,1,11.961,19.936,2.7996,1.68
1,1,11.885,19.629,2.8275,1.72
1,1,11.655,19.092,2.8513,1.73
1,1,11.655,18.632,2.8749,1.73
1,1,11.578,17.789,2.9004,1.73
1,1,11.578,17.252,2.9266,1.74
1,1,11.578,16.409,2.9495,1.76
1,1,11.578,15.872,2.9743,1.77
1,1,11.731,15.489,2.9997,1.77
1,1,11.961,15.028,3.0249,1.78
1,1,12.191,14.338,3.0496,1.78
1,1,12.422,13.802,3.0766,1.79
1,1,12.882,13.035,3.102,1.8
1,1,13.342,12.345,3.1291,1.81
1,1,13.495,12.038,3.1495,1.82
1,1,13.955,11.655,3.1748,1.82
1,1,14.492,11.195,3.1995,1.82
1,1,14.952,10.965,3.2252,1.8
1,1,15.489,10.735,3.2499,1.76
1,1,15.795,10.658,3.2743,1.75
1,1,16.409,10.581,3.2994,1.8
1,1,16.869,10.581,3.3254,1.81
1,1,17.329,10.581,3.3503,1.81
1,1,17.635,10.581,3.3748,1.82
1,1,18.172,10.658,3.3992,1.86
1,1,19.092,10.735,3.4254,1.88
1,1,20.242,10.965,3.4495,1.86
1,1,21.009,11.195,3.4783,1.84
1,1,21.316,11.271,3.4998,1.82
1,1,21.546,11.501,3.5245,1.84
1,1,21.776,11.655,3.5496,1.86
1,1,21.929,11.808,3.5763,1.84
1,1,22.083,11.961,3.5997,1.83
1,1,22.389,12.191,3.6243,1.83
1,1,22.696,12.498,3.6553,1.81
1,1,22.926,12.728,3.6757,1.81
1,1,23.54,13.342,3.7002,1.83
1,1,23.77,13.572,3.7248,1.88
1,1,24,13.802,3.7493,1.94
1,1,24,13.802,3.7753,2.01
1,1,24.076,13.802,3.8001,2.05
1,1,24.076,13.802,3.8248,2.02
1,1,24.23,13.802,3.8495,1.64
1,1,24.23,13.802,3.8751,0.76
1,2,13.572,18.402,0,0.15
1,2,13.572,18.402,0.025,0.16
1,2,13.572,18.402,0.0503,0.19
1,2,13.572,18.402,0.0753,0.38
1,2,13.572,18.402,0.0999,0.74
1,2,13.572,18.402,0.126,1.03
1,2,13.572,18.402,0.15,1.35
1,2,13.572,18.402,0.1758,1.61
1,2,13.572,18.402,0.2003,1.74
1,2,13.572,18.402,0.225,1.81
1,2,13.572,18.402,0.2497,1.88
1,2,13.572,18.402,0.2747,1.93
1,2,13.572,18.402,0.3002,1.95
1,2,13.572,18.402,0.3247,1.97
1,2,13.572,18.402,0.3503,1.99
1,2,13.572,18.402,0.3766,1.99
1,2,13.572,18.402,0.404,1.99
1,2,13.572,18.402,0.4253,1.98
1,2,13.572,18.402,0.4505,1.94
1,2,13.572,18.402,0.4773,1.9
1,2,13.572,18.402,0.4999,1.87
1,2,13.572,18.402,0.5288,1.86
1,2,13.572,18.402,0.5498,1.84
1,2,13.572,18.402,0.5749,1.81
1,2,13.572,18.402,0.6,1.79
1,2,13.572,18.402,0.6252,1.79
1,2,13.572,18.402,0.6508,1.8
