participant,repetition,x_mm,y_mm,time,force_N
1,1,13.342,9.201,0,0.26
1,1,13.342,9.201,0.0254,0.57
1,1,13.342,9.201,0.0517,0.79
1,1,13.342,9.201,0.0754,0.99
1,1,13.342,9.201,0.1022,1.22
1,1,13.342,9.201,0.1252,1.36
1,1,13.342,9.201,0.1513,1.44
1,1,13.342,9.201,0.1762,1.54
1,1,13.342,9.201,0.2033,1.61
1,1,13.342,9.201,0.2263,1.59
1,1,13.342,9.201,0.2502,1.54
1,1,13.342,9.201,0.2754,1.55
1,1,13.342,9.201,0.3011,1.57
1,1,13.342,9.201,0.3269,1.56
1,1,13.342,9.201,0.3506,1.5
1,1,13.342,9.201,0.375,1.47
1,1,13.342,9.201,0.401,1.45
1,1,13.342,9.201,0.4256,1.43
1,1,13.342,9.201,0.4516,1.42
1,1,13.342,9.201,0.4749,1.42
1,1,13.342,9.201,0.5007,1.43
1,1,13.342,9.201,0.5254,1.44
1,1,13.342,9.201,0.5501,1.47
1,1,13.342,9.201,0.5761,1.5
1,1,13.342,9.201,0.6009,1.51
1,1,13.342,9.201,0.6264,1.52
1,1,13.342,9.201,0.6506,1.55
1,1,13.342,9.201,0.675,1.58
1,1,13.342,9.201,0.7002,1.59
1,1,13.342,9.201,0.7252,1.59
1,1,13.342,9.201,0.7524,1.61
1,1,13.342,9.201,0.7755,1.62
1,1,13.342,9.201,0.8012,1.64
1,1,13.342,9.201,0.8249,1.65
1,1,13.342,9.201,0.8506,1.65
1,1,13.342,9.201,0.8753,1.65
1,1,13.342,9.201,0.8999,1.66
1,1,13.342,9.201,0.925,1.68
1,1,13.342,9.201,0.9519,1.72
1,1,13.342,9.201,0.9758,1.76
1,1,13.342,9.201,1.0003,1.82
1,1,13.342,9.201,1.0254,1.89
1,1,13.342,9.201,1.0506,1.96
1,1,13.342,9.201,1.0771,2.01
1,1,13.342,9.201,1.1004,2.03
1,1,13.342,9.201,1.1248,2.04
1,1,13.342,9.201,1.1508,2.04
1,1,13.342,9.431,1.1768,2.03
1,1,13.188,10.045,1.2004,2
1,1,13.112,11.041,1.2248,2
1,1,13.035,11.425,1.2501,2.02
1,1,13.035,11.961,1.2756,2.02
1,1,13.035,12.575,1.3004,2
1,1,12.958,13.188,1.3261,1.98
1,1,12.882,14.185,1.3498,1.98
1,1,12.882,15.259,1.3752,1.98
1,1,12.882,15.719,1.4,1.95
1,1,12.882,16.485,1.4283,1.88
1,1,12.805,17.635,1.4514,1.87
1,1,12.805,18.249,1.475,1.87
1,1,12.805,19.169,1.5006,1.87
1,1,12.805,19.859,1.5264,1.85
1,1,12.882,20.242,1.5505,1.82
1,1,12.882,20.856,1.5755,1.79
1,1,12.882,21.546,1.6035,1.77
1,1,12.728,22.006,1.6252,1.78
1,1,12.728,22.619,1.65,1.77
1,1,12.652,23.233,1.675,1.76
1,1,12.498,23.54,1.7004,1.75
1,1,12.498,24,1.7256,1.76
1,1,12.422,24.306,1.7506,1.74
1,1,12.422,24.46,1.7774,1.72
1,1,12.422,24.843,1.8002,1.72
1,1,12.345,25.15,1.8253,1.72
1,1,12.268,25.993,1.8543,1.69
1,1,12.191,26.377,1.8748,1.67
1,1,12.191,26.76,1.9003,1.68
1,1,12.115,27.45,1.925,1.7
1,1,12.115,27.91,1.9544,1.7
1,1,12.115,28.37,1.9759,1.69
1,1,12.115,28.523,2.0002,1.65
1,1,12.115,28.753,2.025,1.65
1,1,12.115,28.907,2.0512,1.64
1,1,12.115,29.367,2.0761,1.64
1,1,12.038,29.827,2.0999,1.61
1,1,12.038,30.287,2.1297,1.61
1,1,12.038,30.517,2.1527,1.61
1,1,12.038,31.054,2.1758,1.59
1,1,12.038,31.514,2.2002,1.57
1,1,12.038,31.897,2.225,1.61
1,1,12.038,32.127,2.2511,1.62
1,1,12.038,32.127,2.277,1.59
1,1,12.038,32.127,2.3042,1.53
1,1,12.038,32.127,2.3248,1.52
1,1,12.038,32.127,2.3511,1.48
1,1,12.038,32.127,2.3753,1.38
1,1,12.038,32.127,2.4001,1.33
1,1,12.038,32.127,2.4248,1.34
1,1,12.038,32.127,2.4499,1.38
1,1,12.038,32.127,2.4759,1.41
1,1,12.038,32.127,2.5005,1.49
1,1,12.038,32.127,2.5274,1.54
1,1,12.038,32.127,2.551,1.6
1,1,12.038,32.127,2.5753,1.65
1,1,12.115,32.204,2.601,1.71
1,1,12.422,32.434,2.6262,1.77
1,1,12.728,32.511,2.6509,1.82
1,1,13.342,32.511,2.6756,1.84
1,1,14.185,32.511,2.7049,1.84
1,1,14.952,32.511,2.7255,1.83
1,1,16.102,32.511,2.75,1.84
1,1,16.715,32.511,2.7765,1.85
1,1,17.405,32.511,2.8009,1.85
1,1,17.865,32.511,2.8254,1.85
1,1,18.479,32.511,2.85,1.88
1,1,19.782,32.511,2.8757,1.89
1,1,20.779,32.511,2.9002,1.87
1,1,21.239,32.511,2.9267,1.84
1,1,21.853,32.511,2.9505,1.82
1,1,22.313,32.511,2.975,1.81
1,1,22.619,32.511,3.0004,1.81
1,1,23.079,32.511,3.0253,1.82
1,1,23.463,32.511,3.051,1.84
1,1,23.693,32.511,3.0749,1.85
1,1,24,32.434,3.1005,1.85
1,1,24.153,32.434,3.1265,1.85
1,1,24.306,32.434,3.1511,1.82
1,1,24.536,32.434,3.1754,1.68
1,1,24.536,32.434,3.1999,0.79
1,1,24.536,32.434,3.2269,0.2
1,1,13.342,20.779,3.7254,0.23
1,1,13.342,20.779,3.7503,0.69
1,1,13.342,20.779,3.7758,1.05
1,1,13.342,20.779,3.8029,1.43
1,1,13.342,20.779,3.8249,1.57
1,1,13.955,20.779,3.8498,1.81
1,1,14.875,20.856,3.8762,1.84
1,1,16.562,21.009,3.9011,1.82
1,1,17.635,21.163,3.9255,1.78
1,1,18.479,21.239,3.9498,1.77
1,1,19.859,21.316,3.977,1.78
1,1,20.703,21.316,4.0004,1.82
1,1,21.393,21.316,4.0275,1.86
1,1,21.776,21.316,4.05,1.89
1,1,22.543,21.316,4.0753,1.91
1,1,23.386,21.316,4.1026,1.95
1,1,24.46,21.316,4.1251,1.95
1,1,25.15,21.316,4.1547,1.89
1,1,25.456,21.316,4.1749,1.9
1,1,25.686,21.316,4.2006,1.94
1,1,25.84,21.316,4.2253,1.97
1,1,25.84,21.316,4.2503,1.98
1,1,25.84,21.316,4.2749,1.98
1,1,25.84,21.316,4.3017,1.92
1,1,25.84,21.316,4.3258,1.56
1,1,25.84,21.316,4.3504,0.79
1,1,25.84,21.316,4.3756,0.12
1,1,13.265,9.124,4.751,0.1
1,1,13.265,9.124,4.7753,0.41
1,1,13.265,9.124,4.8001,0.68
1,1,13.265,9.124,4.8249,1.01
1,1,13.342,9.124,4.851,1.55
1,1,13.572,9.124,4.8755,1.74
1,1,14.108,9.124,4.9023,1.82
1,1,15.642,9.124,4.9248,1.85
1,1,16.792,9.124,4.9508,1.85
1,1,17.405,9.124,4.9753,1.81
1,1,18.402,9.354,5.0019,1.79
1,1,19.399,9.431,5.0254,1.79
1,1,20.396,9.431,5.0503,1.79
1,1,21.086,9.431,5.0803,1.77
1,1,21.546,9.431,5.1008,1.77
1,1,22.006,9.431,5.1256,1.77
1,1,22.619,9.431,5.1505,1.77
1,1,23.079,9.431,5.1758,1.75
1,1,23.846,9.508,5.2011,1.73
1,1,24.383,9.508,5.2263,1.71
1,1,24.613,9.508,5.2504,1.71
1,1,24.843,9.508,5.2756,1.73
1,1,25.073,9.508,5.3031,1.75
1,1,25.226,9.508,5.325,1.76
1,1,25.456,9.508,5.3501,1.77
1,1,25.686,9.508,5.3753,1.81
1,1,25.84,9.508,5.4025,1.88
1,1,26.07,9.508,5.4252,1.91
1,1,26.223,9.508,5.4504,1.9
1,1,26.377,9.508,5.4749,1.89
1,1,26.53,9.508,5.5002,1.83
1,1,26.607,9.508,5.5249,1.04
1,1,26.607,9.508,5.5506,0.27
1,2,13.265,8.434,0,0.18
1,2,13.265,8.434,0.0229,0.29
1,2,13.265,8.434,0.0484,0.48
1,2,13.265,8.434,0.0728,0.61
1,2,13.265,8.434,0.098,0.97
1,2,13.265,8.434,0.1232,1.17
1,2,13.265,8.434,0.148,1.33
1,2,13.265,8.434,0.1728,1.42
1,2,13.265,8.434,0.1978,1.46
1,2,13.265,8.434,0.2237,1.46
1,2,13.265,8.434,0.2484,1.47
1,2,13.265,8.434,0.2727,1.49
1,2,13.265,8.434,0.2982,1.5
1,2,13.265,8.434,0.3232,1.49
1,2,13.265,8.434,0.3481,1.47
1,2,13.265,8.434,0.3728,1.47
1,2,13.265,8.434,0.3975,1.48
1,2,13.265,8.434,0.4228,1.48
1,2,13.265,8.434,0.4489,1.47
1,2,13.265,8.434,0.4728,1.45
1,2,13.265,8.434,0.4989,1.45
1,2,13.265,8.434,0.5229,1.46
1,2,13.265,8.434,0.5521,1.46
1,2,13.265,8.434,0.5728,1.45
1,2,13.265,8.434,0.5978,1.46
1,2,13.265,8.434,0.6228,1.48
1,2,13.265,8.434,0.6478,1.48
1,2,13.265,8.434,0.6735,1.44
1,2,13.265,8.434,0.6979,1.4
1,2,13.265,8.664,0.7246,1.39
1,2,13.035,10.045,0.7507,1.35
1,2,12.882,11.578,0.7733,1.34
1,2,12.882,13.112,0.7984,1.34
1,2,12.805,14.568,0.8232,1.35
1,2,12.805,15.795,0.8477,1.35
1,2,12.805,16.332,0.8729,1.35
1,2,12.805,17.559,0.901,1.36
1,2,12.805,19.169,0.9225,1.36
1,2,12.805,19.936,0.9476,1.35
1,2,12.805,21.086,0.9738,1.38
1,2,12.805,22.926,0.9979,1.44
1,2,12.805,23.77,1.0227,1.47
1,2,12.805,24.766,1.0484,1.5
1,2,12.805,25.84,1.0738,1.53
1,2,12.805,26.53,1.0981,1.56
1,2,12.882,27.603,1.1229,1.55
1,2,12.882,28.293,1.1476,1.55
1,2,12.882,28.6,1.173,1.55
1,2,12.882,29.29,1.1981,1.54
1,2,12.882,29.98,1.2227,1.52
1,2,12.882,30.287,1.2491,1.5
1,2,12.882,30.594,1.273,1.48
1,2,12.882,30.824,1.2993,1.48
1,2,12.882,30.977,1.3227,1.48
1,2,12.882,30.977,1.3475,1.5
1,2,12.882,30.977,1.3733,1.49
1,2,12.882,30.977,1.398,1.49
1,2,12.882,30.977,1.4236,1.47
1,2,12.882,30.977,1.4477,1.45
1,2,12.882,30.977,1.4741,1.43
1,2,12.882,30.977,1.4982,1.43
1,2,12.882,30.977,1.5248,1.45
1,2,12.882,30.977,1.548,1.47
1,2,12.882,30.977,1.5725,1.48
1,2,12.882,30.977,1.5986,1.51
1,2,12.882,30.977,1.6232,1.55
1,2,12.882,30.977,1.6502,1.58
1,2,12.882,30.977,1.6727,1.6
1,2,12.882,30.977,1.6975,1.63
1,2,12.882,30.977,1.7238,1.65
1,2,12.958,31.13,1.7478,1.7
1,2,13.802,31.744,1.7774,1.72
1,2,14.645,32.051,1.7982,1.7
1,2,15.872,32.281,1.8277,1.7
1,2,16.485,32.357,1.8482,1.71
1,2,17.789,32.357,1.873,1.7
1,2,18.556,32.357,1.8997,1.62
1,2,19.322,32.281,1.923,1.59
1,2,20.012,32.204,1.9482,1.6
1,2,20.472,32.127,1.9729,1.64
1,2,21.239,32.051,1.9976,1.65
1,2,21.929,31.897,2.0229,1.64
1,2,22.389,31.744,2.0494,1.64
1,2,23.079,31.744,2.0733,1.67
1,2,23.616,31.744,2.0977,1.68
1,2,23.923,31.744,2.1232,1.73
1,2,24.153,31.744,2.1478,1.79
1,2,24.383,31.744,2.1732,1.82
1,2,24.46,31.744,2.1981,1.82
1,2,24.69,31.744,2.2226,1.81
1,2,24.843,31.744,2.248,1.7
1,2,24.92,31.744,2.273,1.54
1,2,24.92,31.744,2.2979,0.68
1,2,24.92,31.744,2.3227,0.13
1,2,12.728,20.703,2.6475,0.12
1,2,12.728,20.703,2.6733,0.19
1,2,12.728,20.703,2.6997,0.33
1,2,12.728,20.703,2.723,0.59
1,2,12.728,20.703,2.7479,0.93
1,2,12.728,20.703,2.7729,1.46
1,2,12.728,20.703,2.798,1.71
1,2,12.805,20.703,2.8234,1.81
1,2,13.495,20.703,2.8476,1.89
1,2,15.182,20.626,2.8734,1.89
1,2,16.102,20.626,2.8977,1.85
1,2,17.559,20.626,2.9283,1.81
1,2,18.862,20.626,2.948,1.79
1,2,19.552,20.626,2.9726,1.79
1,2,20.166,20.626,2.9983,1.79
1,2,20.549,20.626,3.0242,1.8
1,2,20.856,20.626,3.048,1.82
1,2,21.623,20.626,3.0725,1.81
1,2,22.773,20.626,3.0979,1.75
1,2,23.616,20.626,3.1237,1.68
1,2,24.306,20.626,3.148,1.68
1,2,24.613,20.626,3.1732,1.68
1,2,24.843,20.626,3.1982,1.62
1,2,24.92,20.626,3.2233,1.45
1,2,24.92,20.626,3.2482,1.05
1,2,24.92,20.626,3.2738,0.42
1,2,12.805,9.201,3.6981,0.16
1,2,12.805,9.201,3.7225,0.5
1,2,12.805,9.201,3.7478,0.78
1,2,12.805,9.201,3.773,1.23
1,2,12.805,9.201,3.7983,1.47
1,2,12.958,9.201,3.8225,1.61
1,2,14.032,9.278,3.8493,1.67
1,2,15.719,9.508,3.8731,1.68
1,2,16.485,9.661,3.8978,1.68
1,2,17.942,9.891,3.9231,1.68
1,2,19.246,9.968,3.9481,1.68
1,2,20.089,10.121,3.9739,1.69
1,2,20.933,10.351,3.998,1.69
1,2,21.853,10.428,4.0246,1.72
1,2,22.466,10.428,4.0478,1.74
1,2,23.54,10.428,4.0733,1.75
1,2,24.306,10.428,4.0981,1.75
1,2,24.69,10.428,4.1231,1.75
1,2,24.996,10.428,4.1481,1.76
1,2,25.226,10.428,4.1727,1.8
1,2,25.38,10.428,4.203,1.86
1,2,25.38,10.428,4.2234,1.9
1,2,25.38,10.428,4.2476,1.89
1,2,25.38,10.428,4.2743,1.71
