participant,repetition,x_mm,y_mm,time,force_N
1,1,13.342,9.201,0,0.33
1,1,13.342,9.201,0.0271,0.56
1,1,13.188,9.201,0.0502,0.66
1,1,13.112,9.201,0.0757,0.77
1,1,13.112,9.201,0.1004,0.97
1,1,13.112,9.201,0.1249,1.09
1,1,13.112,9.201,0.1506,1.12
1,1,13.112,9.201,0.1751,1.13
1,1,13.112,9.201,0.2055,1.15
1,1,13.112,9.201,0.225,1.15
1,1,13.112,9.201,0.2497,1.15
1,1,13.112,9.201,0.2747,1.16
1,1,13.112,9.201,0.2998,1.19
1,1,13.112,9.201,0.3253,1.22
1,1,13.112,9.201,0.3497,1.24
1,1,13.112,9.201,0.3757,1.29
1,1,13.112,9.201,0.3998,1.32
1,1,13.112,9.201,0.4252,1.33
1,1,13.112,9.201,0.4497,1.32
1,1,13.112,9.201,0.4747,1.3
1,1,13.112,9.201,0.5008,1.29
1,1,13.112,9.201,0.5249,1.28
1,1,13.112,9.201,0.5557,1.29
1,1,13.112,9.201,0.5748,1.3
1,1,13.112,9.201,0.5998,1.3
1,1,13.112,9.201,0.626,1.31
1,1,13.112,9.201,0.65,1.34
1,1,13.112,9.201,0.6759,1.38
1,1,13.112,9.201,0.6997,1.41
1,1,13.112,9.201,0.726,1.41
1,1,13.112,9.201,0.7518,1.4
1,1,13.112,9.201,0.7772,1.42
1,1,13.112,9.201,0.8003,1.43
1,1,13.112,9.201,0.8251,1.44
1,1,13.112,9.201,0.8503,1.45
1,1,13.112,9.201,0.8751,1.46
1,1,13.112,9.201,0.9,1.46
1,1,13.112,9.201,0.9254,1.48
1,1,13.112,9.201,0.9545,1.52
1,1,13.112,9.201,0.9757,1.56
1,1,13.112,9.201,0.9998,1.59
1,1,13.112,9.201,1.0247,1.62
1,1,13.112,9.201,1.0515,1.64
1,1,13.112,9.201,1.0756,1.66
1,1,13.112,9.201,1.0999,1.67
1,1,13.112,9.201,1.1246,1.7
1,1,13.112,9.201,1.1502,1.74
1,1,13.112,9.201,1.1766,1.76
1,1,13.112,9.201,1.2,1.76
1,1,13.112,9.278,1.2247,1.75
1,1,13.112,9.738,1.2498,1.71
1,1,13.112,10.581,1.2751,1.67
1,1,13.112,11.348,1.3026,1.65
1,1,13.112,12.038,1.3256,1.63
1,1,13.188,12.575,1.3497,1.61
1,1,13.188,13.878,1.3753,1.61
1,1,13.188,14.568,1.4001,1.63
1,1,13.188,15.489,1.425,1.66
1,1,13.188,16.485,1.4497,1.66
1,1,13.035,17.559,1.4751,1.65
1,1,12.958,18.939,1.5002,1.65
1,1,12.958,19.706,1.525,1.73
1,1,12.958,20.166,1.5499,1.75
1,1,12.958,20.856,1.5747,1.73
1,1,12.958,21.623,1.6,1.73
1,1,12.958,22.236,1.6255,1.75
1,1,13.035,23.079,1.6511,1.77
1,1,13.035,23.846,1.6748,1.78
1,1,13.035,24.306,1.7009,1.78
1,1,13.035,24.996,1.725,1.78
1,1,13.035,26.07,1.7499,1.78
1,1,13.035,26.607,1.7775,1.79
1,1,13.035,27.143,1.7997,1.81
1,1,13.035,27.68,1.8258,1.81
1,1,13.035,27.987,1.85,1.76
1,1,13.035,28.37,1.8746,1.75
1,1,13.035,28.677,1.9001,1.76
1,1,13.035,29.29,1.9311,1.76
1,1,12.958,29.597,1.9504,1.75
1,1,12.958,29.904,1.9748,1.73
1,1,12.882,30.364,2.0004,1.71
1,1,12.882,30.824,2.0251,1.71
1,1,12.882,31.054,2.0534,1.73
1,1,12.882,31.207,2.0751,1.78
1,1,12.882,31.36,2.0996,1.79
1,1,12.882,31.514,2.1292,1.77
1,1,12.882,31.59,2.1504,1.78
1,1,12.882,31.59,2.1751,1.76
1,1,12.882,31.59,2.201,1.66
1,1,12.882,31.744,2.2252,1.51
1,1,12.882,31.974,2.2502,1.42
1,1,12.882,32.127,2.2753,1.35
1,1,12.882,32.127,2.3,1.21
1,1,12.882,32.127,2.325,0.93
1,1,12.882,32.127,2.3524,0.45
1,1,13.035,32.894,2.8506,0.45
1,1,13.035,32.894,2.876,0.77
1,1,13.035,32.894,2.9002,0.96
1,1,13.112,32.894,2.926,1.22
1,1,13.342,32.894,2.9499,1.42
1,1,14.108,32.894,2.9747,1.55
1,1,15.182,32.894,3.0009,1.65
1,1,16.562,32.894,3.0253,1.71
1,1,17.405,32.894,3.0497,1.74
1,1,17.942,32.817,3.0748,1.75
1,1,19.092,32.817,3.1019,1.75
1,1,20.242,32.817,3.1251,1.77
1,1,21.086,32.664,3.1546,1.79
1,1,21.546,32.587,3.1747,1.78
1,1,22.159,32.511,3.2001,1.76
1,1,22.543,32.511,3.2258,1.74
1,1,23.003,32.511,3.2499,1.74
1,1,23.233,32.511,3.2751,1.77
1,1,23.386,32.511,3.2998,1.81
1,1,23.386,32.511,3.331,1.85
1,1,23.54,32.511,3.35,1.85
1,1,23.693,32.511,3.375,1.86
1,1,23.923,32.511,3.4031,1.87
1,1,24.076,32.511,3.425,1.89
1,1,24.23,32.511,3.4502,1.9
1,1,24.46,32.511,3.4754,1.9
1,1,24.536,32.511,3.5009,1.83
1,1,24.536,32.511,3.5246,1.6
1,1,24.536,32.511,3.5499,1.01
1,1,24.536,32.511,3.5751,0.28
1,1,14.185,21.316,3.9766,0.12
1,1,14.185,21.316,4.0005,0.44
1,1,14.185,21.316,4.0251,0.77
1,1,14.185,21.316,4.0499,0.98
1,1,14.185,21.316,4.0747,1.28
1,1,14.185,21.316,4.0999,1.56
1,1,14.185,21.316,4.1252,1.74
1,1,14.185,21.316,4.1505,1.79
1,1,14.185,21.316,4.1746,1.83
1,1,14.185,21.316,4.2081,1.8
1,1,14.185,21.316,4.2271,1.76
1,1,14.185,21.316,4.2548,1.71
1,1,14.185,21.316,4.2747,1.65
1,1,14.185,21.316,4.3003,1.6
1,1,14.185,21.316,4.3253,1.56
1,1,14.185,21.316,4.3531,1.52
1,1,14.185,21.316,4.3753,1.49
1,1,14.185,21.316,4.3998,1.44
1,1,14.185,21.316,4.431,1.37
1,1,14.185,21.316,4.4497,1.36
1,1,14.185,21.316,4.4749,1.34
1,1,14.185,21.316,4.4997,1.31
1,1,14.185,21.316,4.5247,1.31
1,1,14.185,21.316,4.5503,1.31
1,1,14.185,21.316,4.5763,1.32
1,1,14.185,21.316,4.6024,1.34
1,1,14.185,21.316,4.6253,1.38
1,1,14.185,21.316,4.6515,1.42
1,1,14.185,21.316,4.6751,1.47
1,1,14.185,21.316,4.6999,1.51
1,1,14.185,21.316,4.7246,1.64
1,1,14.185,21.316,4.7511,1.75
1,1,14.185,21.316,4.7799,1.85
1,1,14.798,21.316,4.8012,1.87
1,1,15.642,21.393,4.8247,1.92
1,1,16.792,21.393,4.8498,1.95
1,1,17.329,21.393,4.8751,1.94
1,1,17.865,21.393,4.9015,1.93
1,1,18.632,21.393,4.9248,1.94
1,1,19.169,21.393,4.9503,1.97
1,1,20.166,21.393,4.9756,2.01
1,1,20.933,21.393,5.0021,2.01
1,1,21.393,21.393,5.0248,1.99
1,1,21.929,21.393,5.0496,1.96
1,1,22.696,21.316,5.0768,1.94
1,1,23.079,21.316,5.1004,1.93
1,1,23.386,21.316,5.1259,1.95
1,1,23.616,21.316,5.1497,2
1,1,23.693,21.316,5.1748,2.08
1,1,23.693,21.316,5.2002,2.13
1,1,23.693,21.316,5.2249,2.13
1,1,23.693,21.316,5.2499,2.04
1,1,23.693,21.316,5.2755,1.27
1,1,23.693,21.316,5.3008,0.39
1,2,13.342,9.584,0,0.25
1,2,13.342,9.584,0.0251,0.52
1,2,13.342,9.584,0.0502,0.78
1,2,13.342,9.584,0.0745,1
1,2,13.342,9.584,0.1049,1.15
1,2,13.342,9.584,0.1247,1.3
1,2,13.342,9.584,0.1508,1.39
1,2,13.342,9.584,0.1756,1.41
1,2,13.342,9.584,0.1995,1.4
1,2,13.342,9.584,0.2256,1.4
1,2,13.342,9.584,0.2495,1.4
1,2,13.342,9.584,0.2745,1.37
1,2,13.342,9.584,0.3008,1.3
1,2,13.342,9.584,0.3249,1.29
1,2,13.342,9.584,0.3497,1.28
1,2,13.342,9.584,0.3744,1.22
1,2,13.342,9.584,0.3998,1.16
1,2,13.342,9.584,0.4256,1.16
1,2,13.342,9.584,0.4524,1.17
1,2,13.342,9.584,0.4743,1.16
1,2,13.342,9.584,0.4998,1.15
1,2,13.342,9.584,0.5252,1.16
1,2,13.342,9.584,0.5496,1.22
1,2,13.342,9.584,0.5752,1.23
1,2,13.342,9.584,0.5999,1.22
1,2,13.342,9.584,0.6293,1.28
1,2,13.342,9.584,0.6496,1.41
1,2,13.342,9.584,0.6746,1.45
1,2,13.342,9.584,0.6996,1.46
1,2,13.342,9.584,0.725,1.47
1,2,13.342,9.584,0.7503,1.52
1,2,13.342,9.584,0.7747,1.55
1,2,13.342,9.584,0.8017,1.55
1,2,13.342,9.584,0.8247,1.55
1,2,13.342,9.584,0.851,1.58
1,2,13.342,9.584,0.8747,1.61
1,2,13.188,9.968,0.8995,1.6
1,2,13.112,11.118,0.9253,1.55
1,2,13.112,11.731,0.9496,1.5
1,2,13.112,12.882,0.9749,1.45
1,2,13.112,14.185,0.9998,1.42
1,2,13.112,14.875,1.0253,1.43
1,2,13.112,15.489,1.05,1.49
1,2,13.112,16.102,1.0756,1.51
1,2,13.035,16.639,1.0999,1.51
1,2,13.035,18.019,1.1243,1.51
1,2,13.035,19.169,1.1502,1.53
1,2,13.035,19.782,1.1747,1.54
1,2,13.035,20.779,1.2002,1.53
1,2,13.035,22.236,1.2254,1.53
1,2,13.035,23.003,1.2494,1.57
1,2,13.035,23.693,1.2747,1.62
1,2,13.035,24.23,1.2998,1.63
1,2,13.035,25.073,1.3284,1.63
1,2,13.035,26.223,1.3504,1.64
1,2,13.035,27.22,1.3776,1.68
1,2,13.035,27.833,1.3999,1.67
1,2,13.035,28.6,1.4247,1.65
1,2,13.035,29.367,1.4494,1.65
1,2,13.035,30.364,1.4747,1.69
1,2,13.035,31.284,1.5003,1.72
1,2,13.035,31.744,1.5251,1.71
1,2,13.035,32.357,1.5495,1.69
1,2,13.035,32.741,1.5744,1.7
1,2,13.035,32.894,1.6005,1.76
1,2,13.035,33.124,1.6256,1.76
1,2,13.035,33.201,1.6495,1.69
1,2,13.035,33.201,1.6752,1.59
1,2,13.035,33.201,1.7016,1.27
1,2,13.035,33.201,1.7295,0.63
1,2,13.035,33.201,1.7499,0.12
1,2,12.728,33.201,2.176,0.11
1,2,12.728,33.201,2.1997,0.43
1,2,12.728,33.201,2.2255,0.78
1,2,12.728,33.201,2.2508,1.09
1,2,12.728,33.201,2.2745,1.39
1,2,12.728,33.201,2.2993,1.67
1,2,12.728,33.201,2.3245,1.88
1,2,12.728,33.201,2.3494,1.96
1,2,12.958,33.201,2.3752,2
1,2,13.342,33.201,2.3996,2.01
1,2,14.338,33.201,2.4251,2.01
1,2,15.412,33.124,2.4496,1.99
1,2,15.872,33.047,2.4772,1.97
1,2,16.409,32.971,2.4995,1.94
1,2,16.869,32.894,2.5246,1.88
1,2,17.252,32.894,2.5506,1.83
1,2,18.019,32.817,2.5747,1.82
1,2,19.016,32.817,2.6006,1.82
1,2,19.706,32.817,2.6246,1.8
1,2,20.319,32.817,2.65,1.75
1,2,20.549,32.817,2.6747,1.74
1,2,21.009,32.817,2.6996,1.73
1,2,21.393,32.817,2.7255,1.74
1,2,21.699,32.817,2.7495,1.77
1,2,22.159,32.817,2.7757,1.78
1,2,22.849,32.741,2.8005,1.78
1,2,23.463,32.741,2.8275,1.77
1,2,23.77,32.741,2.8495,1.77
1,2,24.23,32.741,2.8744,1.77
1,2,24.46,32.741,2.8998,1.77
1,2,24.69,32.741,2.9247,1.77
1,2,24.843,32.741,2.9499,1.76
1,2,24.843,32.741,2.9748,1.73
1,2,24.843,32.741,3.0059,1.52
1,2,24.843,32.741,3.0246,0.93
1,2,24.843,32.741,3.0497,0.25
1,2,13.342,20.242,3.4506,0.46
1,2,13.342,20.242,3.4753,1.05
1,2,13.342,20.242,3.4993,1.29
1,2,13.342,20.242,3.5247,1.36
1,2,13.342,20.242,3.5497,1.44
1,2,13.342,20.242,3.5773,1.62
1,2,13.342,20.242,3.5995,1.64
1,2,13.342,20.242,3.6262,1.6
1,2,13.342,20.242,3.6509,1.58
1,2,13.342,20.242,3.6748,1.58
1,2,13.342,20.242,3.7,1.55
1,2,13.342,20.242,3.7244,1.47
1,2,13.342,20.242,3.7521,1.45
1,2,13.342,20.242,3.7749,1.45
1,2,13.342,20.242,3.7995,1.43
1,2,13.342,20.242,3.8251,1.39
1,2,13.342,20.242,3.8499,1.38
1,2,13.342,20.242,3.8747,1.39
1,2,13.342,20.242,3.8998,1.39
1,2,13.342,20.242,3.9266,1.5
1,2,13.342,20.242,3.9493,1.58
1,2,13.342,20.242,3.9754,1.76
1,2,13.342,20.242,3.9998,1.85
1,2,13.878,20.242,4.0244,1.94
1,2,15.259,20.396,4.0536,1.99
1,2,16.102,20.396,4.0746,2.02
1,2,17.942,20.626,4.1003,2.08
1,2,19.322,20.779,4.1248,2.14
1,2,20.549,20.779,4.1493,2.15
1,2,21.699,20.779,4.1752,2.16
1,2,22.389,20.856,4.2005,2.18
1,2,23.079,20.856,4.2258,2.21
1,2,23.386,20.856,4.2498,2.23
1,2,23.54,20.856,4.2755,2.29
1,2,23.616,20.856,4.3011,2.3
1,2,23.693,20.856,4.3278,1.9
1,2,23.693,20.856,4.3494,0.98
1,2,23.693,20.856,4.3758,0.2
1,3,13.112,8.434,0,0.19
1,3,13.112,8.434,0.0265,0.55
1,3,13.112,8.434,0.0504,0.78
1,3,13.112,8.434,0.0752,0.95
1,3,13.112,8.434,0.1003,1.01
1,3,13.112,8.434,0.1286,1.32
1,3,13.112,8.434,0.1498,1.37
1,3,13.112,8.434,0.1772,1.39
1,3,13.112,8.434,0.2009,1.38
1,3,13.112,8.434,0.225,1.43
1,3,13.112,8.434,0.2504,1.47
1,3,13.112,8.434,0.2766,1.51
1,3,13.112,8.434,0.3001,1.54
1,3,13.112,8.434,0.3252,1.54
1,3,13.112,8.434,0.3498,1.49
1,3,13.112,8.434,0.3756,1.44
1,3,13.112,8.434,0.401,1.42
1,3,13.112,8.434,0.426,1.42
1,3,13.112,8.434,0.4502,1.4
1,3,13.112,8.434,0.4762,1.34
1,3,13.112,8.434,0.5,1.32
1,3,13.112,8.434,0.5299,1.36
1,3,13.112,8.434,0.5501,1.37
1,3,13.112,8.434,0.5748,1.38
1,3,13.112,8.434,0.6006,1.37
1,3,13.112,8.434,0.6253,1.38
1,3,13.112,8.434,0.6503,1.38
1,3,13.112,8.434,0.675,1.39
1,3,13.112,8.434,0.7008,1.39
1,3,13.112,8.434,0.7254,1.4
1,3,13.112,8.434,0.7501,1.42
1,3,13.112,8.434,0.777,1.43
1,3,13.112,8.434,0.7997,1.45
1,3,13.112,8.434,0.8255,1.47
1,3,12.958,8.664,0.8501,1.47
1,3,12.805,10.121,0.8779,1.44
1,3,12.652,11.195,0.9003,1.43
1,3,12.498,12.575,0.9248,1.45
1,3,12.345,14.415,0.9505,1.46
1,3,12.345,15.335,0.9753,1.48
1,3,12.345,16.485,1,1.49
1,3,12.345,18.172,1.0262,1.5
1,3,12.345,19.476,1.0554,1.51
1,3,12.345,20.242,1.0751,1.51
1,3,12.345,21.776,1.1003,1.51
1,3,12.345,22.849,1.1247,1.52
1,3,12.345,24,1.1511,1.55
1,3,12.345,24.996,1.1764,1.55
1,3,12.345,25.916,1.2013,1.55
1,3,12.345,27.067,1.226,1.57
1,3,12.345,27.603,1.2502,1.62
1,3,12.345,28.063,1.2751,1.64
1,3,12.345,28.447,1.3001,1.65
1,3,12.345,28.753,1.3249,1.67
1,3,12.345,29.137,1.3505,1.68
1,3,12.345,29.827,1.3763,1.67
1,3,12.345,30.594,1.4015,1.65
1,3,12.345,30.977,1.425,1.66
1,3,12.345,31.207,1.4499,1.68
1,3,12.345,31.36,1.4757,1.67
1,3,12.345,31.36,1.501,1.6
1,3,12.345,31.36,1.5258,1.49
1,3,12.345,31.284,1.5499,1.18
1,3,12.345,31.284,1.5817,0.29
1,3,12.498,32.587,1.9755,0.19
1,3,12.498,32.587,2.0004,0.55
1,3,12.498,32.587,2.0254,0.78
1,3,12.498,32.587,2.0505,1.09
1,3,12.575,32.587,2.0749,1.32
1,3,13.648,32.587,2.0998,1.46
1,3,14.722,32.587,2.1255,1.48
1,3,16.102,32.511,2.1505,1.47
1,3,17.942,32.434,2.175,1.46
1,3,18.939,32.434,2.2,1.47
1,3,19.936,32.434,2.2256,1.49
1,3,21.239,32.357,2.25,1.52
1,3,22.083,32.357,2.2778,1.56
1,3,23.156,32.281,2.2998,1.55
1,3,23.846,32.281,2.3268,1.55
1,3,24.153,32.281,2.3503,1.57
1,3,24.536,32.281,2.3751,1.61
1,3,24.69,32.281,2.4001,1.62
1,3,24.92,32.281,2.4257,1.63
1,3,24.92,32.281,2.4511,1.66
1,3,24.92,32.281,2.4767,1.71
1,3,24.92,32.281,2.5053,1.72
1,3,24.92,32.281,2.5249,1.71
1,3,24.996,32.281,2.551,1.7
1,3,25.15,32.281,2.575,1.67
1,3,25.456,32.281,2.6,1.52
1,3,25.686,32.357,2.6253,1.14
1,3,25.84,32.357,2.6503,0.51
1,3,13.342,21.009,3.0753,0.12
1,3,13.342,21.009,3.1007,0.53
1,3,13.342,21.009,3.1281,0.95
1,3,13.342,21.009,3.1507,1.17
1,3,13.342,21.009,3.1752,1.4
1,3,13.648,21.009,3.1999,1.57
1,3,14.798,21.086,3.2253,1.7
1,3,15.795,21.163,3.2513,1.72
1,3,17.099,21.316,3.2748,1.69
1,3,18.632,21.546,3.3004,1.65
1,3,19.629,21.929,3.3264,1.64
1,3,20.319,22.083,3.3502,1.68
1,3,21.623,22.389,3.375,1.73
1,3,23.003,22.466,3.4001,1.74
1,3,23.616,22.466,3.4259,1.74
1,3,24.536,22.466,3.45,1.68
1,3,25.456,22.466,3.4751,1.67
1,3,25.84,22.466,3.5013,1.66
1,3,26.146,22.466,3.5263,1.67
1,3,26.3,22.466,3.5506,1.72
1,3,26.377,22.466,3.5755,1.72
1,3,26.377,22.466,3.5998,1.48
1,3,26.377,22.466,3.6249,0.78
1,3,26.377,22.466,3.6513,0.17
2,1,13.342,32.664,0,0.17
2,1,13.342,32.664,0.025,0.25
2,1,13.342,32.664,0.0503,0.26
2,1,13.342,32.664,0.0752,0.27
2,1,13.342,32.664,0.1009,0.35
2,1,13.342,32.664,0.1248,0.45
2,1,13.342,32.664,0.1504,0.53
2,1,13.342,32.664,0.1753,0.6
2,1,13.342,32.664,0.2005,0.68
2,1,13.342,32.664,0.2248,0.76
2,1,13.342,32.664,0.25,0.84
2,1,13.342,32.664,0.2751,0.85
2,1,13.342,32.664,0.3002,0.69
2,1,13.342,32.664,0.325,0.28
2,1,12.958,10.505,0.8001,0.11
2,1,12.958,10.505,0.8297,0.37
2,1,12.958,10.505,0.8507,0.56
2,1,13.035,10.735,0.8748,0.65
2,1,13.418,11.501,0.9,0.68
2,1,13.648,12.191,0.9265,0.7
2,1,13.878,12.958,0.9501,0.79
2,1,14.262,14.568,0.9755,0.85
2,1,14.415,15.259,1.0008,0.86
2,1,14.415,16.025,1.027,0.86
2,1,14.415,16.639,1.0511,0.87
2,1,14.415,17.789,1.0769,0.91
2,1,14.415,18.556,1.0997,0.92
2,1,14.415,19.552,1.1254,0.93
2,1,14.415,20.012,1.1534,0.95
2,1,14.415,20.472,1.1752,0.97
2,1,14.262,21.163,1.2005,0.99
2,1,14.185,21.699,1.2247,0.99
2,1,14.185,22.466,1.2532,1.02
2,1,14.108,23.463,1.2751,1.03
2,1,14.108,23.923,1.3028,1.05
2,1,14.108,24.46,1.3258,1.06
2,1,13.955,25.073,1.3503,1.09
2,1,13.878,25.61,1.376,1.11
2,1,13.648,26.453,1.4005,1.13
2,1,13.418,27.373,1.4254,1.13
2,1,13.418,27.757,1.4498,1.13
2,1,13.418,28.217,1.475,1.16
2,1,13.418,28.37,1.5004,1.18
2,1,13.418,28.6,1.5251,1.17
2,1,13.418,28.83,1.55,1.16
2,1,13.342,29.06,1.5758,1.16
2,1,13.342,29.827,1.6005,1.14
2,1,13.342,31.13,1.6252,1.06
2,1,13.342,31.59,1.6506,1.05
2,1,13.342,31.974,1.6748,1.07
2,1,13.342,32.204,1.7007,1.08
2,1,13.342,32.204,1.7257,1.09
2,1,13.342,32.281,1.7501,1.11
2,1,13.342,32.281,1.7772,1.12
2,1,13.342,32.281,1.801,1.12
2,1,13.342,32.281,1.8249,1.1
2,1,13.342,32.281,1.8502,0.93
2,1,13.342,32.281,1.8755,0.5
2,1,13.342,32.281,1.9005,0.11
