participant,repetition,x_mm,y_mm,time,force_N
1,1,27.45,26.146,0,0.23
1,1,27.45,26.146,0.0255,0.33
1,1,27.45,26.146,0.0506,0.35
1,1,27.45,26.146,0.0752,0.53
1,1,27.45,26.146,0.1003,0.73
1,1,27.45,26.146,0.1256,0.89
1,1,27.45,26.146,0.151,0.89
1,1,27.45,26.146,0.1785,1.02
1,1,27.45,26.146,0.2,1.01
1,1,27.297,26.377,0.2257,0.99
1,1,27.22,26.607,0.2509,0.99
1,1,27.143,27.067,0.2753,1
1,1,26.913,27.603,0.3005,1
1,1,26.76,27.91,0.3263,0.98
1,1,26.53,28.14,0.3511,0.99
1,1,26.3,28.37,0.3759,1.02
1,1,26.223,28.523,0.4017,1.03
1,1,25.84,28.907,0.4258,1.03
1,1,25.303,29.367,0.4504,1.04
1,1,24.92,29.597,0.4764,1.06
1,1,24.23,29.827,0.5005,1.07
1,1,23.693,30.287,0.5258,1.09
1,1,23.386,30.44,0.55,1.12
1,1,22.926,30.67,0.5753,1.14
1,1,22.389,31.054,0.6005,1.15
1,1,21.929,31.284,0.6254,1.15
1,1,21.393,31.514,0.6506,1.17
1,1,20.626,31.744,0.6763,1.18
1,1,20.012,31.897,0.703,1.16
1,1,19.399,32.127,0.7262,1.15
1,1,18.862,32.127,0.7501,1.15
1,1,18.556,32.127,0.7765,1.15
1,1,17.865,31.974,0.8003,1.14
1,1,17.022,31.667,0.8259,1.11
1,1,16.485,31.437,0.8505,1.1
1,1,15.565,30.9,0.877,1.13
1,1,14.875,30.44,0.9006,1.13
1,1,14.415,29.98,0.9302,1.13
1,1,14.108,29.674,0.9505,1.14
1,1,13.802,29.367,0.9753,1.15
1,1,13.112,28.447,1.0001,1.15
1,1,12.268,27.067,1.0274,1.14
1,1,11.808,26.377,1.0509,1.14
1,1,11.348,25.61,1.0756,1.15
1,1,11.118,24.613,1.1,1.18
1,1,10.888,23.616,1.1256,1.19
1,1,10.658,22.389,1.1519,1.18
1,1,10.658,21.699,1.1757,1.17
1,1,10.658,21.393,1.2006,1.18
1,1,10.811,20.472,1.228,1.19
1,1,10.811,19.246,1.2508,1.21
1,1,10.811,18.326,1.2796,1.22
1,1,10.965,17.942,1.3015,1.22
1,1,11.195,17.329,1.3251,1.22
1,1,11.271,16.792,1.3508,1.23
1,1,11.655,16.025,1.3751,1.25
1,1,12.115,15.259,1.4014,1.26
1,1,12.422,14.798,1.4251,1.28
1,1,12.882,14.108,1.4519,1.29
1,1,13.265,13.572,1.4755,1.3
1,1,13.495,13.265,1.5007,1.31
1,1,13.878,12.805,1.5261,1.31
1,1,14.645,12.268,1.5502,1.31
1,1,15.565,11.731,1.5798,1.31
1,1,16.255,11.348,1.6005,1.31
1,1,17.022,10.888,1.6307,1.31
1,1,17.482,10.658,1.6501,1.3
1,1,18.019,10.351,1.6753,1.28
1,1,18.556,10.198,1.7005,1.26
1,1,19.552,10.198,1.7258,1.25
