participant,repetition,x_mm,y_mm,time,force_N
1,1,8.051,26.837,0,0.37
1,1,8.051,26.837,0.0241,0.65
1,1,8.051,26.837,0.0499,0.86
1,1,8.051,26.837,0.0735,1.09
1,1,8.051,26.837,0.101,1.27
1,1,8.051,26.837,0.1243,1.34
1,1,8.051,26.837,0.1489,1.44
1,1,8.051,26.837,0.1734,1.48
1,1,8.051,26.837,0.199,1.51
1,1,8.051,26.76,0.2246,1.55
1,1,7.898,26.223,0.2488,1.57
1,1,7.821,25.61,0.2745,1.57
1,1,7.744,24.92,0.2994,1.57
1,1,7.744,24.153,0.3242,1.57
1,1,7.668,23.54,0.3494,1.58
1,1,7.591,23.156,0.3737,1.58
1,1,7.591,22.466,0.4011,1.58
1,1,7.514,21.546,0.4235,1.61
1,1,7.284,20.472,0.4546,1.63
1,1,7.284,20.012,0.4743,1.63
1,1,7.284,19.629,0.4984,1.62
1,1,7.208,19.246,0.5247,1.63
1,1,7.208,18.709,0.5488,1.63
1,1,7.208,18.402,0.574,1.62
1,1,7.208,18.172,0.5986,1.63
1,1,7.208,17.635,0.6241,1.64
1,1,7.131,17.175,0.6487,1.61
1,1,7.131,16.869,0.6737,1.6
1,1,7.131,16.639,0.6989,1.59
1,1,7.131,16.409,0.7238,1.57
1,1,7.054,16.255,0.7489,1.57
1,1,7.054,16.025,0.7737,1.56
1,1,7.054,15.872,0.8037,1.54
1,1,7.054,15.872,0.8236,1.53
1,1,7.054,15.872,0.8488,1.52
1,1,7.054,15.872,0.8738,1.5
1,1,7.054,15.872,0.8987,1.49
1,1,7.054,15.872,0.9238,1.48
1,1,7.054,15.872,0.9492,1.49
1,1,7.054,15.795,0.9746,1.5
1,1,7.054,15.642,0.9987,1.5
1,1,7.054,15.565,1.0246,1.48
1,1,7.054,15.489,1.0484,1.5
1,1,7.054,15.335,1.0734,1.52
1,1,7.054,15.182,1.0995,1.52
1,1,6.978,14.722,1.1237,1.49
1,1,6.824,13.572,1.1526,1.47
1,1,6.594,12.345,1.1751,1.46
1,1,6.594,11.961,1.2021,1.4
1,1,6.594,11.578,1.224,1.4
1,1,6.594,11.348,1.2503,1.39
1,1,6.594,11.041,1.2733,1.39
1,1,6.594,10.811,1.2984,1.36
1,1,6.594,10.581,1.3251,1.35
1,1,6.594,10.351,1.3487,1.34
1,1,6.594,10.198,1.3736,1.29
1,1,6.594,10.121,1.4019,1.24
1,1,6.594,10.121,1.4238,1.19
1,1,6.671,10.121,1.449,1.1
1,1,6.901,10.121,1.4735,0.86
1,1,6.901,10.121,1.4991,0.34
1,1,7.974,19.629,1.9048,0.19
1,1,7.974,19.706,1.9236,0.3
1,1,8.204,20.012,1.9491,0.49
1,1,8.741,20.779,1.9736,0.61
1,1,9.354,21.776,1.9989,0.71
1,1,9.815,22.466,2.0242,0.78
1,1,9.968,22.696,2.0485,0.86
1,1,10.505,23.309,2.0737,0.86
1,1,11.041,23.923,2.0987,0.86
1,1,11.501,24.613,2.1251,0.86
1,1,12.115,25.15,2.1484,0.95
1,1,12.652,25.61,2.1741,1
1,1,13.265,26.07,2.1988,1.01
1,1,13.572,26.223,2.2238,1.03
1,1,13.955,26.3,2.2502,1.15
1,1,14.338,26.3,2.2735,1.18
1,1,15.028,26.3,2.3014,1.17
1,1,15.489,26.3,2.3243,1.17
1,1,15.872,26.223,2.3487,1.18
1,1,16.409,26.07,2.375,1.2
1,1,16.792,25.993,2.3989,1.19
1,1,17.175,25.763,2.4241,1.17
1,1,17.482,25.533,2.4487,1.16
1,1,17.635,25.226,2.4735,1.17
1,1,17.942,24.536,2.4986,1.19
1,1,18.172,24.076,2.5239,1.18
1,1,18.326,23.846,2.5495,1.16
1,1,18.479,23.386,2.5736,1.17
1,1,18.709,22.696,2.6011,1.18
1,1,18.862,22.083,2.624,1.16
1,1,18.939,20.933,2.655,1.15
1,1,18.939,20.396,2.6736,1.15
1,1,18.939,19.936,2.6989,1.15
1,1,18.939,19.399,2.7245,1.14
1,1,18.939,18.786,2.7495,1.14
1,1,18.939,18.249,2.7789,1.13
1,1,18.939,17.559,2.7987,1.15
1,1,18.862,16.639,2.8234,1.18
1,1,18.862,15.795,2.8489,1.18
1,1,18.862,15.259,2.8754,1.17
1,1,18.862,14.875,2.8992,1.14
1,1,18.786,13.648,2.9235,1.15
1,1,18.786,12.575,2.9495,1.16
1,1,18.786,12.191,2.974,1.13
1,1,18.786,11.885,3.0005,1.12
1,1,18.786,11.731,3.0237,1.13
1,1,18.786,11.578,3.0498,1.12
1,1,18.786,11.578,3.0738,1.06
1,1,18.786,11.578,3.0988,1.01
1,1,18.786,11.578,3.124,0.98
1,1,18.786,11.578,3.1486,0.96
1,1,18.786,11.578,3.1737,0.86
1,1,18.786,11.655,3.1992,0.86
1,1,18.786,12.422,3.2237,0.86
1,1,18.786,13.418,3.2485,0.86
1,1,18.786,14.032,3.2738,0.86
1,1,18.939,15.949,3.2992,0.78
1,1,18.939,17.635,3.3254,0.76
1,1,19.016,18.402,3.3491,0.77
1,1,19.246,19.782,3.3734,0.86
1,1,19.399,20.703,3.3984,0.86
1,1,19.782,21.853,3.4237,0.86
1,1,20.396,22.543,3.4486,0.86
1,1,20.856,23.079,3.4742,0.86
1,1,21.163,23.463,3.4993,0.86
1,1,21.776,24.306,3.5241,0.86
1,1,22.236,24.92,3.5496,0.86
1,1,22.773,25.456,3.5755,0.94
1,1,23.54,25.916,3.5984,0.95
1,1,24.076,26.07,3.6238,0.99
1,1,24.996,26.3,3.649,1.01
1,1,25.61,26.53,3.6735,1.01
1,1,26.07,26.53,3.7023,1.02
1,1,26.3,26.53,3.7235,1.05
1,1,26.837,26.53,3.753,1.08
1,1,27.22,26.453,3.7738,1.1
1,1,27.757,26.223,3.7988,1.12
1,1,28.37,25.916,3.8239,1.16
1,1,28.753,25.456,3.8485,1.2
1,1,29.29,24.613,3.8742,1.22
1,1,29.674,24,3.8988,1.24
1,1,29.827,23.54,3.9236,1.26
1,1,30.057,22.313,3.9489,1.26
1,1,30.21,20.703,3.9745,1.27
1,1,30.21,20.012,3.9989,1.28
1,1,30.364,19.016,4.0239,1.3
1,1,30.517,17.865,4.0485,1.3
1,1,30.517,17.099,4.0742,1.29
1,1,30.517,16.102,4.0988,1.3
1,1,30.594,15.412,4.1241,1.33
1,1,30.594,14.952,4.1486,1.33
1,1,30.67,14.185,4.1736,1.32
1,1,30.67,13.802,4.2002,1.33
1,1,30.747,13.035,4.224,1.35
1,1,30.747,12.191,4.2494,1.38
1,1,30.747,11.731,4.2739,1.43
1,1,30.747,11.271,4.2985,1.46
1,1,30.747,10.888,4.3252,1.45
1,1,30.747,10.735,4.3484,1.43
1,1,30.747,10.658,4.3738,1.4
1,1,30.747,10.658,4.3994,1.34
1,1,30.747,10.658,4.4257,1.19
1,1,30.747,10.658,4.4488,0.86
1,1,30.747,10.658,4.4736,0.26
1,2,7.438,26.76,0,0.26
1,2,7.438,26.76,0.0249,0.61
1,2,7.438,26.76,0.0506,0.74
1,2,7.438,26.76,0.076,0.88
1,2,7.438,26.76,0.1,1.01
1,2,7.438,26.76,0.1257,1.17
1,2,7.438,26.76,0.1509,1.25
1,2,7.438,26.76,0.1801,1.29
1,2,7.438,26.76,0.2002,1.3
1,2,7.438,26.76,0.2248,1.32
1,2,7.438,26.76,0.2506,1.32
1,2,7.438,26.76,0.2752,1.3
1,2,7.438,26.76,0.3005,1.29
1,2,7.438,26.76,0.3249,1.28
1,2,7.438,26.76,0.3525,1.28
1,2,7.438,26.76,0.3749,1.28
1,2,7.438,26.76,0.4027,1.26
1,2,7.438,26.76,0.4256,1.26
1,2,7.438,26.76,0.4498,1.28
1,2,7.438,26.76,0.4751,1.28
1,2,7.438,26.76,0.5016,1.26
1,2,7.438,26.76,0.5254,1.26
1,2,7.438,26.76,0.55,1.27
1,2,7.438,26.76,0.5753,1.3
1,2,7.438,26.76,0.6002,1.32
1,2,7.438,26.76,0.625,1.35
1,2,7.438,26.76,0.6508,1.39
1,2,7.438,26.76,0.6755,1.43
1,2,7.438,26.76,0.7011,1.48
1,2,7.438,26.76,0.7269,1.52
1,2,7.438,26.76,0.7509,1.58
1,2,7.438,26.76,0.7748,1.62
1,2,7.438,26.76,0.8002,1.63
1,2,7.284,26.607,0.8254,1.63
1,2,6.747,25.686,0.8501,1.61
1,2,6.287,24.46,0.8793,1.59
1,2,6.134,23.923,0.9004,1.58
1,2,5.904,23.003,0.9297,1.58
1,2,5.751,22.083,0.9501,1.58
1,2,5.597,20.703,0.975,1.57
1,2,5.597,19.936,0.9999,1.56
1,2,5.597,19.476,1.0252,1.56
1,2,5.597,18.479,1.0508,1.56
1,2,5.597,17.789,1.0753,1.55
1,2,5.521,16.639,1.0999,1.55
1,2,5.521,15.872,1.1253,1.55
1,2,5.521,15.105,1.1512,1.56
1,2,5.597,14.492,1.1753,1.57
1,2,5.597,13.648,1.2,1.57
1,2,5.597,12.882,1.2268,1.58
1,2,5.597,12.422,1.2503,1.58
1,2,5.597,11.885,1.2758,1.59
1,2,5.674,11.655,1.3002,1.6
1,2,5.751,11.195,1.3248,1.61
1,2,5.827,10.735,1.3499,1.63
1,2,6.057,10.045,1.3776,1.65
1,2,6.211,9.738,1.4008,1.64
1,2,6.287,9.508,1.4251,1.58
1,2,6.287,9.431,1.452,1.53
1,2,6.287,9.354,1.4751,1.49
1,2,6.287,9.354,1.5001,1.32
1,2,6.287,9.354,1.5252,0.88
1,2,6.287,9.354,1.5498,0.26
1,2,7.898,20.012,1.9254,0.37
1,2,7.898,20.396,1.95,0.45
1,2,8.204,21.393,1.9767,0.53
1,2,8.664,22.236,2.0033,0.62
1,2,9.124,23.003,2.0292,0.7
1,2,9.738,23.693,2.0501,0.75
1,2,10.735,24.766,2.0749,0.77
1,2,11.425,25.533,2.1008,0.88
1,2,11.961,26.07,2.1253,0.88
1,2,12.268,26.146,2.1499,0.88
1,2,12.652,26.377,2.1748,0.88
1,2,13.112,26.453,2.2067,1.01
1,2,13.648,26.453,2.2251,1.05
1,2,14.798,26.223,2.2549,1.12
1,2,15.335,26.07,2.275,1.13
1,2,15.795,25.993,2.3004,1.13
1,2,16.255,25.61,2.3255,1.16
1,2,16.639,25.15,2.3501,1.22
1,2,17.022,24.46,2.3795,1.25
1,2,17.175,24,2.3999,1.26
1,2,17.405,23.309,2.425,1.28
1,2,17.712,22.696,2.4511,1.28
1,2,18.019,21.699,2.4756,1.28
1,2,18.249,20.549,2.5017,1.3
1,2,18.402,19.936,2.5256,1.34
1,2,18.556,18.862,2.5573,1.35
1,2,18.632,18.172,2.5752,1.35
1,2,18.632,17.482,2.6001,1.38
1,2,18.632,16.255,2.6254,1.4
1,2,18.632,15.489,2.65,1.4
1,2,18.632,14.875,2.676,1.38
1,2,18.632,13.802,2.7004,1.37
1,2,18.632,12.805,2.7259,1.36
1,2,18.632,12.191,2.7507,1.36
1,2,18.632,11.578,2.7786,1.36
1,2,18.632,11.271,2.8,1.35
1,2,18.632,10.965,2.8248,1.27
1,2,18.632,10.888,2.853,1.16
1,2,18.632,10.888,2.8765,1.13
1,2,18.632,10.888,2.9006,1.1
1,2,18.479,11.425,2.9251,0.88
1,2,18.326,12.882,2.9514,0.88
1,2,18.249,13.802,2.9754,0.88
1,2,18.402,15.489,3.0003,0.88
1,2,18.402,16.869,3.0265,0.8
1,2,18.402,17.482,3.0498,0.79
1,2,18.479,18.556,3.0753,0.79
1,2,18.709,19.859,3.1001,0.78
1,2,19.016,21.163,3.1282,0.79
1,2,19.476,22.006,3.1499,0.8
1,2,19.936,22.466,3.176,0.88
1,2,20.472,23.233,3.2014,0.88
1,2,20.856,24,3.2251,0.88
1,2,21.086,24.306,3.25,0.88
1,2,21.699,24.843,3.2749,0.88
1,2,22.543,25.303,3.3034,0.88
1,2,23.156,25.763,3.325,0.88
1,2,23.846,26.07,3.35,0.96
1,2,24.46,26.3,3.3759,1
1,2,24.766,26.453,3.4002,1.04
1,2,25.226,26.453,3.4253,1.06
1,2,25.84,26.453,3.4505,1.08
1,2,26.3,26.453,3.4774,1.09
1,2,26.99,26.3,3.5004,1.13
1,2,27.68,26.07,3.5264,1.18
1,2,28.14,25.61,3.5502,1.19
1,2,28.677,24.766,3.5753,1.24
1,2,28.984,24.306,3.6003,1.28
1,2,29.214,23.693,3.625,1.3
1,2,29.444,22.773,3.6505,1.32
1,2,29.674,21.699,3.676,1.33
1,2,29.75,20.856,3.6999,1.34
1,2,29.75,19.936,3.7249,1.37
1,2,29.827,19.246,3.7505,1.38
1,2,29.827,17.865,3.7756,1.39
1,2,29.904,16.639,3.8,1.4
1,2,29.98,15.872,3.8291,1.42
1,2,30.057,15.412,3.8502,1.43
1,2,30.287,14.568,3.8785,1.45
1,2,30.44,13.878,3.9002,1.48
1,2,30.67,12.805,3.9248,1.53
1,2,30.67,12.268,3.9509,1.56
1,2,30.67,12.038,3.976,1.56
1,2,30.67,11.808,4.0012,1.58
1,2,30.67,11.731,4.0249,1.58
1,2,30.67,11.731,4.0518,1.47
1,2,30.67,11.731,4.0764,1.01
1,2,30.67,11.731,4.1001,0.36
1,3,7.514,26.913,0,0.34
1,3,7.514,26.913,0.026,0.5
1,3,7.514,26.913,0.0496,0.73
1,3,7.514,26.913,0.075,0.86
1,3,7.514,26.913,0.1003,1.01
1,3,7.514,26.913,0.1249,1.12
1,3,7.514,26.913,0.1531,1.17
1,3,7.514,26.913,0.176,1.19
1,3,7.514,26.913,0.204,1.19
1,3,7.514,26.913,0.2249,1.21
1,3,7.514,26.913,0.2508,1.23
1,3,7.514,26.913,0.2747,1.24
1,3,7.514,26.913,0.2998,1.2
1,3,7.514,26.913,0.3283,1.19
1,3,7.514,26.913,0.3499,1.17
1,3,7.514,26.913,0.3746,1.16
1,3,7.514,26.913,0.4003,1.14
1,3,7.514,26.913,0.4249,1.13
1,3,7.514,26.913,0.4526,1.1
1,3,7.514,26.913,0.475,1.08
1,3,7.514,26.913,0.5001,1.08
1,3,7.514,26.913,0.5251,1.1
1,3,7.514,26.913,0.555,1.1
1,3,7.514,26.913,0.5749,1.1
1,3,7.514,26.913,0.5998,1.09
1,3,7.514,26.913,0.6265,1.12
1,3,7.514,26.913,0.651,1.13
1,3,7.514,26.913,0.6754,1.14
1,3,7.514,26.913,0.6997,1.21
1,3,7.514,26.913,0.7298,1.3
1,3,7.514,26.913,0.7499,1.36
1,3,7.514,26.913,0.775,1.43
1,3,7.514,26.223,0.7996,1.52
1,3,7.514,25.226,0.8261,1.6
1,3,7.514,24,0.8504,1.64
1,3,7.514,23.079,0.8749,1.64
1,3,7.514,21.929,0.9026,1.63
1,3,7.514,21.163,0.9257,1.65
1,3,7.591,20.166,0.9527,1.66
1,3,7.591,19.782,0.975,1.64
1,3,7.591,19.169,0.9999,1.61
1,3,7.591,18.096,1.0272,1.59
1,3,7.591,17.252,1.0503,1.57
1,3,7.668,16.179,1.075,1.55
1,3,7.668,15.412,1.1001,1.52
1,3,7.668,14.952,1.1247,1.49
1,3,7.668,14.262,1.1503,1.47
1,3,7.668,13.572,1.1757,1.45
1,3,7.668,12.882,1.2003,1.44
1,3,7.744,12.038,1.2248,1.45
1,3,7.744,11.501,1.2511,1.47
1,3,7.744,11.271,1.275,1.47
1,3,7.744,11.041,1.3034,1.48
1,3,7.744,10.965,1.3249,1.48
1,3,7.744,10.888,1.3497,1.48
1,3,7.744,10.888,1.3757,1.4
1,3,7.744,10.888,1.4001,1.19
1,3,7.744,10.888,1.4256,0.74
1,3,7.744,10.888,1.4497,0.2
1,3,8.511,20.242,1.7746,0.25
1,3,8.511,21.163,1.8001,0.35
1,3,8.588,21.776,1.825,0.46
1,3,8.894,22.773,1.8499,0.6
1,3,9.584,24,1.8752,0.7
1,3,10.428,25.073,1.8999,0.77
1,3,11.348,26.07,1.9267,0.86
1,3,12.038,26.53,1.9505,0.86
1,3,12.652,26.837,1.9748,1.01
1,3,13.495,27.067,2.0002,1.07
1,3,14.415,27.22,2.0262,1.14
1,3,14.952,27.22,2.0543,1.18
1,3,15.182,27.067,2.0749,1.21
1,3,15.489,26.913,2.1,1.21
1,3,15.949,26.607,2.1251,1.19
1,3,16.409,25.993,2.1499,1.19
1,3,16.715,25.38,2.175,1.19
1,3,16.945,24.46,2.2,1.21
1,3,17.099,23.846,2.2267,1.21
1,3,17.252,23.309,2.25,1.22
1,3,17.559,21.929,2.2749,1.23
1,3,17.789,20.396,2.3,1.23
1,3,17.942,19.859,2.3255,1.23
