participant,repetition,x_mm,y_mm,time,force_N
1,1,24.383,21.239,0,0.25
1,1,24.383,21.239,0.0234,0.42
1,1,24.383,21.239,0.0483,0.58
1,1,24.383,21.239,0.0734,0.71
1,1,24.383,21.239,0.0986,0.92
1,1,24.383,21.239,0.1235,1.09
1,1,24.383,21.239,0.1484,1.12
1,1,24.383,21.239,0.1739,1.16
1,1,24.383,21.239,0.1986,1.16
1,1,24.383,21.239,0.2243,1.13
1,1,24.383,21.239,0.2502,1.1
1,1,24.383,21.239,0.2739,1.1
1,1,24.383,21.239,0.2998,1.1
1,1,24.383,21.239,0.3245,1.12
1,1,24.383,21.239,0.3489,1.15
1,1,24.383,21.239,0.3736,1.17
1,1,24.383,21.239,0.3987,1.15
1,1,24.383,21.239,0.4237,1.11
1,1,24.383,21.239,0.449,1.09
1,1,24.383,21.239,0.4734,1.09
1,1,24.383,21.239,0.499,1.09
1,1,24.383,21.239,0.524,1.09
1,1,24.383,21.239,0.5496,1.06
1,1,24.383,21.239,0.5733,1.02
1,1,24.383,21.239,0.5983,0.98
1,1,24.383,21.239,0.6238,0.98
1,1,24.383,21.239,0.6486,0.99
1,1,24.383,21.239,0.6771,0.95
1,1,24.383,21.239,0.6997,0.92
1,1,24.383,21.239,0.7237,0.88
1,1,24.383,21.239,0.7492,0.79
1,1,24.383,21.239,0.7738,0.87
1,1,24.383,21.239,0.7988,0.88
1,1,24.383,21.239,0.8234,0.88
1,1,24.383,21.239,0.8484,0.88
1,1,24.383,21.239,0.876,0.91
1,1,24.383,21.239,0.8982,0.92
1,1,24.383,21.239,0.9235,0.93
1,1,24.383,21.239,0.9496,0.95
1,1,24.383,21.239,0.9737,1
1,1,24.383,21.239,0.9984,1.05
1,1,24.383,21.239,1.0246,1.1
1,1,24.383,21.239,1.0484,1.14
1,1,24.383,21.239,1.0775,1.25
1,1,24.383,21.239,1.0988,1.3
1,1,24.383,21.239,1.1232,1.43
1,1,24.383,21.239,1.1493,1.51
1,1,24.383,21.239,1.1746,1.52
1,1,24.383,21.239,1.1991,1.51
1,1,24.306,21.316,1.2232,1.5
1,1,24.076,21.623,1.2519,1.48
1,1,23.846,21.929,1.2749,1.44
1,1,23.463,22.159,1.2986,1.44
1,1,23.309,22.313,1.3239,1.44
1,1,23.079,22.543,1.3497,1.41
1,1,22.849,22.773,1.3735,1.39
1,1,22.696,22.926,1.3984,1.38
1,1,22.466,23.156,1.4264,1.37
1,1,22.236,23.463,1.4483,1.36
1,1,21.776,24,1.4734,1.34
1,1,21.239,24.46,1.499,1.35
1,1,20.856,24.766,1.5241,1.36
1,1,20.396,25.15,1.549,1.35
1,1,20.012,25.38,1.5745,1.33
1,1,19.706,25.61,1.6058,1.3
1,1,19.476,25.686,1.6238,1.29
1,1,19.092,25.686,1.6484,1.29
1,1,18.786,25.763,1.6739,1.3
1,1,18.249,25.763,1.6987,1.31
1,1,17.482,25.456,1.725,1.31
1,1,16.869,25.15,1.7487,1.31
1,1,15.872,24.536,1.7785,1.31
1,1,15.489,24.153,1.7993,1.31
1,1,15.028,23.616,1.8263,1.31
1,1,14.722,23.156,1.8487,1.3
1,1,14.415,22.236,1.8738,1.28
1,1,14.185,21.469,1.8992,1.27
1,1,13.878,20.166,1.9237,1.28
1,1,13.495,18.939,1.9491,1.29
1,1,13.342,18.096,1.9735,1.27
1,1,13.188,16.945,1.9982,1.25
1,1,13.188,15.949,2.0241,1.25
1,1,13.188,15.412,2.0489,1.27
1,1,13.342,14.185,2.0737,1.29
1,1,13.802,12.882,2.0988,1.29
1,1,14.032,12.115,2.124,1.28
1,1,14.568,11.348,2.1486,1.28
1,1,15.335,10.735,2.1788,1.27
1,1,15.872,10.351,2.1987,1.24
1,1,16.639,10.121,2.2232,1.21
1,1,17.022,10.121,2.2488,1.21
1,1,17.559,10.121,2.2747,1.2
1,1,18.096,10.121,2.2997,1.17
1,1,18.632,10.198,2.3232,1.14
1,1,19.552,10.428,2.3525,1.12
1,1,20.549,10.811,2.3739,1.11
1,1,21.009,11.195,2.3995,1.09
1,1,21.699,11.961,2.4234,1.07
1,1,22.159,13.035,2.4487,1.07
1,1,22.313,13.572,2.4752,1.09
1,1,22.543,14.185,2.4987,1.12
1,1,22.619,14.492,2.5256,1.15
1,1,22.619,14.645,2.5483,1.17
1,1,22.696,14.798,2.5749,1.03
1,1,22.696,14.798,2.5993,0.52
1,1,22.696,14.798,2.6235,0.1
