participant,repetition,x_mm,y_mm,time,force_N
1,1,19.706,31.667,0,0.22
1,1,19.706,31.667,0.0264,0.54
1,1,19.706,31.667,0.0508,0.67
1,1,19.706,31.667,0.0746,0.81
1,1,19.706,31.667,0.1056,1.01
1,1,19.629,31.667,0.1246,1.09
1,1,19.629,31.667,0.151,1.15
1,1,19.629,31.667,0.1744,1.15
1,1,19.629,31.667,0.1994,1.14
1,1,19.629,31.667,0.2258,1.11
1,1,19.629,31.667,0.2496,1.06
1,1,19.629,31.667,0.2749,1.02
1,1,19.629,31.667,0.2999,1.01
1,1,19.629,31.667,0.3327,0.98
1,1,19.629,31.667,0.3496,0.98
1,1,19.629,31.667,0.3751,0.97
1,1,19.629,31.667,0.3996,0.97
1,1,19.629,31.667,0.4249,0.97
1,1,19.629,31.667,0.4505,0.97
1,1,19.629,31.667,0.4749,0.97
1,1,19.629,31.667,0.4993,0.96
1,1,19.629,31.667,0.5248,0.97
1,1,19.629,31.667,0.5513,0.98
1,1,19.629,31.667,0.5753,0.99
1,1,19.629,31.667,0.6014,1
1,1,19.629,31.667,0.6254,1
1,1,19.629,31.667,0.6496,1.01
1,1,19.629,31.667,0.6756,1.03
1,1,19.629,31.667,0.6997,1.04
1,1,19.629,31.667,0.7243,1.05
1,1,19.629,31.667,0.7496,1.06
1,1,19.629,31.667,0.7769,1.07
1,1,19.629,31.667,0.8,1.09
1,1,19.629,31.667,0.8247,1.13
1,1,19.629,31.667,0.8522,1.18
1,1,19.629,31.667,0.8748,1.24
1,1,19.629,31.667,0.8999,1.29
1,1,19.399,31.821,0.9246,1.31
1,1,19.092,32.051,0.9512,1.28
1,1,18.939,32.204,0.9749,1.25
1,1,18.632,32.281,0.9998,1.24
1,1,18.096,32.281,1.0268,1.22
1,1,17.635,32.204,1.0494,1.21
1,1,17.022,31.974,1.0764,1.23
1,1,16.562,31.821,1.0995,1.25
1,1,15.795,31.36,1.1258,1.25
1,1,15.182,30.67,1.15,1.25
1,1,14.875,30.44,1.1751,1.27
1,1,14.338,29.827,1.2007,1.28
1,1,13.648,28.984,1.226,1.29
1,1,12.958,28.063,1.2518,1.31
1,1,12.498,27.373,1.2744,1.32
1,1,11.961,26.377,1.2998,1.32
1,1,11.501,25.84,1.3256,1.33
1,1,11.041,24.613,1.3498,1.34
1,1,10.735,23.079,1.3775,1.36
1,1,10.581,22.313,1.3998,1.37
1,1,10.581,21.239,1.4283,1.37
1,1,10.735,19.706,1.4497,1.37
1,1,10.888,18.786,1.4749,1.38
1,1,11.195,17.865,1.4996,1.4
1,1,11.808,16.792,1.525,1.43
1,1,12.345,15.949,1.5513,1.42
1,1,13.112,14.645,1.5746,1.42
1,1,13.572,13.725,1.5993,1.42
1,1,13.878,13.265,1.6246,1.45
1,1,14.415,12.728,1.6495,1.45
1,1,15.028,12.268,1.675,1.44
1,1,16.025,11.655,1.6994,1.43
1,1,16.945,11.118,1.725,1.42
1,1,17.635,10.888,1.7522,1.39
1,1,18.402,10.735,1.7797,1.35
1,1,19.246,10.811,1.8,1.33
1,1,19.936,10.965,1.8245,1.32
1,1,21.009,11.425,1.8499,1.3
1,1,21.929,11.885,1.8757,1.27
1,1,22.696,12.191,1.901,1.26
1,1,24.153,13.035,1.9248,1.26
1,1,25.303,14.108,1.9523,1.22
1,1,25.84,15.028,1.975,1.21
1,1,26.3,16.025,2.0016,1.22
1,1,26.913,16.945,2.0246,1.26
1,1,27.373,17.789,2.0512,1.27
1,1,28.063,19.322,2.0758,1.25
1,1,28.6,20.472,2.1005,1.24
1,1,28.753,21.239,2.1265,1.27
1,1,28.907,22.849,2.1494,1.29
1,1,28.83,24.23,2.1749,1.28
1,1,28.6,25.226,2.1995,1.28
1,1,28.217,26.607,2.2248,1.32
1,1,27.603,27.833,2.2496,1.37
1,1,27.143,28.523,2.2749,1.36
1,1,26.453,29.904,2.3001,1.33
1,1,25.763,31.054,2.3253,1.36
1,1,25.226,31.744,2.3494,1.4
1,1,24.46,32.434,2.3745,1.44
1,1,24,32.664,2.3997,1.43
1,1,23.463,32.971,2.4249,1.42
1,1,23.156,33.201,2.4498,1.43
1,1,22.773,33.431,2.4767,1.42
1,1,22.466,33.507,2.4995,1.39
1,1,22.006,33.584,2.5281,1.39
1,1,21.623,33.584,2.5501,1.41
1,1,20.933,33.584,2.5744,1.42
1,1,20.166,33.507,2.5999,1.43
1,1,19.782,33.354,2.6246,1.46
