participant,repetition,x_mm,y_mm,time,force_N
1,1,18.479,31.821,0,0.13
1,1,18.479,31.821,0.0256,0.32
1,1,18.479,31.821,0.0507,0.48
1,1,18.479,31.821,0.0753,0.61
1,1,18.479,31.821,0.1035,0.77
1,1,18.479,31.821,0.125,1
1,1,18.479,31.821,0.1512,1.09
1,1,18.479,31.821,0.1764,1.14
1,1,18.479,31.821,0.2019,1.24
1,1,18.479,31.821,0.2251,1.33
1,1,18.479,31.821,0.2498,1.4
1,1,18.479,31.821,0.2817,1.44
1,1,18.479,31.821,0.3002,1.49
1,1,18.479,31.821,0.325,1.56
1,1,18.479,31.821,0.3508,1.59
1,1,18.479,31.821,0.3755,1.64
1,1,18.479,31.821,0.4012,1.66
1,1,18.479,31.821,0.4256,1.67
1,1,18.479,31.821,0.45,1.69
1,1,18.479,31.821,0.4753,1.7
1,1,18.479,31.821,0.5016,1.7
1,1,18.479,31.821,0.5252,1.68
1,1,18.479,31.821,0.5502,1.66
1,1,18.479,31.821,0.5753,1.65
1,1,18.479,31.667,0.6007,1.64
1,1,18.479,31.437,0.6267,1.62
1,1,18.479,31.284,0.6499,1.58
1,1,18.479,31.054,0.675,1.55
1,1,18.479,31.054,0.701,1.54
1,1,18.479,31.054,0.7257,1.55
1,1,18.479,31.054,0.7501,1.57
1,1,18.479,31.054,0.7752,1.59
1,1,18.479,31.054,0.8007,1.59
1,1,18.479,31.054,0.8256,1.57
1,1,18.479,31.054,0.852,1.55
1,1,18.479,31.054,0.8751,1.57
1,1,18.479,31.054,0.9002,1.58
1,1,18.479,31.054,0.9289,1.59
1,1,18.479,31.054,0.9502,1.59
1,1,18.479,31.054,0.9781,1.61
1,1,18.479,31.054,1.0004,1.66
1,1,18.479,31.054,1.0291,1.67
1,1,18.479,30.824,1.0527,1.66
1,1,18.479,30.517,1.0757,1.65
1,1,18.479,30.057,1.1001,1.63
1,1,18.479,29.444,1.1252,1.62
1,1,18.402,28.753,1.1504,1.63
1,1,18.326,27.45,1.1755,1.64
1,1,18.249,26.53,1.2001,1.63
1,1,18.249,26.3,1.2255,1.6
1,1,18.249,25.84,1.2503,1.61
1,1,18.019,24.69,1.2754,1.66
1,1,17.865,23.54,1.3,1.67
1,1,17.865,22.313,1.3257,1.67
1,1,17.865,21.776,1.35,1.68
1,1,18.019,20.242,1.3755,1.68
1,1,18.019,18.786,1.4004,1.66
1,1,18.096,18.172,1.4253,1.65
1,1,18.096,17.559,1.4506,1.65
1,1,18.096,16.945,1.476,1.64
1,1,18.096,16.332,1.5006,1.63
