participant,repetition,x_mm,y_mm,time,force_N
1,1,7.974,26.683,0,0.1
1,1,7.974,26.683,0.0223,0.24
1,1,7.974,26.683,0.0474,0.51
1,1,7.974,26.683,0.0777,0.71
1,1,7.974,26.683,0.0979,0.8
1,1,7.974,26.683,0.1226,0.8
1,1,7.974,26.683,0.1527,1.04
1,1,7.974,26.683,0.1731,1.07
1,1,7.974,26.683,0.1991,1.16
1,1,7.974,26.683,0.2227,1.15
1,1,7.974,26.683,0.2472,1.09
1,1,7.974,26.683,0.2723,1.07
1,1,7.974,26.683,0.2976,1.08
1,1,7.974,26.683,0.323,1.07
1,1,7.974,26.683,0.348,1.07
1,1,7.974,26.683,0.3775,1.06
1,1,7.974,26.683,0.3977,1.05
1,1,7.974,26.683,0.4225,1.01
1,1,7.974,26.683,0.4478,1
1,1,7.974,26.683,0.4727,1.01
1,1,7.974,26.683,0.4983,1.01
1,1,7.974,26.683,0.5226,0.97
1,1,7.974,26.683,0.5521,0.95
1,1,7.974,26.683,0.5724,0.95
1,1,7.974,26.683,0.5974,0.95
1,1,7.974,26.683,0.6243,0.93
1,1,7.974,26.683,0.6475,0.9
1,1,7.974,26.683,0.6724,0.91
1,1,7.974,26.683,0.6977,0.93
1,1,7.974,26.683,0.7234,0.94
1,1,7.974,26.683,0.7474,0.95
1,1,7.974,26.683,0.7724,0.98
1,1,7.974,26.683,0.7978,1.01
1,1,7.974,26.683,0.8229,1.01
1,1,7.974,26.683,0.8481,1
1,1,7.974,26.683,0.8733,1.02
1,1,7.974,26.683,0.898,1.03
1,1,7.974,26.683,0.9223,1.04
1,1,7.974,26.683,0.9531,1.04
1,1,7.974,26.683,0.9727,1.04
1,1,7.974,26.683,0.9978,1.06
1,1,7.974,26.683,1.0226,1.1
1,1,7.974,26.683,1.0481,1.12
1,1,7.974,26.683,1.073,1.14
1,1,7.974,26.683,1.0975,1.17
1,1,7.974,26.683,1.1222,1.25
1,1,7.974,26.683,1.1472,1.31
1,1,7.974,26.683,1.1726,1.35
1,1,7.974,26.683,1.1977,1.41
1,1,7.974,26.683,1.2223,1.53
1,1,7.974,26.683,1.2482,1.6
1,1,7.974,26.683,1.2727,1.67
1,1,7.974,26.683,1.3011,1.73
1,1,7.974,26.683,1.3225,1.75
1,1,7.974,26.683,1.3472,1.72
1,1,7.974,26.683,1.3732,1.67
1,1,7.974,26.683,1.3986,1.65
1,1,7.974,26.683,1.4227,1.64
1,1,7.974,26.683,1.4473,1.64
1,1,8.204,26.683,1.4748,1.63
1,1,8.664,26.223,1.4974,1.64
1,1,9.048,25.533,1.5226,1.64
1,1,9.584,24.306,1.5473,1.55
1,1,9.891,23.77,1.5723,1.48
1,1,10.351,22.926,1.6006,1.45
1,1,10.811,22.006,1.6226,1.44
1,1,11.041,21.239,1.6503,1.45
1,1,11.195,20.703,1.673,1.46
1,1,11.501,20.012,1.6976,1.46
1,1,11.731,19.629,1.7233,1.47
1,1,12.191,18.709,1.7475,1.49
1,1,12.575,17.559,1.7723,1.5
1,1,12.882,16.792,1.7977,1.49
1,1,13.112,16.025,1.8224,1.47
1,1,13.342,15.412,1.8475,1.45
1,1,13.418,14.952,1.8723,1.45
1,1,13.648,14.108,1.8976,1.44
1,1,13.802,13.112,1.9223,1.42
1,1,13.802,12.422,1.9485,1.41
1,1,13.802,11.885,1.9725,1.4
1,1,13.802,11.731,1.9981,1.38
1,1,13.802,11.578,2.0243,1.35
1,1,13.802,11.578,2.0513,1.33
1,1,13.802,11.578,2.0725,1.3
1,1,13.802,11.578,2.0973,1.27
1,1,13.802,11.578,2.1228,1.23
1,1,14.108,12.268,2.1477,1.19
1,1,14.338,13.188,2.1732,1.15
1,1,14.722,14.338,2.1978,1.14
1,1,15.412,15.872,2.2225,1.14
1,1,15.795,17.099,2.2478,1.13
1,1,16.562,18.479,2.2726,1.1
1,1,17.329,20.472,2.2978,1.09
1,1,17.559,21.239,2.3226,1.1
1,1,17.712,21.929,2.3481,1.12
1,1,17.865,22.159,2.3726,1.11
1,1,18.096,22.926,2.4008,1.09
1,1,18.249,23.693,2.4223,1.09
1,1,18.326,24,2.4473,1.11
1,1,18.326,24.23,2.4729,1.13
1,1,18.326,24.46,2.4988,1.12
1,1,18.402,24.69,2.5226,1.11
1,1,18.402,24.996,2.5477,1.11
1,1,18.402,25.226,2.5772,1.13
1,1,18.402,25.456,2.5992,1.13
1,1,18.556,25.61,2.6226,1.1
1,1,18.709,25.84,2.65,1.09
1,1,18.709,26.07,2.6744,1.14
1,1,18.709,26.07,2.6977,1.18
1,1,18.709,26.146,2.7225,1.2
1,1,18.709,26.146,2.7472,1.2
1,1,18.709,26.146,2.7725,1.21
1,1,18.709,26.146,2.7988,1.24
1,1,18.709,26.146,2.8226,1.27
1,1,18.709,26.146,2.8474,1.27
1,1,18.709,26.146,2.8733,1.24
1,1,18.862,26.07,2.8973,1.27
1,1,19.476,24.92,2.9275,1.3
1,1,20.166,23.463,2.9476,1.29
1,1,20.626,22.159,2.9738,1.24
1,1,21.239,20.396,2.9984,1.21
1,1,21.393,19.782,3.0226,1.19
1,1,21.699,18.556,3.0488,1.19
1,1,21.929,16.792,3.0723,1.2
1,1,22.083,15.949,3.0983,1.2
1,1,22.313,15.105,3.1224,1.19
1,1,22.543,14.262,3.1499,1.19
1,1,22.696,13.725,3.1724,1.21
1,1,22.849,12.882,3.1982,1.23
1,1,23.003,12.422,3.223,1.23
1,1,23.079,12.115,3.2477,1.24
1,1,23.309,11.731,3.2778,1.26
1,1,23.386,11.578,3.2973,1.26
1,1,23.386,11.501,3.3252,1.21
1,1,23.386,11.501,3.3475,1.16
1,1,23.386,11.501,3.3751,1.16
1,1,23.616,11.961,3.3978,1.17
1,1,24.23,13.802,3.4223,1.14
1,1,24.766,15.259,3.4477,1.12
1,1,25.303,16.792,3.4753,1.13
1,1,25.763,17.712,3.4974,1.16
1,1,26.453,19.246,3.5231,1.15
1,1,26.99,20.242,3.5476,1.15
1,1,27.603,21.546,3.5729,1.19
1,1,28.677,22.773,3.5977,1.21
1,1,29.52,24.306,3.626,1.21
1,1,29.75,24.92,3.6479,1.21
1,1,29.904,25.61,3.6731,1.25
1,1,29.904,25.84,3.6974,1.3
1,1,29.904,26.07,3.7223,1.34
1,1,29.904,26.07,3.7477,1.39
1,1,29.904,26.07,3.7726,1.44
1,1,29.904,26.07,3.7978,1.5
1,1,29.904,26.07,3.8233,1.58
1,1,29.904,26.07,3.8477,1.61
1,1,29.98,26.07,3.8728,1.53
1,1,29.98,26.07,3.8974,0.57
1,2,7.821,26.913,0,0.16
1,2,7.668,27.067,0.0246,0.18
1,2,7.514,27.067,0.0497,0.22
1,2,7.514,27.067,0.0752,0.38
1,2,7.514,27.067,0.1003,0.82
1,2,7.514,27.067,0.1251,0.94
1,2,7.438,27.067,0.1497,1.16
1,2,7.438,27.067,0.1751,1.4
1,2,7.438,27.067,0.2007,1.51
1,2,7.438,27.067,0.2253,1.51
1,2,7.438,27.067,0.2501,1.48
1,2,7.438,27.067,0.2767,1.49
1,2,7.438,27.067,0.3002,1.49
1,2,7.438,27.067,0.3282,1.47
1,2,7.438,27.067,0.3497,1.45
1,2,7.438,27.067,0.3751,1.39
1,2,7.438,27.067,0.4001,1.36
1,2,7.438,27.067,0.4249,1.33
1,2,7.438,27.067,0.4499,1.29
1,2,7.438,27.067,0.4748,1.3
1,2,7.438,27.067,0.4998,1.31
1,2,7.438,27.067,0.5253,1.37
1,2,7.438,27.067,0.5497,1.43
1,2,7.438,27.067,0.5752,1.46
1,2,7.438,27.067,0.5999,1.46
1,2,7.438,27.067,0.625,1.47
1,2,7.438,27.067,0.6505,1.49
1,2,7.438,27.067,0.6746,1.5
1,2,7.438,27.067,0.6998,1.5
1,2,7.438,27.067,0.7274,1.59
1,2,7.438,27.067,0.7498,1.63
1,2,7.438,27.067,0.7748,1.7
1,2,7.438,27.067,0.805,1.69
1,2,7.438,26.99,0.8248,1.68
1,2,7.438,26.453,0.8504,1.66
1,2,7.668,25.073,0.8746,1.62
1,2,7.974,23.923,0.9002,1.59
1,2,8.204,23.079,0.9253,1.57
1,2,8.664,21.393,0.9499,1.56
1,2,9.048,20.089,0.9752,1.56
1,2,9.201,19.476,1.0002,1.53
1,2,9.738,17.942,1.0259,1.49
1,2,9.968,17.022,1.0506,1.47
1,2,10.351,16.025,1.0749,1.42
1,2,10.581,15.412,1.0996,1.4
1,2,10.811,14.875,1.1254,1.43
1,2,11.271,13.802,1.151,1.44
1,2,11.731,12.805,1.1751,1.44
1,2,11.961,12.268,1.1999,1.43
1,2,12.191,11.731,1.2247,1.41
1,2,12.422,11.271,1.254,1.41
1,2,12.575,10.965,1.2749,1.41
1,2,12.652,10.735,1.2996,1.37
1,2,12.652,10.735,1.3261,1.32
1,2,12.652,10.735,1.35,1.3
1,2,12.652,10.735,1.3758,1.3
1,2,12.652,10.735,1.4,1.24
1,2,12.652,10.735,1.4247,1.17
1,2,12.728,10.811,1.45,1.17
1,2,12.958,11.425,1.4762,1.17
1,2,13.265,12.345,1.5,1.15
1,2,13.725,13.572,1.5246,1.15
