participant,repetition,x_mm,y_mm,time,force_N
1,1,25.916,27.603,0,0.31
1,1,25.916,27.603,0.025,0.58
1,1,25.916,27.603,0.0499,0.71
1,1,25.916,27.603,0.0753,0.79
1,1,25.916,27.603,0.1018,1.02
1,1,25.916,27.603,0.1249,1.11
1,1,25.916,27.603,0.1508,1.17
1,1,25.916,27.603,0.1749,1.2
1,1,25.916,27.603,0.1997,1.2
1,1,25.916,27.603,0.2252,1.19
1,1,25.916,27.603,0.2501,1.19
1,1,25.916,27.603,0.2754,1.22
1,1,25.916,27.603,0.3002,1.24
1,1,25.916,27.603,0.3295,1.24
1,1,25.916,27.603,0.351,1.24
1,1,25.916,27.603,0.3751,1.27
1,1,25.916,27.603,0.4067,1.33
1,1,25.916,27.603,0.4248,1.34
1,1,25.916,27.603,0.4546,1.37
1,1,25.916,27.603,0.475,1.42
1,1,25.916,27.603,0.4996,1.44
1,1,25.916,27.603,0.5252,1.45
1,1,25.916,27.603,0.5496,1.45
1,1,25.916,27.603,0.5751,1.45
1,1,25.916,27.603,0.5999,1.49
1,1,25.916,27.603,0.6267,1.56
1,1,25.916,27.603,0.65,1.59
1,1,25.916,27.603,0.6752,1.61
1,1,25.916,27.603,0.6998,1.64
1,1,25.916,27.603,0.7251,1.71
1,1,25.916,27.603,0.7503,1.73
1,1,25.916,27.603,0.7756,1.74
1,1,25.916,27.603,0.8008,1.76
1,1,25.916,27.603,0.8247,1.78
1,1,25.916,27.603,0.8508,1.76
1,1,25.916,27.603,0.8749,1.73
1,1,25.916,27.603,0.8999,1.69
1,1,25.916,27.603,0.9248,1.69
1,1,25.916,27.603,0.95,1.73
1,1,25.916,27.603,0.9756,1.73
1,1,25.916,27.603,1.0011,1.67
1,1,25.916,27.603,1.0248,1.65
1,1,25.916,27.603,1.0503,1.68
1,1,25.916,27.603,1.0777,1.71
1,1,25.916,27.603,1.1009,1.72
1,1,25.916,27.603,1.1249,1.73
1,1,25.916,27.603,1.1523,1.74
1,1,25.916,27.603,1.1752,1.72
1,1,25.763,27.45,1.2034,1.72
1,1,25.303,27.143,1.2248,1.72
1,1,25.15,26.913,1.2499,1.71
1,1,24.766,26.607,1.2756,1.73
1,1,24.23,25.993,1.2998,1.72
1,1,24,25.456,1.326,1.7
1,1,23.54,24.766,1.3498,1.67
1,1,23.079,24,1.3746,1.65
1,1,22.773,23.54,1.3999,1.64
1,1,22.466,23.156,1.4257,1.65
1,1,21.929,22.236,1.4499,1.66
1,1,21.393,21.316,1.4746,1.67
1,1,20.703,20.089,1.5013,1.65
1,1,20.089,19.399,1.5252,1.61
1,1,19.399,18.249,1.5546,1.61
1,1,18.939,17.405,1.5751,1.62
1,1,18.479,16.562,1.5998,1.63
1,1,18.096,15.872,1.6258,1.62
1,1,17.712,15.412,1.652,1.62
1,1,17.405,14.952,1.6761,1.63
1,1,17.099,14.645,1.6998,1.63
1,1,16.562,14.032,1.7296,1.64
1,1,16.255,13.725,1.7507,1.66
1,1,15.565,12.882,1.7774,1.67
1,1,14.875,11.731,1.7997,1.67
1,1,14.492,11.348,1.8251,1.64
1,1,14.185,11.041,1.8508,1.65
1,1,13.955,10.811,1.8751,1.73
1,1,13.878,10.658,1.904,1.76
1,1,13.878,10.658,1.9247,1.75
1,1,13.878,10.658,1.9498,1.77
1,1,13.878,10.658,1.9751,1.79
1,1,13.878,10.658,2.0008,1.79
1,1,13.878,10.658,2.0249,1.71
1,1,13.878,10.658,2.05,1.44
1,1,13.878,10.658,2.0756,0.79
1,1,13.878,10.658,2.1002,0.15
1,1,13.878,10.658,2.3054,0.14
1,1,13.878,10.658,2.3249,0.14
1,1,13.878,10.658,2.3501,0.13
1,1,13.878,10.658,2.3753,0.12
1,1,13.878,10.658,2.3999,0.13
1,1,13.878,10.658,2.4254,0.13
1,1,13.878,10.658,2.4499,0.14
1,1,13.878,10.658,2.4747,0.15
1,1,12.422,26.837,2.5017,0.16
1,1,12.422,26.837,2.5272,0.3
1,1,12.422,26.837,2.5504,0.58
1,1,12.422,26.837,2.5746,0.79
1,1,12.422,26.837,2.6,0.79
1,1,12.422,26.837,2.6252,1.12
1,1,12.422,26.837,2.6523,1.29
1,1,12.422,26.837,2.6747,1.37
1,1,12.422,26.837,2.7001,1.39
1,1,12.422,26.837,2.7257,1.42
1,1,12.422,26.837,2.75,1.46
1,1,12.422,26.837,2.7756,1.47
1,1,12.422,26.837,2.7997,1.45
1,1,12.422,26.837,2.8257,1.41
1,1,12.422,26.837,2.8501,1.38
1,1,12.422,26.837,2.8749,1.37
1,1,12.422,26.837,2.8999,1.36
1,1,12.422,26.837,2.9252,1.35
1,1,12.422,26.837,2.9501,1.37
1,1,12.422,26.837,2.975,1.36
1,1,12.422,26.837,3.0021,1.34
1,1,12.422,26.837,3.0248,1.34
1,1,12.422,26.837,3.0515,1.36
1,1,12.422,26.837,3.0754,1.37
1,1,12.422,26.837,3.0997,1.42
1,1,12.422,26.837,3.1247,1.49
1,1,12.422,26.837,3.1498,1.57
1,1,12.422,26.837,3.1751,1.64
1,1,12.498,26.837,3.2001,1.69
1,1,12.958,26.3,3.2246,1.76
1,1,13.802,25.073,3.2505,1.78
1,1,14.492,24.306,3.275,1.73
1,1,15.719,23.309,3.3003,1.71
1,1,16.715,22.313,3.3248,1.73
1,1,17.329,21.469,3.3503,1.77
1,1,17.942,20.089,3.3752,1.79
1,1,18.632,19.016,3.4024,1.78
1,1,19.246,18.096,3.4249,1.74
1,1,20.012,16.869,3.4498,1.69
1,1,20.856,15.949,3.4751,1.69
1,1,21.163,15.565,3.4999,1.71
1,1,21.546,15.105,3.5255,1.72
1,1,21.776,14.798,3.5497,1.72
1,1,21.929,14.568,3.5748,1.73
1,1,22.236,13.802,3.6,1.77
1,1,22.696,12.958,3.6253,1.8
1,1,23.003,12.498,3.6501,1.82
1,1,23.616,11.731,3.6753,1.86
1,1,24.076,11.348,3.7021,1.9
1,1,24.153,11.195,3.7252,1.92
1,1,24.306,11.041,3.7524,1.99
1,1,24.306,11.041,3.7752,2.11
1,1,24.306,11.041,3.7997,2.16
1,1,24.306,11.041,3.8253,2.13
1,1,24.306,11.041,3.8499,1.78
1,1,24.306,11.041,3.8764,0.79
1,1,24.306,11.041,3.8999,0.11
1,2,24.383,26.07,0,0.15
1,2,24.383,26.07,0.023,0.2
1,2,24.46,26.223,0.0471,0.23
1,2,24.46,26.223,0.0746,0.33
1,2,24.46,26.223,0.0977,0.58
1,2,24.46,26.223,0.1232,0.91
1,2,24.46,26.223,0.1471,1.17
1,2,24.46,26.223,0.1738,1.3
1,2,24.46,26.223,0.1974,1.37
1,2,24.46,26.223,0.2224,1.43
1,2,24.46,26.223,0.2477,1.47
1,2,24.46,26.223,0.2729,1.5
1,2,24.46,26.223,0.2975,1.52
1,2,24.46,26.223,0.3225,1.53
1,2,24.46,26.223,0.3487,1.53
1,2,24.46,26.223,0.3719,1.51
1,2,24.46,26.223,0.3977,1.5
1,2,24.46,26.223,0.4229,1.5
