participant,repetition,x_mm,y_mm,time,force_N
1,1,10.351,32.664,0,0.5
1,1,10.351,32.664,0.0255,0.75
1,1,10.351,32.664,0.0526,0.84
1,1,10.351,32.664,0.0755,0.99
1,1,10.351,32.664,0.1003,1.23
1,1,10.351,32.664,0.1284,1.39
1,1,10.351,32.664,0.15,1.46
1,1,10.351,32.664,0.176,1.47
1,1,10.351,32.664,0.2004,1.49
1,1,10.351,32.664,0.2249,1.52
1,1,10.351,32.664,0.251,1.53
1,1,10.351,32.664,0.2753,1.5
1,1,10.351,32.664,0.3007,1.42
1,1,10.351,32.664,0.325,1.3
1,1,10.351,32.664,0.351,1.28
1,1,10.351,32.664,0.3754,1.26
1,1,10.351,32.664,0.4002,1.25
1,1,10.351,32.664,0.4252,1.26
1,1,10.351,32.664,0.45,1.27
1,1,10.351,32.664,0.4756,1.27
1,1,10.351,32.664,0.5004,1.25
1,1,10.351,32.664,0.5252,1.24
1,1,10.351,32.664,0.55,1.27
1,1,10.351,32.664,0.5754,1.3
1,1,10.351,32.664,0.6002,1.3
1,1,10.351,32.664,0.6256,1.28
1,1,10.351,32.664,0.6502,1.28
1,1,10.351,32.664,0.6755,1.28
1,1,10.351,32.664,0.7008,1.29
1,1,10.351,32.664,0.7253,1.29
1,1,10.351,32.664,0.7511,1.29
1,1,10.351,32.664,0.775,1.3
1,1,10.351,32.664,0.8008,1.34
1,1,10.351,32.664,0.8265,1.36
1,1,10.351,32.664,0.8504,1.37
1,1,10.351,32.664,0.8755,1.39
1,1,10.351,32.664,0.9003,1.44
1,1,10.351,32.664,0.93,1.5
1,1,10.351,32.664,0.9501,1.52
1,1,10.351,32.664,0.9751,1.6
1,1,10.351,32.664,1.0008,1.8
1,1,10.351,32.664,1.0259,1.9
1,1,10.351,32.664,1.051,1.98
1,1,10.351,32.664,1.0751,2.07
1,1,11.195,32.664,1.1008,2.15
1,1,12.498,32.664,1.1252,2.16
1,1,13.188,32.664,1.1541,2.15
1,1,14.185,32.664,1.1753,2.14
1,1,15.489,32.664,1.2002,2.14
1,1,16.179,32.664,1.2255,2.15
1,1,16.945,32.664,1.2507,2.14
1,1,17.482,32.664,1.2773,2.12
1,1,17.712,32.664,1.2999,2.12
1,1,18.402,32.664,1.3255,2.15
1,1,19.552,32.664,1.3508,2.14
1,1,20.242,32.664,1.3757,2.09
1,1,21.086,32.664,1.4017,2.03
1,1,21.699,32.664,1.4258,2
1,1,22.083,32.664,1.4513,1.98
1,1,23.003,32.664,1.4756,1.95
1,1,23.77,32.664,1.5003,1.9
1,1,24.076,32.664,1.5265,1.87
1,1,24.536,32.664,1.5504,1.85
1,1,24.92,32.664,1.5758,1.82
1,1,25.073,32.664,1.6,1.8
1,1,25.303,32.664,1.6281,1.72
1,1,25.38,32.664,1.6506,1.71
1,1,25.38,32.664,1.6755,1.7
1,1,25.38,32.664,1.7001,1.71
1,1,25.38,32.664,1.7251,1.71
1,1,25.38,32.664,1.7524,1.72
1,1,25.38,32.664,1.7751,1.73
1,1,25.38,32.664,1.8036,1.71
1,1,25.38,32.664,1.8252,1.69
1,1,25.38,32.664,1.8501,1.68
1,1,25.38,32.664,1.8763,1.68
1,1,25.38,32.664,1.9002,1.68
1,1,25.38,32.664,1.927,1.68
1,1,25.38,32.664,1.9501,1.68
1,1,25.073,32.357,1.9761,1.62
1,1,23.693,30.594,2.0001,1.52
1,1,22.773,29.674,2.0297,1.46
1,1,22.006,28.83,2.05,1.45
1,1,20.703,27.22,2.0754,1.45
1,1,19.859,26.3,2.1007,1.48
1,1,19.246,25.533,2.1252,1.49
1,1,18.786,24.766,2.1532,1.49
1,1,18.326,23.693,2.1757,1.49
1,1,17.635,22.236,2.2056,1.52
1,1,17.175,21.393,2.2253,1.52
1,1,16.792,20.779,2.2519,1.51
1,1,15.872,19.169,2.2756,1.5
1,1,15.335,18.326,2.3008,1.49
1,1,14.952,17.865,2.3257,1.5
1,1,14.722,17.405,2.3503,1.48
1,1,14.568,17.099,2.3749,1.48
1,1,14.262,16.715,2.4002,1.5
1,1,14.032,16.102,2.4255,1.52
1,1,13.572,15.182,2.4517,1.52
1,1,13.342,14.568,2.4755,1.53
1,1,13.035,13.878,2.5001,1.56
1,1,12.728,13.265,2.5266,1.57
1,1,12.422,12.805,2.5515,1.56
1,1,12.038,12.115,2.5753,1.56
1,1,11.885,11.885,2.6003,1.57
1,1,11.655,11.425,2.6248,1.59
1,1,11.425,11.041,2.6505,1.6
1,1,11.195,10.658,2.6759,1.62
1,1,10.888,10.045,2.7001,1.62
1,1,10.735,9.815,2.7283,1.61
1,1,10.735,9.738,2.75,1.62
1,1,10.735,9.738,2.7778,1.64
1,1,10.735,9.738,2.8001,1.63
1,1,10.735,9.738,2.8257,1.63
1,1,10.888,9.584,2.852,1.63
1,1,11.885,9.354,2.8756,1.67
1,1,12.575,9.354,2.9006,1.68
1,1,13.572,9.354,2.9249,1.65
1,1,15.182,9.431,2.9509,1.58
1,1,16.102,9.431,2.9753,1.61
1,1,17.099,9.431,3.0003,1.65
1,1,17.559,9.431,3.0255,1.67
1,1,18.632,9.584,3.05,1.69
1,1,19.936,9.661,3.0781,1.72
1,1,20.703,9.661,3.1004,1.72
1,1,21.929,9.661,3.1257,1.73
1,1,23.463,9.891,3.1518,1.71
1,1,24.69,9.968,3.1767,1.68
1,1,25.38,10.045,3.2014,1.67
1,1,26.223,10.045,3.2253,1.69
1,1,26.837,10.121,3.253,1.67
1,1,27.22,10.198,3.2752,1.67
1,1,27.527,10.198,3.301,1.67
1,1,27.603,10.198,3.327,1.71
1,1,27.603,10.198,3.3499,1.76
1,1,27.603,10.198,3.3749,1.76
1,1,27.603,10.198,3.4026,1.78
1,1,27.603,10.198,3.4257,1.85
1,1,27.603,10.198,3.4502,1.89
1,1,27.603,10.198,3.475,1.86
1,1,27.603,10.198,3.5006,1.73
1,1,27.603,10.275,3.5257,1.26
1,1,27.603,10.275,3.5506,0.46
1,2,10.275,32.511,0,0.3
1,2,10.275,32.511,0.0252,0.65
1,2,10.275,32.511,0.0506,0.83
1,2,10.275,32.511,0.0758,1.01
1,2,10.275,32.511,0.1002,1.19
1,2,10.275,32.511,0.1249,1.32
1,2,10.275,32.511,0.1505,1.36
1,2,10.275,32.511,0.1755,1.38
1,2,10.275,32.511,0.2012,1.44
1,2,10.275,32.511,0.2249,1.46
1,2,10.275,32.511,0.2519,1.46
1,2,10.275,32.511,0.2756,1.46
1,2,10.275,32.511,0.3064,1.43
1,2,10.275,32.511,0.325,1.4
1,2,10.275,32.511,0.3498,1.38
1,2,10.275,32.511,0.3756,1.37
1,2,10.275,32.511,0.4,1.36
1,2,10.275,32.511,0.4258,1.34
1,2,10.275,32.511,0.4497,1.36
1,2,10.275,32.511,0.4762,1.39
1,2,10.275,32.511,0.5004,1.38
1,2,10.275,32.511,0.5302,1.4
1,2,10.275,32.511,0.5514,1.42
1,2,10.275,32.511,0.5747,1.46
1,2,10.275,32.511,0.6011,1.46
1,2,10.275,32.511,0.6251,1.49
1,2,10.275,32.511,0.6531,1.56
1,2,10.275,32.511,0.6748,1.6
1,2,10.275,32.511,0.7,1.63
1,2,10.275,32.511,0.7252,1.65
1,2,10.275,32.511,0.75,1.67
1,2,10.275,32.511,0.775,1.67
1,2,10.275,32.511,0.8001,1.67
1,2,10.811,32.511,0.8254,1.69
1,2,11.578,32.511,0.8501,1.7
1,2,12.958,32.664,0.875,1.7
1,2,14.952,32.817,0.9,1.63
1,2,15.872,32.817,0.9251,1.59
1,2,16.792,32.894,0.9512,1.58
1,2,18.096,33.047,0.9754,1.59
1,2,18.632,33.047,1.0024,1.61
1,2,19.552,33.047,1.0249,1.62
1,2,20.242,33.047,1.0528,1.64
1,2,20.549,33.047,1.0751,1.65
1,2,21.086,33.047,1.0998,1.67
1,2,21.699,33.047,1.1256,1.69
1,2,22.619,33.047,1.1499,1.69
1,2,23.309,33.047,1.1755,1.67
1,2,23.693,33.047,1.2001,1.65
1,2,24.153,33.047,1.2247,1.64
1,2,24.383,33.047,1.2498,1.63
1,2,24.46,33.047,1.2749,1.6
1,2,24.46,33.047,1.3011,1.6
1,2,24.46,33.047,1.3247,1.62
1,2,24.46,33.047,1.35,1.63
1,2,24.46,33.047,1.3763,1.63
1,2,24.46,33.047,1.4017,1.63
1,2,24.46,33.047,1.4261,1.62
1,2,24.46,32.664,1.4503,1.6
1,2,24.306,31.897,1.4775,1.57
1,2,24,31.13,1.5004,1.53
1,2,23.463,30.287,1.5258,1.53
1,2,22.926,29.597,1.5497,1.51
1,2,22.389,28.753,1.5789,1.5
1,2,21.929,28.063,1.6009,1.5
1,2,21.623,27.373,1.6251,1.5
1,2,21.163,26.377,1.6498,1.52
1,2,20.319,25.303,1.6749,1.53
1,2,19.476,24,1.7006,1.55
1,2,18.862,22.926,1.725,1.57
1,2,18.172,21.776,1.7497,1.58
1,2,17.559,20.549,1.7761,1.57
1,2,17.099,19.552,1.8003,1.55
1,2,16.485,18.326,1.825,1.55
1,2,16.255,17.865,1.8499,1.59
1,2,15.719,17.022,1.8762,1.62
1,2,15.259,16.255,1.9006,1.61
1,2,14.798,15.719,1.9317,1.63
